case,candidate_id,verified_truth,synthesized,equivalent,area,delay,adp,verilog_exists,aig_exists,notes
ex280,ex280_unknown_bdd_key_prefix_parity_interleave,1,1,1,772,33,25476,1,1,unknown transformed-key shared-BDD Verilog seed
ex280,ex280_unknown_bdd_key_prefix_parity_natural,1,1,1,2597,38,98686,1,1,unknown transformed-key shared-BDD Verilog seed
ex280,ex280_unknown_bdd_key_prefix_parity_reverse,1,1,1,2597,27,70119,1,1,unknown transformed-key shared-BDD Verilog seed
ex280,ex280_unknown_bdd_key_prefix_parity_center,1,1,1,859,41,35219,1,1,unknown transformed-key shared-BDD Verilog seed
ex280,ex280_unknown_bdd_key_suffix_parity_interleave,1,1,1,1373,32,43936,1,1,unknown transformed-key shared-BDD Verilog seed
ex280,ex280_unknown_bdd_key_suffix_parity_natural,1,1,1,3618,25,90450,1,1,unknown transformed-key shared-BDD Verilog seed
ex280,ex280_unknown_bdd_key_suffix_parity_reverse,1,1,1,3189,39,124371,1,1,unknown transformed-key shared-BDD Verilog seed
ex280,ex280_unknown_bdd_key_suffix_parity_center,1,1,1,2652,43,114036,1,1,unknown transformed-key shared-BDD Verilog seed
ex281,ex281_unknown_bdd_key_prefix_parity_interleave,1,1,1,937,37,34669,1,1,unknown transformed-key shared-BDD Verilog seed
ex281,ex281_unknown_bdd_key_prefix_parity_natural,1,1,1,3758,42,157836,1,1,unknown transformed-key shared-BDD Verilog seed
ex281,ex281_unknown_bdd_key_prefix_parity_reverse,1,1,1,3990,28,111720,1,1,unknown transformed-key shared-BDD Verilog seed
ex281,ex281_unknown_bdd_key_prefix_parity_center,1,1,1,1103,46,50738,1,1,unknown transformed-key shared-BDD Verilog seed
ex281,ex281_unknown_bdd_key_suffix_parity_interleave,1,1,1,1681,35,58835,1,1,unknown transformed-key shared-BDD Verilog seed
ex281,ex281_unknown_bdd_key_suffix_parity_natural,1,1,1,5677,29,164633,1,1,unknown transformed-key shared-BDD Verilog seed
ex281,ex281_unknown_bdd_key_suffix_parity_reverse,1,1,1,4650,44,204600,1,1,unknown transformed-key shared-BDD Verilog seed
ex281,ex281_unknown_bdd_key_suffix_parity_center,1,1,1,2437,46,112102,1,1,unknown transformed-key shared-BDD Verilog seed
ex282,ex282_unknown_bdd_key_prefix_parity_interleave,1,1,1,1082,40,43280,1,1,unknown transformed-key shared-BDD Verilog seed
ex282,ex282_unknown_bdd_key_prefix_parity_natural,1,1,1,5718,46,263028,1,1,unknown transformed-key shared-BDD Verilog seed
ex282,ex282_unknown_bdd_key_prefix_parity_reverse,1,1,1,5660,29,164140,1,1,unknown transformed-key shared-BDD Verilog seed
ex282,ex282_unknown_bdd_key_prefix_parity_center,1,1,1,1154,49,56546,1,1,unknown transformed-key shared-BDD Verilog seed
ex282,ex282_unknown_bdd_key_suffix_parity_interleave,1,1,1,2025,38,76950,1,1,unknown transformed-key shared-BDD Verilog seed
ex282,ex282_unknown_bdd_key_suffix_parity_natural,1,1,1,8535,30,256050,1,1,unknown transformed-key shared-BDD Verilog seed
ex282,ex282_unknown_bdd_key_suffix_parity_reverse,1,1,1,6983,48,335184,1,1,unknown transformed-key shared-BDD Verilog seed
ex282,ex282_unknown_bdd_key_suffix_parity_center,1,1,1,4019,50,200950,1,1,unknown transformed-key shared-BDD Verilog seed
ex283,ex283_unknown_bdd_key_prefix_parity_interleave,1,1,1,1270,45,57150,1,1,unknown transformed-key shared-BDD Verilog seed
ex283,ex283_unknown_bdd_key_prefix_parity_natural,1,1,1,7910,50,395500,1,1,unknown transformed-key shared-BDD Verilog seed
ex283,ex283_unknown_bdd_key_prefix_parity_reverse,1,1,1,8300,32,265600,1,1,unknown transformed-key shared-BDD Verilog seed
ex283,ex283_unknown_bdd_key_prefix_parity_center,1,1,1,1423,54,76842,1,1,unknown transformed-key shared-BDD Verilog seed
ex283,ex283_unknown_bdd_key_suffix_parity_interleave,1,1,1,2358,41,96678,1,1,unknown transformed-key shared-BDD Verilog seed
ex283,ex283_unknown_bdd_key_suffix_parity_natural,1,1,1,12802,32,409664,1,1,unknown transformed-key shared-BDD Verilog seed
ex283,ex283_unknown_bdd_key_suffix_parity_reverse,1,1,1,10006,52,520312,1,1,unknown transformed-key shared-BDD Verilog seed
ex283,ex283_unknown_bdd_key_suffix_parity_center,1,1,1,3334,54,180036,1,1,unknown transformed-key shared-BDD Verilog seed
ex284,ex284_unknown_bdd_key_prefix_parity_interleave,1,1,1,1455,45,65475,1,1,unknown transformed-key shared-BDD Verilog seed
ex284,ex284_unknown_bdd_key_prefix_parity_natural,1,1,1,12159,54,656586,1,1,unknown transformed-key shared-BDD Verilog seed
ex284,ex284_unknown_bdd_key_prefix_parity_reverse,1,1,1,11575,34,393550,1,1,unknown transformed-key shared-BDD Verilog seed
ex284,ex284_unknown_bdd_key_prefix_parity_center,1,1,1,1556,57,88692,1,1,unknown transformed-key shared-BDD Verilog seed
ex284,ex284_unknown_bdd_key_suffix_parity_interleave,1,1,1,2715,44,119460,1,1,unknown transformed-key shared-BDD Verilog seed
ex284,ex284_unknown_bdd_key_suffix_parity_natural,1,1,1,18398,34,625532,1,1,unknown transformed-key shared-BDD Verilog seed
ex284,ex284_unknown_bdd_key_suffix_parity_reverse,1,1,1,14700,56,823200,1,1,unknown transformed-key shared-BDD Verilog seed
ex284,ex284_unknown_bdd_key_suffix_parity_center,1,1,1,5454,58,316332,1,1,unknown transformed-key shared-BDD Verilog seed
