case,candidate_id,hypothesis,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,runtime_sec,items,notes
ex280,ex280_unknown_bdd_key_prefix_parity_interleave,unknown_transformed_key_bdd,prefix_parity_interleave,student/work/ex280_ex284_frontend_bdd_parity_key_20260608_1735/ex280/verilog/ex280_unknown_bdd_key_prefix_parity_interleave.v,student/work/ex280_ex284_frontend_bdd_parity_key_20260608_1735/ex280/aigs/ex280_unknown_bdd_key_prefix_parity_interleave.aig,1,1,1,772,33,25476,0.741,transform=prefix_parity; order_name=interleave; order=0:11:1:10:2:9:3:8:4:7:5:6; bdd_nodes=445; hash=405e4125db8e,unknown transformed-key shared-BDD Verilog seed
ex280,ex280_unknown_bdd_key_prefix_parity_natural,unknown_transformed_key_bdd,prefix_parity_natural,student/work/ex280_ex284_frontend_bdd_parity_key_20260608_1735/ex280/verilog/ex280_unknown_bdd_key_prefix_parity_natural.v,student/work/ex280_ex284_frontend_bdd_parity_key_20260608_1735/ex280/aigs/ex280_unknown_bdd_key_prefix_parity_natural.aig,1,1,1,2597,38,98686,1.331,transform=prefix_parity; order_name=natural; order=0:1:2:3:4:5:6:7:8:9:10:11; bdd_nodes=1675; hash=3870a0c392d0,unknown transformed-key shared-BDD Verilog seed
ex280,ex280_unknown_bdd_key_prefix_parity_reverse,unknown_transformed_key_bdd,prefix_parity_reverse,student/work/ex280_ex284_frontend_bdd_parity_key_20260608_1735/ex280/verilog/ex280_unknown_bdd_key_prefix_parity_reverse.v,student/work/ex280_ex284_frontend_bdd_parity_key_20260608_1735/ex280/aigs/ex280_unknown_bdd_key_prefix_parity_reverse.aig,1,1,1,2597,27,70119,1.318,transform=prefix_parity; order_name=reverse; order=11:10:9:8:7:6:5:4:3:2:1:0; bdd_nodes=1634; hash=48dbd8e997f4,unknown transformed-key shared-BDD Verilog seed
ex280,ex280_unknown_bdd_key_prefix_parity_center,unknown_transformed_key_bdd,prefix_parity_center,student/work/ex280_ex284_frontend_bdd_parity_key_20260608_1735/ex280/verilog/ex280_unknown_bdd_key_prefix_parity_center.v,student/work/ex280_ex284_frontend_bdd_parity_key_20260608_1735/ex280/aigs/ex280_unknown_bdd_key_prefix_parity_center.aig,1,1,1,859,41,35219,0.777,transform=prefix_parity; order_name=center; order=5:6:4:7:3:8:2:9:1:10:0:11; bdd_nodes=492; hash=a40b74cd5b20,unknown transformed-key shared-BDD Verilog seed
ex280,ex280_unknown_bdd_key_suffix_parity_interleave,unknown_transformed_key_bdd,suffix_parity_interleave,student/work/ex280_ex284_frontend_bdd_parity_key_20260608_1735/ex280/verilog/ex280_unknown_bdd_key_suffix_parity_interleave.v,student/work/ex280_ex284_frontend_bdd_parity_key_20260608_1735/ex280/aigs/ex280_unknown_bdd_key_suffix_parity_interleave.aig,1,1,1,1373,32,43936,0.955,transform=suffix_parity; order_name=interleave; order=0:11:1:10:2:9:3:8:4:7:5:6; bdd_nodes=894; hash=14ff38b0a8ce,unknown transformed-key shared-BDD Verilog seed
ex280,ex280_unknown_bdd_key_suffix_parity_natural,unknown_transformed_key_bdd,suffix_parity_natural,student/work/ex280_ex284_frontend_bdd_parity_key_20260608_1735/ex280/verilog/ex280_unknown_bdd_key_suffix_parity_natural.v,student/work/ex280_ex284_frontend_bdd_parity_key_20260608_1735/ex280/aigs/ex280_unknown_bdd_key_suffix_parity_natural.aig,1,1,1,3618,25,90450,1.654,transform=suffix_parity; order_name=natural; order=0:1:2:3:4:5:6:7:8:9:10:11; bdd_nodes=2084; hash=0550b1ee4f7b,unknown transformed-key shared-BDD Verilog seed
ex280,ex280_unknown_bdd_key_suffix_parity_reverse,unknown_transformed_key_bdd,suffix_parity_reverse,student/work/ex280_ex284_frontend_bdd_parity_key_20260608_1735/ex280/verilog/ex280_unknown_bdd_key_suffix_parity_reverse.v,student/work/ex280_ex284_frontend_bdd_parity_key_20260608_1735/ex280/aigs/ex280_unknown_bdd_key_suffix_parity_reverse.aig,1,1,1,3189,39,124371,1.491,transform=suffix_parity; order_name=reverse; order=11:10:9:8:7:6:5:4:3:2:1:0; bdd_nodes=1791; hash=60c044e80cd2,unknown transformed-key shared-BDD Verilog seed
ex280,ex280_unknown_bdd_key_suffix_parity_center,unknown_transformed_key_bdd,suffix_parity_center,student/work/ex280_ex284_frontend_bdd_parity_key_20260608_1735/ex280/verilog/ex280_unknown_bdd_key_suffix_parity_center.v,student/work/ex280_ex284_frontend_bdd_parity_key_20260608_1735/ex280/aigs/ex280_unknown_bdd_key_suffix_parity_center.aig,1,1,1,2652,43,114036,1.308,transform=suffix_parity; order_name=center; order=5:6:4:7:3:8:2:9:1:10:0:11; bdd_nodes=1440; hash=faea1db78250,unknown transformed-key shared-BDD Verilog seed
ex281,ex281_unknown_bdd_key_prefix_parity_interleave,unknown_transformed_key_bdd,prefix_parity_interleave,student/work/ex280_ex284_frontend_bdd_parity_key_20260608_1735/ex281/verilog/ex281_unknown_bdd_key_prefix_parity_interleave.v,student/work/ex280_ex284_frontend_bdd_parity_key_20260608_1735/ex281/aigs/ex281_unknown_bdd_key_prefix_parity_interleave.aig,1,1,1,937,37,34669,1.221,transform=prefix_parity; order_name=interleave; order=0:12:1:11:2:10:3:9:4:8:5:7:6; bdd_nodes=528; hash=59a863178687,unknown transformed-key shared-BDD Verilog seed
ex281,ex281_unknown_bdd_key_prefix_parity_natural,unknown_transformed_key_bdd,prefix_parity_natural,student/work/ex280_ex284_frontend_bdd_parity_key_20260608_1735/ex281/verilog/ex281_unknown_bdd_key_prefix_parity_natural.v,student/work/ex280_ex284_frontend_bdd_parity_key_20260608_1735/ex281/aigs/ex281_unknown_bdd_key_prefix_parity_natural.aig,1,1,1,3758,42,157836,2.224,transform=prefix_parity; order_name=natural; order=0:1:2:3:4:5:6:7:8:9:10:11:12; bdd_nodes=2523; hash=33adb7c56c27,unknown transformed-key shared-BDD Verilog seed
ex281,ex281_unknown_bdd_key_prefix_parity_reverse,unknown_transformed_key_bdd,prefix_parity_reverse,student/work/ex280_ex284_frontend_bdd_parity_key_20260608_1735/ex281/verilog/ex281_unknown_bdd_key_prefix_parity_reverse.v,student/work/ex280_ex284_frontend_bdd_parity_key_20260608_1735/ex281/aigs/ex281_unknown_bdd_key_prefix_parity_reverse.aig,1,1,1,3990,28,111720,3.210,transform=prefix_parity; order_name=reverse; order=12:11:10:9:8:7:6:5:4:3:2:1:0; bdd_nodes=2340; hash=8872baa63dd7,unknown transformed-key shared-BDD Verilog seed
ex281,ex281_unknown_bdd_key_prefix_parity_center,unknown_transformed_key_bdd,prefix_parity_center,student/work/ex280_ex284_frontend_bdd_parity_key_20260608_1735/ex281/verilog/ex281_unknown_bdd_key_prefix_parity_center.v,student/work/ex280_ex284_frontend_bdd_parity_key_20260608_1735/ex281/aigs/ex281_unknown_bdd_key_prefix_parity_center.aig,1,1,1,1103,46,50738,2.618,transform=prefix_parity; order_name=center; order=6:7:5:8:4:9:3:10:2:11:1:12:0; bdd_nodes=617; hash=07d2c4d3c482,unknown transformed-key shared-BDD Verilog seed
ex281,ex281_unknown_bdd_key_suffix_parity_interleave,unknown_transformed_key_bdd,suffix_parity_interleave,student/work/ex280_ex284_frontend_bdd_parity_key_20260608_1735/ex281/verilog/ex281_unknown_bdd_key_suffix_parity_interleave.v,student/work/ex280_ex284_frontend_bdd_parity_key_20260608_1735/ex281/aigs/ex281_unknown_bdd_key_suffix_parity_interleave.aig,1,1,1,1681,35,58835,1.516,transform=suffix_parity; order_name=interleave; order=0:12:1:11:2:10:3:9:4:8:5:7:6; bdd_nodes=1081; hash=ab20d400c920,unknown transformed-key shared-BDD Verilog seed
ex281,ex281_unknown_bdd_key_suffix_parity_natural,unknown_transformed_key_bdd,suffix_parity_natural,student/work/ex280_ex284_frontend_bdd_parity_key_20260608_1735/ex281/verilog/ex281_unknown_bdd_key_suffix_parity_natural.v,student/work/ex280_ex284_frontend_bdd_parity_key_20260608_1735/ex281/aigs/ex281_unknown_bdd_key_suffix_parity_natural.aig,1,1,1,5677,29,164633,2.878,transform=suffix_parity; order_name=natural; order=0:1:2:3:4:5:6:7:8:9:10:11:12; bdd_nodes=3301; hash=ea917b033ce3,unknown transformed-key shared-BDD Verilog seed
ex281,ex281_unknown_bdd_key_suffix_parity_reverse,unknown_transformed_key_bdd,suffix_parity_reverse,student/work/ex280_ex284_frontend_bdd_parity_key_20260608_1735/ex281/verilog/ex281_unknown_bdd_key_suffix_parity_reverse.v,student/work/ex280_ex284_frontend_bdd_parity_key_20260608_1735/ex281/aigs/ex281_unknown_bdd_key_suffix_parity_reverse.aig,1,1,1,4650,44,204600,2.528,transform=suffix_parity; order_name=reverse; order=12:11:10:9:8:7:6:5:4:3:2:1:0; bdd_nodes=2748; hash=88fc2c191846,unknown transformed-key shared-BDD Verilog seed
ex281,ex281_unknown_bdd_key_suffix_parity_center,unknown_transformed_key_bdd,suffix_parity_center,student/work/ex280_ex284_frontend_bdd_parity_key_20260608_1735/ex281/verilog/ex281_unknown_bdd_key_suffix_parity_center.v,student/work/ex280_ex284_frontend_bdd_parity_key_20260608_1735/ex281/aigs/ex281_unknown_bdd_key_suffix_parity_center.aig,1,1,1,2437,46,112102,1.740,transform=suffix_parity; order_name=center; order=6:7:5:8:4:9:3:10:2:11:1:12:0; bdd_nodes=1314; hash=07acfc908e22,unknown transformed-key shared-BDD Verilog seed
ex282,ex282_unknown_bdd_key_prefix_parity_interleave,unknown_transformed_key_bdd,prefix_parity_interleave,student/work/ex280_ex284_frontend_bdd_parity_key_20260608_1735/ex282/verilog/ex282_unknown_bdd_key_prefix_parity_interleave.v,student/work/ex280_ex284_frontend_bdd_parity_key_20260608_1735/ex282/aigs/ex282_unknown_bdd_key_prefix_parity_interleave.aig,1,1,1,1082,40,43280,2.277,transform=prefix_parity; order_name=interleave; order=0:13:1:12:2:11:3:10:4:9:5:8:6:7; bdd_nodes=605; hash=34fa5d518cfc,unknown transformed-key shared-BDD Verilog seed
ex282,ex282_unknown_bdd_key_prefix_parity_natural,unknown_transformed_key_bdd,prefix_parity_natural,student/work/ex280_ex284_frontend_bdd_parity_key_20260608_1735/ex282/verilog/ex282_unknown_bdd_key_prefix_parity_natural.v,student/work/ex280_ex284_frontend_bdd_parity_key_20260608_1735/ex282/aigs/ex282_unknown_bdd_key_prefix_parity_natural.aig,1,1,1,5718,46,263028,4.051,transform=prefix_parity; order_name=natural; order=0:1:2:3:4:5:6:7:8:9:10:11:12:13; bdd_nodes=3706; hash=02f45ae5c206,unknown transformed-key shared-BDD Verilog seed
ex282,ex282_unknown_bdd_key_prefix_parity_reverse,unknown_transformed_key_bdd,prefix_parity_reverse,student/work/ex280_ex284_frontend_bdd_parity_key_20260608_1735/ex282/verilog/ex282_unknown_bdd_key_prefix_parity_reverse.v,student/work/ex280_ex284_frontend_bdd_parity_key_20260608_1735/ex282/aigs/ex282_unknown_bdd_key_prefix_parity_reverse.aig,1,1,1,5660,29,164140,3.927,transform=prefix_parity; order_name=reverse; order=13:12:11:10:9:8:7:6:5:4:3:2:1:0; bdd_nodes=3436; hash=48f42b76da0d,unknown transformed-key shared-BDD Verilog seed
