case,candidate_id,hypothesis,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,runtime_sec,classification,notes
ex275,ex275_isqrt_radix4_prio_abc_g_aig,unsigned_floor_isqrt,radix4_prio+abc_g_aig,student/work/ex275_ex279_frontend_isqrt_radix_prio_bdd_20260609_1551/ex275/verilog/ex275_isqrt_radix4_prio.v,student/work/ex275_ex279_frontend_isqrt_radix_prio_bdd_20260609_1551/ex275/aigs/ex275_isqrt_radix4_prio_abc_g_aig.aig,1,1,1,52,13,676,204,3.313725,0,0,0.267,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=radix4_prio; flow=abc_g_aig
ex275,ex275_isqrt_radix4_prio_wreduce_abc_g_aig,unsigned_floor_isqrt,radix4_prio+wreduce_abc_g_aig,student/work/ex275_ex279_frontend_isqrt_radix_prio_bdd_20260609_1551/ex275/verilog/ex275_isqrt_radix4_prio.v,student/work/ex275_ex279_frontend_isqrt_radix_prio_bdd_20260609_1551/ex275/aigs/ex275_isqrt_radix4_prio_wreduce_abc_g_aig.aig,1,1,1,52,12,624,204,3.058824,0,0,0.286,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=radix4_prio; flow=wreduce_abc_g_aig
ex275,ex275_isqrt_radix4_prio_arith_wreduce_aig,unsigned_floor_isqrt,radix4_prio+arith_wreduce_aig,student/work/ex275_ex279_frontend_isqrt_radix_prio_bdd_20260609_1551/ex275/verilog/ex275_isqrt_radix4_prio.v,student/work/ex275_ex279_frontend_isqrt_radix_prio_bdd_20260609_1551/ex275/aigs/ex275_isqrt_radix4_prio_arith_wreduce_aig.aig,1,1,1,52,13,676,204,3.313725,0,0,0.288,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=radix4_prio; flow=arith_wreduce_aig
ex275,ex275_isqrt_radix4_prio_synth_preset,unsigned_floor_isqrt,radix4_prio+synth_preset,student/work/ex275_ex279_frontend_isqrt_radix_prio_bdd_20260609_1551/ex275/verilog/ex275_isqrt_radix4_prio.v,student/work/ex275_ex279_frontend_isqrt_radix_prio_bdd_20260609_1551/ex275/aigs/ex275_isqrt_radix4_prio_synth_preset.aig,1,1,1,51,13,663,204,3.250000,0,0,0.333,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=radix4_prio; flow=synth_preset
ex275,ex275_isqrt_radix8_prio_abc_g_aig,unsigned_floor_isqrt,radix8_prio+abc_g_aig,student/work/ex275_ex279_frontend_isqrt_radix_prio_bdd_20260609_1551/ex275/verilog/ex275_isqrt_radix8_prio.v,student/work/ex275_ex279_frontend_isqrt_radix_prio_bdd_20260609_1551/ex275/aigs/ex275_isqrt_radix8_prio_abc_g_aig.aig,1,1,1,49,11,539,204,2.642157,0,0,0.310,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=radix8_prio; flow=abc_g_aig
ex275,ex275_isqrt_radix8_prio_wreduce_abc_g_aig,unsigned_floor_isqrt,radix8_prio+wreduce_abc_g_aig,student/work/ex275_ex279_frontend_isqrt_radix_prio_bdd_20260609_1551/ex275/verilog/ex275_isqrt_radix8_prio.v,student/work/ex275_ex279_frontend_isqrt_radix_prio_bdd_20260609_1551/ex275/aigs/ex275_isqrt_radix8_prio_wreduce_abc_g_aig.aig,1,1,1,51,11,561,204,2.750000,0,0,0.303,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=radix8_prio; flow=wreduce_abc_g_aig
ex275,ex275_isqrt_radix8_prio_arith_wreduce_aig,unsigned_floor_isqrt,radix8_prio+arith_wreduce_aig,student/work/ex275_ex279_frontend_isqrt_radix_prio_bdd_20260609_1551/ex275/verilog/ex275_isqrt_radix8_prio.v,student/work/ex275_ex279_frontend_isqrt_radix_prio_bdd_20260609_1551/ex275/aigs/ex275_isqrt_radix8_prio_arith_wreduce_aig.aig,1,1,1,48,11,528,204,2.588235,0,0,0.304,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=radix8_prio; flow=arith_wreduce_aig
ex275,ex275_isqrt_radix8_prio_synth_preset,unsigned_floor_isqrt,radix8_prio+synth_preset,student/work/ex275_ex279_frontend_isqrt_radix_prio_bdd_20260609_1551/ex275/verilog/ex275_isqrt_radix8_prio.v,student/work/ex275_ex279_frontend_isqrt_radix_prio_bdd_20260609_1551/ex275/aigs/ex275_isqrt_radix8_prio_synth_preset.aig,1,1,1,48,11,528,204,2.588235,0,0,0.343,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=radix8_prio; flow=synth_preset
ex275,ex275_isqrt_radix16_prio_abc_g_aig,unsigned_floor_isqrt,radix16_prio+abc_g_aig,student/work/ex275_ex279_frontend_isqrt_radix_prio_bdd_20260609_1551/ex275/verilog/ex275_isqrt_radix16_prio.v,student/work/ex275_ex279_frontend_isqrt_radix_prio_bdd_20260609_1551/ex275/aigs/ex275_isqrt_radix16_prio_abc_g_aig.aig,1,1,1,49,10,490,204,2.401961,0,0,0.309,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=radix16_prio; flow=abc_g_aig
ex275,ex275_isqrt_radix16_prio_wreduce_abc_g_aig,unsigned_floor_isqrt,radix16_prio+wreduce_abc_g_aig,student/work/ex275_ex279_frontend_isqrt_radix_prio_bdd_20260609_1551/ex275/verilog/ex275_isqrt_radix16_prio.v,student/work/ex275_ex279_frontend_isqrt_radix_prio_bdd_20260609_1551/ex275/aigs/ex275_isqrt_radix16_prio_wreduce_abc_g_aig.aig,1,1,1,49,10,490,204,2.401961,0,0,0.279,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=radix16_prio; flow=wreduce_abc_g_aig
ex275,ex275_isqrt_radix16_prio_arith_wreduce_aig,unsigned_floor_isqrt,radix16_prio+arith_wreduce_aig,student/work/ex275_ex279_frontend_isqrt_radix_prio_bdd_20260609_1551/ex275/verilog/ex275_isqrt_radix16_prio.v,student/work/ex275_ex279_frontend_isqrt_radix_prio_bdd_20260609_1551/ex275/aigs/ex275_isqrt_radix16_prio_arith_wreduce_aig.aig,1,1,1,49,10,490,204,2.401961,0,0,0.281,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=radix16_prio; flow=arith_wreduce_aig
