case,domain,agent_id,candidate_id,equivalent,area,delay,adp,verilog_path,aig_path,evaluate_log,notes
ex247,float_fp8,local-fp8-iter-r34,ex247_r34_resyn2rs_area_from_frontend_best,1,322,23,7406,student/work/ex200_ex299_frontend_refgap_round8_20260612_1826/fp8-r8/ex247/verilog/ex247_round5_bound_region_mux.v,student/work/ex240_ex249_frontend_gt2_iter_remap_round34_20260613_0752/local-fp8-iter-r34/ex247/aigs/ex247_r34_resyn2rs_area_from_frontend_best.aig,student/work/ex240_ex249_frontend_gt2_iter_remap_round34_20260613_0752/local-fp8-iter-r34/ex247/logs/ex247_r34_resyn2rs_area_from_frontend_best.evaluate.py.log,official evaluate.py OK; abc_log=student/work/ex240_ex249_frontend_gt2_iter_remap_round34_20260613_0752/local-fp8-iter-r34/ex247/logs/ex247_r34_resyn2rs_area_from_frontend_best.abc.log; gen_sec=0.105; eval_sec=0.462; flow=strash; balance; resub -K 6; rewrite; resub -K 6 -N 2; refactor; resub -K 8; balance; resub -K 8 -N 2; rewrite; resub -K 10; rewrite -z; resub -K 10 -N 2; balance; resub -K 12; refactor -z; resub -K 12 -N 2; rewrite -z; balance
ex247,float_fp8,local-fp8-iter-r34,ex247_r34_compress2rs_area_from_frontend_best,1,318,23,7314,student/work/ex200_ex299_frontend_refgap_round8_20260612_1826/fp8-r8/ex247/verilog/ex247_round5_bound_region_mux.v,student/work/ex240_ex249_frontend_gt2_iter_remap_round34_20260613_0752/local-fp8-iter-r34/ex247/aigs/ex247_r34_compress2rs_area_from_frontend_best.aig,student/work/ex240_ex249_frontend_gt2_iter_remap_round34_20260613_0752/local-fp8-iter-r34/ex247/logs/ex247_r34_compress2rs_area_from_frontend_best.evaluate.py.log,official evaluate.py OK; abc_log=student/work/ex240_ex249_frontend_gt2_iter_remap_round34_20260613_0752/local-fp8-iter-r34/ex247/logs/ex247_r34_compress2rs_area_from_frontend_best.abc.log; gen_sec=0.106; eval_sec=0.445; flow=strash; balance -l; resub -K 6 -l; rewrite -l; resub -K 6 -N 2 -l; refactor -l; resub -K 8 -l; balance -l; resub -K 8 -N 2 -l; rewrite -l; resub -K 10 -l; rewrite -z -l; resub -K 10 -N 2 -l; balance -l; resub -K 12 -l; refactor -z -l; resub -K 12 -N 2 -l; rewrite -z -l; balance -l
ex247,float_fp8,local-fp8-iter-r34,ex247_r34_dchoice_dc2_from_frontend_best,1,323,23,7429,student/work/ex200_ex299_frontend_refgap_round8_20260612_1826/fp8-r8/ex247/verilog/ex247_round5_bound_region_mux.v,student/work/ex240_ex249_frontend_gt2_iter_remap_round34_20260613_0752/local-fp8-iter-r34/ex247/aigs/ex247_r34_dchoice_dc2_from_frontend_best.aig,student/work/ex240_ex249_frontend_gt2_iter_remap_round34_20260613_0752/local-fp8-iter-r34/ex247/logs/ex247_r34_dchoice_dc2_from_frontend_best.evaluate.py.log,official evaluate.py OK; abc_log=student/work/ex240_ex249_frontend_gt2_iter_remap_round34_20260613_0752/local-fp8-iter-r34/ex247/logs/ex247_r34_dchoice_dc2_from_frontend_best.abc.log; gen_sec=0.064; eval_sec=0.440; flow=strash; dchoice; dc2; balance
ex247,float_fp8,local-fp8-iter-r34,ex247_r34_compress_l_no_dc_from_frontend_best,1,324,23,7452,student/work/ex200_ex299_frontend_refgap_round8_20260612_1826/fp8-r8/ex247/verilog/ex247_round5_bound_region_mux.v,student/work/ex240_ex249_frontend_gt2_iter_remap_round34_20260613_0752/local-fp8-iter-r34/ex247/aigs/ex247_r34_compress_l_no_dc_from_frontend_best.aig,student/work/ex240_ex249_frontend_gt2_iter_remap_round34_20260613_0752/local-fp8-iter-r34/ex247/logs/ex247_r34_compress_l_no_dc_from_frontend_best.evaluate.py.log,official evaluate.py OK; abc_log=student/work/ex240_ex249_frontend_gt2_iter_remap_round34_20260613_0752/local-fp8-iter-r34/ex247/logs/ex247_r34_compress_l_no_dc_from_frontend_best.abc.log; gen_sec=0.069; eval_sec=0.444; flow=strash; balance -l; rewrite -l; refactor -l; rewrite -z -l; refactor -z -l; balance -l
ex247,float_fp8,local-fp8-iter-r34,ex247_r34_resub_deep_rf_from_frontend_best,1,323,23,7429,student/work/ex200_ex299_frontend_refgap_round8_20260612_1826/fp8-r8/ex247/verilog/ex247_round5_bound_region_mux.v,student/work/ex240_ex249_frontend_gt2_iter_remap_round34_20260613_0752/local-fp8-iter-r34/ex247/aigs/ex247_r34_resub_deep_rf_from_frontend_best.aig,student/work/ex240_ex249_frontend_gt2_iter_remap_round34_20260613_0752/local-fp8-iter-r34/ex247/logs/ex247_r34_resub_deep_rf_from_frontend_best.evaluate.py.log,official evaluate.py OK; abc_log=student/work/ex240_ex249_frontend_gt2_iter_remap_round34_20260613_0752/local-fp8-iter-r34/ex247/logs/ex247_r34_resub_deep_rf_from_frontend_best.abc.log; gen_sec=0.075; eval_sec=0.442; flow=strash; resub -K 8 -N 2; resub -K 10 -N 2; rewrite -z; refactor -z; balance
ex246,float_fp8,local-fp8-iter-r34,ex246_r34_resyn2rs_area_from_frontend_best,1,328,21,6888,student/work/ex246_frontend_fp8_e5m2_dc_neighbor12_20260608_2000/ex246/verilog/ex246_semantic_mul_product_dc_seed12_set11to10.v,student/work/ex240_ex249_frontend_gt2_iter_remap_round34_20260613_0752/local-fp8-iter-r34/ex246/aigs/ex246_r34_resyn2rs_area_from_frontend_best.aig,student/work/ex240_ex249_frontend_gt2_iter_remap_round34_20260613_0752/local-fp8-iter-r34/ex246/logs/ex246_r34_resyn2rs_area_from_frontend_best.evaluate.py.log,official evaluate.py OK; abc_log=student/work/ex240_ex249_frontend_gt2_iter_remap_round34_20260613_0752/local-fp8-iter-r34/ex246/logs/ex246_r34_resyn2rs_area_from_frontend_best.abc.log; gen_sec=0.099; eval_sec=0.443; flow=strash; balance; resub -K 6; rewrite; resub -K 6 -N 2; refactor; resub -K 8; balance; resub -K 8 -N 2; rewrite; resub -K 10; rewrite -z; resub -K 10 -N 2; balance; resub -K 12; refactor -z; resub -K 12 -N 2; rewrite -z; balance
ex246,float_fp8,local-fp8-iter-r34,ex246_r34_compress2rs_area_from_frontend_best,1,328,22,7216,student/work/ex246_frontend_fp8_e5m2_dc_neighbor12_20260608_2000/ex246/verilog/ex246_semantic_mul_product_dc_seed12_set11to10.v,student/work/ex240_ex249_frontend_gt2_iter_remap_round34_20260613_0752/local-fp8-iter-r34/ex246/aigs/ex246_r34_compress2rs_area_from_frontend_best.aig,student/work/ex240_ex249_frontend_gt2_iter_remap_round34_20260613_0752/local-fp8-iter-r34/ex246/logs/ex246_r34_compress2rs_area_from_frontend_best.evaluate.py.log,official evaluate.py OK; abc_log=student/work/ex240_ex249_frontend_gt2_iter_remap_round34_20260613_0752/local-fp8-iter-r34/ex246/logs/ex246_r34_compress2rs_area_from_frontend_best.abc.log; gen_sec=0.127; eval_sec=0.450; flow=strash; balance -l; resub -K 6 -l; rewrite -l; resub -K 6 -N 2 -l; refactor -l; resub -K 8 -l; balance -l; resub -K 8 -N 2 -l; rewrite -l; resub -K 10 -l; rewrite -z -l; resub -K 10 -N 2 -l; balance -l; resub -K 12 -l; refactor -z -l; resub -K 12 -N 2 -l; rewrite -z -l; balance -l
ex246,float_fp8,local-fp8-iter-r34,ex246_r34_dchoice_dc2_from_frontend_best,1,328,22,7216,student/work/ex246_frontend_fp8_e5m2_dc_neighbor12_20260608_2000/ex246/verilog/ex246_semantic_mul_product_dc_seed12_set11to10.v,student/work/ex240_ex249_frontend_gt2_iter_remap_round34_20260613_0752/local-fp8-iter-r34/ex246/aigs/ex246_r34_dchoice_dc2_from_frontend_best.aig,student/work/ex240_ex249_frontend_gt2_iter_remap_round34_20260613_0752/local-fp8-iter-r34/ex246/logs/ex246_r34_dchoice_dc2_from_frontend_best.evaluate.py.log,official evaluate.py OK; abc_log=student/work/ex240_ex249_frontend_gt2_iter_remap_round34_20260613_0752/local-fp8-iter-r34/ex246/logs/ex246_r34_dchoice_dc2_from_frontend_best.abc.log; gen_sec=0.063; eval_sec=0.448; flow=strash; dchoice; dc2; balance
ex246,float_fp8,local-fp8-iter-r34,ex246_r34_compress_l_no_dc_from_frontend_best,1,327,22,7194,student/work/ex246_frontend_fp8_e5m2_dc_neighbor12_20260608_2000/ex246/verilog/ex246_semantic_mul_product_dc_seed12_set11to10.v,student/work/ex240_ex249_frontend_gt2_iter_remap_round34_20260613_0752/local-fp8-iter-r34/ex246/aigs/ex246_r34_compress_l_no_dc_from_frontend_best.aig,student/work/ex240_ex249_frontend_gt2_iter_remap_round34_20260613_0752/local-fp8-iter-r34/ex246/logs/ex246_r34_compress_l_no_dc_from_frontend_best.evaluate.py.log,official evaluate.py OK; abc_log=student/work/ex240_ex249_frontend_gt2_iter_remap_round34_20260613_0752/local-fp8-iter-r34/ex246/logs/ex246_r34_compress_l_no_dc_from_frontend_best.abc.log; gen_sec=0.070; eval_sec=0.448; flow=strash; balance -l; rewrite -l; refactor -l; rewrite -z -l; refactor -z -l; balance -l
ex246,float_fp8,local-fp8-iter-r34,ex246_r34_resub_deep_rf_from_frontend_best,1,328,21,6888,student/work/ex246_frontend_fp8_e5m2_dc_neighbor12_20260608_2000/ex246/verilog/ex246_semantic_mul_product_dc_seed12_set11to10.v,student/work/ex240_ex249_frontend_gt2_iter_remap_round34_20260613_0752/local-fp8-iter-r34/ex246/aigs/ex246_r34_resub_deep_rf_from_frontend_best.aig,student/work/ex240_ex249_frontend_gt2_iter_remap_round34_20260613_0752/local-fp8-iter-r34/ex246/logs/ex246_r34_resub_deep_rf_from_frontend_best.evaluate.py.log,official evaluate.py OK; abc_log=student/work/ex240_ex249_frontend_gt2_iter_remap_round34_20260613_0752/local-fp8-iter-r34/ex246/logs/ex246_r34_resub_deep_rf_from_frontend_best.abc.log; gen_sec=0.070; eval_sec=0.446; flow=strash; resub -K 8 -N 2; resub -K 10 -N 2; rewrite -z; refactor -z; balance
