case,domain,agent_id,candidate_id,simulation_pass,log_path,notes
ex247,float_fp8,local-fp8-iter-r34,ex247_r34_resyn2rs_area_from_frontend_best,not_run,,AIG-preserving ABC remap; official evaluate.py is final
ex247,float_fp8,local-fp8-iter-r34,ex247_r34_compress2rs_area_from_frontend_best,not_run,,AIG-preserving ABC remap; official evaluate.py is final
ex247,float_fp8,local-fp8-iter-r34,ex247_r34_mfs_dc2_from_frontend_best,not_run,,AIG-preserving ABC remap; official evaluate.py is final
ex247,float_fp8,local-fp8-iter-r34,ex247_r34_mfs_rwz_mfs_from_frontend_best,not_run,,AIG-preserving ABC remap; official evaluate.py is final
ex247,float_fp8,local-fp8-iter-r34,ex247_r34_ssw_dc2_from_frontend_best,not_run,,AIG-preserving ABC remap; official evaluate.py is final
ex247,float_fp8,local-fp8-iter-r34,ex247_r34_fraig_mfs_dc2_from_frontend_best,not_run,,AIG-preserving ABC remap; official evaluate.py is final
ex247,float_fp8,local-fp8-iter-r34,ex247_r34_dchoice_dc2_from_frontend_best,not_run,,AIG-preserving ABC remap; official evaluate.py is final
ex247,float_fp8,local-fp8-iter-r34,ex247_r34_choice_if4_dc2_from_frontend_best,not_run,,AIG-preserving ABC remap; official evaluate.py is final
ex247,float_fp8,local-fp8-iter-r34,ex247_r34_compress_l_no_dc_from_frontend_best,not_run,,AIG-preserving ABC remap; official evaluate.py is final
ex247,float_fp8,local-fp8-iter-r34,ex247_r34_resub_deep_rf_from_frontend_best,not_run,,AIG-preserving ABC remap; official evaluate.py is final
ex246,float_fp8,local-fp8-iter-r34,ex246_r34_resyn2rs_area_from_frontend_best,not_run,,AIG-preserving ABC remap; official evaluate.py is final
ex246,float_fp8,local-fp8-iter-r34,ex246_r34_compress2rs_area_from_frontend_best,not_run,,AIG-preserving ABC remap; official evaluate.py is final
ex246,float_fp8,local-fp8-iter-r34,ex246_r34_mfs_dc2_from_frontend_best,not_run,,AIG-preserving ABC remap; official evaluate.py is final
ex246,float_fp8,local-fp8-iter-r34,ex246_r34_mfs_rwz_mfs_from_frontend_best,not_run,,AIG-preserving ABC remap; official evaluate.py is final
ex246,float_fp8,local-fp8-iter-r34,ex246_r34_ssw_dc2_from_frontend_best,not_run,,AIG-preserving ABC remap; official evaluate.py is final
ex246,float_fp8,local-fp8-iter-r34,ex246_r34_fraig_mfs_dc2_from_frontend_best,not_run,,AIG-preserving ABC remap; official evaluate.py is final
ex246,float_fp8,local-fp8-iter-r34,ex246_r34_dchoice_dc2_from_frontend_best,not_run,,AIG-preserving ABC remap; official evaluate.py is final
ex246,float_fp8,local-fp8-iter-r34,ex246_r34_choice_if4_dc2_from_frontend_best,not_run,,AIG-preserving ABC remap; official evaluate.py is final
ex246,float_fp8,local-fp8-iter-r34,ex246_r34_compress_l_no_dc_from_frontend_best,not_run,,AIG-preserving ABC remap; official evaluate.py is final
ex246,float_fp8,local-fp8-iter-r34,ex246_r34_resub_deep_rf_from_frontend_best,not_run,,AIG-preserving ABC remap; official evaluate.py is final
ex240,float_fp8,local-fp8-iter-r34,ex240_r34_resyn2rs_area_from_frontend_best,not_run,,AIG-preserving ABC remap; official evaluate.py is final
ex240,float_fp8,local-fp8-iter-r34,ex240_r34_compress2rs_area_from_frontend_best,not_run,,AIG-preserving ABC remap; official evaluate.py is final
ex240,float_fp8,local-fp8-iter-r34,ex240_r34_mfs_dc2_from_frontend_best,not_run,,AIG-preserving ABC remap; official evaluate.py is final
ex240,float_fp8,local-fp8-iter-r34,ex240_r34_mfs_rwz_mfs_from_frontend_best,not_run,,AIG-preserving ABC remap; official evaluate.py is final
ex240,float_fp8,local-fp8-iter-r34,ex240_r34_ssw_dc2_from_frontend_best,not_run,,AIG-preserving ABC remap; official evaluate.py is final
ex240,float_fp8,local-fp8-iter-r34,ex240_r34_fraig_mfs_dc2_from_frontend_best,not_run,,AIG-preserving ABC remap; official evaluate.py is final
ex240,float_fp8,local-fp8-iter-r34,ex240_r34_dchoice_dc2_from_frontend_best,not_run,,AIG-preserving ABC remap; official evaluate.py is final
ex240,float_fp8,local-fp8-iter-r34,ex240_r34_choice_if4_dc2_from_frontend_best,not_run,,AIG-preserving ABC remap; official evaluate.py is final
ex240,float_fp8,local-fp8-iter-r34,ex240_r34_compress_l_no_dc_from_frontend_best,not_run,,AIG-preserving ABC remap; official evaluate.py is final
