case,candidate_id,equivalent,area,delay,adp,aig_path,notes
ex266,ex266_udiv_binary_search_product_abc_g_aig,1,122,38,4636,student/work/ex266_ex267_ex269_frontend_udiv_binary_search_20260609_1240/ex266/aigs/ex266_udiv_binary_search_product_abc_g_aig.aig,unsigned low5_high5:a/b dbz=max exact; source=binary_search_product; flow=abc_g_aig
ex266,ex266_udiv_binary_search_product_wreduce_abc_g_aig,1,125,40,5000,student/work/ex266_ex267_ex269_frontend_udiv_binary_search_20260609_1240/ex266/aigs/ex266_udiv_binary_search_product_wreduce_abc_g_aig.aig,unsigned low5_high5:a/b dbz=max exact; source=binary_search_product; flow=wreduce_abc_g_aig
ex266,ex266_udiv_binary_search_product_synth_preset,1,121,38,4598,student/work/ex266_ex267_ex269_frontend_udiv_binary_search_20260609_1240/ex266/aigs/ex266_udiv_binary_search_product_synth_preset.aig,unsigned low5_high5:a/b dbz=max exact; source=binary_search_product; flow=synth_preset
ex266,ex266_udiv_binary_search_shiftadd_abc_g_aig,1,128,37,4736,student/work/ex266_ex267_ex269_frontend_udiv_binary_search_20260609_1240/ex266/aigs/ex266_udiv_binary_search_shiftadd_abc_g_aig.aig,unsigned low5_high5:a/b dbz=max exact; source=binary_search_shiftadd; flow=abc_g_aig
ex266,ex266_udiv_binary_search_shiftadd_wreduce_abc_g_aig,1,126,35,4410,student/work/ex266_ex267_ex269_frontend_udiv_binary_search_20260609_1240/ex266/aigs/ex266_udiv_binary_search_shiftadd_wreduce_abc_g_aig.aig,unsigned low5_high5:a/b dbz=max exact; source=binary_search_shiftadd; flow=wreduce_abc_g_aig
ex266,ex266_udiv_binary_search_shiftadd_synth_preset,1,113,38,4294,student/work/ex266_ex267_ex269_frontend_udiv_binary_search_20260609_1240/ex266/aigs/ex266_udiv_binary_search_shiftadd_synth_preset.aig,unsigned low5_high5:a/b dbz=max exact; source=binary_search_shiftadd; flow=synth_preset
ex266,ex266_udiv_binary_search_shiftadd_gt_guard_abc_g_aig,1,129,36,4644,student/work/ex266_ex267_ex269_frontend_udiv_binary_search_20260609_1240/ex266/aigs/ex266_udiv_binary_search_shiftadd_gt_guard_abc_g_aig.aig,unsigned low5_high5:a/b dbz=max exact; source=binary_search_shiftadd_gt_guard; flow=abc_g_aig
ex266,ex266_udiv_binary_search_shiftadd_gt_guard_wreduce_abc_g_aig,1,125,39,4875,student/work/ex266_ex267_ex269_frontend_udiv_binary_search_20260609_1240/ex266/aigs/ex266_udiv_binary_search_shiftadd_gt_guard_wreduce_abc_g_aig.aig,unsigned low5_high5:a/b dbz=max exact; source=binary_search_shiftadd_gt_guard; flow=wreduce_abc_g_aig
ex266,ex266_udiv_binary_search_shiftadd_gt_guard_synth_preset,1,114,39,4446,student/work/ex266_ex267_ex269_frontend_udiv_binary_search_20260609_1240/ex266/aigs/ex266_udiv_binary_search_shiftadd_gt_guard_synth_preset.aig,unsigned low5_high5:a/b dbz=max exact; source=binary_search_shiftadd_gt_guard; flow=synth_preset
ex267,ex267_udiv_binary_search_product_abc_g_aig,1,209,60,12540,student/work/ex266_ex267_ex269_frontend_udiv_binary_search_20260609_1240/ex267/aigs/ex267_udiv_binary_search_product_abc_g_aig.aig,unsigned low6_high6:a/b dbz=max exact; source=binary_search_product; flow=abc_g_aig
ex267,ex267_udiv_binary_search_product_wreduce_abc_g_aig,1,211,57,12027,student/work/ex266_ex267_ex269_frontend_udiv_binary_search_20260609_1240/ex267/aigs/ex267_udiv_binary_search_product_wreduce_abc_g_aig.aig,unsigned low6_high6:a/b dbz=max exact; source=binary_search_product; flow=wreduce_abc_g_aig
