case,candidate_id,hypothesis,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,runtime_sec,classification,notes
ex266,ex266_udiv_binary_search_product_abc_g_aig,unsigned low5_high5:a/b dbz=max,binary_search_product+abc_g_aig,student/work/ex266_ex267_ex269_frontend_udiv_binary_search_20260609_1240/ex266/verilog/ex266_udiv_binary_search_product.v,student/work/ex266_ex267_ex269_frontend_udiv_binary_search_20260609_1240/ex266/aigs/ex266_udiv_binary_search_product_abc_g_aig.aig,1,1,1,122,38,4636,848,5.466981,0,0,0.288,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=binary_search_product; flow=abc_g_aig
ex266,ex266_udiv_binary_search_product_wreduce_abc_g_aig,unsigned low5_high5:a/b dbz=max,binary_search_product+wreduce_abc_g_aig,student/work/ex266_ex267_ex269_frontend_udiv_binary_search_20260609_1240/ex266/verilog/ex266_udiv_binary_search_product.v,student/work/ex266_ex267_ex269_frontend_udiv_binary_search_20260609_1240/ex266/aigs/ex266_udiv_binary_search_product_wreduce_abc_g_aig.aig,1,1,1,125,40,5000,848,5.896226,0,0,0.330,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=binary_search_product; flow=wreduce_abc_g_aig
ex266,ex266_udiv_binary_search_product_synth_preset,unsigned low5_high5:a/b dbz=max,binary_search_product+synth_preset,student/work/ex266_ex267_ex269_frontend_udiv_binary_search_20260609_1240/ex266/verilog/ex266_udiv_binary_search_product.v,student/work/ex266_ex267_ex269_frontend_udiv_binary_search_20260609_1240/ex266/aigs/ex266_udiv_binary_search_product_synth_preset.aig,1,1,1,121,38,4598,848,5.422170,0,0,0.349,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=binary_search_product; flow=synth_preset
ex266,ex266_udiv_binary_search_shiftadd_abc_g_aig,unsigned low5_high5:a/b dbz=max,binary_search_shiftadd+abc_g_aig,student/work/ex266_ex267_ex269_frontend_udiv_binary_search_20260609_1240/ex266/verilog/ex266_udiv_binary_search_shiftadd.v,student/work/ex266_ex267_ex269_frontend_udiv_binary_search_20260609_1240/ex266/aigs/ex266_udiv_binary_search_shiftadd_abc_g_aig.aig,1,1,1,128,37,4736,848,5.584906,0,0,0.308,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=binary_search_shiftadd; flow=abc_g_aig
ex266,ex266_udiv_binary_search_shiftadd_wreduce_abc_g_aig,unsigned low5_high5:a/b dbz=max,binary_search_shiftadd+wreduce_abc_g_aig,student/work/ex266_ex267_ex269_frontend_udiv_binary_search_20260609_1240/ex266/verilog/ex266_udiv_binary_search_shiftadd.v,student/work/ex266_ex267_ex269_frontend_udiv_binary_search_20260609_1240/ex266/aigs/ex266_udiv_binary_search_shiftadd_wreduce_abc_g_aig.aig,1,1,1,126,35,4410,848,5.200472,0,0,0.318,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=binary_search_shiftadd; flow=wreduce_abc_g_aig
ex266,ex266_udiv_binary_search_shiftadd_synth_preset,unsigned low5_high5:a/b dbz=max,binary_search_shiftadd+synth_preset,student/work/ex266_ex267_ex269_frontend_udiv_binary_search_20260609_1240/ex266/verilog/ex266_udiv_binary_search_shiftadd.v,student/work/ex266_ex267_ex269_frontend_udiv_binary_search_20260609_1240/ex266/aigs/ex266_udiv_binary_search_shiftadd_synth_preset.aig,1,1,1,113,38,4294,848,5.063679,0,0,0.412,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=binary_search_shiftadd; flow=synth_preset
ex266,ex266_udiv_binary_search_shiftadd_gt_guard_abc_g_aig,unsigned low5_high5:a/b dbz=max,binary_search_shiftadd_gt_guard+abc_g_aig,student/work/ex266_ex267_ex269_frontend_udiv_binary_search_20260609_1240/ex266/verilog/ex266_udiv_binary_search_shiftadd_gt_guard.v,student/work/ex266_ex267_ex269_frontend_udiv_binary_search_20260609_1240/ex266/aigs/ex266_udiv_binary_search_shiftadd_gt_guard_abc_g_aig.aig,1,1,1,129,36,4644,848,5.476415,0,0,0.309,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=binary_search_shiftadd_gt_guard; flow=abc_g_aig
ex266,ex266_udiv_binary_search_shiftadd_gt_guard_wreduce_abc_g_aig,unsigned low5_high5:a/b dbz=max,binary_search_shiftadd_gt_guard+wreduce_abc_g_aig,student/work/ex266_ex267_ex269_frontend_udiv_binary_search_20260609_1240/ex266/verilog/ex266_udiv_binary_search_shiftadd_gt_guard.v,student/work/ex266_ex267_ex269_frontend_udiv_binary_search_20260609_1240/ex266/aigs/ex266_udiv_binary_search_shiftadd_gt_guard_wreduce_abc_g_aig.aig,1,1,1,125,39,4875,848,5.748821,0,0,0.332,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=binary_search_shiftadd_gt_guard; flow=wreduce_abc_g_aig
ex266,ex266_udiv_binary_search_shiftadd_gt_guard_synth_preset,unsigned low5_high5:a/b dbz=max,binary_search_shiftadd_gt_guard+synth_preset,student/work/ex266_ex267_ex269_frontend_udiv_binary_search_20260609_1240/ex266/verilog/ex266_udiv_binary_search_shiftadd_gt_guard.v,student/work/ex266_ex267_ex269_frontend_udiv_binary_search_20260609_1240/ex266/aigs/ex266_udiv_binary_search_shiftadd_gt_guard_synth_preset.aig,1,1,1,114,39,4446,848,5.242925,0,0,0.401,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=binary_search_shiftadd_gt_guard; flow=synth_preset
ex267,ex267_udiv_binary_search_product_abc_g_aig,unsigned low6_high6:a/b dbz=max,binary_search_product+abc_g_aig,student/work/ex266_ex267_ex269_frontend_udiv_binary_search_20260609_1240/ex267/verilog/ex267_udiv_binary_search_product.v,student/work/ex266_ex267_ex269_frontend_udiv_binary_search_20260609_1240/ex267/aigs/ex267_udiv_binary_search_product_abc_g_aig.aig,1,1,1,209,60,12540,2651,4.730290,0,0,0.350,semantic_udiv_exact,unsigned low6_high6:a/b dbz=max exact; source=binary_search_product; flow=abc_g_aig
ex267,ex267_udiv_binary_search_product_wreduce_abc_g_aig,unsigned low6_high6:a/b dbz=max,binary_search_product+wreduce_abc_g_aig,student/work/ex266_ex267_ex269_frontend_udiv_binary_search_20260609_1240/ex267/verilog/ex267_udiv_binary_search_product.v,student/work/ex266_ex267_ex269_frontend_udiv_binary_search_20260609_1240/ex267/aigs/ex267_udiv_binary_search_product_wreduce_abc_g_aig.aig,1,1,1,211,57,12027,2651,4.536779,0,0,0.381,semantic_udiv_exact,unsigned low6_high6:a/b dbz=max exact; source=binary_search_product; flow=wreduce_abc_g_aig
ex267,ex267_udiv_binary_search_product_synth_preset,unsigned low6_high6:a/b dbz=max,binary_search_product+synth_preset,student/work/ex266_ex267_ex269_frontend_udiv_binary_search_20260609_1240/ex267/verilog/ex267_udiv_binary_search_product.v,student/work/ex266_ex267_ex269_frontend_udiv_binary_search_20260609_1240/ex267/aigs/ex267_udiv_binary_search_product_synth_preset.aig,1,1,1,199,55,10945,2651,4.128631,0,0,0.414,semantic_udiv_exact,unsigned low6_high6:a/b dbz=max exact; source=binary_search_product; flow=synth_preset
ex267,ex267_udiv_binary_search_shiftadd_abc_g_aig,unsigned low6_high6:a/b dbz=max,binary_search_shiftadd+abc_g_aig,student/work/ex266_ex267_ex269_frontend_udiv_binary_search_20260609_1240/ex267/verilog/ex267_udiv_binary_search_shiftadd.v,student/work/ex266_ex267_ex269_frontend_udiv_binary_search_20260609_1240/ex267/aigs/ex267_udiv_binary_search_shiftadd_abc_g_aig.aig,1,1,1,221,54,11934,2651,4.501697,0,0,0.397,semantic_udiv_exact,unsigned low6_high6:a/b dbz=max exact; source=binary_search_shiftadd; flow=abc_g_aig
ex267,ex267_udiv_binary_search_shiftadd_wreduce_abc_g_aig,unsigned low6_high6:a/b dbz=max,binary_search_shiftadd+wreduce_abc_g_aig,student/work/ex266_ex267_ex269_frontend_udiv_binary_search_20260609_1240/ex267/verilog/ex267_udiv_binary_search_shiftadd.v,student/work/ex266_ex267_ex269_frontend_udiv_binary_search_20260609_1240/ex267/aigs/ex267_udiv_binary_search_shiftadd_wreduce_abc_g_aig.aig,1,1,1,225,60,13500,2651,5.092418,0,0,0.400,semantic_udiv_exact,unsigned low6_high6:a/b dbz=max exact; source=binary_search_shiftadd; flow=wreduce_abc_g_aig
ex267,ex267_udiv_binary_search_shiftadd_synth_preset,unsigned low6_high6:a/b dbz=max,binary_search_shiftadd+synth_preset,student/work/ex266_ex267_ex269_frontend_udiv_binary_search_20260609_1240/ex267/verilog/ex267_udiv_binary_search_shiftadd.v,student/work/ex266_ex267_ex269_frontend_udiv_binary_search_20260609_1240/ex267/aigs/ex267_udiv_binary_search_shiftadd_synth_preset.aig,1,1,1,195,56,10920,2651,4.119200,0,0,0.463,semantic_udiv_exact,unsigned low6_high6:a/b dbz=max exact; source=binary_search_shiftadd; flow=synth_preset
ex267,ex267_udiv_binary_search_shiftadd_gt_guard_abc_g_aig,unsigned low6_high6:a/b dbz=max,binary_search_shiftadd_gt_guard+abc_g_aig,student/work/ex266_ex267_ex269_frontend_udiv_binary_search_20260609_1240/ex267/verilog/ex267_udiv_binary_search_shiftadd_gt_guard.v,student/work/ex266_ex267_ex269_frontend_udiv_binary_search_20260609_1240/ex267/aigs/ex267_udiv_binary_search_shiftadd_gt_guard_abc_g_aig.aig,1,1,1,225,58,13050,2651,4.922671,0,0,0.380,semantic_udiv_exact,unsigned low6_high6:a/b dbz=max exact; source=binary_search_shiftadd_gt_guard; flow=abc_g_aig
ex267,ex267_udiv_binary_search_shiftadd_gt_guard_wreduce_abc_g_aig,unsigned low6_high6:a/b dbz=max,binary_search_shiftadd_gt_guard+wreduce_abc_g_aig,student/work/ex266_ex267_ex269_frontend_udiv_binary_search_20260609_1240/ex267/verilog/ex267_udiv_binary_search_shiftadd_gt_guard.v,student/work/ex266_ex267_ex269_frontend_udiv_binary_search_20260609_1240/ex267/aigs/ex267_udiv_binary_search_shiftadd_gt_guard_wreduce_abc_g_aig.aig,1,1,1,219,59,12921,2651,4.874010,0,0,0.419,semantic_udiv_exact,unsigned low6_high6:a/b dbz=max exact; source=binary_search_shiftadd_gt_guard; flow=wreduce_abc_g_aig
ex267,ex267_udiv_binary_search_shiftadd_gt_guard_synth_preset,unsigned low6_high6:a/b dbz=max,binary_search_shiftadd_gt_guard+synth_preset,student/work/ex266_ex267_ex269_frontend_udiv_binary_search_20260609_1240/ex267/verilog/ex267_udiv_binary_search_shiftadd_gt_guard.v,student/work/ex266_ex267_ex269_frontend_udiv_binary_search_20260609_1240/ex267/aigs/ex267_udiv_binary_search_shiftadd_gt_guard_synth_preset.aig,1,1,1,197,55,10835,2651,4.087137,0,0,0.486,semantic_udiv_exact,unsigned low6_high6:a/b dbz=max exact; source=binary_search_shiftadd_gt_guard; flow=synth_preset
