case,candidate_id,hypothesis,variant,verilog_path,aig_path,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,classification,notes
ex266,ex266_udiv_binary_search_shiftadd_synth_preset,unsigned low5_high5:a/b dbz=max,binary_search_shiftadd+synth_preset,student/work/ex266_ex267_ex269_frontend_udiv_binary_search_20260609_1240/ex266/verilog/ex266_udiv_binary_search_shiftadd.v,student/work/ex266_ex267_ex269_frontend_udiv_binary_search_20260609_1240/ex266/aigs/ex266_udiv_binary_search_shiftadd_synth_preset.aig,113,38,4294,848,5.063679,0,0,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=binary_search_shiftadd; flow=synth_preset
ex267,ex267_udiv_binary_search_shiftadd_gt_guard_synth_preset,unsigned low6_high6:a/b dbz=max,binary_search_shiftadd_gt_guard+synth_preset,student/work/ex266_ex267_ex269_frontend_udiv_binary_search_20260609_1240/ex267/verilog/ex267_udiv_binary_search_shiftadd_gt_guard.v,student/work/ex266_ex267_ex269_frontend_udiv_binary_search_20260609_1240/ex267/aigs/ex267_udiv_binary_search_shiftadd_gt_guard_synth_preset.aig,197,55,10835,2651,4.087137,0,0,semantic_udiv_exact,unsigned low6_high6:a/b dbz=max exact; source=binary_search_shiftadd_gt_guard; flow=synth_preset
ex269,ex269_udiv_binary_search_shiftadd_gt_guard_synth_preset,unsigned low8_high8:a/b dbz=max,binary_search_shiftadd_gt_guard+synth_preset,student/work/ex266_ex267_ex269_frontend_udiv_binary_search_20260609_1240/ex269/verilog/ex269_udiv_binary_search_shiftadd_gt_guard.v,student/work/ex266_ex267_ex269_frontend_udiv_binary_search_20260609_1240/ex269/aigs/ex269_udiv_binary_search_shiftadd_gt_guard_synth_preset.aig,447,97,43359,11760,3.686990,0,0,semantic_udiv_exact,unsigned low8_high8:a/b dbz=max exact; source=binary_search_shiftadd_gt_guard; flow=synth_preset
