case,candidate_id,equivalent,area,delay,adp,aig_path,notes
ex256,ex256_umul_ex256_column_threshold_min_sop_abc_g_aig,0,,,,student/work/ex256_frontend_umul_minimized_carry_sop_20260609_0210/ex256/aigs/ex256_umul_ex256_column_threshold_min_sop_abc_g_aig.aig,exact unsigned low5 * high5 over 1024 inputs; focused source=ex256_column_threshold_min_sop; flow=abc_g_aig
ex256,ex256_umul_ex256_column_threshold_min_sop_wreduce_abc_g_aig,0,,,,student/work/ex256_frontend_umul_minimized_carry_sop_20260609_0210/ex256/aigs/ex256_umul_ex256_column_threshold_min_sop_wreduce_abc_g_aig.aig,exact unsigned low5 * high5 over 1024 inputs; focused source=ex256_column_threshold_min_sop; flow=wreduce_abc_g_aig
ex256,ex256_umul_ex256_column_threshold_min_sop_synth_preset_d13,0,,,,student/work/ex256_frontend_umul_minimized_carry_sop_20260609_0210/ex256/aigs/ex256_umul_ex256_column_threshold_min_sop_synth_preset_d13.aig,exact unsigned low5 * high5 over 1024 inputs; focused source=ex256_column_threshold_min_sop; flow=synth_preset_d13
ex256,ex256_umul_ex256_column_threshold_min_sop_synth_preset_d18,0,,,,student/work/ex256_frontend_umul_minimized_carry_sop_20260609_0210/ex256/aigs/ex256_umul_ex256_column_threshold_min_sop_synth_preset_d18.aig,exact unsigned low5 * high5 over 1024 inputs; focused source=ex256_column_threshold_min_sop; flow=synth_preset_d18
ex256,ex256_umul_csa_androws_cla_abc_g_aig,1,159,18,2862,student/work/ex256_frontend_umul_minimized_carry_sop_20260609_0210/ex256/aigs/ex256_umul_csa_androws_cla_abc_g_aig.aig,exact unsigned low5 * high5 over 1024 inputs; focused source=csa_androws_cla; flow=abc_g_aig
ex256,ex256_umul_csa_androws_cla_wreduce_abc_g_aig,1,159,18,2862,student/work/ex256_frontend_umul_minimized_carry_sop_20260609_0210/ex256/aigs/ex256_umul_csa_androws_cla_wreduce_abc_g_aig.aig,exact unsigned low5 * high5 over 1024 inputs; focused source=csa_androws_cla; flow=wreduce_abc_g_aig
ex256,ex256_umul_csa_androws_cla_synth_preset_d13,1,156,20,3120,student/work/ex256_frontend_umul_minimized_carry_sop_20260609_0210/ex256/aigs/ex256_umul_csa_androws_cla_synth_preset_d13.aig,exact unsigned low5 * high5 over 1024 inputs; focused source=csa_androws_cla; flow=synth_preset_d13
ex256,ex256_umul_csa_androws_cla_synth_preset_d18,1,156,20,3120,student/work/ex256_frontend_umul_minimized_carry_sop_20260609_0210/ex256/aigs/ex256_umul_csa_androws_cla_synth_preset_d18.aig,exact unsigned low5 * high5 over 1024 inputs; focused source=csa_androws_cla; flow=synth_preset_d18
