round,run_id,agent_id,case,domain,candidate_id,method_signature,verilog_path,aig_path,log_path,evaluate_log,official_status,equivalent,area,delay,adp,reference_adp,current_adp,frontend_best_adp,notes,evaluate_status,status,output_dir,runtime_sec
round75,frontend_source_parallel_round75_20260613_1507,sub-fp16-r75,ex225,,ex225_r75_hi12_runs_low12_mtbdd_abc_g_aig,,student/work/frontend_source_parallel_round75_20260613_1507/sub-fp16-r75/ex225/verilog/ex225_r75_hi12_runs_low12_mtbdd_abc_g_aig.v,student/work/frontend_source_parallel_round75_20260613_1507/sub-fp16-r75/ex225/aigs/ex225_r75_hi12_runs_low12_mtbdd_abc_g_aig.aig,student/work/frontend_source_parallel_round75_20260613_1507/sub-fp16-r75/ex225/logs/ex225_r75_hi12_runs_low12_mtbdd_abc_g_aig.yosys.log,,OK,1,11656,24,279744,116676,205656,218728,"special_const_groups=33;special_full_groups=1;special_items=1057;b15:runs=30,max=1,const=30;b14:runs=32,max=2,const=28;b13:runs=34,max=2,const=26;b12:runs=38,max=4,const=26;mtbdd_low_width=12;mtbdd_nodes=17073",,,,
round75,frontend_source_parallel_round75_20260613_1507,sub-fp16-r75,ex225,,ex225_r75_hi8_runs_low8_mtbdd_abc_g_aig,,student/work/frontend_source_parallel_round75_20260613_1507/sub-fp16-r75/ex225/verilog/ex225_r75_hi8_runs_low8_mtbdd_abc_g_aig.v,student/work/frontend_source_parallel_round75_20260613_1507/sub-fp16-r75/ex225/aigs/ex225_r75_hi8_runs_low8_mtbdd_abc_g_aig.aig,student/work/frontend_source_parallel_round75_20260613_1507/sub-fp16-r75/ex225/logs/ex225_r75_hi8_runs_low8_mtbdd_abc_g_aig.yosys.log,,OK,1,11619,24,278856,116676,205656,218728,"special_const_groups=33;special_full_groups=1;special_items=1057;b15:runs=30,max=1,const=30;b14:runs=32,max=2,const=28;b13:runs=34,max=2,const=26;b12:runs=38,max=4,const=26;b11:runs=45,max=7,const=24;b10:runs=60,max=12,const=20;b9:runs=83,max=20,const=14;b8:runs=126,max=35,const=8;mtbdd_low_width=8;mtbdd_nodes=11135",,,,
round75,frontend_source_parallel_round75_20260613_1507,sub-fp16-r75,ex223,,ex223_r75_hi12_runs_low12_mtbdd_abc_g_aig,,student/work/frontend_source_parallel_round75_20260613_1507/sub-fp16-r75/ex223/verilog/ex223_r75_hi12_runs_low12_mtbdd_abc_g_aig.v,student/work/frontend_source_parallel_round75_20260613_1507/sub-fp16-r75/ex223/aigs/ex223_r75_hi12_runs_low12_mtbdd_abc_g_aig.aig,student/work/frontend_source_parallel_round75_20260613_1507/sub-fp16-r75/ex223/logs/ex223_r75_hi12_runs_low12_mtbdd_abc_g_aig.yosys.log,,OK,1,11211,25,280275,120549,189468,203756,"special_const_groups=33;special_full_groups=1;special_items=1057;b15:runs=30,max=1,const=30;b14:runs=32,max=2,const=28;b13:runs=34,max=2,const=26;b12:runs=37,max=4,const=26;mtbdd_low_width=12;mtbdd_nodes=16994",,,,
round75,frontend_source_parallel_round75_20260613_1507,sub-fp16-r75,ex223,,ex223_r75_hi8_runs_low8_mtbdd_abc_g_aig,,student/work/frontend_source_parallel_round75_20260613_1507/sub-fp16-r75/ex223/verilog/ex223_r75_hi8_runs_low8_mtbdd_abc_g_aig.v,student/work/frontend_source_parallel_round75_20260613_1507/sub-fp16-r75/ex223/aigs/ex223_r75_hi8_runs_low8_mtbdd_abc_g_aig.aig,student/work/frontend_source_parallel_round75_20260613_1507/sub-fp16-r75/ex223/logs/ex223_r75_hi8_runs_low8_mtbdd_abc_g_aig.yosys.log,,OK,1,11316,24,271584,120549,189468,203756,"special_const_groups=33;special_full_groups=1;special_items=1057;b15:runs=30,max=1,const=30;b14:runs=32,max=2,const=28;b13:runs=34,max=2,const=26;b12:runs=37,max=4,const=26;b11:runs=44,max=6,const=24;b10:runs=58,max=11,const=20;b9:runs=82,max=19,const=16;b8:runs=125,max=34,const=9;mtbdd_low_width=8;mtbdd_nodes=11111",,,,
,,sub-fp8-mid-r75,ex249,float_fp8,ex249_r75_clustered_po_tail,,student/work/frontend_source_parallel_round75_20260613_1507/sub-fp8-mid-r75/ex249/verilog/ex249_r75_clustered_po_tail.v,student/work/frontend_source_parallel_round75_20260613_1507/sub-fp8-mid-r75/ex249/aigs/ex249_r75_clustered_po_tail.aig,,student/work/frontend_source_parallel_round75_20260613_1507/sub-fp8-mid-r75/ex249/logs/ex249_r75_clustered_po_tail.evaluate.py.log,,1,189,29,5481,,,,official evaluate.py OK; synth_sec=0.193; eval_sec=0.460,,,,
,,sub-fp8-mid-r75,ex249,float_fp8,ex249_r75_effgap_active_shell,,student/work/frontend_source_parallel_round75_20260613_1507/sub-fp8-mid-r75/ex249/verilog/ex249_r75_effgap_active_shell.v,student/work/frontend_source_parallel_round75_20260613_1507/sub-fp8-mid-r75/ex249/aigs/ex249_r75_effgap_active_shell.aig,,student/work/frontend_source_parallel_round75_20260613_1507/sub-fp8-mid-r75/ex249/logs/ex249_r75_effgap_active_shell.evaluate.py.log,,1,178,34,6052,,,,official evaluate.py OK; synth_sec=0.217; eval_sec=0.459,,,,
,,sub-fp8-mid-r75,ex241,float_fp8,ex241_r75_zero_product_bypass,,student/work/frontend_source_parallel_round75_20260613_1507/sub-fp8-mid-r75/ex241/verilog/ex241_r75_zero_product_bypass.v,student/work/frontend_source_parallel_round75_20260613_1507/sub-fp8-mid-r75/ex241/aigs/ex241_r75_zero_product_bypass.aig,,student/work/frontend_source_parallel_round75_20260613_1507/sub-fp8-mid-r75/ex241/logs/ex241_r75_zero_product_bypass.evaluate.py.log,,1,553,30,16590,,,,official evaluate.py OK; synth_sec=1.104; eval_sec=0.506,,,,
,,sub-fp8-mid-r75,ex241,float_fp8,ex241_r75_po_clustered_product,,student/work/frontend_source_parallel_round75_20260613_1507/sub-fp8-mid-r75/ex241/verilog/ex241_r75_po_clustered_product.v,student/work/frontend_source_parallel_round75_20260613_1507/sub-fp8-mid-r75/ex241/aigs/ex241_r75_po_clustered_product.aig,,student/work/frontend_source_parallel_round75_20260613_1507/sub-fp8-mid-r75/ex241/logs/ex241_r75_po_clustered_product.evaluate.py.log,,1,558,30,16740,,,,official evaluate.py OK; synth_sec=1.079; eval_sec=0.531,,,,
,,sub-fp8-mid-r75,ex240,float_fp8,ex240_r75_inline_select_po,,student/work/frontend_source_parallel_round75_20260613_1507/sub-fp8-mid-r75/ex240/verilog/ex240_r75_inline_select_po.v,student/work/frontend_source_parallel_round75_20260613_1507/sub-fp8-mid-r75/ex240/aigs/ex240_r75_inline_select_po.aig,,student/work/frontend_source_parallel_round75_20260613_1507/sub-fp8-mid-r75/ex240/logs/ex240_r75_inline_select_po.evaluate.py.log,,1,641,45,28845,,,,official evaluate.py OK; synth_sec=0.559; eval_sec=0.877,,,,
,,sub-fp8-mid-r75,ex240,float_fp8,ex240_r75_clustered_po_tail,,student/work/frontend_source_parallel_round75_20260613_1507/sub-fp8-mid-r75/ex240/verilog/ex240_r75_clustered_po_tail.v,student/work/frontend_source_parallel_round75_20260613_1507/sub-fp8-mid-r75/ex240/aigs/ex240_r75_clustered_po_tail.aig,,student/work/frontend_source_parallel_round75_20260613_1507/sub-fp8-mid-r75/ex240/logs/ex240_r75_clustered_po_tail.evaluate.py.log,,1,641,45,28845,,,,official evaluate.py OK; synth_sec=0.517; eval_sec=0.901,,,,
