round,run_id,agent_id,case,domain,candidate_id,hypothesis,representation,sharing_strategy,shared_structure,notes,estimated_shared_terms,source_modules,output_grouping
round75,frontend_source_parallel_round75_20260613_1507,sub-fp16-r75,ex225,,ex225_r75_hi12_runs_low12_mtbdd_abc_g_aig,fp16_log10,"hi12_runs_low12_mtbdd; high bits as per-exp run trees, low12 as shared MTBDD",shared MTBDD low residual plus per-exp high-bit run trees,one MTBDD node pool for low12; high bits share sign_exp decode,"special_const_groups=33;special_full_groups=1;special_items=1057;b15:runs=30,max=1,const=30;b14:runs=32,max=2,const=28;b13:runs=34,max=2,const=26;b12:runs=38,max=4,const=26;mtbdd_low_width=12;mtbdd_nodes=17073",17073,,
round75,frontend_source_parallel_round75_20260613_1507,sub-fp16-r75,ex225,,ex225_r75_hi8_runs_low8_mtbdd_abc_g_aig,fp16_log10,"hi8_runs_low8_mtbdd; high bits as per-exp run trees, low8 as shared MTBDD",shared MTBDD low residual plus per-exp high-bit run trees,one MTBDD node pool for low8; high bits share sign_exp decode,"special_const_groups=33;special_full_groups=1;special_items=1057;b15:runs=30,max=1,const=30;b14:runs=32,max=2,const=28;b13:runs=34,max=2,const=26;b12:runs=38,max=4,const=26;b11:runs=45,max=7,const=24;b10:runs=60,max=12,const=20;b9:runs=83,max=20,const=14;b8:runs=126,max=35,const=8;mtbdd_low_width=8;mtbdd_nodes=11135",11135,,
round75,frontend_source_parallel_round75_20260613_1507,sub-fp16-r75,ex223,,ex223_r75_hi12_runs_low12_mtbdd_abc_g_aig,fp16_log,"hi12_runs_low12_mtbdd; high bits as per-exp run trees, low12 as shared MTBDD",shared MTBDD low residual plus per-exp high-bit run trees,one MTBDD node pool for low12; high bits share sign_exp decode,"special_const_groups=33;special_full_groups=1;special_items=1057;b15:runs=30,max=1,const=30;b14:runs=32,max=2,const=28;b13:runs=34,max=2,const=26;b12:runs=37,max=4,const=26;mtbdd_low_width=12;mtbdd_nodes=16994",16994,,
round75,frontend_source_parallel_round75_20260613_1507,sub-fp16-r75,ex223,,ex223_r75_hi8_runs_low8_mtbdd_abc_g_aig,fp16_log,"hi8_runs_low8_mtbdd; high bits as per-exp run trees, low8 as shared MTBDD",shared MTBDD low residual plus per-exp high-bit run trees,one MTBDD node pool for low8; high bits share sign_exp decode,"special_const_groups=33;special_full_groups=1;special_items=1057;b15:runs=30,max=1,const=30;b14:runs=32,max=2,const=28;b13:runs=34,max=2,const=26;b12:runs=37,max=4,const=26;b11:runs=44,max=6,const=24;b10:runs=58,max=11,const=20;b9:runs=82,max=19,const=16;b8:runs=125,max=34,const=9;mtbdd_low_width=8;mtbdd_nodes=11111",11111,,
,,sub-fp8-mid-r75,ex249,float_fp8,ex249_r75_clustered_po_tail,"E5M2FN hypot abs(high,low)",PO-clustered nan/saturation/output tail over raw-exp threshold source,,shared raw exponent gap0/gap1 threshold delta table,source-only candidate; no standalone ABC/remap from existing AIG,,,
,,sub-fp8-mid-r75,ex249,float_fp8,ex249_r75_effgap_active_shell,"E5M2FN hypot abs(high,low)",effective-gap active shell retaining original delta table,,shared max/min decode with a single active-gap predicate,source-only candidate; no standalone ABC/remap from existing AIG,,,
,,sub-fp8-mid-r75,ex241,float_fp8,ex241_r75_zero_product_bypass,E4M3FN packed multiply high byte times low byte,explicit zero-product shell around compact product table,,shared sign xor effective exponent sum and significand product,source-only candidate; no standalone ABC/remap from existing AIG,,,
,,sub-fp8-mid-r75,ex241,float_fp8,ex241_r75_po_clustered_product,E4M3FN packed multiply high byte times low byte,PO-clustered high/low output over compact product table,,shared product/exponent shell with output clusters,source-only candidate; no standalone ABC/remap from existing AIG,,,
,,sub-fp8-mid-r75,ex240,float_fp8,ex240_r75_inline_select_po,E4M3FN packed add high byte plus low byte,inline selected sign/magnitude output mux,,shared r64 sorted field decode and compact diff normalizer,source-only candidate; no standalone ABC/remap from existing AIG,,,
,,sub-fp8-mid-r75,ex240,float_fp8,ex240_r75_clustered_po_tail,E4M3FN packed add high byte plus low byte,PO-clustered sign and magnitude tail over r64 source,,shared same-sign GRS path plus diff-sign local normalizer,source-only candidate; no standalone ABC/remap from existing AIG,,,
