case,domain,agent_id,frontend_best_adp,frontend_best_area,frontend_best_delay,reference_adp,ratio_to_reference,frontend_best_run,candidate_id,method_signature
ex223,fp16,fp16-r6,204193,10747,19,120549,1.693859,ex200_ex299_frontend_parallel_shared_20260612_1422,ex223_log_nested_low14_hi5_abc_g_aig,ex223|fp16_log positive-normal log-family semantic shell|nested_hi_lo_mantissa_lut_high_bit_run_trees|shared_special_sign_exp_decode_per_exp_mantissa_runs|yosys_abc_g_aig|abc_xf_official_evaluate|high_bits_run_trees_low14_nested_hi5
ex224,fp16,fp16-r6,96224,6014,16,64708,1.487050,ex200_ex299_frontend_parallel_shared_20260612_1422,ex224_log_nested_low12_hi6_abc_g_aig,ex224|fp16_log2 positive-normal log-family semantic shell|nested_hi_lo_mantissa_lut_high_bit_run_trees|shared_special_sign_exp_decode_per_exp_mantissa_runs|yosys_abc_g_aig|abc_xf_official_evaluate|high_bits_run_trees_low12_nested_hi6
ex225,fp16,fp16-r6,218728,11512,19,116676,1.874661,ex200_ex299_frontend_refgap_round2_20260612_1512,ex225_log_sparse_residual_low14_hi5_abc_g_aig,ex225|fp16_log_family_sparse_residual_compression|sparse_per_hi_low14_residual_defaults|shared_special_sign_exp_decode_plus_high_bit_run_trees|yosys_abc_g_aig|abc_xf_official_evaluate|high_bits_run_trees_sparse_low14_residual
ex240,float_fp8,float-fp8-r6,30090,590,51,13299,2.262576,ex240_frontend_fp8_diff_grs_20260608_1401,ex240_semantic_add_same_grs_diff_param8_synth_preset_aig,ex240|frontend|frontend_fp8_diff_grs
ex241,float_fp8,float-fp8-r6,15544,536,29,7224,2.151717,ex241_ex242_ex243_frontend_fp8_nested_tables_fix_20260608_1330,ex241_semantic_mul_product_nested_exp_synth_preset_aig,ex241|frontend|frontend_fp8_nested_tables_fix
ex242,float_fp8,float-fp8-r6,25320,1266,20,11900,2.127731,ex242_frontend_fp8_div_clean_sparse_20260608_1330,ex242_semantic_div_field_sparse_clean_synth_preset_aig,ex242|frontend|frontend_fp8_div_clean_sparse
ex244,float_fp8,float-fp8-r6,10234,301,34,4272,2.395599,ex240_ex244_frontend_fp8_magbdd_deltaeff_20260608_1401,ex244_semantic_hypot_delta_maxeff_bdd_expfirst_synth_preset_aig,ex244|frontend|frontend_fp8_magbdd_deltaeff
ex245,float_fp8,float-fp8-r6,23834,701,34,11050,2.156923,ex245_ex249_frontend_fp8_e5m2_curated_20260608_1715,ex245_semantic_add_gap_class_synth_preset_aig,ex245|frontend|frontend_fp8_e5m2_curated
ex246,float_fp8,float-fp8-r6,7502,341,22,2805,2.674510,ex246_frontend_fp8_e5m2_dc_neighbor12_20260608_2000,ex246_semantic_mul_product_dc_seed12_set11to10_synth_preset_aig,ex246|frontend|frontend_fp8_e5m2_dc_neighbor12
ex247,float_fp8,float-fp8-r6,8808,367,24,2975,2.960672,ex200_ex299_frontend_refgap_round5_20260612_1743,ex247_e5m2fn_div_bound_region_mux,ex247|E5M2FN packed low-over-high division|boundary-first zero/sat/low/linear region mux|shared sign exponent significand decode plus denominator-nested boundary attributes|student.frontends.yosys_synth default abc -g AND|exact_e5m2fn_div_low_over_high|region-grouped magnitude output
ex248,float_fp8,float-fp8-r6,8550,285,30,4180,2.045455,ex245_ex249_frontend_fp8_e5m2_curated_20260608_1715,ex248_semantic_fmod_periodic_rem_abc_g_aig,ex248|frontend|frontend_fp8_e5m2_curated
ex249,float_fp8,float-fp8-r6,4368,168,26,2079,2.101010,ex245_ex249_frontend_fp8_e5m2_curated_20260608_1715,ex249_semantic_hypot_threshold_rawexp_synth_preset_aig,ex249|frontend|frontend_fp8_e5m2_curated
ex253,float_fp8,float-fp8-r6,2268,126,18,1845,1.229268,ex252_ex253_frontend_weighted_popcount_20260608_2224,ex253_semantic_u2_sum8_popcount_laneqcase_default,ex253|frontend|frontend_weighted_popcount
ex280,unknown,unknown-a-r6,2990,115,26,2415,1.238095,ex200_ex299_frontend_refgap_round3_20260612_1554,ex280_gf2_overlap_roots_small_roots_balanced_linfact_abc_g_aig,ex280|quartic_gf2_event_filter|overlap_root_product_basis_small_roots|shared_overlapping_linear_roots_with_factored_linear_corrections|yosys_abc_g_aig|exact_full_clamp_mux_coordinate_degree2|balanced_root_products_plus_shared_linear_correction_xor
ex281,unknown,unknown-a-r6,3328,128,26,2336,1.424658,ex200_ex299_frontend_refgap_round3_20260612_1554,ex281_gf2_overlap_roots_small_roots_balanced_linfact_abc_g_aig,ex281|quartic_gf2_event_filter|overlap_root_product_basis_small_roots|shared_overlapping_linear_roots_with_factored_linear_corrections|yosys_abc_g_aig|exact_full_clamp_mux_coordinate_degree2|balanced_root_products_plus_shared_linear_correction_xor
ex282,unknown,unknown-a-r6,4032,144,28,2704,1.491124,ex200_ex299_frontend_refgap_round3_20260612_1554,ex282_gf2_overlap_roots_mixed_roots_delaycap_balanced_linfact_abc_g_aig,ex282|quartic_gf2_event_filter|overlap_root_product_basis_mixed_roots_delaycap|shared_overlapping_linear_roots_with_factored_linear_corrections|yosys_abc_g_aig|exact_full_clamp_mux_coordinate_degree2|balanced_root_products_plus_shared_linear_correction_xor
ex283,unknown,unknown-a-r6,4500,150,30,3168,1.420455,ex200_ex299_frontend_refgap_round3_20260612_1554,ex283_gf2_overlap_roots_wide_roots_delaycap_balanced_linfact_abc_g_aig,ex283|quartic_gf2_event_filter|overlap_root_product_basis_wide_roots_delaycap|shared_overlapping_linear_roots_with_factored_linear_corrections|yosys_abc_g_aig|exact_full_clamp_mux_coordinate_degree2|balanced_root_products_plus_shared_linear_correction_xor
ex284,unknown,unknown-a-r6,5440,160,34,4240,1.283019,ex200_ex299_frontend_refgap_round3_20260612_1554,ex284_gf2_overlap_roots_wide_roots_delaycap_balanced_linfact_abc_g_aig,ex284|quartic_gf2_event_filter|overlap_root_product_basis_wide_roots_delaycap|shared_overlapping_linear_roots_with_factored_linear_corrections|yosys_abc_g_aig|exact_full_clamp_mux_coordinate_degree2|balanced_root_products_plus_shared_linear_correction_xor
ex285,unknown,unknown-a-r6,13175,775,17,5499,2.395890,ex285_ex287_ex295_ex297_ex299_frontend_current_synthflow_20260608_1350,ex285_decision_tree_greedy_synth_preset,ex285|frontend|frontend_current_synthflow
ex286,unknown,unknown-a-r6,21705,1447,15,2376,9.135101,ex286_frontend_multipair_symcof_synthflow_20260609_0634,ex286_interleave_f00_k4_abc_g_aig,ex286|frontend|frontend_multipair_symcof_synthflow
ex287,unknown,unknown-a-r6,27480,1832,15,5782,4.752681,ex287_frontend_multipair_symcof_synthflow_20260609_0634,ex287_interleave_f00_k5_abc_g_aig,ex287|frontend|frontend_multipair_symcof_synthflow
ex288,unknown,unknown-a-r6,31598,2257,14,16394,1.927412,ex286_ex288_frontend_keybdd_selected_synth_20260609_1448,ex288_unknown_symcof_keybdd_selected_interleave_f10_k6_keybdd_7_abc_g_aig,ex288|frontend|frontend_keybdd_selected_synth
ex289,unknown,unknown-a-r6,19893,1047,19,13620,1.460573,ex289_frontend_duality_symcof_split2_xorwrap_synthflow_20260609_1128,ex289_unknown_duality_symcof_split2_f10_bits_0_1_12_13_onehot_group_xor_abc_g_aig,ex289|frontend|frontend_duality_symcof_split2_xorwrap_synthflow
