case,candidate_id,hypothesis,variant,verilog_path,aig_path,area,delay,adp,items,notes
ex280,ex280_unknown_layered_anf_davio_prefix_parity_reduce_deg0_endpoint_rev,unknown_layered_anf_davio,prefix_parity_reduce_deg0_endpoint_rev,student/work/ex280_ex284_frontend_prefix_davio_orders_20260608_2306/ex280/verilog/ex280_unknown_layered_anf_davio_prefix_parity_reduce_deg0_endpoint_rev.v,student/work/ex280_ex284_frontend_prefix_davio_orders_20260608_2306/ex280/aigs/ex280_unknown_layered_anf_davio_prefix_parity_reduce_deg0_endpoint_rev.aig,696,31,21576,transform=prefix_parity_reduce; threshold=0; order=endpoint_rev; direct_terms=0; residual_terms=932; direct_unique=0; residual_nodes_est=348; davio_nodes=591; hash=476df0b6dd0b,unknown layered ANF/Davio Verilog seed
ex281,ex281_unknown_layered_anf_davio_prefix_parity_reduce_deg0_endpoint_rev,unknown_layered_anf_davio,prefix_parity_reduce_deg0_endpoint_rev,student/work/ex280_ex284_frontend_prefix_davio_orders_20260608_2306/ex281/verilog/ex281_unknown_layered_anf_davio_prefix_parity_reduce_deg0_endpoint_rev.v,student/work/ex280_ex284_frontend_prefix_davio_orders_20260608_2306/ex281/aigs/ex281_unknown_layered_anf_davio_prefix_parity_reduce_deg0_endpoint_rev.aig,803,33,26499,transform=prefix_parity_reduce; threshold=0; order=endpoint_rev; direct_terms=0; residual_terms=1160; direct_unique=0; residual_nodes_est=406; davio_nodes=692; hash=31972c691faa,unknown layered ANF/Davio Verilog seed
ex282,ex282_unknown_layered_anf_davio_prefix_parity_reduce_deg0_endpoint_rev,unknown_layered_anf_davio,prefix_parity_reduce_deg0_endpoint_rev,student/work/ex280_ex284_frontend_prefix_davio_orders_20260608_2306/ex282/verilog/ex282_unknown_layered_anf_davio_prefix_parity_reduce_deg0_endpoint_rev.v,student/work/ex280_ex284_frontend_prefix_davio_orders_20260608_2306/ex282/aigs/ex282_unknown_layered_anf_davio_prefix_parity_reduce_deg0_endpoint_rev.aig,911,35,31885,transform=prefix_parity_reduce; threshold=0; order=endpoint_rev; direct_terms=0; residual_terms=1400; direct_unique=0; residual_nodes_est=454; davio_nodes=773; hash=47da28eb8de6,unknown layered ANF/Davio Verilog seed
ex283,ex283_unknown_layered_anf_davio_prefix_parity_reduce_deg0_endpoint_rev,unknown_layered_anf_davio,prefix_parity_reduce_deg0_endpoint_rev,student/work/ex280_ex284_frontend_prefix_davio_orders_20260608_2306/ex283/verilog/ex283_unknown_layered_anf_davio_prefix_parity_reduce_deg0_endpoint_rev.v,student/work/ex280_ex284_frontend_prefix_davio_orders_20260608_2306/ex283/aigs/ex283_unknown_layered_anf_davio_prefix_parity_reduce_deg0_endpoint_rev.aig,1034,35,36190,transform=prefix_parity_reduce; threshold=0; order=endpoint_rev; direct_terms=0; residual_terms=1676; direct_unique=0; residual_nodes_est=517; davio_nodes=883; hash=569d13e5d641,unknown layered ANF/Davio Verilog seed
ex284,ex284_unknown_layered_anf_davio_prefix_parity_reduce_deg0_endpoint,unknown_layered_anf_davio,prefix_parity_reduce_deg0_endpoint,student/work/ex280_ex284_frontend_prefix_davio_orders_20260608_2306/ex284/verilog/ex284_unknown_layered_anf_davio_prefix_parity_reduce_deg0_endpoint.v,student/work/ex280_ex284_frontend_prefix_davio_orders_20260608_2306/ex284/aigs/ex284_unknown_layered_anf_davio_prefix_parity_reduce_deg0_endpoint.aig,1099,42,46158,transform=prefix_parity_reduce; threshold=0; order=endpoint; direct_terms=0; residual_terms=1964; direct_unique=0; residual_nodes_est=552; davio_nodes=955; hash=930050063c2d,unknown layered ANF/Davio Verilog seed
