case,candidate_id,hypothesis,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,runtime_sec,items,notes
ex280,ex280_unknown_layered_anf_davio_prefix_parity_reduce_deg0_endpoint,unknown_layered_anf_davio,prefix_parity_reduce_deg0_endpoint,student/work/ex280_ex284_frontend_prefix_davio_orders_20260608_2306/ex280/verilog/ex280_unknown_layered_anf_davio_prefix_parity_reduce_deg0_endpoint.v,student/work/ex280_ex284_frontend_prefix_davio_orders_20260608_2306/ex280/aigs/ex280_unknown_layered_anf_davio_prefix_parity_reduce_deg0_endpoint.aig,1,1,1,730,34,24820,0.773,transform=prefix_parity_reduce; threshold=0; order=endpoint; direct_terms=0; residual_terms=932; direct_unique=0; residual_nodes_est=344; davio_nodes=589; hash=f7f1c1aeb370,unknown layered ANF/Davio Verilog seed
ex280,ex280_unknown_layered_anf_davio_prefix_parity_reduce_deg0_endpoint_rev,unknown_layered_anf_davio,prefix_parity_reduce_deg0_endpoint_rev,student/work/ex280_ex284_frontend_prefix_davio_orders_20260608_2306/ex280/verilog/ex280_unknown_layered_anf_davio_prefix_parity_reduce_deg0_endpoint_rev.v,student/work/ex280_ex284_frontend_prefix_davio_orders_20260608_2306/ex280/aigs/ex280_unknown_layered_anf_davio_prefix_parity_reduce_deg0_endpoint_rev.aig,1,1,1,696,31,21576,0.775,transform=prefix_parity_reduce; threshold=0; order=endpoint_rev; direct_terms=0; residual_terms=932; direct_unique=0; residual_nodes_est=348; davio_nodes=591; hash=476df0b6dd0b,unknown layered ANF/Davio Verilog seed
ex281,ex281_unknown_layered_anf_davio_prefix_parity_reduce_deg0_endpoint,unknown_layered_anf_davio,prefix_parity_reduce_deg0_endpoint,student/work/ex280_ex284_frontend_prefix_davio_orders_20260608_2306/ex281/verilog/ex281_unknown_layered_anf_davio_prefix_parity_reduce_deg0_endpoint.v,student/work/ex280_ex284_frontend_prefix_davio_orders_20260608_2306/ex281/aigs/ex281_unknown_layered_anf_davio_prefix_parity_reduce_deg0_endpoint.aig,1,1,1,845,33,27885,1.376,transform=prefix_parity_reduce; threshold=0; order=endpoint; direct_terms=0; residual_terms=1160; direct_unique=0; residual_nodes_est=393; davio_nodes=677; hash=1a268012ece2,unknown layered ANF/Davio Verilog seed
ex281,ex281_unknown_layered_anf_davio_prefix_parity_reduce_deg0_endpoint_rev,unknown_layered_anf_davio,prefix_parity_reduce_deg0_endpoint_rev,student/work/ex280_ex284_frontend_prefix_davio_orders_20260608_2306/ex281/verilog/ex281_unknown_layered_anf_davio_prefix_parity_reduce_deg0_endpoint_rev.v,student/work/ex280_ex284_frontend_prefix_davio_orders_20260608_2306/ex281/aigs/ex281_unknown_layered_anf_davio_prefix_parity_reduce_deg0_endpoint_rev.aig,1,1,1,803,33,26499,1.361,transform=prefix_parity_reduce; threshold=0; order=endpoint_rev; direct_terms=0; residual_terms=1160; direct_unique=0; residual_nodes_est=406; davio_nodes=692; hash=31972c691faa,unknown layered ANF/Davio Verilog seed
ex282,ex282_unknown_layered_anf_davio_prefix_parity_reduce_deg0_endpoint,unknown_layered_anf_davio,prefix_parity_reduce_deg0_endpoint,student/work/ex280_ex284_frontend_prefix_davio_orders_20260608_2306/ex282/verilog/ex282_unknown_layered_anf_davio_prefix_parity_reduce_deg0_endpoint.v,student/work/ex280_ex284_frontend_prefix_davio_orders_20260608_2306/ex282/aigs/ex282_unknown_layered_anf_davio_prefix_parity_reduce_deg0_endpoint.aig,1,1,1,911,36,32796,2.675,transform=prefix_parity_reduce; threshold=0; order=endpoint; direct_terms=0; residual_terms=1400; direct_unique=0; residual_nodes_est=444; davio_nodes=764; hash=39ea966ee326,unknown layered ANF/Davio Verilog seed
ex282,ex282_unknown_layered_anf_davio_prefix_parity_reduce_deg0_endpoint_rev,unknown_layered_anf_davio,prefix_parity_reduce_deg0_endpoint_rev,student/work/ex280_ex284_frontend_prefix_davio_orders_20260608_2306/ex282/verilog/ex282_unknown_layered_anf_davio_prefix_parity_reduce_deg0_endpoint_rev.v,student/work/ex280_ex284_frontend_prefix_davio_orders_20260608_2306/ex282/aigs/ex282_unknown_layered_anf_davio_prefix_parity_reduce_deg0_endpoint_rev.aig,1,1,1,911,35,31885,2.601,transform=prefix_parity_reduce; threshold=0; order=endpoint_rev; direct_terms=0; residual_terms=1400; direct_unique=0; residual_nodes_est=454; davio_nodes=773; hash=47da28eb8de6,unknown layered ANF/Davio Verilog seed
ex283,ex283_unknown_layered_anf_davio_prefix_parity_reduce_deg0_endpoint,unknown_layered_anf_davio,prefix_parity_reduce_deg0_endpoint,student/work/ex280_ex284_frontend_prefix_davio_orders_20260608_2306/ex283/verilog/ex283_unknown_layered_anf_davio_prefix_parity_reduce_deg0_endpoint.v,student/work/ex280_ex284_frontend_prefix_davio_orders_20260608_2306/ex283/aigs/ex283_unknown_layered_anf_davio_prefix_parity_reduce_deg0_endpoint.aig,1,1,1,1037,43,44591,5.789,transform=prefix_parity_reduce; threshold=0; order=endpoint; direct_terms=0; residual_terms=1676; direct_unique=0; residual_nodes_est=497; davio_nodes=860; hash=8c4c3d7d1ab6,unknown layered ANF/Davio Verilog seed
ex283,ex283_unknown_layered_anf_davio_prefix_parity_reduce_deg0_endpoint_rev,unknown_layered_anf_davio,prefix_parity_reduce_deg0_endpoint_rev,student/work/ex280_ex284_frontend_prefix_davio_orders_20260608_2306/ex283/verilog/ex283_unknown_layered_anf_davio_prefix_parity_reduce_deg0_endpoint_rev.v,student/work/ex280_ex284_frontend_prefix_davio_orders_20260608_2306/ex283/aigs/ex283_unknown_layered_anf_davio_prefix_parity_reduce_deg0_endpoint_rev.aig,1,1,1,1034,35,36190,5.792,transform=prefix_parity_reduce; threshold=0; order=endpoint_rev; direct_terms=0; residual_terms=1676; direct_unique=0; residual_nodes_est=517; davio_nodes=883; hash=569d13e5d641,unknown layered ANF/Davio Verilog seed
ex284,ex284_unknown_layered_anf_davio_prefix_parity_reduce_deg0_endpoint,unknown_layered_anf_davio,prefix_parity_reduce_deg0_endpoint,student/work/ex280_ex284_frontend_prefix_davio_orders_20260608_2306/ex284/verilog/ex284_unknown_layered_anf_davio_prefix_parity_reduce_deg0_endpoint.v,student/work/ex280_ex284_frontend_prefix_davio_orders_20260608_2306/ex284/aigs/ex284_unknown_layered_anf_davio_prefix_parity_reduce_deg0_endpoint.aig,1,1,1,1099,42,46158,12.879,transform=prefix_parity_reduce; threshold=0; order=endpoint; direct_terms=0; residual_terms=1964; direct_unique=0; residual_nodes_est=552; davio_nodes=955; hash=930050063c2d,unknown layered ANF/Davio Verilog seed
ex284,ex284_unknown_layered_anf_davio_prefix_parity_reduce_deg0_endpoint_rev,unknown_layered_anf_davio,prefix_parity_reduce_deg0_endpoint_rev,student/work/ex280_ex284_frontend_prefix_davio_orders_20260608_2306/ex284/verilog/ex284_unknown_layered_anf_davio_prefix_parity_reduce_deg0_endpoint_rev.v,student/work/ex280_ex284_frontend_prefix_davio_orders_20260608_2306/ex284/aigs/ex284_unknown_layered_anf_davio_prefix_parity_reduce_deg0_endpoint_rev.aig,1,1,1,1136,44,49984,12.479,transform=prefix_parity_reduce; threshold=0; order=endpoint_rev; direct_terms=0; residual_terms=1964; direct_unique=0; residual_nodes_est=570; davio_nodes=973; hash=f7674b6cbd53,unknown layered ANF/Davio Verilog seed
