case,candidate_id,area,delay,adp,reference_adp,adp_ratio_to_reference,current_best_adp,delta_vs_current,beats_current,variant,items,notes
ex280,ex280_unknown_layered_anf_davio_prefix_parity_reduce_deg0_endpoint_rev,696,31,21576,2415,8.934161,17220,4356,0,prefix_parity_reduce_deg0_endpoint_rev,transform=prefix_parity_reduce; threshold=0; order=endpoint_rev; direct_terms=0; residual_terms=932; direct_unique=0; residual_nodes_est=348; davio_nodes=591; hash=476df0b6dd0b,unknown layered ANF/Davio Verilog seed
ex281,ex281_unknown_layered_anf_davio_prefix_parity_reduce_deg0_endpoint_rev,803,33,26499,2336,11.343750,20592,5907,0,prefix_parity_reduce_deg0_endpoint_rev,transform=prefix_parity_reduce; threshold=0; order=endpoint_rev; direct_terms=0; residual_terms=1160; direct_unique=0; residual_nodes_est=406; davio_nodes=692; hash=31972c691faa,unknown layered ANF/Davio Verilog seed
ex282,ex282_unknown_layered_anf_davio_prefix_parity_reduce_deg0_endpoint_rev,911,35,31885,2704,11.791790,28740,3145,0,prefix_parity_reduce_deg0_endpoint_rev,transform=prefix_parity_reduce; threshold=0; order=endpoint_rev; direct_terms=0; residual_terms=1400; direct_unique=0; residual_nodes_est=454; davio_nodes=773; hash=47da28eb8de6,unknown layered ANF/Davio Verilog seed
ex283,ex283_unknown_layered_anf_davio_prefix_parity_reduce_deg0_endpoint_rev,1034,35,36190,3168,11.423611,34317,1873,0,prefix_parity_reduce_deg0_endpoint_rev,transform=prefix_parity_reduce; threshold=0; order=endpoint_rev; direct_terms=0; residual_terms=1676; direct_unique=0; residual_nodes_est=517; davio_nodes=883; hash=569d13e5d641,unknown layered ANF/Davio Verilog seed
ex284,ex284_unknown_layered_anf_davio_prefix_parity_reduce_deg0_endpoint,1099,42,46158,4240,10.886321,42624,3534,0,prefix_parity_reduce_deg0_endpoint,transform=prefix_parity_reduce; threshold=0; order=endpoint; direct_terms=0; residual_terms=1964; direct_unique=0; residual_nodes_est=552; davio_nodes=955; hash=930050063c2d,unknown layered ANF/Davio Verilog seed
