case,candidate_id,equivalent,area,delay,adp,aig_path,notes
ex260,ex260_smul_direct_signed_abc_g_aig,1,116,20,2320,student/work/ex260_ex264_frontend_smul_struct_20260609_0223/ex260/aigs/ex260_smul_direct_signed_abc_g_aig.aig,exact signed low4 * signed high4 over 256 inputs; source=direct_signed; flow=abc_g_aig
ex260,ex260_smul_direct_signed_wreduce_abc_g_aig,1,116,20,2320,student/work/ex260_ex264_frontend_smul_struct_20260609_0223/ex260/aigs/ex260_smul_direct_signed_wreduce_abc_g_aig.aig,exact signed low4 * signed high4 over 256 inputs; source=direct_signed; flow=wreduce_abc_g_aig
ex260,ex260_smul_direct_signed_arith_wreduce_aig,1,116,20,2320,student/work/ex260_ex264_frontend_smul_struct_20260609_0223/ex260/aigs/ex260_smul_direct_signed_arith_wreduce_aig.aig,exact signed low4 * signed high4 over 256 inputs; source=direct_signed; flow=arith_wreduce_aig
ex260,ex260_smul_direct_signed_synth_preset_d13,1,114,20,2280,student/work/ex260_ex264_frontend_smul_struct_20260609_0223/ex260/aigs/ex260_smul_direct_signed_synth_preset_d13.aig,exact signed low4 * signed high4 over 256 inputs; source=direct_signed; flow=synth_preset_d13
ex260,ex260_smul_direct_signed_synth_preset_d18,1,114,20,2280,student/work/ex260_ex264_frontend_smul_struct_20260609_0223/ex260/aigs/ex260_smul_direct_signed_synth_preset_d18.aig,exact signed low4 * signed high4 over 256 inputs; source=direct_signed; flow=synth_preset_d18
ex260,ex260_smul_wide_signed_abc_g_aig,0,,,,student/work/ex260_ex264_frontend_smul_struct_20260609_0223/ex260/aigs/ex260_smul_wide_signed_abc_g_aig.aig,SynthError: Yosys failed exit=1; see student/work/ex260_ex264_frontend_smul_struct_20260609_0223/ex260/logs/ex260_smul_wide_signed_abc_g_aig.yosys.log
ex260,ex260_smul_wide_signed_wreduce_abc_g_aig,0,,,,student/work/ex260_ex264_frontend_smul_struct_20260609_0223/ex260/aigs/ex260_smul_wide_signed_wreduce_abc_g_aig.aig,SynthError: Yosys failed exit=1; see student/work/ex260_ex264_frontend_smul_struct_20260609_0223/ex260/logs/ex260_smul_wide_signed_wreduce_abc_g_aig.yosys.log
ex260,ex260_smul_wide_signed_arith_wreduce_aig,0,,,,student/work/ex260_ex264_frontend_smul_struct_20260609_0223/ex260/aigs/ex260_smul_wide_signed_arith_wreduce_aig.aig,SynthError: Yosys failed exit=1; see student/work/ex260_ex264_frontend_smul_struct_20260609_0223/ex260/logs/ex260_smul_wide_signed_arith_wreduce_aig.yosys.log
ex260,ex260_smul_wide_signed_synth_preset_d13,0,,,,student/work/ex260_ex264_frontend_smul_struct_20260609_0223/ex260/aigs/ex260_smul_wide_signed_synth_preset_d13.aig,SynthError: Yosys failed exit=1; see student/work/ex260_ex264_frontend_smul_struct_20260609_0223/ex260/logs/ex260_smul_wide_signed_synth_preset_d13.yosys.log
ex260,ex260_smul_wide_signed_synth_preset_d18,0,,,,student/work/ex260_ex264_frontend_smul_struct_20260609_0223/ex260/aigs/ex260_smul_wide_signed_synth_preset_d18.aig,SynthError: Yosys failed exit=1; see student/work/ex260_ex264_frontend_smul_struct_20260609_0223/ex260/logs/ex260_smul_wide_signed_synth_preset_d18.yosys.log
ex260,ex260_smul_abs_sign_direct_abc_g_aig,1,103,18,1854,student/work/ex260_ex264_frontend_smul_struct_20260609_0223/ex260/aigs/ex260_smul_abs_sign_direct_abc_g_aig.aig,exact signed low4 * signed high4 over 256 inputs; source=abs_sign_direct; flow=abc_g_aig
ex260,ex260_smul_abs_sign_direct_wreduce_abc_g_aig,1,103,18,1854,student/work/ex260_ex264_frontend_smul_struct_20260609_0223/ex260/aigs/ex260_smul_abs_sign_direct_wreduce_abc_g_aig.aig,exact signed low4 * signed high4 over 256 inputs; source=abs_sign_direct; flow=wreduce_abc_g_aig
ex260,ex260_smul_abs_sign_direct_arith_wreduce_aig,1,103,18,1854,student/work/ex260_ex264_frontend_smul_struct_20260609_0223/ex260/aigs/ex260_smul_abs_sign_direct_arith_wreduce_aig.aig,exact signed low4 * signed high4 over 256 inputs; source=abs_sign_direct; flow=arith_wreduce_aig
