case,domain,agent_id,hypothesis,method_signature,status,evidence_path,notes
ex287,unknown,local-ex287-symcof,hamming_weight_preserving_lossy_routing_normalizer,ex287|hamming_weight_preserving_lossy_routing_normalizer|symcof_outer_k5_onehot_group|known_three_pair_symmetry_key_and_class_mux_bdd_share|yosys_abc_g_aig_official_evaluate|exact_popcount_preserving_unknown|full_word_class_mux,EQUIVALENT_BUT_NO_FRONTEND_IMPROVEMENT,student/work/ex287_frontend_targeted_symcof_mux_probe_20260613_0407/local-ex287-symcof/ex287/notes/ex287_r25_symcof_f00_k5_onehot_group_abc_g_aig.md,"exact symmetry cofactor class-onehot model over 16384 inputs; pairs=4:5,6:7,8:9; order=interleave; policy=f00; mux_style=onehot; bdd_share=group; outer_bits=0:13:1:12:2; inner_bits=3:4:5:6:7:8:9:10:11; classes=32; group_nodes=138:138:129:124:162:117:124:96:104:111:104:114:119:106:133:125:133:119:125:113:135:119:119:109:129:114:134:127:110:92:133:117; total_group_nodes=3872; anf_bits=; key_bdd_bits=bits=:nodes=0; popcount_repair_bits=; parity_repair_bits="
ex287,unknown,local-ex287-symcof,hamming_weight_preserving_lossy_routing_normalizer,ex287|hamming_weight_preserving_lossy_routing_normalizer|symcof_outer_k5_case_group|known_three_pair_symmetry_key_and_class_mux_bdd_share|yosys_abc_g_aig_official_evaluate|exact_popcount_preserving_unknown|full_word_class_mux,EQUIVALENT_BUT_NO_FRONTEND_IMPROVEMENT,student/work/ex287_frontend_targeted_symcof_mux_probe_20260613_0407/local-ex287-symcof/ex287/notes/ex287_r25_symcof_f00_k5_case_group_abc_g_aig.md,"exact symmetry cofactor class-onehot model over 16384 inputs; pairs=4:5,6:7,8:9; order=interleave; policy=f00; mux_style=case; bdd_share=group; outer_bits=0:13:1:12:2; inner_bits=3:4:5:6:7:8:9:10:11; classes=32; group_nodes=138:138:129:124:162:117:124:96:104:111:104:114:119:106:133:125:133:119:125:113:135:119:119:109:129:114:134:127:110:92:133:117; total_group_nodes=3872; anf_bits=; key_bdd_bits=bits=:nodes=0; popcount_repair_bits=; parity_repair_bits="
ex287,unknown,local-ex287-symcof,hamming_weight_preserving_lossy_routing_normalizer,ex287|hamming_weight_preserving_lossy_routing_normalizer|symcof_outer_k5_tree_group|known_three_pair_symmetry_key_and_class_mux_bdd_share|yosys_abc_g_aig_official_evaluate|exact_popcount_preserving_unknown|full_word_class_mux,EQUIVALENT_BUT_NO_FRONTEND_IMPROVEMENT,student/work/ex287_frontend_targeted_symcof_mux_probe_20260613_0407/local-ex287-symcof/ex287/notes/ex287_r25_symcof_f00_k5_tree_group_abc_g_aig.md,"exact symmetry cofactor class-onehot model over 16384 inputs; pairs=4:5,6:7,8:9; order=interleave; policy=f00; mux_style=tree; bdd_share=group; outer_bits=0:13:1:12:2; inner_bits=3:4:5:6:7:8:9:10:11; classes=32; group_nodes=138:138:129:124:162:117:124:96:104:111:104:114:119:106:133:125:133:119:125:113:135:119:119:109:129:114:134:127:110:92:133:117; total_group_nodes=3872; anf_bits=; key_bdd_bits=bits=:nodes=0; popcount_repair_bits=; parity_repair_bits="
ex287,unknown,local-ex287-symcof,hamming_weight_preserving_lossy_routing_normalizer,ex287|hamming_weight_preserving_lossy_routing_normalizer|symcof_outer_k5_onehot_global|known_three_pair_symmetry_key_and_class_mux_bdd_share|yosys_abc_g_aig_official_evaluate|exact_popcount_preserving_unknown|full_word_class_mux,EQUIVALENT_BUT_NO_FRONTEND_IMPROVEMENT,student/work/ex287_frontend_targeted_symcof_mux_probe_20260613_0407/local-ex287-symcof/ex287/notes/ex287_r25_symcof_f00_k5_onehot_global_abc_g_aig.md,"exact symmetry cofactor class-onehot model over 16384 inputs; pairs=4:5,6:7,8:9; order=interleave; policy=f00; mux_style=onehot; bdd_share=global; outer_bits=0:13:1:12:2; inner_bits=3:4:5:6:7:8:9:10:11; classes=32; group_nodes=729:729:729:729:729:729:729:729:729:729:729:729:729:729:729:729:729:729:729:729:729:729:729:729:729:729:729:729:729:729:729:729; total_group_nodes=23328; anf_bits=; key_bdd_bits=bits=:nodes=0; popcount_repair_bits=; parity_repair_bits="
ex287,unknown,local-ex287-symcof,hamming_weight_preserving_lossy_routing_normalizer,ex287|hamming_weight_preserving_lossy_routing_normalizer|symcof_outer_k5_case_global|known_three_pair_symmetry_key_and_class_mux_bdd_share|yosys_abc_g_aig_official_evaluate|exact_popcount_preserving_unknown|full_word_class_mux,EQUIVALENT_BUT_NO_FRONTEND_IMPROVEMENT,student/work/ex287_frontend_targeted_symcof_mux_probe_20260613_0407/local-ex287-symcof/ex287/notes/ex287_r25_symcof_f00_k5_case_global_abc_g_aig.md,"exact symmetry cofactor class-onehot model over 16384 inputs; pairs=4:5,6:7,8:9; order=interleave; policy=f00; mux_style=case; bdd_share=global; outer_bits=0:13:1:12:2; inner_bits=3:4:5:6:7:8:9:10:11; classes=32; group_nodes=729:729:729:729:729:729:729:729:729:729:729:729:729:729:729:729:729:729:729:729:729:729:729:729:729:729:729:729:729:729:729:729; total_group_nodes=23328; anf_bits=; key_bdd_bits=bits=:nodes=0; popcount_repair_bits=; parity_repair_bits="
ex287,unknown,local-ex287-symcof,hamming_weight_preserving_lossy_routing_normalizer,ex287|hamming_weight_preserving_lossy_routing_normalizer|symcof_outer_k5_tree_global|known_three_pair_symmetry_key_and_class_mux_bdd_share|yosys_abc_g_aig_official_evaluate|exact_popcount_preserving_unknown|full_word_class_mux,EQUIVALENT_BUT_NO_FRONTEND_IMPROVEMENT,student/work/ex287_frontend_targeted_symcof_mux_probe_20260613_0407/local-ex287-symcof/ex287/notes/ex287_r25_symcof_f00_k5_tree_global_abc_g_aig.md,"exact symmetry cofactor class-onehot model over 16384 inputs; pairs=4:5,6:7,8:9; order=interleave; policy=f00; mux_style=tree; bdd_share=global; outer_bits=0:13:1:12:2; inner_bits=3:4:5:6:7:8:9:10:11; classes=32; group_nodes=729:729:729:729:729:729:729:729:729:729:729:729:729:729:729:729:729:729:729:729:729:729:729:729:729:729:729:729:729:729:729:729; total_group_nodes=23328; anf_bits=; key_bdd_bits=bits=:nodes=0; popcount_repair_bits=; parity_repair_bits="
ex287,unknown,local-ex287-symcof,hamming_weight_preserving_lossy_routing_normalizer,ex287|hamming_weight_preserving_lossy_routing_normalizer|symcof_outer_k5_onehot_group|known_three_pair_symmetry_key_and_class_mux_bdd_share|yosys_abc_g_aig_official_evaluate|exact_popcount_preserving_unknown|full_word_class_mux,EQUIVALENT_BUT_NO_FRONTEND_IMPROVEMENT,student/work/ex287_frontend_targeted_symcof_mux_probe_20260613_0407/local-ex287-symcof/ex287/notes/ex287_r25_symcof_f10_k5_onehot_group_abc_g_aig.md,"exact symmetry cofactor class-onehot model over 16384 inputs; pairs=4:5,6:7,8:9; order=interleave; policy=f10; mux_style=onehot; bdd_share=group; outer_bits=0:13:1:12:2; inner_bits=3:4:5:6:7:8:9:10:11; classes=32; group_nodes=166:158:155:142:190:147:149:125:118:134:117:137:136:125:161:160:154:146:142:142:167:153:149:142:157:134:162:153:136:119:178:163; total_group_nodes=4717; anf_bits=; key_bdd_bits=bits=:nodes=0; popcount_repair_bits=; parity_repair_bits="
ex287,unknown,local-ex287-symcof,hamming_weight_preserving_lossy_routing_normalizer,ex287|hamming_weight_preserving_lossy_routing_normalizer|symcof_outer_k5_case_group|known_three_pair_symmetry_key_and_class_mux_bdd_share|yosys_abc_g_aig_official_evaluate|exact_popcount_preserving_unknown|full_word_class_mux,EQUIVALENT_BUT_NO_FRONTEND_IMPROVEMENT,student/work/ex287_frontend_targeted_symcof_mux_probe_20260613_0407/local-ex287-symcof/ex287/notes/ex287_r25_symcof_f10_k5_case_group_abc_g_aig.md,"exact symmetry cofactor class-onehot model over 16384 inputs; pairs=4:5,6:7,8:9; order=interleave; policy=f10; mux_style=case; bdd_share=group; outer_bits=0:13:1:12:2; inner_bits=3:4:5:6:7:8:9:10:11; classes=32; group_nodes=166:158:155:142:190:147:149:125:118:134:117:137:136:125:161:160:154:146:142:142:167:153:149:142:157:134:162:153:136:119:178:163; total_group_nodes=4717; anf_bits=; key_bdd_bits=bits=:nodes=0; popcount_repair_bits=; parity_repair_bits="
ex287,unknown,local-ex287-symcof,hamming_weight_preserving_lossy_routing_normalizer,ex287|hamming_weight_preserving_lossy_routing_normalizer|symcof_outer_k5_tree_group|known_three_pair_symmetry_key_and_class_mux_bdd_share|yosys_abc_g_aig_official_evaluate|exact_popcount_preserving_unknown|full_word_class_mux,EQUIVALENT_BUT_NO_FRONTEND_IMPROVEMENT,student/work/ex287_frontend_targeted_symcof_mux_probe_20260613_0407/local-ex287-symcof/ex287/notes/ex287_r25_symcof_f10_k5_tree_group_abc_g_aig.md,"exact symmetry cofactor class-onehot model over 16384 inputs; pairs=4:5,6:7,8:9; order=interleave; policy=f10; mux_style=tree; bdd_share=group; outer_bits=0:13:1:12:2; inner_bits=3:4:5:6:7:8:9:10:11; classes=32; group_nodes=166:158:155:142:190:147:149:125:118:134:117:137:136:125:161:160:154:146:142:142:167:153:149:142:157:134:162:153:136:119:178:163; total_group_nodes=4717; anf_bits=; key_bdd_bits=bits=:nodes=0; popcount_repair_bits=; parity_repair_bits="
ex287,unknown,local-ex287-symcof,hamming_weight_preserving_lossy_routing_normalizer,ex287|hamming_weight_preserving_lossy_routing_normalizer|symcof_outer_k5_onehot_global|known_three_pair_symmetry_key_and_class_mux_bdd_share|yosys_abc_g_aig_official_evaluate|exact_popcount_preserving_unknown|full_word_class_mux,EQUIVALENT_BUT_NO_FRONTEND_IMPROVEMENT,student/work/ex287_frontend_targeted_symcof_mux_probe_20260613_0407/local-ex287-symcof/ex287/notes/ex287_r25_symcof_f10_k5_onehot_global_abc_g_aig.md,"exact symmetry cofactor class-onehot model over 16384 inputs; pairs=4:5,6:7,8:9; order=interleave; policy=f10; mux_style=onehot; bdd_share=global; outer_bits=0:13:1:12:2; inner_bits=3:4:5:6:7:8:9:10:11; classes=32; group_nodes=777:777:777:777:777:777:777:777:777:777:777:777:777:777:777:777:777:777:777:777:777:777:777:777:777:777:777:777:777:777:777:777; total_group_nodes=24864; anf_bits=; key_bdd_bits=bits=:nodes=0; popcount_repair_bits=; parity_repair_bits="
