case,candidate_id,hypothesis,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,runtime_sec,classification,notes
ex266,ex266_udiv_ex266_cof_b4_b2_bitbdd_synth_preset_d12,unsigned low5_high5:a/b dbz=max,ex266_cof_b4_b2_bitbdd+synth_preset_d12,student/work/ex266_frontend_udiv_selector_probe_20260609_1118/ex266/verilog/ex266_udiv_ex266_cof_b4_b2_bitbdd.v,student/work/ex266_frontend_udiv_selector_probe_20260609_1118/ex266/aigs/ex266_udiv_ex266_cof_b4_b2_bitbdd_synth_preset_d12.aig,1,1,1,148,13,1924,848,2.268868,0,0,0.314,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=ex266_cof_b4_b2_bitbdd; flow=synth_preset_d12
ex266,ex266_udiv_ex266_cof_b4_b0_bitbdd_abc_g_aig,unsigned low5_high5:a/b dbz=max,ex266_cof_b4_b0_bitbdd+abc_g_aig,student/work/ex266_frontend_udiv_selector_probe_20260609_1118/ex266/verilog/ex266_udiv_ex266_cof_b4_b0_bitbdd.v,student/work/ex266_frontend_udiv_selector_probe_20260609_1118/ex266/aigs/ex266_udiv_ex266_cof_b4_b0_bitbdd_abc_g_aig.aig,1,1,1,180,12,2160,848,2.547170,0,0,0.239,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=ex266_cof_b4_b0_bitbdd; flow=abc_g_aig
ex266,ex266_udiv_ex266_cof_b4_b0_bitbdd_wreduce_abc_g_aig,unsigned low5_high5:a/b dbz=max,ex266_cof_b4_b0_bitbdd+wreduce_abc_g_aig,student/work/ex266_frontend_udiv_selector_probe_20260609_1118/ex266/verilog/ex266_udiv_ex266_cof_b4_b0_bitbdd.v,student/work/ex266_frontend_udiv_selector_probe_20260609_1118/ex266/aigs/ex266_udiv_ex266_cof_b4_b0_bitbdd_wreduce_abc_g_aig.aig,1,1,1,180,12,2160,848,2.547170,0,0,0.251,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=ex266_cof_b4_b0_bitbdd; flow=wreduce_abc_g_aig
ex266,ex266_udiv_ex266_cof_b4_b0_bitbdd_synth_preset,unsigned low5_high5:a/b dbz=max,ex266_cof_b4_b0_bitbdd+synth_preset,student/work/ex266_frontend_udiv_selector_probe_20260609_1118/ex266/verilog/ex266_udiv_ex266_cof_b4_b0_bitbdd.v,student/work/ex266_frontend_udiv_selector_probe_20260609_1118/ex266/aigs/ex266_udiv_ex266_cof_b4_b0_bitbdd_synth_preset.aig,1,1,1,173,12,2076,848,2.448113,0,0,0.325,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=ex266_cof_b4_b0_bitbdd; flow=synth_preset
ex266,ex266_udiv_ex266_cof_b4_b0_bitbdd_synth_preset_d8,unsigned low5_high5:a/b dbz=max,ex266_cof_b4_b0_bitbdd+synth_preset_d8,student/work/ex266_frontend_udiv_selector_probe_20260609_1118/ex266/verilog/ex266_udiv_ex266_cof_b4_b0_bitbdd.v,student/work/ex266_frontend_udiv_selector_probe_20260609_1118/ex266/aigs/ex266_udiv_ex266_cof_b4_b0_bitbdd_synth_preset_d8.aig,1,1,1,173,12,2076,848,2.448113,0,0,0.328,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=ex266_cof_b4_b0_bitbdd; flow=synth_preset_d8
ex266,ex266_udiv_ex266_cof_b4_b0_bitbdd_synth_preset_d10,unsigned low5_high5:a/b dbz=max,ex266_cof_b4_b0_bitbdd+synth_preset_d10,student/work/ex266_frontend_udiv_selector_probe_20260609_1118/ex266/verilog/ex266_udiv_ex266_cof_b4_b0_bitbdd.v,student/work/ex266_frontend_udiv_selector_probe_20260609_1118/ex266/aigs/ex266_udiv_ex266_cof_b4_b0_bitbdd_synth_preset_d10.aig,1,1,1,173,12,2076,848,2.448113,0,0,0.324,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=ex266_cof_b4_b0_bitbdd; flow=synth_preset_d10
ex266,ex266_udiv_ex266_cof_b4_b0_bitbdd_synth_preset_d12,unsigned low5_high5:a/b dbz=max,ex266_cof_b4_b0_bitbdd+synth_preset_d12,student/work/ex266_frontend_udiv_selector_probe_20260609_1118/ex266/verilog/ex266_udiv_ex266_cof_b4_b0_bitbdd.v,student/work/ex266_frontend_udiv_selector_probe_20260609_1118/ex266/aigs/ex266_udiv_ex266_cof_b4_b0_bitbdd_synth_preset_d12.aig,1,1,1,173,12,2076,848,2.448113,0,0,0.329,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=ex266_cof_b4_b0_bitbdd; flow=synth_preset_d12
ex266,ex266_udiv_ex266_cof_b3_b1_bitbdd_abc_g_aig,unsigned low5_high5:a/b dbz=max,ex266_cof_b3_b1_bitbdd+abc_g_aig,student/work/ex266_frontend_udiv_selector_probe_20260609_1118/ex266/verilog/ex266_udiv_ex266_cof_b3_b1_bitbdd.v,student/work/ex266_frontend_udiv_selector_probe_20260609_1118/ex266/aigs/ex266_udiv_ex266_cof_b3_b1_bitbdd_abc_g_aig.aig,1,1,1,171,12,2052,848,2.419811,0,0,0.241,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=ex266_cof_b3_b1_bitbdd; flow=abc_g_aig
ex266,ex266_udiv_ex266_cof_b3_b1_bitbdd_wreduce_abc_g_aig,unsigned low5_high5:a/b dbz=max,ex266_cof_b3_b1_bitbdd+wreduce_abc_g_aig,student/work/ex266_frontend_udiv_selector_probe_20260609_1118/ex266/verilog/ex266_udiv_ex266_cof_b3_b1_bitbdd.v,student/work/ex266_frontend_udiv_selector_probe_20260609_1118/ex266/aigs/ex266_udiv_ex266_cof_b3_b1_bitbdd_wreduce_abc_g_aig.aig,1,1,1,171,12,2052,848,2.419811,0,0,0.275,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=ex266_cof_b3_b1_bitbdd; flow=wreduce_abc_g_aig
ex266,ex266_udiv_ex266_cof_b3_b1_bitbdd_synth_preset,unsigned low5_high5:a/b dbz=max,ex266_cof_b3_b1_bitbdd+synth_preset,student/work/ex266_frontend_udiv_selector_probe_20260609_1118/ex266/verilog/ex266_udiv_ex266_cof_b3_b1_bitbdd.v,student/work/ex266_frontend_udiv_selector_probe_20260609_1118/ex266/aigs/ex266_udiv_ex266_cof_b3_b1_bitbdd_synth_preset.aig,1,1,1,167,13,2171,848,2.560142,0,0,0.311,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=ex266_cof_b3_b1_bitbdd; flow=synth_preset
ex266,ex266_udiv_ex266_cof_b3_b1_bitbdd_synth_preset_d8,unsigned low5_high5:a/b dbz=max,ex266_cof_b3_b1_bitbdd+synth_preset_d8,student/work/ex266_frontend_udiv_selector_probe_20260609_1118/ex266/verilog/ex266_udiv_ex266_cof_b3_b1_bitbdd.v,student/work/ex266_frontend_udiv_selector_probe_20260609_1118/ex266/aigs/ex266_udiv_ex266_cof_b3_b1_bitbdd_synth_preset_d8.aig,1,1,1,167,13,2171,848,2.560142,0,0,0.322,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=ex266_cof_b3_b1_bitbdd; flow=synth_preset_d8
ex266,ex266_udiv_ex266_cof_b3_b1_bitbdd_synth_preset_d10,unsigned low5_high5:a/b dbz=max,ex266_cof_b3_b1_bitbdd+synth_preset_d10,student/work/ex266_frontend_udiv_selector_probe_20260609_1118/ex266/verilog/ex266_udiv_ex266_cof_b3_b1_bitbdd.v,student/work/ex266_frontend_udiv_selector_probe_20260609_1118/ex266/aigs/ex266_udiv_ex266_cof_b3_b1_bitbdd_synth_preset_d10.aig,1,1,1,167,13,2171,848,2.560142,0,0,0.328,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=ex266_cof_b3_b1_bitbdd; flow=synth_preset_d10
ex266,ex266_udiv_ex266_cof_b3_b1_bitbdd_synth_preset_d12,unsigned low5_high5:a/b dbz=max,ex266_cof_b3_b1_bitbdd+synth_preset_d12,student/work/ex266_frontend_udiv_selector_probe_20260609_1118/ex266/verilog/ex266_udiv_ex266_cof_b3_b1_bitbdd.v,student/work/ex266_frontend_udiv_selector_probe_20260609_1118/ex266/aigs/ex266_udiv_ex266_cof_b3_b1_bitbdd_synth_preset_d12.aig,1,1,1,167,13,2171,848,2.560142,0,0,0.313,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=ex266_cof_b3_b1_bitbdd; flow=synth_preset_d12
