case,output_bit,order_name,input_width,output_width,selected_features,key_width,mapped_keys,on_keys,off_keys,sampled_on_keys,best_cube_on_cover,best_cube_literals,best_cube_free_bits,avg_sample_cover,cube_count_lower_bound
ex287,3,middle,14,14,xor6_7:xor8_9:raw13:raw12,16,6912,3456,3456,256,108,5,11,44.211,32
ex287,4,lsb,14,14,xor6_7:xor8_9:raw13:raw12,16,6912,3363,3549,256,108,5,11,24.355,32
ex287,4,msb,14,14,xor6_7:xor8_9:raw13:raw12,16,6912,3363,3549,256,108,6,10,32.035,32
ex287,4,middle,14,14,xor6_7:xor8_9:raw13:raw12,16,6912,3363,3549,256,108,5,11,36.320,32
ex287,5,lsb,14,14,xor6_7:xor8_9:raw13:raw12,16,6912,3389,3523,256,108,5,11,24.652,32
ex287,5,msb,14,14,xor6_7:xor8_9:raw13:raw12,16,6912,3389,3523,256,108,6,10,28.348,32
ex287,5,middle,14,14,xor6_7:xor8_9:raw13:raw12,16,6912,3389,3523,256,108,5,11,33.164,32
ex287,6,lsb,14,14,xor6_7:xor8_9:raw13:raw12,16,6912,3456,3456,256,192,5,11,42.914,18
ex287,6,msb,14,14,xor6_7:xor8_9:raw13:raw12,16,6912,3456,3456,256,192,5,11,50.125,18
ex287,6,middle,14,14,xor6_7:xor8_9:raw13:raw12,16,6912,3456,3456,256,192,5,11,45.035,18
ex287,7,lsb,14,14,xor6_7:xor8_9:raw13:raw12,16,6912,3456,3456,256,192,5,11,43.977,18
ex287,7,msb,14,14,xor6_7:xor8_9:raw13:raw12,16,6912,3456,3456,256,192,5,11,50.281,18
ex287,7,middle,14,14,xor6_7:xor8_9:raw13:raw12,16,6912,3456,3456,256,192,5,11,47.406,18
ex287,8,lsb,14,14,xor6_7:xor8_9:raw13:raw12,16,6912,3531,3381,256,108,5,11,29.344,33
ex287,8,msb,14,14,xor6_7:xor8_9:raw13:raw12,16,6912,3531,3381,256,108,6,10,32.082,33
ex287,8,middle,14,14,xor6_7:xor8_9:raw13:raw12,16,6912,3531,3381,256,108,5,11,34.578,33
ex287,9,lsb,14,14,xor6_7:xor8_9:raw13:raw12,16,6912,3514,3398,256,108,5,11,27.176,33
ex287,9,msb,14,14,xor6_7:xor8_9:raw13:raw12,16,6912,3514,3398,256,108,6,10,30.785,33
ex287,9,middle,14,14,xor6_7:xor8_9:raw13:raw12,16,6912,3514,3398,256,108,5,11,34.891,33
ex287,10,lsb,14,14,xor6_7:xor8_9:raw13:raw12,16,6912,3456,3456,256,108,6,10,31.980,32
ex287,10,msb,14,14,xor6_7:xor8_9:raw13:raw12,16,6912,3456,3456,256,108,6,10,29.648,32
ex287,10,middle,14,14,xor6_7:xor8_9:raw13:raw12,16,6912,3456,3456,256,108,5,11,38.914,32
ex287,11,lsb,14,14,xor6_7:xor8_9:raw13:raw12,16,6912,3456,3456,256,108,5,11,38.129,32
ex287,11,msb,14,14,xor6_7:xor8_9:raw13:raw12,16,6912,3456,3456,256,108,6,10,35.914,32
ex287,11,middle,14,14,xor6_7:xor8_9:raw13:raw12,16,6912,3456,3456,256,108,5,11,47.715,32
ex287,12,lsb,14,14,xor6_7:xor8_9:raw13:raw12,16,6912,3549,3363,256,108,5,11,29.109,33
ex287,12,msb,14,14,xor6_7:xor8_9:raw13:raw12,16,6912,3549,3363,256,108,6,10,28.898,33
ex287,12,middle,14,14,xor6_7:xor8_9:raw13:raw12,16,6912,3549,3363,256,108,5,11,37.602,33
ex287,13,lsb,14,14,xor6_7:xor8_9:raw13:raw12,16,6912,3523,3389,256,108,5,11,29.586,33
ex287,13,msb,14,14,xor6_7:xor8_9:raw13:raw12,16,6912,3523,3389,256,108,6,10,28.664,33
ex287,13,middle,14,14,xor6_7:xor8_9:raw13:raw12,16,6912,3523,3389,256,108,5,11,35.152,33
ex288,0,lsb,15,15,raw13:raw10:xor6_7,16,13824,6811,7013,256,108,7,9,32.953,64
ex288,0,msb,15,15,raw13:raw10:xor6_7,16,13824,6811,7013,256,144,7,9,36.223,48
ex288,0,middle,15,15,raw13:raw10:xor6_7,16,13824,6811,7013,256,144,7,9,37.094,48
ex288,1,lsb,15,15,raw13:raw10:xor6_7,16,13824,6912,6912,256,432,5,11,57.031,16
ex288,1,msb,15,15,raw13:raw10:xor6_7,16,13824,6912,6912,256,432,5,11,56.449,16
ex288,1,middle,15,15,raw13:raw10:xor6_7,16,13824,6912,6912,256,432,5,11,62.574,16
ex288,2,lsb,15,15,raw13:raw10:xor6_7,16,13824,6814,7010,256,216,6,10,35.297,32
ex288,2,msb,15,15,raw13:raw10:xor6_7,16,13824,6814,7010,256,216,6,10,40.293,32
ex288,2,middle,15,15,raw13:raw10:xor6_7,16,13824,6814,7010,256,216,6,10,43.594,32
ex288,3,lsb,15,15,raw13:raw10:xor6_7,16,13824,6912,6912,256,432,5,11,65.184,16
ex288,3,msb,15,15,raw13:raw10:xor6_7,16,13824,6912,6912,256,432,5,11,57.113,16
