case,candidate_id,hypothesis/function_guess,variant,verilog_path,aig_path,verified_truth,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,classification,notes,evaluate_py_ok,evaluate_py_adp,evaluate_py_returncode,evaluate_py_notes
ex223,ex223_fp16_log_balanced_ranges_t128,fp16_log,balanced_ranges_t128,student/work/ex223_ex224_frontend_fp16_log_ranges_20260606_2256/ex223/verilog/ex223_fp16_log_balanced_ranges_t128.v,student/work/ex223_ex224_frontend_fp16_log_ranges_20260606_2256/ex223/aigs/ex223_fp16_log_balanced_ranges_t128.aig,1,1,12009,26,312234,120549,2.590100,0,0,structural_exact,balanced range-tree FP16 log candidate; threshold=128; range_groups=6; table_groups=24; range_items=538; table_items=24576,1,312234,0,
ex224,ex224_fp16_log2_balanced_ranges_t128,fp16_log2,balanced_ranges_t128,student/work/ex223_ex224_frontend_fp16_log_ranges_20260606_2256/ex224/verilog/ex224_fp16_log2_balanced_ranges_t128.v,student/work/ex223_ex224_frontend_fp16_log_ranges_20260606_2256/ex224/aigs/ex224_fp16_log2_balanced_ranges_t128.aig,1,1,6388,23,146924,64708,2.270569,0,0,structural_exact,balanced range-tree FP16 log candidate; threshold=128; range_groups=0; table_groups=30; range_items=0; table_items=30720,1,146924,0,
