case,candidate_id,hypothesis,variant,verilog_path,aig_path,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,classification,notes
ex260,ex260_smul_booth_radix4_csa_cla_abc_g_aig,signed low4_high4:a*b,booth_radix4_csa_cla+abc_g_aig,student/work/ex260_ex264_frontend_smul_booth_parallel_20260609_0239/ex260/verilog/ex260_smul_booth_radix4_csa_cla.v,student/work/ex260_ex264_frontend_smul_booth_parallel_20260609_0239/ex260/aigs/ex260_smul_booth_radix4_csa_cla_abc_g_aig.aig,102,16,1632,657,2.484018,0,0,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=booth_radix4_csa_cla; flow=abc_g_aig
ex261,ex261_smul_split_half_signed_synth_preset_d13,signed low5_high5:a*b,split_half_signed+synth_preset_d13,student/work/ex260_ex264_frontend_smul_booth_parallel_20260609_0239/ex261/verilog/ex261_smul_split_half_signed.v,student/work/ex260_ex264_frontend_smul_booth_parallel_20260609_0239/ex261/aigs/ex261_smul_split_half_signed_synth_preset_d13.aig,179,21,3759,2041,1.841744,0,0,semantic_signed_mul_exact,exact signed low5 * signed high5 over 1024 inputs; source=split_half_signed; flow=synth_preset_d13
ex262,ex262_smul_booth_radix4_balanced_abc_g_aig,signed low6_high6:a*b,booth_radix4_balanced+abc_g_aig,student/work/ex260_ex264_frontend_smul_booth_parallel_20260609_0239/ex262/verilog/ex262_smul_booth_radix4_balanced.v,student/work/ex260_ex264_frontend_smul_booth_parallel_20260609_0239/ex262/aigs/ex262_smul_booth_radix4_balanced_abc_g_aig.aig,246,28,6888,4900,1.405714,1,0,semantic_signed_mul_exact,exact signed low6 * signed high6 over 4096 inputs; source=booth_radix4_balanced; flow=abc_g_aig
ex263,ex263_smul_booth_radix4_balanced_abc_g_aig,signed low7_high7:a*b,booth_radix4_balanced+abc_g_aig,student/work/ex260_ex264_frontend_smul_booth_parallel_20260609_0239/ex263/verilog/ex263_smul_booth_radix4_balanced.v,student/work/ex260_ex264_frontend_smul_booth_parallel_20260609_0239/ex263/aigs/ex263_smul_booth_radix4_balanced_abc_g_aig.aig,356,32,11392,6840,1.665497,0,0,semantic_signed_mul_exact,exact signed low7 * signed high7 over 16384 inputs; source=booth_radix4_balanced; flow=abc_g_aig
ex264,ex264_smul_booth_radix4_balanced_wreduce_abc_g_aig,signed low8_high8:a*b,booth_radix4_balanced+wreduce_abc_g_aig,student/work/ex260_ex264_frontend_smul_booth_parallel_20260609_0239/ex264/verilog/ex264_smul_booth_radix4_balanced.v,student/work/ex260_ex264_frontend_smul_booth_parallel_20260609_0239/ex264/aigs/ex264_smul_booth_radix4_balanced_wreduce_abc_g_aig.aig,458,36,16488,9724,1.695599,0,0,semantic_signed_mul_exact,exact signed low8 * signed high8 over 65536 inputs; source=booth_radix4_balanced; flow=wreduce_abc_g_aig
