case,candidate_id,hypothesis,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,runtime_sec,classification,notes
ex260,ex260_smul_booth_radix4_balanced_abc_g_aig,signed low4_high4:a*b,booth_radix4_balanced+abc_g_aig,student/work/ex260_ex264_frontend_smul_booth_parallel_20260609_0239/ex260/verilog/ex260_smul_booth_radix4_balanced.v,student/work/ex260_ex264_frontend_smul_booth_parallel_20260609_0239/ex260/aigs/ex260_smul_booth_radix4_balanced_abc_g_aig.aig,1,1,1,103,16,1648,657,2.508371,0,0,0.233,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=booth_radix4_balanced; flow=abc_g_aig
ex260,ex260_smul_booth_radix4_balanced_wreduce_abc_g_aig,signed low4_high4:a*b,booth_radix4_balanced+wreduce_abc_g_aig,student/work/ex260_ex264_frontend_smul_booth_parallel_20260609_0239/ex260/verilog/ex260_smul_booth_radix4_balanced.v,student/work/ex260_ex264_frontend_smul_booth_parallel_20260609_0239/ex260/aigs/ex260_smul_booth_radix4_balanced_wreduce_abc_g_aig.aig,1,1,1,103,16,1648,657,2.508371,0,0,0.232,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=booth_radix4_balanced; flow=wreduce_abc_g_aig
ex260,ex260_smul_booth_radix4_balanced_synth_preset_d9,signed low4_high4:a*b,booth_radix4_balanced+synth_preset_d9,student/work/ex260_ex264_frontend_smul_booth_parallel_20260609_0239/ex260/verilog/ex260_smul_booth_radix4_balanced.v,student/work/ex260_ex264_frontend_smul_booth_parallel_20260609_0239/ex260/aigs/ex260_smul_booth_radix4_balanced_synth_preset_d9.aig,1,1,1,103,16,1648,657,2.508371,0,0,0.284,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=booth_radix4_balanced; flow=synth_preset_d9
ex260,ex260_smul_booth_radix4_balanced_synth_preset_d13,signed low4_high4:a*b,booth_radix4_balanced+synth_preset_d13,student/work/ex260_ex264_frontend_smul_booth_parallel_20260609_0239/ex260/verilog/ex260_smul_booth_radix4_balanced.v,student/work/ex260_ex264_frontend_smul_booth_parallel_20260609_0239/ex260/aigs/ex260_smul_booth_radix4_balanced_synth_preset_d13.aig,1,1,1,103,16,1648,657,2.508371,0,0,0.297,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=booth_radix4_balanced; flow=synth_preset_d13
ex260,ex260_smul_booth_radix4_balanced_synth_preset_d18,signed low4_high4:a*b,booth_radix4_balanced+synth_preset_d18,student/work/ex260_ex264_frontend_smul_booth_parallel_20260609_0239/ex260/verilog/ex260_smul_booth_radix4_balanced.v,student/work/ex260_ex264_frontend_smul_booth_parallel_20260609_0239/ex260/aigs/ex260_smul_booth_radix4_balanced_synth_preset_d18.aig,1,1,1,103,16,1648,657,2.508371,0,0,0.293,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=booth_radix4_balanced; flow=synth_preset_d18
ex260,ex260_smul_booth_radix4_balanced_abc_g_aig_d13,signed low4_high4:a*b,booth_radix4_balanced+abc_g_aig_d13,student/work/ex260_ex264_frontend_smul_booth_parallel_20260609_0239/ex260/verilog/ex260_smul_booth_radix4_balanced.v,student/work/ex260_ex264_frontend_smul_booth_parallel_20260609_0239/ex260/aigs/ex260_smul_booth_radix4_balanced_abc_g_aig_d13.aig,1,1,1,103,16,1648,657,2.508371,0,0,0.255,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=booth_radix4_balanced; flow=abc_g_aig_d13
ex260,ex260_smul_booth_radix4_csa_cla_abc_g_aig,signed low4_high4:a*b,booth_radix4_csa_cla+abc_g_aig,student/work/ex260_ex264_frontend_smul_booth_parallel_20260609_0239/ex260/verilog/ex260_smul_booth_radix4_csa_cla.v,student/work/ex260_ex264_frontend_smul_booth_parallel_20260609_0239/ex260/aigs/ex260_smul_booth_radix4_csa_cla_abc_g_aig.aig,1,1,1,102,16,1632,657,2.484018,0,0,0.232,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=booth_radix4_csa_cla; flow=abc_g_aig
ex260,ex260_smul_booth_radix4_csa_cla_wreduce_abc_g_aig,signed low4_high4:a*b,booth_radix4_csa_cla+wreduce_abc_g_aig,student/work/ex260_ex264_frontend_smul_booth_parallel_20260609_0239/ex260/verilog/ex260_smul_booth_radix4_csa_cla.v,student/work/ex260_ex264_frontend_smul_booth_parallel_20260609_0239/ex260/aigs/ex260_smul_booth_radix4_csa_cla_wreduce_abc_g_aig.aig,1,1,1,102,16,1632,657,2.484018,0,0,0.232,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=booth_radix4_csa_cla; flow=wreduce_abc_g_aig
ex260,ex260_smul_booth_radix4_csa_cla_synth_preset_d9,signed low4_high4:a*b,booth_radix4_csa_cla+synth_preset_d9,student/work/ex260_ex264_frontend_smul_booth_parallel_20260609_0239/ex260/verilog/ex260_smul_booth_radix4_csa_cla.v,student/work/ex260_ex264_frontend_smul_booth_parallel_20260609_0239/ex260/aigs/ex260_smul_booth_radix4_csa_cla_synth_preset_d9.aig,1,1,1,102,16,1632,657,2.484018,0,0,0.297,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=booth_radix4_csa_cla; flow=synth_preset_d9
ex260,ex260_smul_booth_radix4_csa_cla_synth_preset_d13,signed low4_high4:a*b,booth_radix4_csa_cla+synth_preset_d13,student/work/ex260_ex264_frontend_smul_booth_parallel_20260609_0239/ex260/verilog/ex260_smul_booth_radix4_csa_cla.v,student/work/ex260_ex264_frontend_smul_booth_parallel_20260609_0239/ex260/aigs/ex260_smul_booth_radix4_csa_cla_synth_preset_d13.aig,1,1,1,102,16,1632,657,2.484018,0,0,0.311,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=booth_radix4_csa_cla; flow=synth_preset_d13
ex260,ex260_smul_booth_radix4_csa_cla_synth_preset_d18,signed low4_high4:a*b,booth_radix4_csa_cla+synth_preset_d18,student/work/ex260_ex264_frontend_smul_booth_parallel_20260609_0239/ex260/verilog/ex260_smul_booth_radix4_csa_cla.v,student/work/ex260_ex264_frontend_smul_booth_parallel_20260609_0239/ex260/aigs/ex260_smul_booth_radix4_csa_cla_synth_preset_d18.aig,1,1,1,102,16,1632,657,2.484018,0,0,0.324,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=booth_radix4_csa_cla; flow=synth_preset_d18
