case,candidate_id,hypothesis,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,runtime_sec,classification,notes
ex273,ex273_square_hybrid_bddtop8_abc_g_aig,unsigned_square_x_times_x,hybrid_bddtop8+abc_g_aig,student/work/ex273_ex274_frontend_square_hybrid_bddtop_deep_20260609_1240/ex273/verilog/ex273_square_hybrid_bddtop8.v,student/work/ex273_ex274_frontend_square_hybrid_bddtop_deep_20260609_1240/ex273/aigs/ex273_square_hybrid_bddtop8_abc_g_aig.aig,1,1,1,1755,29,50895,15078,3.375448,0,0,1.073,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=hybrid_bddtop8; flow=abc_g_aig
ex273,ex273_square_hybrid_bddtop8_wreduce_abc_g_aig,unsigned_square_x_times_x,hybrid_bddtop8+wreduce_abc_g_aig,student/work/ex273_ex274_frontend_square_hybrid_bddtop_deep_20260609_1240/ex273/verilog/ex273_square_hybrid_bddtop8.v,student/work/ex273_ex274_frontend_square_hybrid_bddtop_deep_20260609_1240/ex273/aigs/ex273_square_hybrid_bddtop8_wreduce_abc_g_aig.aig,1,1,1,1759,29,51011,15078,3.383141,0,0,1.106,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=hybrid_bddtop8; flow=wreduce_abc_g_aig
ex273,ex273_square_hybrid_bddtop8_synth_preset,unsigned_square_x_times_x,hybrid_bddtop8+synth_preset,student/work/ex273_ex274_frontend_square_hybrid_bddtop_deep_20260609_1240/ex273/verilog/ex273_square_hybrid_bddtop8.v,student/work/ex273_ex274_frontend_square_hybrid_bddtop_deep_20260609_1240/ex273/aigs/ex273_square_hybrid_bddtop8_synth_preset.aig,1,1,1,1699,29,49271,15078,3.267741,0,0,1.412,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=hybrid_bddtop8; flow=synth_preset
ex273,ex273_square_hybrid_bddtop10_abc_g_aig,unsigned_square_x_times_x,hybrid_bddtop10+abc_g_aig,student/work/ex273_ex274_frontend_square_hybrid_bddtop_deep_20260609_1240/ex273/verilog/ex273_square_hybrid_bddtop10.v,student/work/ex273_ex274_frontend_square_hybrid_bddtop_deep_20260609_1240/ex273/aigs/ex273_square_hybrid_bddtop10_abc_g_aig.aig,1,1,1,3488,29,101152,15078,6.708582,0,0,1.722,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=hybrid_bddtop10; flow=abc_g_aig
ex273,ex273_square_hybrid_bddtop10_wreduce_abc_g_aig,unsigned_square_x_times_x,hybrid_bddtop10+wreduce_abc_g_aig,student/work/ex273_ex274_frontend_square_hybrid_bddtop_deep_20260609_1240/ex273/verilog/ex273_square_hybrid_bddtop10.v,student/work/ex273_ex274_frontend_square_hybrid_bddtop_deep_20260609_1240/ex273/aigs/ex273_square_hybrid_bddtop10_wreduce_abc_g_aig.aig,1,1,1,3520,27,95040,15078,6.303223,0,0,1.777,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=hybrid_bddtop10; flow=wreduce_abc_g_aig
ex273,ex273_square_hybrid_bddtop10_synth_preset,unsigned_square_x_times_x,hybrid_bddtop10+synth_preset,student/work/ex273_ex274_frontend_square_hybrid_bddtop_deep_20260609_1240/ex273/verilog/ex273_square_hybrid_bddtop10.v,student/work/ex273_ex274_frontend_square_hybrid_bddtop_deep_20260609_1240/ex273/aigs/ex273_square_hybrid_bddtop10_synth_preset.aig,1,1,1,3396,28,95088,15078,6.306407,0,0,2.239,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=hybrid_bddtop10; flow=synth_preset
ex273,ex273_square_hybrid_bddtop4_abc_g_aig,unsigned_square_x_times_x,hybrid_bddtop4+abc_g_aig,student/work/ex273_ex274_frontend_square_hybrid_bddtop_deep_20260609_1240/ex273/verilog/ex273_square_hybrid_bddtop4.v,student/work/ex273_ex274_frontend_square_hybrid_bddtop_deep_20260609_1240/ex273/aigs/ex273_square_hybrid_bddtop4_abc_g_aig.aig,1,1,1,800,35,28000,15078,1.857010,0,0,0.770,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=hybrid_bddtop4; flow=abc_g_aig
ex273,ex273_square_hybrid_bddtop4_wreduce_abc_g_aig,unsigned_square_x_times_x,hybrid_bddtop4+wreduce_abc_g_aig,student/work/ex273_ex274_frontend_square_hybrid_bddtop_deep_20260609_1240/ex273/verilog/ex273_square_hybrid_bddtop4.v,student/work/ex273_ex274_frontend_square_hybrid_bddtop_deep_20260609_1240/ex273/aigs/ex273_square_hybrid_bddtop4_wreduce_abc_g_aig.aig,1,1,1,797,33,26301,15078,1.744329,0,0,0.806,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=hybrid_bddtop4; flow=wreduce_abc_g_aig
ex273,ex273_square_hybrid_bddtop4_synth_preset,unsigned_square_x_times_x,hybrid_bddtop4+synth_preset,student/work/ex273_ex274_frontend_square_hybrid_bddtop_deep_20260609_1240/ex273/verilog/ex273_square_hybrid_bddtop4.v,student/work/ex273_ex274_frontend_square_hybrid_bddtop_deep_20260609_1240/ex273/aigs/ex273_square_hybrid_bddtop4_synth_preset.aig,1,1,1,798,33,26334,15078,1.746518,0,0,0.957,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=hybrid_bddtop4; flow=synth_preset
ex273,ex273_square_wallace_square_outside_csel6_abc_g_aig,unsigned_square_x_times_x,wallace_square_outside_csel6+abc_g_aig,student/work/ex273_ex274_frontend_square_hybrid_bddtop_deep_20260609_1240/ex273/verilog/ex273_square_wallace_square_outside_csel6.v,student/work/ex273_ex274_frontend_square_hybrid_bddtop_deep_20260609_1240/ex273/aigs/ex273_square_wallace_square_outside_csel6_abc_g_aig.aig,1,1,1,718,39,28002,15078,1.857143,0,0,0.751,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=wallace_square_outside_csel6; flow=abc_g_aig
ex273,ex273_square_wallace_square_outside_csel6_wreduce_abc_g_aig,unsigned_square_x_times_x,wallace_square_outside_csel6+wreduce_abc_g_aig,student/work/ex273_ex274_frontend_square_hybrid_bddtop_deep_20260609_1240/ex273/verilog/ex273_square_wallace_square_outside_csel6.v,student/work/ex273_ex274_frontend_square_hybrid_bddtop_deep_20260609_1240/ex273/aigs/ex273_square_wallace_square_outside_csel6_wreduce_abc_g_aig.aig,1,1,1,716,39,27924,15078,1.851970,0,0,0.804,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=wallace_square_outside_csel6; flow=wreduce_abc_g_aig
