case,hypothesis/function_guess,candidate_count,verified_truth_count,synthesized_count,equivalent_count,semantic_exact_count,semantic_hybrid_count,structural_exact_count,best_candidate_id,best_variant,best_classification,best_area,best_delay,best_adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,top5,notes
ex223,fp16_log,2,2,2,2,0,0,2,ex223_fp16_log_special_casez_sign,special_casez_sign,structural_exact,11193,25,279825,120549,2.321255,0,0,special_casez_sign:279825; special_casez_sign_bits11_12:280625,
ex224,fp16_log2,2,2,2,2,0,0,2,ex224_fp16_log2_special_casez_sign_bits11_12,special_casez_sign_bits11_12,structural_exact,6309,22,138798,64708,2.144990,0,0,special_casez_sign_bits11_12:138798; special_casez_sign:145383,
