case,model,missing_policy,order_name,order_fields,input_width,output_width,field_count,bucket_count,selected_features,mapped_keys,domain_space,terminal_count,nonterm_nodes,total_nodes,max_width,width_profile,valid_exact,trace
ex286,word,reuse_first,counts_then_selectors,cnt0:cnt1:cnt2:cnt3:cnt4:cnt5:cnt6:cnt7:sel0_raw3:sel1_raw10:sel2_xor6_7,13,13,11,8,raw3:raw10:xor6_7,4608,13824,2233,3541,5774,1383,1:2:4:12:36:72:144:576:575:736:1383,1,base::3763:1728;add:raw3:4888:2304;add:raw10:6336:3072;add:xor6_7:8192:4608
ex286,bit_shared,reuse_first,counts_then_selectors,cnt0:cnt1:cnt2:cnt3:cnt4:cnt5:cnt6:cnt7:sel0_raw3:sel1_raw10:sel2_xor6_7,13,13,11,8,raw3:raw10:xor6_7,4608,13824,2,2303,2305,638,13:26:48:136:362:472:421:638:173:12:2,1,base::3763:1728;add:raw3:4888:2304;add:raw10:6336:3072;add:xor6_7:8192:4608
ex286,word,reuse_first,selectors_then_counts,sel0_raw3:sel1_raw10:sel2_xor6_7:cnt0:cnt1:cnt2:cnt3:cnt4:cnt5:cnt6:cnt7,13,13,11,8,raw3:raw10:xor6_7,4608,13824,2233,2559,4792,1536,1:2:4:8:16:32:64:128:256:512:1536,1,base::3763:1728;add:raw3:4888:2304;add:raw10:6336:3072;add:xor6_7:8192:4608
ex286,bit_shared,reuse_first,selectors_then_counts,sel0_raw3:sel1_raw10:sel2_xor6_7:cnt0:cnt1:cnt2:cnt3:cnt4:cnt5:cnt6:cnt7,13,13,11,8,raw3:raw10:xor6_7,4608,13824,2,2253,2255,606,13:26:48:96:192:320:606:579:292:75:6,1,base::3763:1728;add:raw3:4888:2304;add:raw10:6336:3072;add:xor6_7:8192:4608
ex286,word,reuse_first,entropy_asc,cnt6:cnt3:cnt2:cnt7:cnt5:sel0_raw3:cnt4:cnt1:cnt0:sel1_raw10:sel2_xor6_7,13,13,11,8,raw3:raw10:xor6_7,4608,13824,2233,4353,6586,1383,1:4:12:36:108:72:288:574:1139:736:1383,1,base::3763:1728;add:raw3:4888:2304;add:raw10:6336:3072;add:xor6_7:8192:4608
ex286,bit_shared,reuse_first,entropy_asc,cnt6:cnt3:cnt2:cnt7:cnt5:sel0_raw3:cnt4:cnt1:cnt0:sel1_raw10:sel2_xor6_7,13,13,11,8,raw3:raw10:xor6_7,4608,13824,2,4312,4314,1192,13:52:156:441:930:541:1192:771:202:12:2,1,base::3763:1728;add:raw3:4888:2304;add:raw10:6336:3072;add:xor6_7:8192:4608
ex287,word,reuse_first,counts_then_selectors,cnt0:cnt1:cnt2:cnt3:cnt4:cnt5:cnt6:sel0_xor6_7:sel1_xor8_9:sel2_raw13:sel3_raw12,14,14,11,7,xor6_7:xor8_9:raw13:raw12,6912,23040,2609,5270,7879,1297,1:4:8:24:48:240:704:809:882:1297:1253,1,base::5617:1440;add:xor6_7:7493:2304;add:xor8_9:9615:3456;add:raw13:12341:5184;add:raw12:16384:6912
ex287,bit_shared,reuse_first,counts_then_selectors,cnt0:cnt1:cnt2:cnt3:cnt4:cnt5:cnt6:sel0_xor6_7:sel1_xor8_9:sel2_raw13:sel3_raw12,14,14,11,7,xor6_7:xor8_9:raw13:raw12,6912,23040,2,6420,6422,2482,14:56:104:312:573:1770:2482:948:147:12:2,1,base::5617:1440;add:xor6_7:7493:2304;add:xor8_9:9615:3456;add:raw13:12341:5184;add:raw12:16384:6912
ex287,word,reuse_first,selectors_then_counts,sel0_xor6_7:sel1_xor8_9:sel2_raw13:sel3_raw12:cnt0:cnt1:cnt2:cnt3:cnt4:cnt5:cnt6,14,14,11,7,xor6_7:xor8_9:raw13:raw12,6912,23040,2609,4432,7041,2673,1:2:4:8:16:48:96:192:384:1008:2673,1,base::5617:1440;add:xor6_7:7493:2304;add:xor8_9:9615:3456;add:raw13:12341:5184;add:raw12:16384:6912
ex287,bit_shared,reuse_first,selectors_then_counts,sel0_xor6_7:sel1_xor8_9:sel2_raw13:sel3_raw12:cnt0:cnt1:cnt2:cnt3:cnt4:cnt5:cnt6,14,14,11,7,xor6_7:xor8_9:raw13:raw12,6912,23040,2,4123,4125,1346,14:28:56:112:224:606:1092:1346:601:42:2,1,base::5617:1440;add:xor6_7:7493:2304;add:xor8_9:9615:3456;add:raw13:12341:5184;add:raw12:16384:6912
