case,candidate_id,equivalent,area,delay,adp,aig_path,notes
ex256,ex256_umul_highbit_decomp_upper_cla_abc_g_aig,1,154,27,4158,student/work/ex256_frontend_umul_highbit_decomp_20260609_0203/ex256/aigs/ex256_umul_highbit_decomp_upper_cla_abc_g_aig.aig,exact unsigned low5 * high5 over 1024 inputs; focused source=highbit_decomp_upper_cla; flow=abc_g_aig
ex256,ex256_umul_highbit_decomp_upper_cla_wreduce_abc_g_aig,1,151,26,3926,student/work/ex256_frontend_umul_highbit_decomp_20260609_0203/ex256/aigs/ex256_umul_highbit_decomp_upper_cla_wreduce_abc_g_aig.aig,exact unsigned low5 * high5 over 1024 inputs; focused source=highbit_decomp_upper_cla; flow=wreduce_abc_g_aig
ex256,ex256_umul_highbit_decomp_upper_cla_synth_preset_d13,1,151,26,3926,student/work/ex256_frontend_umul_highbit_decomp_20260609_0203/ex256/aigs/ex256_umul_highbit_decomp_upper_cla_synth_preset_d13.aig,exact unsigned low5 * high5 over 1024 inputs; focused source=highbit_decomp_upper_cla; flow=synth_preset_d13
ex256,ex256_umul_highbit_decomp_upper_cla_synth_preset_d18,1,151,26,3926,student/work/ex256_frontend_umul_highbit_decomp_20260609_0203/ex256/aigs/ex256_umul_highbit_decomp_upper_cla_synth_preset_d18.aig,exact unsigned low5 * high5 over 1024 inputs; focused source=highbit_decomp_upper_cla; flow=synth_preset_d18
ex256,ex256_umul_highbit_decomp_upper_cla_abc_g_aig_d13,1,154,27,4158,student/work/ex256_frontend_umul_highbit_decomp_20260609_0203/ex256/aigs/ex256_umul_highbit_decomp_upper_cla_abc_g_aig_d13.aig,exact unsigned low5 * high5 over 1024 inputs; focused source=highbit_decomp_upper_cla; flow=abc_g_aig_d13
ex256,ex256_umul_highbit_decomp_upper_cla_abc_g_aig_d14,1,154,27,4158,student/work/ex256_frontend_umul_highbit_decomp_20260609_0203/ex256/aigs/ex256_umul_highbit_decomp_upper_cla_abc_g_aig_d14.aig,exact unsigned low5 * high5 over 1024 inputs; focused source=highbit_decomp_upper_cla; flow=abc_g_aig_d14
ex256,ex256_umul_csa_androws_cla_abc_g_aig,1,159,18,2862,student/work/ex256_frontend_umul_highbit_decomp_20260609_0203/ex256/aigs/ex256_umul_csa_androws_cla_abc_g_aig.aig,exact unsigned low5 * high5 over 1024 inputs; focused source=csa_androws_cla; flow=abc_g_aig
ex256,ex256_umul_csa_androws_cla_wreduce_abc_g_aig,1,159,18,2862,student/work/ex256_frontend_umul_highbit_decomp_20260609_0203/ex256/aigs/ex256_umul_csa_androws_cla_wreduce_abc_g_aig.aig,exact unsigned low5 * high5 over 1024 inputs; focused source=csa_androws_cla; flow=wreduce_abc_g_aig
ex256,ex256_umul_csa_androws_cla_synth_preset_d13,1,156,20,3120,student/work/ex256_frontend_umul_highbit_decomp_20260609_0203/ex256/aigs/ex256_umul_csa_androws_cla_synth_preset_d13.aig,exact unsigned low5 * high5 over 1024 inputs; focused source=csa_androws_cla; flow=synth_preset_d13
ex256,ex256_umul_csa_androws_cla_synth_preset_d18,1,156,20,3120,student/work/ex256_frontend_umul_highbit_decomp_20260609_0203/ex256/aigs/ex256_umul_csa_androws_cla_synth_preset_d18.aig,exact unsigned low5 * high5 over 1024 inputs; focused source=csa_androws_cla; flow=synth_preset_d18
ex256,ex256_umul_csa_androws_cla_abc_g_aig_d13,1,159,18,2862,student/work/ex256_frontend_umul_highbit_decomp_20260609_0203/ex256/aigs/ex256_umul_csa_androws_cla_abc_g_aig_d13.aig,exact unsigned low5 * high5 over 1024 inputs; focused source=csa_androws_cla; flow=abc_g_aig_d13
ex256,ex256_umul_csa_androws_cla_abc_g_aig_d14,1,159,18,2862,student/work/ex256_frontend_umul_highbit_decomp_20260609_0203/ex256/aigs/ex256_umul_csa_androws_cla_abc_g_aig_d14.aig,exact unsigned low5 * high5 over 1024 inputs; focused source=csa_androws_cla; flow=abc_g_aig_d14
