case,candidate_id,hypothesis,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,runtime_sec,classification,notes
ex256,ex256_umul_highbit_decomp_upper_cla_abc_g_aig,unsigned low5_high5:a*b,highbit_decomp_upper_cla+abc_g_aig,student/work/ex256_frontend_umul_highbit_decomp_20260609_0203/ex256/verilog/ex256_umul_highbit_decomp_upper_cla.v,student/work/ex256_frontend_umul_highbit_decomp_20260609_0203/ex256/aigs/ex256_umul_highbit_decomp_upper_cla_abc_g_aig.aig,1,1,1,154,27,4158,1911,2.175824,0,0,0.246,semantic_mul_exact,exact unsigned low5 * high5 over 1024 inputs; focused source=highbit_decomp_upper_cla; flow=abc_g_aig
ex256,ex256_umul_highbit_decomp_upper_cla_wreduce_abc_g_aig,unsigned low5_high5:a*b,highbit_decomp_upper_cla+wreduce_abc_g_aig,student/work/ex256_frontend_umul_highbit_decomp_20260609_0203/ex256/verilog/ex256_umul_highbit_decomp_upper_cla.v,student/work/ex256_frontend_umul_highbit_decomp_20260609_0203/ex256/aigs/ex256_umul_highbit_decomp_upper_cla_wreduce_abc_g_aig.aig,1,1,1,151,26,3926,1911,2.054422,0,0,0.245,semantic_mul_exact,exact unsigned low5 * high5 over 1024 inputs; focused source=highbit_decomp_upper_cla; flow=wreduce_abc_g_aig
ex256,ex256_umul_highbit_decomp_upper_cla_synth_preset_d13,unsigned low5_high5:a*b,highbit_decomp_upper_cla+synth_preset_d13,student/work/ex256_frontend_umul_highbit_decomp_20260609_0203/ex256/verilog/ex256_umul_highbit_decomp_upper_cla.v,student/work/ex256_frontend_umul_highbit_decomp_20260609_0203/ex256/aigs/ex256_umul_highbit_decomp_upper_cla_synth_preset_d13.aig,1,1,1,151,26,3926,1911,2.054422,0,0,0.291,semantic_mul_exact,exact unsigned low5 * high5 over 1024 inputs; focused source=highbit_decomp_upper_cla; flow=synth_preset_d13
ex256,ex256_umul_highbit_decomp_upper_cla_synth_preset_d18,unsigned low5_high5:a*b,highbit_decomp_upper_cla+synth_preset_d18,student/work/ex256_frontend_umul_highbit_decomp_20260609_0203/ex256/verilog/ex256_umul_highbit_decomp_upper_cla.v,student/work/ex256_frontend_umul_highbit_decomp_20260609_0203/ex256/aigs/ex256_umul_highbit_decomp_upper_cla_synth_preset_d18.aig,1,1,1,151,26,3926,1911,2.054422,0,0,0.308,semantic_mul_exact,exact unsigned low5 * high5 over 1024 inputs; focused source=highbit_decomp_upper_cla; flow=synth_preset_d18
ex256,ex256_umul_highbit_decomp_upper_cla_abc_g_aig_d13,unsigned low5_high5:a*b,highbit_decomp_upper_cla+abc_g_aig_d13,student/work/ex256_frontend_umul_highbit_decomp_20260609_0203/ex256/verilog/ex256_umul_highbit_decomp_upper_cla.v,student/work/ex256_frontend_umul_highbit_decomp_20260609_0203/ex256/aigs/ex256_umul_highbit_decomp_upper_cla_abc_g_aig_d13.aig,1,1,1,154,27,4158,1911,2.175824,0,0,0.270,semantic_mul_exact,exact unsigned low5 * high5 over 1024 inputs; focused source=highbit_decomp_upper_cla; flow=abc_g_aig_d13
ex256,ex256_umul_highbit_decomp_upper_cla_abc_g_aig_d14,unsigned low5_high5:a*b,highbit_decomp_upper_cla+abc_g_aig_d14,student/work/ex256_frontend_umul_highbit_decomp_20260609_0203/ex256/verilog/ex256_umul_highbit_decomp_upper_cla.v,student/work/ex256_frontend_umul_highbit_decomp_20260609_0203/ex256/aigs/ex256_umul_highbit_decomp_upper_cla_abc_g_aig_d14.aig,1,1,1,154,27,4158,1911,2.175824,0,0,0.244,semantic_mul_exact,exact unsigned low5 * high5 over 1024 inputs; focused source=highbit_decomp_upper_cla; flow=abc_g_aig_d14
ex256,ex256_umul_csa_androws_cla_abc_g_aig,unsigned low5_high5:a*b,csa_androws_cla+abc_g_aig,student/work/ex256_frontend_umul_highbit_decomp_20260609_0203/ex256/verilog/ex256_umul_csa_androws_cla.v,student/work/ex256_frontend_umul_highbit_decomp_20260609_0203/ex256/aigs/ex256_umul_csa_androws_cla_abc_g_aig.aig,1,1,1,159,18,2862,1911,1.497645,1,0,0.223,semantic_mul_exact,exact unsigned low5 * high5 over 1024 inputs; focused source=csa_androws_cla; flow=abc_g_aig
ex256,ex256_umul_csa_androws_cla_wreduce_abc_g_aig,unsigned low5_high5:a*b,csa_androws_cla+wreduce_abc_g_aig,student/work/ex256_frontend_umul_highbit_decomp_20260609_0203/ex256/verilog/ex256_umul_csa_androws_cla.v,student/work/ex256_frontend_umul_highbit_decomp_20260609_0203/ex256/aigs/ex256_umul_csa_androws_cla_wreduce_abc_g_aig.aig,1,1,1,159,18,2862,1911,1.497645,1,0,0.269,semantic_mul_exact,exact unsigned low5 * high5 over 1024 inputs; focused source=csa_androws_cla; flow=wreduce_abc_g_aig
ex256,ex256_umul_csa_androws_cla_synth_preset_d13,unsigned low5_high5:a*b,csa_androws_cla+synth_preset_d13,student/work/ex256_frontend_umul_highbit_decomp_20260609_0203/ex256/verilog/ex256_umul_csa_androws_cla.v,student/work/ex256_frontend_umul_highbit_decomp_20260609_0203/ex256/aigs/ex256_umul_csa_androws_cla_synth_preset_d13.aig,1,1,1,156,20,3120,1911,1.632653,0,0,0.302,semantic_mul_exact,exact unsigned low5 * high5 over 1024 inputs; focused source=csa_androws_cla; flow=synth_preset_d13
ex256,ex256_umul_csa_androws_cla_synth_preset_d18,unsigned low5_high5:a*b,csa_androws_cla+synth_preset_d18,student/work/ex256_frontend_umul_highbit_decomp_20260609_0203/ex256/verilog/ex256_umul_csa_androws_cla.v,student/work/ex256_frontend_umul_highbit_decomp_20260609_0203/ex256/aigs/ex256_umul_csa_androws_cla_synth_preset_d18.aig,1,1,1,156,20,3120,1911,1.632653,0,0,0.303,semantic_mul_exact,exact unsigned low5 * high5 over 1024 inputs; focused source=csa_androws_cla; flow=synth_preset_d18
ex256,ex256_umul_csa_androws_cla_abc_g_aig_d13,unsigned low5_high5:a*b,csa_androws_cla+abc_g_aig_d13,student/work/ex256_frontend_umul_highbit_decomp_20260609_0203/ex256/verilog/ex256_umul_csa_androws_cla.v,student/work/ex256_frontend_umul_highbit_decomp_20260609_0203/ex256/aigs/ex256_umul_csa_androws_cla_abc_g_aig_d13.aig,1,1,1,159,18,2862,1911,1.497645,1,0,0.235,semantic_mul_exact,exact unsigned low5 * high5 over 1024 inputs; focused source=csa_androws_cla; flow=abc_g_aig_d13
ex256,ex256_umul_csa_androws_cla_abc_g_aig_d14,unsigned low5_high5:a*b,csa_androws_cla+abc_g_aig_d14,student/work/ex256_frontend_umul_highbit_decomp_20260609_0203/ex256/verilog/ex256_umul_csa_androws_cla.v,student/work/ex256_frontend_umul_highbit_decomp_20260609_0203/ex256/aigs/ex256_umul_csa_androws_cla_abc_g_aig_d14.aig,1,1,1,159,18,2862,1911,1.497645,1,0,0.222,semantic_mul_exact,exact unsigned low5 * high5 over 1024 inputs; focused source=csa_androws_cla; flow=abc_g_aig_d14
