case,candidate_id,hypothesis,variant,verilog_path,aig_path,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,classification,notes
ex255,ex255_umul_booth_radix4_synth_preset,unsigned low4_high4:a*b,booth_radix4+synth_preset,student/work/ex255_ex259_frontend_umul_booth_fix_20260609_0031/ex255/verilog/ex255_umul_booth_radix4.v,student/work/ex255_ex259_frontend_umul_booth_fix_20260609_0031/ex255/aigs/ex255_umul_booth_radix4_synth_preset.aig,130,17,2210,836,2.643541,0,0,semantic_mul_exact,exact unsigned low4 * high4 over 256 inputs; source=booth_radix4; flow=synth_preset
ex256,ex256_umul_booth_radix4_synth_preset,unsigned low5_high5:a*b,booth_radix4+synth_preset,student/work/ex255_ex259_frontend_umul_booth_fix_20260609_0031/ex256/verilog/ex256_umul_booth_radix4.v,student/work/ex255_ex259_frontend_umul_booth_fix_20260609_0031/ex256/aigs/ex256_umul_booth_radix4_synth_preset.aig,179,22,3938,1911,2.060701,0,0,semantic_mul_exact,exact unsigned low5 * high5 over 1024 inputs; source=booth_radix4; flow=synth_preset
ex257,ex257_umul_booth_radix4_synth_preset,unsigned low6_high6:a*b,booth_radix4+synth_preset,student/work/ex255_ex259_frontend_umul_booth_fix_20260609_0031/ex257/verilog/ex257_umul_booth_radix4.v,student/work/ex255_ex259_frontend_umul_booth_fix_20260609_0031/ex257/aigs/ex257_umul_booth_radix4_synth_preset.aig,308,30,9240,3952,2.338057,0,0,semantic_mul_exact,exact unsigned low6 * high6 over 4096 inputs; source=booth_radix4; flow=synth_preset
ex258,ex258_umul_booth_radix4_abc_g_aig,unsigned low7_high7:a*b,booth_radix4+abc_g_aig,student/work/ex255_ex259_frontend_umul_booth_fix_20260609_0031/ex258/verilog/ex258_umul_booth_radix4.v,student/work/ex255_ex259_frontend_umul_booth_fix_20260609_0031/ex258/aigs/ex258_umul_booth_radix4_abc_g_aig.aig,346,37,12802,6289,2.035618,0,0,semantic_mul_exact,exact unsigned low7 * high7 over 16384 inputs; source=booth_radix4; flow=abc_g_aig
ex259,ex259_umul_booth_radix4_synth_preset,unsigned low8_high8:a*b,booth_radix4+synth_preset,student/work/ex255_ex259_frontend_umul_booth_fix_20260609_0031/ex259/verilog/ex259_umul_booth_radix4.v,student/work/ex255_ex259_frontend_umul_booth_fix_20260609_0031/ex259/aigs/ex259_umul_booth_radix4_synth_preset.aig,555,40,22200,10000,2.220000,0,0,semantic_mul_exact,exact unsigned low8 * high8 over 65536 inputs; source=booth_radix4; flow=synth_preset
