case,candidate_id,area,delay,adp,reference_adp,adp_ratio_to_reference,current_best_adp,delta_vs_current,beats_current,variant,items,notes
ex280,ex280_prefix_parity_reduce_full_clamp_simplified_grouped_deg2_abc_g_aig,186,29,5394,2415,2.233540,5460,-66,1,abc_g_aig,,Yosys abc gate set aig
ex284,ex284_prefix_parity_reduce_full_clamp_simplified_grouped_deg2_abc_g_aig,259,36,9324,4240,2.199057,9139,185,0,abc_g_aig,,Yosys abc gate set aig
