case,candidate_id,hypothesis,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,runtime_sec,classification,notes
ex260,ex260_smul_ex260_shared_bdd_nat_abc_g_aig,signed low4_high4:a*b,ex260_shared_bdd_nat+abc_g_aig,student/work/ex260_frontend_smul_shared_bdd_20260609_0658/ex260/verilog/ex260_smul_ex260_shared_bdd_nat.v,student/work/ex260_frontend_smul_shared_bdd_20260609_0658/ex260/aigs/ex260_smul_ex260_shared_bdd_nat_abc_g_aig.aig,1,1,1,200,13,2600,657,3.957382,0,0,0.293,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=ex260_shared_bdd_nat; flow=abc_g_aig
ex260,ex260_smul_ex260_shared_bdd_nat_wreduce_abc_g_aig,signed low4_high4:a*b,ex260_shared_bdd_nat+wreduce_abc_g_aig,student/work/ex260_frontend_smul_shared_bdd_20260609_0658/ex260/verilog/ex260_smul_ex260_shared_bdd_nat.v,student/work/ex260_frontend_smul_shared_bdd_20260609_0658/ex260/aigs/ex260_smul_ex260_shared_bdd_nat_wreduce_abc_g_aig.aig,1,1,1,197,13,2561,657,3.898021,0,0,0.305,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=ex260_shared_bdd_nat; flow=wreduce_abc_g_aig
ex260,ex260_smul_ex260_shared_bdd_nat_synth_preset_d11,signed low4_high4:a*b,ex260_shared_bdd_nat+synth_preset_d11,student/work/ex260_frontend_smul_shared_bdd_20260609_0658/ex260/verilog/ex260_smul_ex260_shared_bdd_nat.v,student/work/ex260_frontend_smul_shared_bdd_20260609_0658/ex260/aigs/ex260_smul_ex260_shared_bdd_nat_synth_preset_d11.aig,1,1,1,194,12,2328,657,3.543379,0,0,0.390,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=ex260_shared_bdd_nat; flow=synth_preset_d11
ex260,ex260_smul_ex260_shared_bdd_nat_synth_preset_d13,signed low4_high4:a*b,ex260_shared_bdd_nat+synth_preset_d13,student/work/ex260_frontend_smul_shared_bdd_20260609_0658/ex260/verilog/ex260_smul_ex260_shared_bdd_nat.v,student/work/ex260_frontend_smul_shared_bdd_20260609_0658/ex260/aigs/ex260_smul_ex260_shared_bdd_nat_synth_preset_d13.aig,1,1,1,194,12,2328,657,3.543379,0,0,0.409,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=ex260_shared_bdd_nat; flow=synth_preset_d13
ex260,ex260_smul_ex260_shared_bdd_interleave_abc_g_aig,signed low4_high4:a*b,ex260_shared_bdd_interleave+abc_g_aig,student/work/ex260_frontend_smul_shared_bdd_20260609_0658/ex260/verilog/ex260_smul_ex260_shared_bdd_interleave.v,student/work/ex260_frontend_smul_shared_bdd_20260609_0658/ex260/aigs/ex260_smul_ex260_shared_bdd_interleave_abc_g_aig.aig,1,1,1,231,11,2541,657,3.867580,0,0,0.299,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=ex260_shared_bdd_interleave; flow=abc_g_aig
ex260,ex260_smul_ex260_shared_bdd_interleave_wreduce_abc_g_aig,signed low4_high4:a*b,ex260_shared_bdd_interleave+wreduce_abc_g_aig,student/work/ex260_frontend_smul_shared_bdd_20260609_0658/ex260/verilog/ex260_smul_ex260_shared_bdd_interleave.v,student/work/ex260_frontend_smul_shared_bdd_20260609_0658/ex260/aigs/ex260_smul_ex260_shared_bdd_interleave_wreduce_abc_g_aig.aig,1,1,1,213,12,2556,657,3.890411,0,0,0.318,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=ex260_shared_bdd_interleave; flow=wreduce_abc_g_aig
ex260,ex260_smul_ex260_shared_bdd_interleave_synth_preset_d11,signed low4_high4:a*b,ex260_shared_bdd_interleave+synth_preset_d11,student/work/ex260_frontend_smul_shared_bdd_20260609_0658/ex260/verilog/ex260_smul_ex260_shared_bdd_interleave.v,student/work/ex260_frontend_smul_shared_bdd_20260609_0658/ex260/aigs/ex260_smul_ex260_shared_bdd_interleave_synth_preset_d11.aig,1,1,1,227,11,2497,657,3.800609,0,0,0.414,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=ex260_shared_bdd_interleave; flow=synth_preset_d11
ex260,ex260_smul_ex260_shared_bdd_interleave_synth_preset_d13,signed low4_high4:a*b,ex260_shared_bdd_interleave+synth_preset_d13,student/work/ex260_frontend_smul_shared_bdd_20260609_0658/ex260/verilog/ex260_smul_ex260_shared_bdd_interleave.v,student/work/ex260_frontend_smul_shared_bdd_20260609_0658/ex260/aigs/ex260_smul_ex260_shared_bdd_interleave_synth_preset_d13.aig,1,1,1,227,11,2497,657,3.800609,0,0,0.448,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=ex260_shared_bdd_interleave; flow=synth_preset_d13
ex260,ex260_smul_ex260_shared_bdd_signfirst_abc_g_aig,signed low4_high4:a*b,ex260_shared_bdd_signfirst+abc_g_aig,student/work/ex260_frontend_smul_shared_bdd_20260609_0658/ex260/verilog/ex260_smul_ex260_shared_bdd_signfirst.v,student/work/ex260_frontend_smul_shared_bdd_20260609_0658/ex260/aigs/ex260_smul_ex260_shared_bdd_signfirst_abc_g_aig.aig,1,1,1,220,11,2420,657,3.683409,0,0,0.289,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=ex260_shared_bdd_signfirst; flow=abc_g_aig
ex260,ex260_smul_ex260_shared_bdd_signfirst_wreduce_abc_g_aig,signed low4_high4:a*b,ex260_shared_bdd_signfirst+wreduce_abc_g_aig,student/work/ex260_frontend_smul_shared_bdd_20260609_0658/ex260/verilog/ex260_smul_ex260_shared_bdd_signfirst.v,student/work/ex260_frontend_smul_shared_bdd_20260609_0658/ex260/aigs/ex260_smul_ex260_shared_bdd_signfirst_wreduce_abc_g_aig.aig,1,1,1,223,11,2453,657,3.733638,0,0,0.302,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=ex260_shared_bdd_signfirst; flow=wreduce_abc_g_aig
ex260,ex260_smul_ex260_shared_bdd_signfirst_synth_preset_d11,signed low4_high4:a*b,ex260_shared_bdd_signfirst+synth_preset_d11,student/work/ex260_frontend_smul_shared_bdd_20260609_0658/ex260/verilog/ex260_smul_ex260_shared_bdd_signfirst.v,student/work/ex260_frontend_smul_shared_bdd_20260609_0658/ex260/aigs/ex260_smul_ex260_shared_bdd_signfirst_synth_preset_d11.aig,1,1,1,210,11,2310,657,3.515982,0,0,0.421,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=ex260_shared_bdd_signfirst; flow=synth_preset_d11
ex260,ex260_smul_ex260_shared_bdd_signfirst_synth_preset_d13,signed low4_high4:a*b,ex260_shared_bdd_signfirst+synth_preset_d13,student/work/ex260_frontend_smul_shared_bdd_20260609_0658/ex260/verilog/ex260_smul_ex260_shared_bdd_signfirst.v,student/work/ex260_frontend_smul_shared_bdd_20260609_0658/ex260/aigs/ex260_smul_ex260_shared_bdd_signfirst_synth_preset_d13.aig,1,1,1,210,11,2310,657,3.515982,0,0,0.407,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=ex260_shared_bdd_signfirst; flow=synth_preset_d13
ex260,ex260_smul_ex260_shared_bdd_signlast_abc_g_aig,signed low4_high4:a*b,ex260_shared_bdd_signlast+abc_g_aig,student/work/ex260_frontend_smul_shared_bdd_20260609_0658/ex260/verilog/ex260_smul_ex260_shared_bdd_signlast.v,student/work/ex260_frontend_smul_shared_bdd_20260609_0658/ex260/aigs/ex260_smul_ex260_shared_bdd_signlast_abc_g_aig.aig,1,1,1,200,12,2400,657,3.652968,0,0,0.328,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=ex260_shared_bdd_signlast; flow=abc_g_aig
ex260,ex260_smul_ex260_shared_bdd_signlast_wreduce_abc_g_aig,signed low4_high4:a*b,ex260_shared_bdd_signlast+wreduce_abc_g_aig,student/work/ex260_frontend_smul_shared_bdd_20260609_0658/ex260/verilog/ex260_smul_ex260_shared_bdd_signlast.v,student/work/ex260_frontend_smul_shared_bdd_20260609_0658/ex260/aigs/ex260_smul_ex260_shared_bdd_signlast_wreduce_abc_g_aig.aig,1,1,1,204,12,2448,657,3.726027,0,0,0.318,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=ex260_shared_bdd_signlast; flow=wreduce_abc_g_aig
ex260,ex260_smul_ex260_shared_bdd_signlast_synth_preset_d11,signed low4_high4:a*b,ex260_shared_bdd_signlast+synth_preset_d11,student/work/ex260_frontend_smul_shared_bdd_20260609_0658/ex260/verilog/ex260_smul_ex260_shared_bdd_signlast.v,student/work/ex260_frontend_smul_shared_bdd_20260609_0658/ex260/aigs/ex260_smul_ex260_shared_bdd_signlast_synth_preset_d11.aig,1,1,1,205,11,2255,657,3.432268,0,0,0.403,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=ex260_shared_bdd_signlast; flow=synth_preset_d11
ex260,ex260_smul_ex260_shared_bdd_signlast_synth_preset_d13,signed low4_high4:a*b,ex260_shared_bdd_signlast+synth_preset_d13,student/work/ex260_frontend_smul_shared_bdd_20260609_0658/ex260/verilog/ex260_smul_ex260_shared_bdd_signlast.v,student/work/ex260_frontend_smul_shared_bdd_20260609_0658/ex260/aigs/ex260_smul_ex260_shared_bdd_signlast_synth_preset_d13.aig,1,1,1,205,11,2255,657,3.432268,0,0,0.400,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=ex260_shared_bdd_signlast; flow=synth_preset_d13
