case,candidate_id,equivalent,area,delay,adp,aig_path,notes
ex260,ex260_smul_ex260_shared_bdd_nat_abc_g_aig,1,200,13,2600,student/work/ex260_frontend_smul_shared_bdd_20260609_0658/ex260/aigs/ex260_smul_ex260_shared_bdd_nat_abc_g_aig.aig,exact signed low4 * signed high4 over 256 inputs; source=ex260_shared_bdd_nat; flow=abc_g_aig
ex260,ex260_smul_ex260_shared_bdd_nat_wreduce_abc_g_aig,1,197,13,2561,student/work/ex260_frontend_smul_shared_bdd_20260609_0658/ex260/aigs/ex260_smul_ex260_shared_bdd_nat_wreduce_abc_g_aig.aig,exact signed low4 * signed high4 over 256 inputs; source=ex260_shared_bdd_nat; flow=wreduce_abc_g_aig
ex260,ex260_smul_ex260_shared_bdd_nat_synth_preset_d11,1,194,12,2328,student/work/ex260_frontend_smul_shared_bdd_20260609_0658/ex260/aigs/ex260_smul_ex260_shared_bdd_nat_synth_preset_d11.aig,exact signed low4 * signed high4 over 256 inputs; source=ex260_shared_bdd_nat; flow=synth_preset_d11
ex260,ex260_smul_ex260_shared_bdd_nat_synth_preset_d13,1,194,12,2328,student/work/ex260_frontend_smul_shared_bdd_20260609_0658/ex260/aigs/ex260_smul_ex260_shared_bdd_nat_synth_preset_d13.aig,exact signed low4 * signed high4 over 256 inputs; source=ex260_shared_bdd_nat; flow=synth_preset_d13
ex260,ex260_smul_ex260_shared_bdd_interleave_abc_g_aig,1,231,11,2541,student/work/ex260_frontend_smul_shared_bdd_20260609_0658/ex260/aigs/ex260_smul_ex260_shared_bdd_interleave_abc_g_aig.aig,exact signed low4 * signed high4 over 256 inputs; source=ex260_shared_bdd_interleave; flow=abc_g_aig
ex260,ex260_smul_ex260_shared_bdd_interleave_wreduce_abc_g_aig,1,213,12,2556,student/work/ex260_frontend_smul_shared_bdd_20260609_0658/ex260/aigs/ex260_smul_ex260_shared_bdd_interleave_wreduce_abc_g_aig.aig,exact signed low4 * signed high4 over 256 inputs; source=ex260_shared_bdd_interleave; flow=wreduce_abc_g_aig
ex260,ex260_smul_ex260_shared_bdd_interleave_synth_preset_d11,1,227,11,2497,student/work/ex260_frontend_smul_shared_bdd_20260609_0658/ex260/aigs/ex260_smul_ex260_shared_bdd_interleave_synth_preset_d11.aig,exact signed low4 * signed high4 over 256 inputs; source=ex260_shared_bdd_interleave; flow=synth_preset_d11
ex260,ex260_smul_ex260_shared_bdd_interleave_synth_preset_d13,1,227,11,2497,student/work/ex260_frontend_smul_shared_bdd_20260609_0658/ex260/aigs/ex260_smul_ex260_shared_bdd_interleave_synth_preset_d13.aig,exact signed low4 * signed high4 over 256 inputs; source=ex260_shared_bdd_interleave; flow=synth_preset_d13
ex260,ex260_smul_ex260_shared_bdd_signfirst_abc_g_aig,1,220,11,2420,student/work/ex260_frontend_smul_shared_bdd_20260609_0658/ex260/aigs/ex260_smul_ex260_shared_bdd_signfirst_abc_g_aig.aig,exact signed low4 * signed high4 over 256 inputs; source=ex260_shared_bdd_signfirst; flow=abc_g_aig
ex260,ex260_smul_ex260_shared_bdd_signfirst_wreduce_abc_g_aig,1,223,11,2453,student/work/ex260_frontend_smul_shared_bdd_20260609_0658/ex260/aigs/ex260_smul_ex260_shared_bdd_signfirst_wreduce_abc_g_aig.aig,exact signed low4 * signed high4 over 256 inputs; source=ex260_shared_bdd_signfirst; flow=wreduce_abc_g_aig
ex260,ex260_smul_ex260_shared_bdd_signfirst_synth_preset_d11,1,210,11,2310,student/work/ex260_frontend_smul_shared_bdd_20260609_0658/ex260/aigs/ex260_smul_ex260_shared_bdd_signfirst_synth_preset_d11.aig,exact signed low4 * signed high4 over 256 inputs; source=ex260_shared_bdd_signfirst; flow=synth_preset_d11
ex260,ex260_smul_ex260_shared_bdd_signfirst_synth_preset_d13,1,210,11,2310,student/work/ex260_frontend_smul_shared_bdd_20260609_0658/ex260/aigs/ex260_smul_ex260_shared_bdd_signfirst_synth_preset_d13.aig,exact signed low4 * signed high4 over 256 inputs; source=ex260_shared_bdd_signfirst; flow=synth_preset_d13
ex260,ex260_smul_ex260_shared_bdd_signlast_abc_g_aig,1,200,12,2400,student/work/ex260_frontend_smul_shared_bdd_20260609_0658/ex260/aigs/ex260_smul_ex260_shared_bdd_signlast_abc_g_aig.aig,exact signed low4 * signed high4 over 256 inputs; source=ex260_shared_bdd_signlast; flow=abc_g_aig
ex260,ex260_smul_ex260_shared_bdd_signlast_wreduce_abc_g_aig,1,204,12,2448,student/work/ex260_frontend_smul_shared_bdd_20260609_0658/ex260/aigs/ex260_smul_ex260_shared_bdd_signlast_wreduce_abc_g_aig.aig,exact signed low4 * signed high4 over 256 inputs; source=ex260_shared_bdd_signlast; flow=wreduce_abc_g_aig
ex260,ex260_smul_ex260_shared_bdd_signlast_synth_preset_d11,1,205,11,2255,student/work/ex260_frontend_smul_shared_bdd_20260609_0658/ex260/aigs/ex260_smul_ex260_shared_bdd_signlast_synth_preset_d11.aig,exact signed low4 * signed high4 over 256 inputs; source=ex260_shared_bdd_signlast; flow=synth_preset_d11
ex260,ex260_smul_ex260_shared_bdd_signlast_synth_preset_d13,1,205,11,2255,student/work/ex260_frontend_smul_shared_bdd_20260609_0658/ex260/aigs/ex260_smul_ex260_shared_bdd_signlast_synth_preset_d13.aig,exact signed low4 * signed high4 over 256 inputs; source=ex260_shared_bdd_signlast; flow=synth_preset_d13
ex260,ex260_smul_ex260_shared_bdd_outside_abc_g_aig,1,183,12,2196,student/work/ex260_frontend_smul_shared_bdd_20260609_0658/ex260/aigs/ex260_smul_ex260_shared_bdd_outside_abc_g_aig.aig,exact signed low4 * signed high4 over 256 inputs; source=ex260_shared_bdd_outside; flow=abc_g_aig
ex260,ex260_smul_ex260_shared_bdd_outside_wreduce_abc_g_aig,1,179,12,2148,student/work/ex260_frontend_smul_shared_bdd_20260609_0658/ex260/aigs/ex260_smul_ex260_shared_bdd_outside_wreduce_abc_g_aig.aig,exact signed low4 * signed high4 over 256 inputs; source=ex260_shared_bdd_outside; flow=wreduce_abc_g_aig
ex260,ex260_smul_ex260_shared_bdd_outside_synth_preset_d11,1,181,13,2353,student/work/ex260_frontend_smul_shared_bdd_20260609_0658/ex260/aigs/ex260_smul_ex260_shared_bdd_outside_synth_preset_d11.aig,exact signed low4 * signed high4 over 256 inputs; source=ex260_shared_bdd_outside; flow=synth_preset_d11
ex260,ex260_smul_ex260_shared_bdd_outside_synth_preset_d13,1,181,13,2353,student/work/ex260_frontend_smul_shared_bdd_20260609_0658/ex260/aigs/ex260_smul_ex260_shared_bdd_outside_synth_preset_d13.aig,exact signed low4 * signed high4 over 256 inputs; source=ex260_shared_bdd_outside; flow=synth_preset_d13
ex260,ex260_smul_baugh_wooley_wallace_rev_hcla4_abc_g_aig,1,88,13,1144,student/work/ex260_frontend_smul_shared_bdd_20260609_0658/ex260/aigs/ex260_smul_baugh_wooley_wallace_rev_hcla4_abc_g_aig.aig,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_rev_hcla4; flow=abc_g_aig
ex260,ex260_smul_baugh_wooley_wallace_rev_hcla4_wreduce_abc_g_aig,1,88,13,1144,student/work/ex260_frontend_smul_shared_bdd_20260609_0658/ex260/aigs/ex260_smul_baugh_wooley_wallace_rev_hcla4_wreduce_abc_g_aig.aig,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_rev_hcla4; flow=wreduce_abc_g_aig
ex260,ex260_smul_baugh_wooley_wallace_rev_hcla4_synth_preset_d11,1,88,16,1408,student/work/ex260_frontend_smul_shared_bdd_20260609_0658/ex260/aigs/ex260_smul_baugh_wooley_wallace_rev_hcla4_synth_preset_d11.aig,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_rev_hcla4; flow=synth_preset_d11
ex260,ex260_smul_baugh_wooley_wallace_rev_hcla4_synth_preset_d13,1,88,16,1408,student/work/ex260_frontend_smul_shared_bdd_20260609_0658/ex260/aigs/ex260_smul_baugh_wooley_wallace_rev_hcla4_synth_preset_d13.aig,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_rev_hcla4; flow=synth_preset_d13
