case,candidate_id,equivalent,area,delay,adp,aig_path,notes
ex265,ex265_udiv_cof_bhi1_ahi1_bitbdd_wordmux_abc_g_aig,1,70,9,630,student/work/ex265_ex267_frontend_udiv_cofactor_transfer_20260609_1222/ex265/aigs/ex265_udiv_cof_bhi1_ahi1_bitbdd_wordmux_abc_g_aig.aig,unsigned low4_high4:a/b dbz=max exact; source=cof_bhi1_ahi1_bitbdd_wordmux; flow=abc_g_aig
ex265,ex265_udiv_cof_bhi1_ahi1_bitbdd_wordmux_wreduce_abc_g_aig,1,70,9,630,student/work/ex265_ex267_frontend_udiv_cofactor_transfer_20260609_1222/ex265/aigs/ex265_udiv_cof_bhi1_ahi1_bitbdd_wordmux_wreduce_abc_g_aig.aig,unsigned low4_high4:a/b dbz=max exact; source=cof_bhi1_ahi1_bitbdd_wordmux; flow=wreduce_abc_g_aig
ex265,ex265_udiv_cof_bhi1_ahi1_bitbdd_wordmux_synth_preset,1,64,9,576,student/work/ex265_ex267_frontend_udiv_cofactor_transfer_20260609_1222/ex265/aigs/ex265_udiv_cof_bhi1_ahi1_bitbdd_wordmux_synth_preset.aig,unsigned low4_high4:a/b dbz=max exact; source=cof_bhi1_ahi1_bitbdd_wordmux; flow=synth_preset
ex265,ex265_udiv_cof_bhi1_ahi1_bitbdd_wordmux_synth_preset_d8,1,64,9,576,student/work/ex265_ex267_frontend_udiv_cofactor_transfer_20260609_1222/ex265/aigs/ex265_udiv_cof_bhi1_ahi1_bitbdd_wordmux_synth_preset_d8.aig,unsigned low4_high4:a/b dbz=max exact; source=cof_bhi1_ahi1_bitbdd_wordmux; flow=synth_preset_d8
ex265,ex265_udiv_cof_bhi1_ahi1_bitbdd_wordmux_synth_preset_d10,1,64,9,576,student/work/ex265_ex267_frontend_udiv_cofactor_transfer_20260609_1222/ex265/aigs/ex265_udiv_cof_bhi1_ahi1_bitbdd_wordmux_synth_preset_d10.aig,unsigned low4_high4:a/b dbz=max exact; source=cof_bhi1_ahi1_bitbdd_wordmux; flow=synth_preset_d10
ex265,ex265_udiv_cof_bhi1_ahi1_bitbdd_wordmux_synth_preset_d12,1,64,9,576,student/work/ex265_ex267_frontend_udiv_cofactor_transfer_20260609_1222/ex265/aigs/ex265_udiv_cof_bhi1_ahi1_bitbdd_wordmux_synth_preset_d12.aig,unsigned low4_high4:a/b dbz=max exact; source=cof_bhi1_ahi1_bitbdd_wordmux; flow=synth_preset_d12
ex265,ex265_udiv_cof_bhi2_ahi1_bitbdd_wordmux_abc_g_aig,1,65,8,520,student/work/ex265_ex267_frontend_udiv_cofactor_transfer_20260609_1222/ex265/aigs/ex265_udiv_cof_bhi2_ahi1_bitbdd_wordmux_abc_g_aig.aig,unsigned low4_high4:a/b dbz=max exact; source=cof_bhi2_ahi1_bitbdd_wordmux; flow=abc_g_aig
ex265,ex265_udiv_cof_bhi2_ahi1_bitbdd_wordmux_wreduce_abc_g_aig,1,65,8,520,student/work/ex265_ex267_frontend_udiv_cofactor_transfer_20260609_1222/ex265/aigs/ex265_udiv_cof_bhi2_ahi1_bitbdd_wordmux_wreduce_abc_g_aig.aig,unsigned low4_high4:a/b dbz=max exact; source=cof_bhi2_ahi1_bitbdd_wordmux; flow=wreduce_abc_g_aig
ex265,ex265_udiv_cof_bhi2_ahi1_bitbdd_wordmux_synth_preset,1,65,9,585,student/work/ex265_ex267_frontend_udiv_cofactor_transfer_20260609_1222/ex265/aigs/ex265_udiv_cof_bhi2_ahi1_bitbdd_wordmux_synth_preset.aig,unsigned low4_high4:a/b dbz=max exact; source=cof_bhi2_ahi1_bitbdd_wordmux; flow=synth_preset
ex265,ex265_udiv_cof_bhi2_ahi1_bitbdd_wordmux_synth_preset_d8,1,65,9,585,student/work/ex265_ex267_frontend_udiv_cofactor_transfer_20260609_1222/ex265/aigs/ex265_udiv_cof_bhi2_ahi1_bitbdd_wordmux_synth_preset_d8.aig,unsigned low4_high4:a/b dbz=max exact; source=cof_bhi2_ahi1_bitbdd_wordmux; flow=synth_preset_d8
ex265,ex265_udiv_cof_bhi2_ahi1_bitbdd_wordmux_synth_preset_d10,1,65,9,585,student/work/ex265_ex267_frontend_udiv_cofactor_transfer_20260609_1222/ex265/aigs/ex265_udiv_cof_bhi2_ahi1_bitbdd_wordmux_synth_preset_d10.aig,unsigned low4_high4:a/b dbz=max exact; source=cof_bhi2_ahi1_bitbdd_wordmux; flow=synth_preset_d10
ex265,ex265_udiv_cof_bhi2_ahi1_bitbdd_wordmux_synth_preset_d12,1,65,9,585,student/work/ex265_ex267_frontend_udiv_cofactor_transfer_20260609_1222/ex265/aigs/ex265_udiv_cof_bhi2_ahi1_bitbdd_wordmux_synth_preset_d12.aig,unsigned low4_high4:a/b dbz=max exact; source=cof_bhi2_ahi1_bitbdd_wordmux; flow=synth_preset_d12
ex265,ex265_udiv_cof_bhi2_ahi2_bitbdd_wordmux_abc_g_aig,1,77,8,616,student/work/ex265_ex267_frontend_udiv_cofactor_transfer_20260609_1222/ex265/aigs/ex265_udiv_cof_bhi2_ahi2_bitbdd_wordmux_abc_g_aig.aig,unsigned low4_high4:a/b dbz=max exact; source=cof_bhi2_ahi2_bitbdd_wordmux; flow=abc_g_aig
ex265,ex265_udiv_cof_bhi2_ahi2_bitbdd_wordmux_wreduce_abc_g_aig,1,77,8,616,student/work/ex265_ex267_frontend_udiv_cofactor_transfer_20260609_1222/ex265/aigs/ex265_udiv_cof_bhi2_ahi2_bitbdd_wordmux_wreduce_abc_g_aig.aig,unsigned low4_high4:a/b dbz=max exact; source=cof_bhi2_ahi2_bitbdd_wordmux; flow=wreduce_abc_g_aig
ex265,ex265_udiv_cof_bhi2_ahi2_bitbdd_wordmux_synth_preset,1,71,8,568,student/work/ex265_ex267_frontend_udiv_cofactor_transfer_20260609_1222/ex265/aigs/ex265_udiv_cof_bhi2_ahi2_bitbdd_wordmux_synth_preset.aig,unsigned low4_high4:a/b dbz=max exact; source=cof_bhi2_ahi2_bitbdd_wordmux; flow=synth_preset
ex265,ex265_udiv_cof_bhi2_ahi2_bitbdd_wordmux_synth_preset_d8,1,71,8,568,student/work/ex265_ex267_frontend_udiv_cofactor_transfer_20260609_1222/ex265/aigs/ex265_udiv_cof_bhi2_ahi2_bitbdd_wordmux_synth_preset_d8.aig,unsigned low4_high4:a/b dbz=max exact; source=cof_bhi2_ahi2_bitbdd_wordmux; flow=synth_preset_d8
ex265,ex265_udiv_cof_bhi2_ahi2_bitbdd_wordmux_synth_preset_d10,1,71,8,568,student/work/ex265_ex267_frontend_udiv_cofactor_transfer_20260609_1222/ex265/aigs/ex265_udiv_cof_bhi2_ahi2_bitbdd_wordmux_synth_preset_d10.aig,unsigned low4_high4:a/b dbz=max exact; source=cof_bhi2_ahi2_bitbdd_wordmux; flow=synth_preset_d10
