case,candidate_id,hypothesis,variant,verilog_path,aig_path,area,delay,adp,items,notes
ex280,ex280_unknown_key_canonical_cofactor_bdd_prefix_parity_reduce_top6_first_classonehot_endpoint_rev,unknown_key_canonical_cofactor_bdd,prefix_parity_reduce_top6_first_classonehot_endpoint_rev,student/work/ex280_ex284_frontend_key_cofactor_classonehot_20260608_2025/ex280/verilog/ex280_unknown_key_canonical_cofactor_bdd_prefix_parity_reduce_top6_first_classonehot_endpoint_rev.v,student/work/ex280_ex284_frontend_key_cofactor_classonehot_20260608_2025/ex280/aigs/ex280_unknown_key_canonical_cofactor_bdd_prefix_parity_reduce_top6_first_classonehot_endpoint_rev.aig,764,25,19100,transform=prefix_parity_reduce; outer_bits=0:11:1:10:2:9; inner_bits=3:4:5:6:7:8; class_encoding=first; outer_states=64; class_count=50; unique_reps=0:1:2:3:4:6:8:9:11:12:13:15:16:17:18:19:20:21:22:23:24:25:27:28:29:31:32:33:34:35:36:37:38:39:43:44:45:47:48:49:50:51:52:53:54:55:59:60:61:63; rep_by_outer=0:1:2:3:4:1:6:3:8:9:8:11:12:13:12:15:16:17:18:19:20:21:22:23:24:25:24:27:28:29:28:31:32:33:34:35:36:37:38:39:32:35:32:43:44:45:44:47:48:49:50:51:52:53:54:55:48:51:48:59:60:61:60:63; mux_style=classonehot; inner_order_style=endpoint_rev; old_group_bdd_nodes=4573; unique_group_bdd_nodes=3736; group_bdd_nodes=64:71:71:77:77:74:71:78:71:72:72:70:77:77:77:73:78:72:75:78:77:70:77:73:73:70:70:73:73:79:74:75:74:68:73:79:79:73:81:78:81:69:76:81:76:76:81:75:82:75; hash=13d72eb959c9,unknown canonical prefix-key cofactor-BDD Verilog seed
ex281,ex281_unknown_key_canonical_cofactor_bdd_prefix_parity_reduce_top6_first_classonehot_endpoint,unknown_key_canonical_cofactor_bdd,prefix_parity_reduce_top6_first_classonehot_endpoint,student/work/ex280_ex284_frontend_key_cofactor_classonehot_20260608_2025/ex281/verilog/ex281_unknown_key_canonical_cofactor_bdd_prefix_parity_reduce_top6_first_classonehot_endpoint.v,student/work/ex280_ex284_frontend_key_cofactor_classonehot_20260608_2025/ex281/aigs/ex281_unknown_key_canonical_cofactor_bdd_prefix_parity_reduce_top6_first_classonehot_endpoint.aig,893,28,25004,transform=prefix_parity_reduce; outer_bits=0:12:1:11:2:10; inner_bits=3:4:5:6:7:8:9; class_encoding=first; outer_states=64; class_count=50; unique_reps=0:1:2:3:4:6:8:9:11:12:13:15:16:17:18:19:20:21:22:23:24:25:27:28:29:31:32:33:34:35:36:37:38:39:43:44:45:47:48:49:50:51:52:53:54:55:59:60:61:63; rep_by_outer=0:1:2:3:4:1:6:3:8:9:8:11:12:13:12:15:16:17:18:19:20:21:22:23:24:25:24:27:28:29:28:31:32:33:34:35:36:37:38:39:32:35:32:43:44:45:44:47:48:49:50:51:52:53:54:55:48:51:48:59:60:61:60:63; mux_style=classonehot; inner_order_style=endpoint; old_group_bdd_nodes=7602; unique_group_bdd_nodes=5938; group_bdd_nodes=107:115:115:118:118:115:115:118:115:116:116:111:120:120:120:117:121:116:118:121:120:114:120:117:117:114:116:119:119:125:120:121:120:114:119:125:125:119:124:121:124:116:122:124:122:122:124:117:125:121; hash=260757ec4447,unknown canonical prefix-key cofactor-BDD Verilog seed
ex282,ex282_unknown_key_canonical_cofactor_bdd_prefix_parity_reduce_top6_first_classonehot_endpoint_rev,unknown_key_canonical_cofactor_bdd,prefix_parity_reduce_top6_first_classonehot_endpoint_rev,student/work/ex280_ex284_frontend_key_cofactor_classonehot_20260608_2025/ex282/verilog/ex282_unknown_key_canonical_cofactor_bdd_prefix_parity_reduce_top6_first_classonehot_endpoint_rev.v,student/work/ex280_ex284_frontend_key_cofactor_classonehot_20260608_2025/ex282/aigs/ex282_unknown_key_canonical_cofactor_bdd_prefix_parity_reduce_top6_first_classonehot_endpoint_rev.aig,1001,30,30030,transform=prefix_parity_reduce; outer_bits=0:13:1:12:2:11; inner_bits=3:4:5:6:7:8:9:10; class_encoding=first; outer_states=64; class_count=50; unique_reps=0:1:2:3:4:6:8:9:11:12:13:15:16:17:18:19:20:21:22:23:24:25:27:28:29:31:32:33:34:35:36:37:38:39:43:44:45:47:48:49:50:51:52:53:54:55:59:60:61:63; rep_by_outer=0:1:2:3:4:1:6:3:8:9:8:11:12:13:12:15:16:17:18:19:20:21:22:23:24:25:24:27:28:29:28:31:32:33:34:35:36:37:38:39:32:35:32:43:44:45:44:47:48:49:50:51:52:53:54:55:48:51:48:59:60:61:60:63; mux_style=classonehot; inner_order_style=endpoint_rev; old_group_bdd_nodes=10914; unique_group_bdd_nodes=8886; group_bdd_nodes=166:173:173:179:179:176:173:179:173:174:174:171:179:179:179:175:180:174:177:180:179:172:179:175:175:172:175:178:178:184:179:180:179:172:178:184:184:178:184:181:184:173:180:184:180:180:184:178:185:179; hash=e934c73bd705,unknown canonical prefix-key cofactor-BDD Verilog seed
ex283,ex283_unknown_key_canonical_cofactor_bdd_prefix_parity_reduce_top6_first_classonehot_endpoint,unknown_key_canonical_cofactor_bdd,prefix_parity_reduce_top6_first_classonehot_endpoint,student/work/ex280_ex284_frontend_key_cofactor_classonehot_20260608_2025/ex283/verilog/ex283_unknown_key_canonical_cofactor_bdd_prefix_parity_reduce_top6_first_classonehot_endpoint.v,student/work/ex280_ex284_frontend_key_cofactor_classonehot_20260608_2025/ex283/aigs/ex283_unknown_key_canonical_cofactor_bdd_prefix_parity_reduce_top6_first_classonehot_endpoint.aig,1145,31,35495,transform=prefix_parity_reduce; outer_bits=0:14:1:13:2:12; inner_bits=3:4:5:6:7:8:9:10:11; class_encoding=first; outer_states=64; class_count=50; unique_reps=0:1:2:3:4:6:8:9:11:12:13:15:16:17:18:19:20:21:22:23:24:25:27:28:29:31:32:33:34:35:36:37:38:39:43:44:45:47:48:49:50:51:52:53:54:55:59:60:61:63; rep_by_outer=0:1:2:3:4:1:6:3:8:9:8:11:12:13:12:15:16:17:18:19:20:21:22:23:24:25:24:27:28:29:28:31:32:33:34:35:36:37:38:39:32:35:32:43:44:45:44:47:48:49:50:51:52:53:54:55:48:51:48:59:60:61:60:63; mux_style=classonehot; inner_order_style=endpoint; old_group_bdd_nodes=15186; unique_group_bdd_nodes=11861; group_bdd_nodes=224:232:232:237:237:234:232:237:232:233:233:230:237:237:237:234:238:233:235:238:237:231:237:234:234:231:236:239:239:244:240:240:240:234:239:244:244:239:244:241:244:235:241:244:241:241:244:237:245:240; hash=03d99266886f,unknown canonical prefix-key cofactor-BDD Verilog seed
ex284,ex284_unknown_key_canonical_cofactor_bdd_prefix_parity_reduce_top6_first_classonehot_endpoint_rev,unknown_key_canonical_cofactor_bdd,prefix_parity_reduce_top6_first_classonehot_endpoint_rev,student/work/ex280_ex284_frontend_key_cofactor_classonehot_20260608_2025/ex284/verilog/ex284_unknown_key_canonical_cofactor_bdd_prefix_parity_reduce_top6_first_classonehot_endpoint_rev.v,student/work/ex280_ex284_frontend_key_cofactor_classonehot_20260608_2025/ex284/aigs/ex284_unknown_key_canonical_cofactor_bdd_prefix_parity_reduce_top6_first_classonehot_endpoint_rev.aig,1227,37,45399,transform=prefix_parity_reduce; outer_bits=0:15:1:14:2:13; inner_bits=3:4:5:6:7:8:9:10:11:12; class_encoding=first; outer_states=64; class_count=50; unique_reps=0:1:2:3:4:6:8:9:11:12:13:15:16:17:18:19:20:21:22:23:24:25:27:28:29:31:32:33:34:35:36:37:38:39:43:44:45:47:48:49:50:51:52:53:54:55:59:60:61:63; rep_by_outer=0:1:2:3:4:1:6:3:8:9:8:11:12:13:12:15:16:17:18:19:20:21:22:23:24:25:24:27:28:29:28:31:32:33:34:35:36:37:38:39:32:35:32:43:44:45:44:47:48:49:50:51:52:53:54:55:48:51:48:59:60:61:60:63; mux_style=classonehot; inner_order_style=endpoint_rev; old_group_bdd_nodes=19090; unique_group_bdd_nodes=15436; group_bdd_nodes=297:304:304:310:310:307:304:310:304:305:305:302:310:310:310:306:311:305:308:311:310:303:310:306:306:303:306:309:309:315:310:311:310:303:309:315:315:309:315:312:315:304:311:315:311:311:315:309:316:310; hash=a13ad11491e9,unknown canonical prefix-key cofactor-BDD Verilog seed
