case,candidate_id,hypothesis/function_guess,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,runtime_sec,items,classification,notes
ex231,ex231_fp16_reciprocal_semantic_arith_fields,fp16_reciprocal,semantic_arith_fields,student/work/ex231_ex234_frontend_fp16_arith_20260607_1853/ex231/verilog/ex231_fp16_reciprocal_semantic_arith_fields.v,student/work/ex231_ex234_frontend_fp16_arith_20260607_1853/ex231/aigs/ex231_fp16_reciprocal_semantic_arith_fields.aig,1,1,1,1218,18,21924,14066,1.558652,0,0,2.786,op=recip; table_keys=1024; normal_table_entries=1023; positive_normal_exceptions=0; special_entries=2049; relation=sign_flip_pos; negative_exceptions=1023,semantic_exact,semantic_exact FP16 frontend candidate
ex231,ex231_fp16_reciprocal_semantic_arith_fields_with_exceptions,fp16_reciprocal,semantic_arith_fields_with_exceptions,student/work/ex231_ex234_frontend_fp16_arith_20260607_1853/ex231/verilog/ex231_fp16_reciprocal_semantic_arith_fields_with_exceptions.v,student/work/ex231_ex234_frontend_fp16_arith_20260607_1853/ex231/aigs/ex231_fp16_reciprocal_semantic_arith_fields_with_exceptions.aig,1,1,1,1218,18,21924,14066,1.558652,0,0,2.928,op=recip; table_keys=1024; normal_table_entries=1023; positive_normal_exceptions=0; special_entries=2049; relation=sign_flip_pos; negative_exceptions=1023,semantic_exact,semantic_exact FP16 frontend candidate
ex232,ex232_fp16_square_semantic_arith_fields,fp16_square,semantic_arith_fields,student/work/ex231_ex234_frontend_fp16_arith_20260607_1853/ex232/verilog/ex232_fp16_square_semantic_arith_fields.v,student/work/ex231_ex234_frontend_fp16_arith_20260607_1853/ex232/aigs/ex232_fp16_square_semantic_arith_fields.aig,1,1,1,1352,18,24336,13392,1.817204,0,0,1.347,op=square; table_keys=1024; normal_table_entries=1023; positive_normal_exceptions=0; special_entries=1040; relation=same_pos; negative_exceptions=0,semantic_exact,semantic_exact FP16 frontend candidate
ex232,ex232_fp16_square_semantic_arith_fields_with_exceptions,fp16_square,semantic_arith_fields_with_exceptions,student/work/ex231_ex234_frontend_fp16_arith_20260607_1853/ex232/verilog/ex232_fp16_square_semantic_arith_fields_with_exceptions.v,student/work/ex231_ex234_frontend_fp16_arith_20260607_1853/ex232/aigs/ex232_fp16_square_semantic_arith_fields_with_exceptions.aig,1,1,1,1352,18,24336,13392,1.817204,0,0,1.344,op=square; table_keys=1024; normal_table_entries=1023; positive_normal_exceptions=0; special_entries=1040; relation=same_pos; negative_exceptions=0,semantic_exact,semantic_exact FP16 frontend candidate
ex233,ex233_fp16_sqrt_semantic_arith_fields,fp16_sqrt,semantic_arith_fields,student/work/ex231_ex234_frontend_fp16_arith_20260607_1853/ex233/verilog/ex233_fp16_sqrt_semantic_arith_fields.v,student/work/ex231_ex234_frontend_fp16_arith_20260607_1853/ex233/aigs/ex233_fp16_sqrt_semantic_arith_fields.aig,1,1,1,1658,19,31502,20174,1.561515,0,0,1.858,op=sqrt; table_keys=2048; normal_table_entries=2046; positive_normal_exceptions=0; special_entries=1025; relation=nan; negative_exceptions=1024,semantic_exact,semantic_exact FP16 frontend candidate
ex233,ex233_fp16_sqrt_semantic_arith_fields_with_exceptions,fp16_sqrt,semantic_arith_fields_with_exceptions,student/work/ex231_ex234_frontend_fp16_arith_20260607_1853/ex233/verilog/ex233_fp16_sqrt_semantic_arith_fields_with_exceptions.v,student/work/ex231_ex234_frontend_fp16_arith_20260607_1853/ex233/aigs/ex233_fp16_sqrt_semantic_arith_fields_with_exceptions.aig,1,1,1,1658,19,31502,20174,1.561515,0,0,1.863,op=sqrt; table_keys=2048; normal_table_entries=2046; positive_normal_exceptions=0; special_entries=1025; relation=nan; negative_exceptions=1024,semantic_exact,semantic_exact FP16 frontend candidate
ex234,ex234_fp16_reciprocal_square_semantic_arith_fields,fp16_reciprocal_square,semantic_arith_fields,student/work/ex231_ex234_frontend_fp16_arith_20260607_1853/ex234/verilog/ex234_fp16_reciprocal_square_semantic_arith_fields.v,student/work/ex231_ex234_frontend_fp16_arith_20260607_1853/ex234/aigs/ex234_fp16_reciprocal_square_semantic_arith_fields.aig,1,1,1,1384,17,23528,15561,1.511985,0,0,1.563,op=recip_square; table_keys=1024; normal_table_entries=1023; positive_normal_exceptions=0; special_entries=2063; relation=same_pos; negative_exceptions=0,semantic_exact,semantic_exact FP16 frontend candidate
ex234,ex234_fp16_reciprocal_square_semantic_arith_fields_with_exceptions,fp16_reciprocal_square,semantic_arith_fields_with_exceptions,student/work/ex231_ex234_frontend_fp16_arith_20260607_1853/ex234/verilog/ex234_fp16_reciprocal_square_semantic_arith_fields_with_exceptions.v,student/work/ex231_ex234_frontend_fp16_arith_20260607_1853/ex234/aigs/ex234_fp16_reciprocal_square_semantic_arith_fields_with_exceptions.aig,1,1,1,1384,17,23528,15561,1.511985,0,0,1.577,op=recip_square; table_keys=1024; normal_table_entries=1023; positive_normal_exceptions=0; special_entries=2063; relation=same_pos; negative_exceptions=0,semantic_exact,semantic_exact FP16 frontend candidate
