case,agent_id,candidate_id,verilog_path,aig_path,evaluate_log,equivalent,area,delay,adp,status,notes,domain,shard_csv,method_signature,log_path
ex244,sub-fp8-hypot-classifier-r65,ex244_ex244_r65_delta_bit_cubes_default_raw,student/work/frontend_source_parallel_round65_20260613_1029/sub-fp8-hypot-classifier-r65/ex244/ex244_r65_delta_bit_cubes/verilog/ex244_r65_delta_bit_cubes.v,student/work/frontend_source_parallel_round65_20260613_1029/sub-fp8-hypot-classifier-r65/ex244/ex244_r65_delta_bit_cubes/aigs/ex244_ex244_r65_delta_bit_cubes_default_raw.aig,student/work/frontend_source_parallel_round65_20260613_1029/sub-fp8-hypot-classifier-r65/ex244/ex244_r65_delta_bit_cubes/logs/ex244_ex244_r65_delta_bit_cubes_default_raw.evaluate.py.log,1,858,39,33462,,official evaluate.py OK; yosys_log=student/work/frontend_source_parallel_round65_20260613_1029/sub-fp8-hypot-classifier-r65/ex244/ex244_r65_delta_bit_cubes/logs/ex244_r65_delta_bit_cubes_default.yosys.log; abc_log=student/work/frontend_source_parallel_round65_20260613_1029/sub-fp8-hypot-classifier-r65/ex244/ex244_r65_delta_bit_cubes/logs/ex244_ex244_r65_delta_bit_cubes_default_raw.abc.log; synth_sec=1.537; abc_sec=0.000; eval_sec=0.485,float_fp8,student/frontend_campaigns/campaigns/frontend_source_parallel_round65_20260613_1029/agent_shards/sub-fp8-hypot-classifier-r65/evaluation_results.csv,,
ex244,sub-fp8-hypot-classifier-r65,ex244_ex244_r65_delta_bit_cubes_extra_share_raw,student/work/frontend_source_parallel_round65_20260613_1029/sub-fp8-hypot-classifier-r65/ex244/ex244_r65_delta_bit_cubes/verilog/ex244_r65_delta_bit_cubes.v,student/work/frontend_source_parallel_round65_20260613_1029/sub-fp8-hypot-classifier-r65/ex244/ex244_r65_delta_bit_cubes/aigs/ex244_ex244_r65_delta_bit_cubes_extra_share_raw.aig,student/work/frontend_source_parallel_round65_20260613_1029/sub-fp8-hypot-classifier-r65/ex244/ex244_r65_delta_bit_cubes/logs/ex244_ex244_r65_delta_bit_cubes_extra_share_raw.evaluate.py.log,1,824,38,31312,,official evaluate.py OK; yosys_log=student/work/frontend_source_parallel_round65_20260613_1029/sub-fp8-hypot-classifier-r65/ex244/ex244_r65_delta_bit_cubes/logs/ex244_r65_delta_bit_cubes_extra_share.yosys.log; abc_log=student/work/frontend_source_parallel_round65_20260613_1029/sub-fp8-hypot-classifier-r65/ex244/ex244_r65_delta_bit_cubes/logs/ex244_ex244_r65_delta_bit_cubes_extra_share_raw.abc.log; synth_sec=1.506; abc_sec=0.000; eval_sec=0.518,float_fp8,student/frontend_campaigns/campaigns/frontend_source_parallel_round65_20260613_1029/agent_shards/sub-fp8-hypot-classifier-r65/evaluation_results.csv,,
ex244,sub-fp8-hypot-classifier-r65,ex244_ex244_r65_delta_bit_cubes_abc_g_aig_raw,student/work/frontend_source_parallel_round65_20260613_1029/sub-fp8-hypot-classifier-r65/ex244/ex244_r65_delta_bit_cubes/verilog/ex244_r65_delta_bit_cubes.v,student/work/frontend_source_parallel_round65_20260613_1029/sub-fp8-hypot-classifier-r65/ex244/ex244_r65_delta_bit_cubes/aigs/ex244_ex244_r65_delta_bit_cubes_abc_g_aig_raw.aig,student/work/frontend_source_parallel_round65_20260613_1029/sub-fp8-hypot-classifier-r65/ex244/ex244_r65_delta_bit_cubes/logs/ex244_ex244_r65_delta_bit_cubes_abc_g_aig_raw.evaluate.py.log,1,836,39,32604,,official evaluate.py OK; yosys_log=student/work/frontend_source_parallel_round65_20260613_1029/sub-fp8-hypot-classifier-r65/ex244/ex244_r65_delta_bit_cubes/logs/ex244_r65_delta_bit_cubes_abc_g_aig.yosys.log; abc_log=student/work/frontend_source_parallel_round65_20260613_1029/sub-fp8-hypot-classifier-r65/ex244/ex244_r65_delta_bit_cubes/logs/ex244_ex244_r65_delta_bit_cubes_abc_g_aig_raw.abc.log; synth_sec=1.530; abc_sec=0.000; eval_sec=0.498,float_fp8,student/frontend_campaigns/campaigns/frontend_source_parallel_round65_20260613_1029/agent_shards/sub-fp8-hypot-classifier-r65/evaluation_results.csv,,
ex244,sub-fp8-hypot-classifier-r65,ex244_ex244_r65_delta_bit_cubes_synth_preset_raw,student/work/frontend_source_parallel_round65_20260613_1029/sub-fp8-hypot-classifier-r65/ex244/ex244_r65_delta_bit_cubes/verilog/ex244_r65_delta_bit_cubes.v,student/work/frontend_source_parallel_round65_20260613_1029/sub-fp8-hypot-classifier-r65/ex244/ex244_r65_delta_bit_cubes/aigs/ex244_ex244_r65_delta_bit_cubes_synth_preset_raw.aig,student/work/frontend_source_parallel_round65_20260613_1029/sub-fp8-hypot-classifier-r65/ex244/ex244_r65_delta_bit_cubes/logs/ex244_ex244_r65_delta_bit_cubes_synth_preset_raw.evaluate.py.log,1,718,37,26566,,official evaluate.py OK; yosys_log=student/work/frontend_source_parallel_round65_20260613_1029/sub-fp8-hypot-classifier-r65/ex244/ex244_r65_delta_bit_cubes/logs/ex244_r65_delta_bit_cubes_synth_preset.yosys.log; abc_log=student/work/frontend_source_parallel_round65_20260613_1029/sub-fp8-hypot-classifier-r65/ex244/ex244_r65_delta_bit_cubes/logs/ex244_ex244_r65_delta_bit_cubes_synth_preset_raw.abc.log; synth_sec=1.913; abc_sec=0.000; eval_sec=0.512,float_fp8,student/frontend_campaigns/campaigns/frontend_source_parallel_round65_20260613_1029/agent_shards/sub-fp8-hypot-classifier-r65/evaluation_results.csv,,
ex244,sub-fp8-hypot-classifier-r65,ex244_ex244_r65_class_case_increment_default_raw,student/work/frontend_source_parallel_round65_20260613_1029/sub-fp8-hypot-classifier-r65/ex244/ex244_r65_class_case_increment/verilog/ex244_r65_class_case_increment.v,student/work/frontend_source_parallel_round65_20260613_1029/sub-fp8-hypot-classifier-r65/ex244/ex244_r65_class_case_increment/aigs/ex244_ex244_r65_class_case_increment_default_raw.aig,student/work/frontend_source_parallel_round65_20260613_1029/sub-fp8-hypot-classifier-r65/ex244/ex244_r65_class_case_increment/logs/ex244_ex244_r65_class_case_increment_default_raw.evaluate.py.log,1,553,34,18802,,official evaluate.py OK; yosys_log=student/work/frontend_source_parallel_round65_20260613_1029/sub-fp8-hypot-classifier-r65/ex244/ex244_r65_class_case_increment/logs/ex244_r65_class_case_increment_default.yosys.log; abc_log=student/work/frontend_source_parallel_round65_20260613_1029/sub-fp8-hypot-classifier-r65/ex244/ex244_r65_class_case_increment/logs/ex244_ex244_r65_class_case_increment_default_raw.abc.log; synth_sec=1.319; abc_sec=0.000; eval_sec=0.482,float_fp8,student/frontend_campaigns/campaigns/frontend_source_parallel_round65_20260613_1029/agent_shards/sub-fp8-hypot-classifier-r65/evaluation_results.csv,,
ex244,sub-fp8-hypot-classifier-r65,ex244_ex244_r65_class_case_increment_extra_share_raw,student/work/frontend_source_parallel_round65_20260613_1029/sub-fp8-hypot-classifier-r65/ex244/ex244_r65_class_case_increment/verilog/ex244_r65_class_case_increment.v,student/work/frontend_source_parallel_round65_20260613_1029/sub-fp8-hypot-classifier-r65/ex244/ex244_r65_class_case_increment/aigs/ex244_ex244_r65_class_case_increment_extra_share_raw.aig,student/work/frontend_source_parallel_round65_20260613_1029/sub-fp8-hypot-classifier-r65/ex244/ex244_r65_class_case_increment/logs/ex244_ex244_r65_class_case_increment_extra_share_raw.evaluate.py.log,1,553,34,18802,,official evaluate.py OK; yosys_log=student/work/frontend_source_parallel_round65_20260613_1029/sub-fp8-hypot-classifier-r65/ex244/ex244_r65_class_case_increment/logs/ex244_r65_class_case_increment_extra_share.yosys.log; abc_log=student/work/frontend_source_parallel_round65_20260613_1029/sub-fp8-hypot-classifier-r65/ex244/ex244_r65_class_case_increment/logs/ex244_ex244_r65_class_case_increment_extra_share_raw.abc.log; synth_sec=1.328; abc_sec=0.000; eval_sec=0.479,float_fp8,student/frontend_campaigns/campaigns/frontend_source_parallel_round65_20260613_1029/agent_shards/sub-fp8-hypot-classifier-r65/evaluation_results.csv,,
ex244,sub-fp8-hypot-classifier-r65,ex244_ex244_r65_class_case_increment_abc_g_aig_raw,student/work/frontend_source_parallel_round65_20260613_1029/sub-fp8-hypot-classifier-r65/ex244/ex244_r65_class_case_increment/verilog/ex244_r65_class_case_increment.v,student/work/frontend_source_parallel_round65_20260613_1029/sub-fp8-hypot-classifier-r65/ex244/ex244_r65_class_case_increment/aigs/ex244_ex244_r65_class_case_increment_abc_g_aig_raw.aig,student/work/frontend_source_parallel_round65_20260613_1029/sub-fp8-hypot-classifier-r65/ex244/ex244_r65_class_case_increment/logs/ex244_ex244_r65_class_case_increment_abc_g_aig_raw.evaluate.py.log,1,552,34,18768,,official evaluate.py OK; yosys_log=student/work/frontend_source_parallel_round65_20260613_1029/sub-fp8-hypot-classifier-r65/ex244/ex244_r65_class_case_increment/logs/ex244_r65_class_case_increment_abc_g_aig.yosys.log; abc_log=student/work/frontend_source_parallel_round65_20260613_1029/sub-fp8-hypot-classifier-r65/ex244/ex244_r65_class_case_increment/logs/ex244_ex244_r65_class_case_increment_abc_g_aig_raw.abc.log; synth_sec=1.365; abc_sec=0.000; eval_sec=0.509,float_fp8,student/frontend_campaigns/campaigns/frontend_source_parallel_round65_20260613_1029/agent_shards/sub-fp8-hypot-classifier-r65/evaluation_results.csv,,
ex244,sub-fp8-hypot-classifier-r65,ex244_ex244_r65_class_case_increment_synth_preset_raw,student/work/frontend_source_parallel_round65_20260613_1029/sub-fp8-hypot-classifier-r65/ex244/ex244_r65_class_case_increment/verilog/ex244_r65_class_case_increment.v,student/work/frontend_source_parallel_round65_20260613_1029/sub-fp8-hypot-classifier-r65/ex244/ex244_r65_class_case_increment/aigs/ex244_ex244_r65_class_case_increment_synth_preset_raw.aig,student/work/frontend_source_parallel_round65_20260613_1029/sub-fp8-hypot-classifier-r65/ex244/ex244_r65_class_case_increment/logs/ex244_ex244_r65_class_case_increment_synth_preset_raw.evaluate.py.log,1,609,35,21315,,official evaluate.py OK; yosys_log=student/work/frontend_source_parallel_round65_20260613_1029/sub-fp8-hypot-classifier-r65/ex244/ex244_r65_class_case_increment/logs/ex244_r65_class_case_increment_synth_preset.yosys.log; abc_log=student/work/frontend_source_parallel_round65_20260613_1029/sub-fp8-hypot-classifier-r65/ex244/ex244_r65_class_case_increment/logs/ex244_ex244_r65_class_case_increment_synth_preset_raw.abc.log; synth_sec=1.947; abc_sec=0.000; eval_sec=0.495,float_fp8,student/frontend_campaigns/campaigns/frontend_source_parallel_round65_20260613_1029/agent_shards/sub-fp8-hypot-classifier-r65/evaluation_results.csv,,
ex249,sub-fp8-hypot-classifier-r65,ex249_ex249_r65_threshold_cubes_default_raw,student/work/frontend_source_parallel_round65_20260613_1029/sub-fp8-hypot-classifier-r65/ex249/ex249_r65_threshold_cubes/verilog/ex249_r65_threshold_cubes.v,student/work/frontend_source_parallel_round65_20260613_1029/sub-fp8-hypot-classifier-r65/ex249/ex249_r65_threshold_cubes/aigs/ex249_ex249_r65_threshold_cubes_default_raw.aig,student/work/frontend_source_parallel_round65_20260613_1029/sub-fp8-hypot-classifier-r65/ex249/ex249_r65_threshold_cubes/logs/ex249_ex249_r65_threshold_cubes_default_raw.evaluate.py.log,1,184,29,5336,,official evaluate.py OK; yosys_log=student/work/frontend_source_parallel_round65_20260613_1029/sub-fp8-hypot-classifier-r65/ex249/ex249_r65_threshold_cubes/logs/ex249_r65_threshold_cubes_default.yosys.log; abc_log=student/work/frontend_source_parallel_round65_20260613_1029/sub-fp8-hypot-classifier-r65/ex249/ex249_r65_threshold_cubes/logs/ex249_ex249_r65_threshold_cubes_default_raw.abc.log; synth_sec=0.201; abc_sec=0.000; eval_sec=0.480,float_fp8,student/frontend_campaigns/campaigns/frontend_source_parallel_round65_20260613_1029/agent_shards/sub-fp8-hypot-classifier-r65/evaluation_results.csv,,
ex249,sub-fp8-hypot-classifier-r65,ex249_ex249_r65_threshold_cubes_extra_share_raw,student/work/frontend_source_parallel_round65_20260613_1029/sub-fp8-hypot-classifier-r65/ex249/ex249_r65_threshold_cubes/verilog/ex249_r65_threshold_cubes.v,student/work/frontend_source_parallel_round65_20260613_1029/sub-fp8-hypot-classifier-r65/ex249/ex249_r65_threshold_cubes/aigs/ex249_ex249_r65_threshold_cubes_extra_share_raw.aig,student/work/frontend_source_parallel_round65_20260613_1029/sub-fp8-hypot-classifier-r65/ex249/ex249_r65_threshold_cubes/logs/ex249_ex249_r65_threshold_cubes_extra_share_raw.evaluate.py.log,1,183,28,5124,,official evaluate.py OK; yosys_log=student/work/frontend_source_parallel_round65_20260613_1029/sub-fp8-hypot-classifier-r65/ex249/ex249_r65_threshold_cubes/logs/ex249_r65_threshold_cubes_extra_share.yosys.log; abc_log=student/work/frontend_source_parallel_round65_20260613_1029/sub-fp8-hypot-classifier-r65/ex249/ex249_r65_threshold_cubes/logs/ex249_ex249_r65_threshold_cubes_extra_share_raw.abc.log; synth_sec=0.210; abc_sec=0.000; eval_sec=0.449,float_fp8,student/frontend_campaigns/campaigns/frontend_source_parallel_round65_20260613_1029/agent_shards/sub-fp8-hypot-classifier-r65/evaluation_results.csv,,
