case,agent_id,candidate_id,verilog_path,aig_path,evaluate_log,equivalent,area,delay,adp,status,notes,domain,shard_csv,method_signature,log_path
ex249,sub-fp8-hypot-classifier-r65,ex249_ex249_r65_threshold_cubes_abc_g_aig_raw,student/work/frontend_source_parallel_round65_20260613_1029/sub-fp8-hypot-classifier-r65/ex249/ex249_r65_threshold_cubes/verilog/ex249_r65_threshold_cubes.v,student/work/frontend_source_parallel_round65_20260613_1029/sub-fp8-hypot-classifier-r65/ex249/ex249_r65_threshold_cubes/aigs/ex249_ex249_r65_threshold_cubes_abc_g_aig_raw.aig,student/work/frontend_source_parallel_round65_20260613_1029/sub-fp8-hypot-classifier-r65/ex249/ex249_r65_threshold_cubes/logs/ex249_ex249_r65_threshold_cubes_abc_g_aig_raw.evaluate.py.log,1,175,29,5075,,official evaluate.py OK; yosys_log=student/work/frontend_source_parallel_round65_20260613_1029/sub-fp8-hypot-classifier-r65/ex249/ex249_r65_threshold_cubes/logs/ex249_r65_threshold_cubes_abc_g_aig.yosys.log; abc_log=student/work/frontend_source_parallel_round65_20260613_1029/sub-fp8-hypot-classifier-r65/ex249/ex249_r65_threshold_cubes/logs/ex249_ex249_r65_threshold_cubes_abc_g_aig_raw.abc.log; synth_sec=0.208; abc_sec=0.000; eval_sec=0.467,float_fp8,student/frontend_campaigns/campaigns/frontend_source_parallel_round65_20260613_1029/agent_shards/sub-fp8-hypot-classifier-r65/evaluation_results.csv,,
ex249,sub-fp8-hypot-classifier-r65,ex249_ex249_r65_threshold_cubes_synth_preset_raw,student/work/frontend_source_parallel_round65_20260613_1029/sub-fp8-hypot-classifier-r65/ex249/ex249_r65_threshold_cubes/verilog/ex249_r65_threshold_cubes.v,student/work/frontend_source_parallel_round65_20260613_1029/sub-fp8-hypot-classifier-r65/ex249/ex249_r65_threshold_cubes/aigs/ex249_ex249_r65_threshold_cubes_synth_preset_raw.aig,student/work/frontend_source_parallel_round65_20260613_1029/sub-fp8-hypot-classifier-r65/ex249/ex249_r65_threshold_cubes/logs/ex249_ex249_r65_threshold_cubes_synth_preset_raw.evaluate.py.log,1,173,27,4671,,official evaluate.py OK; yosys_log=student/work/frontend_source_parallel_round65_20260613_1029/sub-fp8-hypot-classifier-r65/ex249/ex249_r65_threshold_cubes/logs/ex249_r65_threshold_cubes_synth_preset.yosys.log; abc_log=student/work/frontend_source_parallel_round65_20260613_1029/sub-fp8-hypot-classifier-r65/ex249/ex249_r65_threshold_cubes/logs/ex249_ex249_r65_threshold_cubes_synth_preset_raw.abc.log; synth_sec=0.310; abc_sec=0.000; eval_sec=0.457,float_fp8,student/frontend_campaigns/campaigns/frontend_source_parallel_round65_20260613_1029/agent_shards/sub-fp8-hypot-classifier-r65/evaluation_results.csv,,
ex249,sub-fp8-hypot-classifier-r65,ex249_ex249_r65_exact_state_cubes_default_raw,student/work/frontend_source_parallel_round65_20260613_1029/sub-fp8-hypot-classifier-r65/ex249/ex249_r65_exact_state_cubes/verilog/ex249_r65_exact_state_cubes.v,student/work/frontend_source_parallel_round65_20260613_1029/sub-fp8-hypot-classifier-r65/ex249/ex249_r65_exact_state_cubes/aigs/ex249_ex249_r65_exact_state_cubes_default_raw.aig,student/work/frontend_source_parallel_round65_20260613_1029/sub-fp8-hypot-classifier-r65/ex249/ex249_r65_exact_state_cubes/logs/ex249_ex249_r65_exact_state_cubes_default_raw.evaluate.py.log,1,209,32,6688,,official evaluate.py OK; yosys_log=student/work/frontend_source_parallel_round65_20260613_1029/sub-fp8-hypot-classifier-r65/ex249/ex249_r65_exact_state_cubes/logs/ex249_r65_exact_state_cubes_default.yosys.log; abc_log=student/work/frontend_source_parallel_round65_20260613_1029/sub-fp8-hypot-classifier-r65/ex249/ex249_r65_exact_state_cubes/logs/ex249_ex249_r65_exact_state_cubes_default_raw.abc.log; synth_sec=0.191; abc_sec=0.000; eval_sec=0.441,float_fp8,student/frontend_campaigns/campaigns/frontend_source_parallel_round65_20260613_1029/agent_shards/sub-fp8-hypot-classifier-r65/evaluation_results.csv,,
ex249,sub-fp8-hypot-classifier-r65,ex249_ex249_r65_exact_state_cubes_extra_share_raw,student/work/frontend_source_parallel_round65_20260613_1029/sub-fp8-hypot-classifier-r65/ex249/ex249_r65_exact_state_cubes/verilog/ex249_r65_exact_state_cubes.v,student/work/frontend_source_parallel_round65_20260613_1029/sub-fp8-hypot-classifier-r65/ex249/ex249_r65_exact_state_cubes/aigs/ex249_ex249_r65_exact_state_cubes_extra_share_raw.aig,student/work/frontend_source_parallel_round65_20260613_1029/sub-fp8-hypot-classifier-r65/ex249/ex249_r65_exact_state_cubes/logs/ex249_ex249_r65_exact_state_cubes_extra_share_raw.evaluate.py.log,1,207,30,6210,,official evaluate.py OK; yosys_log=student/work/frontend_source_parallel_round65_20260613_1029/sub-fp8-hypot-classifier-r65/ex249/ex249_r65_exact_state_cubes/logs/ex249_r65_exact_state_cubes_extra_share.yosys.log; abc_log=student/work/frontend_source_parallel_round65_20260613_1029/sub-fp8-hypot-classifier-r65/ex249/ex249_r65_exact_state_cubes/logs/ex249_ex249_r65_exact_state_cubes_extra_share_raw.abc.log; synth_sec=0.191; abc_sec=0.000; eval_sec=0.443,float_fp8,student/frontend_campaigns/campaigns/frontend_source_parallel_round65_20260613_1029/agent_shards/sub-fp8-hypot-classifier-r65/evaluation_results.csv,,
ex249,sub-fp8-hypot-classifier-r65,ex249_ex249_r65_exact_state_cubes_abc_g_aig_raw,student/work/frontend_source_parallel_round65_20260613_1029/sub-fp8-hypot-classifier-r65/ex249/ex249_r65_exact_state_cubes/verilog/ex249_r65_exact_state_cubes.v,student/work/frontend_source_parallel_round65_20260613_1029/sub-fp8-hypot-classifier-r65/ex249/ex249_r65_exact_state_cubes/aigs/ex249_ex249_r65_exact_state_cubes_abc_g_aig_raw.aig,student/work/frontend_source_parallel_round65_20260613_1029/sub-fp8-hypot-classifier-r65/ex249/ex249_r65_exact_state_cubes/logs/ex249_ex249_r65_exact_state_cubes_abc_g_aig_raw.evaluate.py.log,1,197,32,6304,,official evaluate.py OK; yosys_log=student/work/frontend_source_parallel_round65_20260613_1029/sub-fp8-hypot-classifier-r65/ex249/ex249_r65_exact_state_cubes/logs/ex249_r65_exact_state_cubes_abc_g_aig.yosys.log; abc_log=student/work/frontend_source_parallel_round65_20260613_1029/sub-fp8-hypot-classifier-r65/ex249/ex249_r65_exact_state_cubes/logs/ex249_ex249_r65_exact_state_cubes_abc_g_aig_raw.abc.log; synth_sec=0.192; abc_sec=0.000; eval_sec=0.443,float_fp8,student/frontend_campaigns/campaigns/frontend_source_parallel_round65_20260613_1029/agent_shards/sub-fp8-hypot-classifier-r65/evaluation_results.csv,,
ex249,sub-fp8-hypot-classifier-r65,ex249_ex249_r65_exact_state_cubes_synth_preset_raw,student/work/frontend_source_parallel_round65_20260613_1029/sub-fp8-hypot-classifier-r65/ex249/ex249_r65_exact_state_cubes/verilog/ex249_r65_exact_state_cubes.v,student/work/frontend_source_parallel_round65_20260613_1029/sub-fp8-hypot-classifier-r65/ex249/ex249_r65_exact_state_cubes/aigs/ex249_ex249_r65_exact_state_cubes_synth_preset_raw.aig,student/work/frontend_source_parallel_round65_20260613_1029/sub-fp8-hypot-classifier-r65/ex249/ex249_r65_exact_state_cubes/logs/ex249_ex249_r65_exact_state_cubes_synth_preset_raw.evaluate.py.log,1,217,30,6510,,official evaluate.py OK; yosys_log=student/work/frontend_source_parallel_round65_20260613_1029/sub-fp8-hypot-classifier-r65/ex249/ex249_r65_exact_state_cubes/logs/ex249_r65_exact_state_cubes_synth_preset.yosys.log; abc_log=student/work/frontend_source_parallel_round65_20260613_1029/sub-fp8-hypot-classifier-r65/ex249/ex249_r65_exact_state_cubes/logs/ex249_ex249_r65_exact_state_cubes_synth_preset_raw.abc.log; synth_sec=0.323; abc_sec=0.000; eval_sec=0.440,float_fp8,student/frontend_campaigns/campaigns/frontend_source_parallel_round65_20260613_1029/agent_shards/sub-fp8-hypot-classifier-r65/evaluation_results.csv,,
ex285,sub-unk285-localrule-r65,ex285_r65_compact_central_layer_state_descriptors,,,,0,,,,BLOCKED_NO_RTL,blocked_central_conflicts; best_variant=pair_counts_lanes; row_matches=; residual_rows=74; conflict_keys=36,unknown,student/frontend_campaigns/campaigns/frontend_source_parallel_round65_20260613_1029/agent_shards/sub-unk285-localrule-r65/evaluation_results.csv,ex285|hamming_weight_preserving_lossy_routing_normalizer|compact_central_layer_state_descriptors|exact_local_rule_screen|no_synth|blocked_before_rtl|full_word,
ex285,sub-unk285-localrule-r65,ex285_r65_monotone_layer_transition_predicates,,,,0,,,,BLOCKED_NO_RTL,blocked_many_layer_transitions; best_variant=numeric; row_matches=; residual_rows=; conflict_keys=,unknown,student/frontend_campaigns/campaigns/frontend_source_parallel_round65_20260613_1029/agent_shards/sub-unk285-localrule-r65/evaluation_results.csv,ex285|hamming_weight_preserving_lossy_routing_normalizer|monotone_layer_transition_predicates|exact_local_rule_screen|no_synth|blocked_before_rtl|full_word,
ex285,sub-unk285-localrule-r65,ex285_r65_popcount_window_movement,,,,0,,,,BLOCKED_NO_RTL,blocked_key_space_too_large; best_variant=r1_linear_noprefix; row_matches=4096; residual_rows=0; conflict_keys=0,unknown,student/frontend_campaigns/campaigns/frontend_source_parallel_round65_20260613_1029/agent_shards/sub-unk285-localrule-r65/evaluation_results.csv,ex285|hamming_weight_preserving_lossy_routing_normalizer|popcount_window_movement|exact_local_rule_screen|no_synth|blocked_before_rtl|full_word,
ex285,sub-unk285-localrule-r65,ex285_r65_reversible_local_majority_movement,,,,0,,,,BLOCKED_NO_RTL,blocked_not_exact; best_variant=r1_layers8_left_majority; row_matches=109; residual_rows=4072; conflict_keys=62,unknown,student/frontend_campaigns/campaigns/frontend_source_parallel_round65_20260613_1029/agent_shards/sub-unk285-localrule-r65/evaluation_results.csv,ex285|hamming_weight_preserving_lossy_routing_normalizer|reversible_local_majority_movement|exact_local_rule_screen|no_synth|blocked_before_rtl|full_word,
ex285,sub-unk285-localrule-r65,ex285_r65_small_swap_network_descriptor,,,,0,,,,BLOCKED_NO_RTL,blocked_not_exact; best_variant=odd_even_sort_down_p2; row_matches=34; residual_rows=4025; conflict_keys=344,unknown,student/frontend_campaigns/campaigns/frontend_source_parallel_round65_20260613_1029/agent_shards/sub-unk285-localrule-r65/evaluation_results.csv,ex285|hamming_weight_preserving_lossy_routing_normalizer|small_swap_network_descriptor|exact_local_rule_screen|no_synth|blocked_before_rtl|full_word,
ex297,sub-unklarge-rule-r65,ex297_r65_no_candidate_rule_screens,,,,,,,,blocked_no_candidate,No compact exact screen; best transition_delta_rule/radius2_stride2_cell residual_rows=0 estimated_entries=114688,,student/frontend_campaigns/campaigns/frontend_source_parallel_round65_20260613_1029/agent_shards/sub-unklarge-rule-r65/evaluation_results.csv,ex297|cyclic_2bit_symbol_non_table_rule_screens|multiple_local_conservation_prefix_formula|no_synth|abc_xf_truth_diagnostic|cell_outputs,/home/b10507053/ALS_Final_Project/student/work/frontend_source_parallel_round65_20260613_1029/sub-unklarge-rule-r65/ex297/logs/no_candidate.log
ex299,sub-unklarge-rule-r65,ex299_r65_no_candidate_rule_screens,,,,,,,,blocked_no_candidate,No compact exact screen; best cyclic_prefix_state/xor_prefix_cell residual_rows=0 estimated_entries=524288,,student/frontend_campaigns/campaigns/frontend_source_parallel_round65_20260613_1029/agent_shards/sub-unklarge-rule-r65/evaluation_results.csv,ex299|cyclic_2bit_symbol_non_table_rule_screens|multiple_local_conservation_prefix_formula|no_synth|abc_xf_truth_diagnostic|cell_outputs,/home/b10507053/ALS_Final_Project/student/work/frontend_source_parallel_round65_20260613_1029/sub-unklarge-rule-r65/ex299/logs/no_candidate.log
