case,output_bit,order_name,input_width,output_width,selected_features,key_width,mapped_keys,on_keys,cube_count,literal_count,candidate_count,max_candidates,avg_literals_per_cube
ex288,0,lsb,15,15,raw13:raw10:xor6_7,16,13824,6811,2334,34614,410,512,14.830
ex288,1,lsb,15,15,raw13:raw10:xor6_7,16,13824,6912,2143,31719,378,512,14.801
ex288,2,lsb,15,15,raw13:raw10:xor6_7,16,13824,6814,2325,34539,386,512,14.855
ex288,3,lsb,15,15,raw13:raw10:xor6_7,16,13824,6912,1714,25012,353,512,14.593
ex288,4,lsb,15,15,raw13:raw10:xor6_7,16,13824,6823,2524,37758,395,512,14.960
ex288,5,lsb,15,15,raw13:raw10:xor6_7,16,13824,6912,2004,29503,383,512,14.722
ex288,6,lsb,15,15,raw13:raw10:xor6_7,16,13824,6829,2370,35294,402,512,14.892
ex288,7,lsb,15,15,raw13:raw10:xor6_7,16,13824,6912,637,9030,197,512,14.176
ex288,8,lsb,15,15,raw13:raw10:xor6_7,16,13824,7013,2413,35930,394,512,14.890
ex288,9,lsb,15,15,raw13:raw10:xor6_7,16,13824,6912,2216,32976,356,512,14.881
ex288,10,lsb,15,15,raw13:raw10:xor6_7,16,13824,7010,2234,32979,398,512,14.762
ex288,11,lsb,15,15,raw13:raw10:xor6_7,16,13824,6912,1847,27154,350,512,14.702
ex288,12,lsb,15,15,raw13:raw10:xor6_7,16,13824,7001,2425,36122,389,512,14.896
ex288,13,lsb,15,15,raw13:raw10:xor6_7,16,13824,6912,2047,30193,380,512,14.750
ex288,14,lsb,15,15,raw13:raw10:xor6_7,16,13824,6995,2396,35772,387,512,14.930
