case,metric,key,value,detail
ex286,layer,0,1,inputs=1; max_preimage=1; singleton_outputs=1; fixed=1; avg_hdist=0.0000; avg_jaccard=1.0000
ex286,layer,1,8,inputs=13; max_preimage=3; singleton_outputs=4; fixed=0; avg_hdist=2.0000; avg_jaccard=0.0000
ex286,layer,2,36,inputs=78; max_preimage=6; singleton_outputs=17; fixed=1; avg_hdist=3.7179; avg_jaccard=0.0513
ex286,layer,3,103,inputs=286; max_preimage=9; singleton_outputs=31; fixed=5; avg_hdist=4.8042; avg_jaccard=0.1378
ex286,layer,4,219,inputs=715; max_preimage=14; singleton_outputs=50; fixed=10; avg_hdist=5.5021; avg_jaccard=0.2107
ex286,layer,5,336,inputs=1287; max_preimage=20; singleton_outputs=58; fixed=14; avg_hdist=5.9782; avg_jaccard=0.2745
ex286,layer,6,417,inputs=1716; max_preimage=32; singleton_outputs=50; fixed=10; avg_hdist=6.2389; avg_jaccard=0.3344
ex286,layer,7,417,inputs=1716; max_preimage=32; singleton_outputs=49; fixed=6; avg_hdist=6.2529; avg_jaccard=0.3976
ex286,layer,8,336,inputs=1287; max_preimage=20; singleton_outputs=47; fixed=5; avg_hdist=5.9487; avg_jaccard=0.4705
ex286,layer,9,214,inputs=715; max_preimage=18; singleton_outputs=46; fixed=6; avg_hdist=5.3231; avg_jaccard=0.5539
ex286,layer,10,102,inputs=286; max_preimage=8; singleton_outputs=30; fixed=8; avg_hdist=4.2727; avg_jaccard=0.6561
ex286,layer,11,36,inputs=78; max_preimage=7; singleton_outputs=15; fixed=11; avg_hdist=2.9487; avg_jaccard=0.7701
ex286,layer,12,7,inputs=13; max_preimage=3; singleton_outputs=3; fixed=4; avg_hdist=1.3846; avg_jaccard=0.8935
ex286,layer,13,1,inputs=1; max_preimage=1; singleton_outputs=1; fixed=1; avg_hdist=0.0000; avg_jaccard=1.0000
ex286,endpoint,in_min_w1,1,0:1;1:1;2:1;3:1;4:1;5:1
ex286,endpoint,in_max_w1,1,0:1;1:1;2:1;3:1;4:1;5:1
ex286,endpoint,out_min_w1,3,9:3;5:2;11:2;3:2;6:1;2:1
ex286,endpoint,out_max_w1,3,9:3;5:2;11:2;3:2;6:1;2:1
ex286,endpoint,delta_min_w1,4,6:4;7:2;2:2;3:2;4:1;8:1
ex286,endpoint,delta_max_w1,4,6:4;7:2;2:2;3:2;4:1;8:1
ex286,endpoint,in_min_w2,12,0:12;1:11;2:10;3:9;4:8;5:7
ex286,endpoint,in_max_w2,12,12:12;11:11;10:10;9:9;8:8;7:7
ex286,endpoint,out_min_w2,16,3:16;1:13;2:10;5:10;0:8;8:5
ex286,endpoint,out_max_w2,16,11:16;9:14;5:9;8:9;10:8;7:5
ex286,endpoint,delta_min_w2,11,4:11;6:9;11:8;0:7;5:6;12:6
ex286,endpoint,delta_max_w2,12,1:12;9:9;5:9;12:9;4:7;2:6
ex286,endpoint,in_min_w3,66,0:66;1:55;2:45;3:36;4:28;5:21
ex286,endpoint,in_max_w3,66,12:66;11:55;10:45;9:36;8:28;7:21
ex286,endpoint,out_min_w3,68,1:68;0:60;2:55;3:40;5:21;4:16
ex286,endpoint,out_max_w3,68,11:68;12:50;9:47;10:36;5:21;7:20
ex286,endpoint,delta_min_w3,48,0:48;2:39;11:33;12:30;3:22;10:20
ex286,endpoint,delta_max_w3,49,1:49;0:44;12:29;3:26;11:25;9:20
ex286,endpoint,in_min_w4,220,0:220;1:165;2:120;3:84;4:56;5:35
ex286,endpoint,in_max_w4,220,12:220;11:165;10:120;9:84;8:56;7:35
ex286,endpoint,out_min_w4,209,0:209;1:190;2:130;3:73;4:42;5:36
ex286,endpoint,out_max_w4,229,12:229;11:194;9:102;10:82;7:47;8:28
ex286,endpoint,delta_min_w4,182,0:182;2:103;12:81;1:77;11:68;10:50
ex286,endpoint,delta_max_w4,176,0:176;1:126;12:86;2:65;11:57;3:54
ex286,endpoint,in_min_w5,495,0:495;1:330;2:210;3:126;4:70;5:35
ex286,endpoint,in_max_w5,495,12:495;11:330;10:210;9:126;8:70;7:35
ex286,endpoint,out_min_w5,474,0:474;1:340;2:214;3:115;4:83;5:33
ex286,endpoint,out_max_w5,564,12:564;11:372;9:137;10:119;7:44;8:39
ex286,endpoint,delta_min_w5,407,0:407;1:187;12:185;2:161;11:103;10:75
ex286,endpoint,delta_max_w5,426,0:426;1:234;12:197;2:121;3:69;11:65
ex286,endpoint,in_min_w6,792,0:792;1:462;2:252;3:126;4:56;5:21
ex286,endpoint,in_max_w6,792,12:792;11:462;10:252;9:126;8:56;7:21
ex286,endpoint,out_min_w6,762,0:762;1:423;2:280;3:122;4:86;5:30
ex286,endpoint,out_max_w6,880,12:880;11:516;10:151;9:126;8:19;7:18
ex286,endpoint,delta_min_w6,595,0:595;1:284;12:275;2:192;11:139;10:80
ex286,endpoint,delta_max_w6,708,0:708;1:293;12:278;2:154;11:78;3:63
ex286,endpoint,in_min_w7,924,0:924;1:462;2:210;3:84;4:28;5:7
ex286,endpoint,in_max_w7,924,12:924;11:462;10:210;9:84;8:28;7:7
ex286,endpoint,out_min_w7,882,0:882;1:418;2:274;3:81;4:47;5:12
ex286,endpoint,out_max_w7,962,12:962;11:538;10:125;9:76;8:11;7:4
ex286,endpoint,delta_min_w7,635,0:635;1:347;12:291;2:157;11:133;10:60
ex286,endpoint,delta_max_w7,833,0:833;12:295;1:262;2:133;11:68;3:46
ex286,endpoint,in_min_w8,792,0:792;1:330;2:120;3:36;4:8;5:1
ex286,endpoint,in_max_w8,792,12:792;11:330;10:120;9:36;8:8;7:1
ex286,endpoint,out_min_w8,756,0:756;1:333;2:159;3:26;4:12;5:1
ex286,endpoint,out_max_w8,782,12:782;11:408;10:56;9:33;8:6;7:2
ex286,endpoint,delta_min_w8,547,0:547;1:296;12:211;11:93;2:83;10:28
ex286,endpoint,delta_max_w8,703,0:703;12:230;1:173;2:86;11:36;3:24
ex286,endpoint,in_min_w9,495,0:495;1:165;2:45;3:9;4:1
ex286,endpoint,in_max_w9,495,12:495;11:165;10:45;9:9;8:1
ex286,endpoint,out_min_w9,466,0:466;1:189;2:53;3:6;4:1
ex286,endpoint,out_max_w9,474,12:474;11:216;10:15;9:9;8:1
ex286,endpoint,delta_min_w9,338,0:338;1:171;12:118;11:41;2:33;10:8
ex286,endpoint,delta_max_w9,431,0:431;12:132;1:85;2:39;11:13;3:7
ex286,endpoint,in_min_w10,220,0:220;1:55;2:10;3:1
ex286,endpoint,in_max_w10,220,12:220;11:55;10:10;9:1
ex286,endpoint,out_min_w10,207,0:207;1:66;2:13
ex286,endpoint,out_max_w10,214,12:214;11:69;10:2;9:1
ex286,endpoint,delta_min_w10,161,0:161;1:59;12:44;2:11;11:10;10:1
ex286,endpoint,delta_max_w10,194,0:194;12:46;1:32;2:10;11:2;3:1
ex286,endpoint,in_min_w11,66,0:66;1:11;2:1
ex286,endpoint,in_max_w11,66,12:66;11:11;10:1
ex286,endpoint,out_min_w11,65,0:65;1:12;2:1
ex286,endpoint,out_max_w11,68,12:68;11:10
ex286,endpoint,delta_min_w11,55,0:55;1:11;12:10;2:1;11:1
ex286,endpoint,delta_max_w11,62,0:62;1:8;12:7;2:1
ex286,endpoint,in_min_w12,12,0:12;1:1
ex286,endpoint,in_max_w12,12,12:12;11:1
ex286,endpoint,out_min_w12,13,0:13
ex286,endpoint,out_max_w12,13,12:13
ex286,endpoint,delta_min_w12,12,0:12;12:1
ex286,endpoint,delta_max_w12,12,0:12;1:1
ex286,canonical_run,1,13,center_run:1;ring_run:13
ex286,canonical_run,2,78,low_run:5;ring_run:8
ex286,canonical_run,3,286,high_run:1;low_run:2;ring_run:9
ex286,canonical_run,4,715,high_run:1;low_run:1;ring_run:7
ex286,canonical_run,5,1287,high_run:1;ring_run:4
ex286,canonical_run,6,1716,ring_run:6
ex286,canonical_run,7,1716,high_run:2;ring_run:6
ex286,canonical_run,8,1287,high_run:1;low_run:2;ring_run:8
ex286,pair_feature_bit,pair_counts_out0,3751,keys=9; exact=0
ex286,pair_feature_bit,pair_counts_pop_out0,3769,keys=90; exact=0
ex286,pair_feature_bit,pair_counts_singles_out0,0,keys=4608; exact=1
ex286,pair_feature_bit,pair_counts_out1,3840,keys=9; exact=0
ex286,pair_feature_bit,pair_counts_pop_out1,3456,keys=90; exact=0
ex286,pair_feature_bit,pair_counts_singles_out1,0,keys=4608; exact=1
ex286,pair_feature_bit,pair_counts_singles_out2,0,keys=4608; exact=1
ex286,pair_feature_bit,pair_counts_singles_out3,0,keys=4608; exact=1
ex286,pair_feature_bit,pair_counts_singles_out4,0,keys=4608; exact=1
ex286,pair_feature_bit,pair_counts_singles_out5,0,keys=4608; exact=1
ex286,pair_feature_bit,pair_counts_singles_out6,0,keys=4608; exact=1
ex286,pair_feature_bit,pair_counts_singles_out7,0,keys=4608; exact=1
ex286,pair_feature_bit,pair_counts_singles_out8,0,keys=4608; exact=1
ex286,pair_feature_bit,pair_counts_singles_out9,0,keys=4608; exact=1
ex286,pair_feature_bit,pair_counts_singles_out10,0,keys=4608; exact=1
ex286,pair_feature_bit,pair_counts_out11,4096,keys=9; exact=0
ex286,pair_feature_bit,pair_counts_pop_out11,3132,keys=90; exact=0
ex286,pair_feature_bit,pair_counts_singles_out11,0,keys=4608; exact=1
ex286,pair_feature_bit,pair_counts_out12,4241,keys=9; exact=0
ex286,pair_feature_bit,pair_counts_pop_out12,3387,keys=90; exact=0
ex286,pair_feature_bit,pair_counts_singles_out12,0,keys=4608; exact=1
ex287,layer,0,1,inputs=1; max_preimage=1; singleton_outputs=1; fixed=1; avg_hdist=0.0000; avg_jaccard=1.0000
ex287,layer,1,7,inputs=14; max_preimage=4; singleton_outputs=3; fixed=0; avg_hdist=2.0000; avg_jaccard=0.0000
ex287,layer,2,31,inputs=91; max_preimage=10; singleton_outputs=7; fixed=3; avg_hdist=3.5385; avg_jaccard=0.0879
ex287,layer,3,88,inputs=364; max_preimage=18; singleton_outputs=13; fixed=6; avg_hdist=4.6099; avg_jaccard=0.1607
ex287,layer,4,200,inputs=1001; max_preimage=24; singleton_outputs=17; fixed=11; avg_hdist=5.4146; avg_jaccard=0.2193
ex287,layer,5,326,inputs=2002; max_preimage=48; singleton_outputs=18; fixed=8; avg_hdist=6.0829; avg_jaccard=0.2649
ex287,layer,6,427,inputs=3003; max_preimage=64; singleton_outputs=18; fixed=7; avg_hdist=6.6394; avg_jaccard=0.3060
ex287,layer,7,445,inputs=3432; max_preimage=64; singleton_outputs=17; fixed=8; avg_hdist=6.9336; avg_jaccard=0.3536
ex287,layer,8,422,inputs=3003; max_preimage=64; singleton_outputs=17; fixed=11; avg_hdist=6.9204; avg_jaccard=0.4095
ex287,layer,9,318,inputs=2002; max_preimage=40; singleton_outputs=19; fixed=14; avg_hdist=6.5804; avg_jaccard=0.4760
ex287,layer,10,203,inputs=1001; max_preimage=24; singleton_outputs=15; fixed=13; avg_hdist=5.8042; avg_jaccard=0.5591
ex287,layer,11,98,inputs=364; max_preimage=12; singleton_outputs=18; fixed=12; avg_hdist=4.6099; avg_jaccard=0.6606
