case,selected_count,best_candidate_id,best_area,best_delay,best_adp,reference_adp,adp_ratio_to_reference,candidate_ids,candidate_count_target,candidate_count_actual,candidate_insufficient,candidate_shortfall_reason
ex220,5,ex220_fp16_exp_positive_default_exp_mant_case,10794,22,237468,180404,1.316312,ex220_fp16_exp_positive_default_exp_mant_case;ex220_fp16_exp_sign_exp_mant_case;ex220_fp16_exp_semantic_sign_exp_field_defaults;ex220_fp16_exp_sign_exp_default_expr_case;ex220_fp16_exp_semantic_exp_delta_fields,6,5,1,not enough valid non-current frontend candidates after hash/family diversity filtering
ex221,6,ex221_varying_signexp_wordmode_mh5_abc_g_aig,7042,18,126756,105655,1.199716,ex221_varying_signexp_wordmode_mh5_abc_g_aig;ex221_varying_signexp_nested_low9_hi6_abc_g_aig;ex221_fp16_exp2_semantic_positive_field_defaults;ex221_fp16_exp2_exp_mant_pair_case;ex221_fp16_exp2_positive_default_exp_mant_case;ex221_fp16_exp2_semantic_sign_exp_field_defaults,6,6,0,
ex222,5,ex222_fp16_exp10_sign_exp_default_expr_case,10629,22,233838,173621,1.346830,ex222_fp16_exp10_sign_exp_default_expr_case;ex222_fp16_exp10_exp_mant_pair_case;ex222_fp16_exp10_sign_exp_mant_case;ex222_fp16_exp10_semantic_sign_exp_field_defaults;ex222_fp16_exp10_semantic_exp_delta_fields,6,5,1,not enough valid non-current frontend candidates after hash/family diversity filtering
ex223,6,ex223_nested_low15_hi5_synth_preset_aig,10581,19,201039,120549,1.667695,ex223_nested_low15_hi5_synth_preset_aig;ex223_wrapper_hi2_single_keep_synth_preset_aig;ex223_expbase_xor_low14_hi5_synth_preset_aig;ex223_cofactor_bdd_bits15_11_synth_preset_aig;ex223_selected_run_bits15_11_synth_preset_aig;ex223_r86_truthroot_bit11_abc_g_aig,6,6,0,
ex224,6,ex224_cofactor_bdd_bits15_12_11_synth_preset_aig,5844,16,93504,64708,1.445015,ex224_cofactor_bdd_bits15_12_11_synth_preset_aig;ex224_wrapper_hi1_single_keep_synth_preset_aig;ex224_selected_run_bits15_12_11_synth_preset_aig;ex224_log_nested_low12_hi6_abc_g_aig;ex224_nested_low12_hi5_synth_preset_aig;ex224_r24_fp16_nested_low12_hi5_abc_g_aig,6,6,0,
ex225,6,ex225_nested_low14_hi5_synth_preset_aig,11364,19,215916,116676,1.850561,ex225_nested_low14_hi5_synth_preset_aig;ex225_expbase_xor_low14_hi5_synth_preset_aig;ex225_wrapper_hi2_single_keep_synth_preset_aig;ex225_cofactor_bdd_bits12_9_synth_preset_aig;ex225_selected_run_bits15_14_13_12_9_synth_preset_aig;ex225_r71_signbit_formula_currentbase_abc_g_aig,6,6,0,
ex226,6,ex226_fp16_sin_positive_default_exp_mant_case,33460,23,769580,587790,1.309277,ex226_fp16_sin_positive_default_exp_mant_case;ex226_fp16_sin_semantic_positive_field_defaults;ex226_fp16_sin_split_sign_exp_mant_case;ex226_fp16_sin_semantic_sign_exp_field_defaults;ex226_fp16_sin_exp_mant_pair_case;ex226_fp16_sin_sign_exp_mant_case,6,6,0,
ex227,6,ex227_fp16_tan_positive_default_exp_mant_case,40817,23,938791,721639,1.300915,ex227_fp16_tan_positive_default_exp_mant_case;ex227_fp16_tan_split_sign_exp_mant_case;ex227_fp16_tan_semantic_sign_exp_field_defaults;ex227_fp16_tan_semantic_positive_field_defaults;ex227_fp16_tan_odd_positive_table;ex227_fp16_tan_exp_mant_pair_case,6,6,0,
ex228,6,ex228_fp16_sinh_odd_sinh_saturation_shell,6653,21,139713,101205,1.380495,ex228_fp16_sinh_odd_sinh_saturation_shell;ex228_fp16_sinh_semantic_sign_exp_field_defaults;ex228_fp16_sinh_split_sign_exp_mant_case;ex228_fp16_sinh_sign_exp_mant_case;ex228_fp16_sinh_semantic_positive_field_defaults;ex228_fp16_sinh_exp_mant_pair_case,6,6,0,
ex229,4,ex229_odd_nested_low10_hi6_abc_g_aig,3919,17,66623,57968,1.149307,ex229_odd_nested_low10_hi6_abc_g_aig;ex229_odd_wordmode_mh5_abc_g_aig;ex229_abc_g_aig_abc_g_aig_d18;ex229_fp16_tanh_semantic_positive_field_defaults,4,4,0,
ex230,6,ex230_positive_default_exp_mant_case_abc_g_aig,6979,20,139580,108320,1.288589,ex230_positive_default_exp_mant_case_abc_g_aig;ex230_semantic_sign_exp_field_defaults_abc_g_aig;ex230_sign_exp_mant_case_abc_g_aig;ex230_fp16_sigmoid_semantic_positive_field_defaults;ex230_fp16_sigmoid_sign_exp_mant_case;ex230_fp16_sigmoid_exp_mant_pair_case,6,6,0,
ex231,6,ex231_abc_g_aig_abc_g_gates,1165,14,16310,14066,1.159534,ex231_abc_g_aig_abc_g_gates;ex231_nested_bits9_8_hi6_abc_g_aig;ex231_nested_bits9_8_7_hi6_abc_g_aig;ex231_abc_g_aig_abc_g_cmos2;ex231_nested_bits9_8_hi5_abc_g_aig;ex231_abc_g_aig_extra_opt_share,6,6,0,
ex232,6,ex232_exp_kformula_hi9_8_low8_nested_hi6_abc_g_aig,1250,13,16250,13392,1.213411,ex232_exp_kformula_hi9_8_low8_nested_hi6_abc_g_aig;ex232_abc_g_aig_abc_g_gates;ex232_exp_kformula_hi9_8_low8_nested_hi6_default;ex232_abc_g_aig_extra_opt_share;ex232_exp_formula_hi9_8_7_low7_nested_hi6_abc_g_aig;ex232_exp_formula_hi9_8_7_low7_nested_hi6_default,6,6,0,
ex233,6,ex233_abc_g_aig_abc_g_gates,1532,15,22980,20174,1.139090,ex233_abc_g_aig_abc_g_gates;ex233_abc_g_aig_default_recheck;ex233_nested_bits9_hi6_abc_g_aig;ex233_nested_bits9_hi6_default;ex233_nested_bits9_8_7_hi6_abc_g_aig;ex233_abc_g_aig_abc_g_cmos2,6,6,0,
ex234,6,ex234_boundary_wordmode_mh6_abc_g_aig,1321,14,18494,15561,1.188484,ex234_boundary_wordmode_mh6_abc_g_aig;ex234_boundary_wordmode_mh4_abc_g_aig;ex234_abc_g_aig_abc_g_aig;ex234_abc_g_aig_extra_opt_share;ex234_sign_pair_case_abc_g_aig;ex234_nested_bits9_8_hi4_abc_g_aig,6,6,0,
ex235,4,ex235_direct_special_low8_hi6_abc_g_aig,1679,14,23506,20800,1.130096,ex235_direct_special_low8_hi6_abc_g_aig;ex235_direct_special_low8_hi6_abc_g_gates;ex235_open_low8_hi6_abc_g_aig;ex235_open_low8_hi6_abc_g_gates,4,4,0,
ex236,6,ex236_core_clamp_hi6_abc_g_gates,1435,15,21525,17290,1.244939,ex236_core_clamp_hi6_abc_g_gates;ex236_core_clamp_hi6_abc_d20;ex236_core_clamp_hi6_abc_g_cmos2;ex236_core_boundary_low14_hi6_abc_g_aig;ex236_core_boundary_low14_hi6_abc_g_gates;ex236_core_boundary_low15_hi6_abc_g_aig,6,6,0,
ex237,6,ex237_open_low10_hi6_abc_g_aig,1934,16,30944,25440,1.216352,ex237_open_low10_hi6_abc_g_aig;ex237_direct_special_low10_hi6_abc_g_aig;ex237_direct_special_low10_hi6_abc_g_gates;ex237_vec_high_low10_hi6_abc_g_aig;ex237_direct_special_low7_hi6_abc_g_aig;ex237_direct_special_low9_hi6_abc_g_aig,6,6,0,
ex238,6,ex238_core_boundary_low15_hi5_synth_preset,1462,16,23392,16549,1.413499,ex238_core_boundary_low15_hi5_synth_preset;ex238_r74_core_boundary_low13_hi5_synth_preset;ex238_core_boundary_low10_hi5_synth_preset;ex238_core_boundary_low11_hi5_synth_preset;ex238_core_boundary_low14_hi6_synth_preset;ex238_core_boundary_low11_hi6_synth_preset,6,6,0,
ex239,6,ex239_direct_special_low8_hi6_abc_g_aig,2032,16,32512,25965,1.252147,ex239_direct_special_low8_hi6_abc_g_aig;ex239_direct_special_low8_hi6_abc_g_gates;ex239_semantic_shell_abc_g_aig;ex239_direct_special_low10_hi6_abc_g_aig;ex239_direct_special_low9_hi6_abc_g_aig;ex239_open_low8_hi6_abc_g_aig,6,6,0,
