case,best_candidate_id,best_area,best_delay,best_adp,old_best_adp,improvement_vs_old_best,reference_adp,ratio_to_reference,within_1p5_reference,beats_reference,notes
ex215,ex215_bf16_reciprocal_sqrt_delta_pair_mode_hilo3_bits_9_bh1_fix2,390,12,4680,5005,0.064935,3150,1.485714,1,0,semantic model exact over 65536 inputs; delta pair base_policy=mode delta_mode=hilo3 items=29348; generic selected bit overrides bits=9 bit_hi_bits=1 bit_items=147
ex216,ex216_bf16_cube_aggr_semantic_positive_symmetry_fields,437,14,6118,6118,0.000000,3357,1.822461,0,0,semantic model exact over 65536 inputs; aggressive semantic BF16 RTL; items=positive_entries=32768; relation=sign_flip_pos; negative_exceptions=127; semantic model exact over 65536 inputs
ex217,ex217_bf16_cbrt_delta_pair_first_hilo3_bits_0_bh2_fix2,591,14,8274,10864,0.238402,5785,1.430251,1,0,semantic model exact over 65536 inputs; delta pair base_policy=first delta_mode=hilo3 items=27692; generic selected bit overrides bits=0 bit_hi_bits=2 bit_items=32508
ex218,ex218_bf16_reciprocal_cube_legacy_value_case_bits_4_bh1_fix3,458,15,6870,6945,0.010799,3222,2.132216,0,0,semantic model exact over 65536 inputs; legacy bf16_verilog_search value_case; 65536; selected bit overrides bits=4 bit_hi_bits=1 bit_items=10508
ex219,ex219_bf16_reciprocal_cbrt_delta_pair_first_hilo3_bits_6_bh3_fix2,630,15,9450,11271,0.161565,5640,1.675532,0,0,semantic model exact over 65536 inputs; delta pair base_policy=first delta_mode=hilo3 items=27365; generic selected bit overrides bits=6 bit_hi_bits=3 bit_items=4098
