case,candidate_id,hypothesis,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,runtime_sec,classification,notes
ex273,ex273_square_hybrid_bdd_mid4_abc_g_aig,unsigned_square_x_times_x,square_hybrid_bdd_mid4+abc_g_aig,student/work/ex273_ex274_frontend_square_midbdd_20260609_1758/ex273/verilog/ex273_square_hybrid_bdd_mid4.v,student/work/ex273_ex274_frontend_square_midbdd_20260609_1758/ex273/aigs/ex273_square_hybrid_bdd_mid4_abc_g_aig.aig,1,1,1,1842,35,64470,15078,4.275766,0,0,1.094,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=square_hybrid_bdd_mid4; flow=abc_g_aig
ex273,ex273_square_hybrid_bdd_mid4_wreduce_abc_g_aig,unsigned_square_x_times_x,square_hybrid_bdd_mid4+wreduce_abc_g_aig,student/work/ex273_ex274_frontend_square_midbdd_20260609_1758/ex273/verilog/ex273_square_hybrid_bdd_mid4.v,student/work/ex273_ex274_frontend_square_midbdd_20260609_1758/ex273/aigs/ex273_square_hybrid_bdd_mid4_wreduce_abc_g_aig.aig,1,1,1,1852,35,64820,15078,4.298979,0,0,1.112,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=square_hybrid_bdd_mid4; flow=wreduce_abc_g_aig
ex273,ex273_square_hybrid_bdd_mid4_synth_preset,unsigned_square_x_times_x,square_hybrid_bdd_mid4+synth_preset,student/work/ex273_ex274_frontend_square_midbdd_20260609_1758/ex273/verilog/ex273_square_hybrid_bdd_mid4.v,student/work/ex273_ex274_frontend_square_midbdd_20260609_1758/ex273/aigs/ex273_square_hybrid_bdd_mid4_synth_preset.aig,1,1,1,1788,34,60792,15078,4.031834,0,0,1.397,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=square_hybrid_bdd_mid4; flow=synth_preset
ex273,ex273_square_hybrid_bdd_mid6_abc_g_aig,unsigned_square_x_times_x,square_hybrid_bdd_mid6+abc_g_aig,student/work/ex273_ex274_frontend_square_midbdd_20260609_1758/ex273/verilog/ex273_square_hybrid_bdd_mid6.v,student/work/ex273_ex274_frontend_square_midbdd_20260609_1758/ex273/aigs/ex273_square_hybrid_bdd_mid6_abc_g_aig.aig,1,1,1,3646,33,120318,15078,7.979706,0,0,1.701,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=square_hybrid_bdd_mid6; flow=abc_g_aig
ex273,ex273_square_hybrid_bdd_mid6_wreduce_abc_g_aig,unsigned_square_x_times_x,square_hybrid_bdd_mid6+wreduce_abc_g_aig,student/work/ex273_ex274_frontend_square_midbdd_20260609_1758/ex273/verilog/ex273_square_hybrid_bdd_mid6.v,student/work/ex273_ex274_frontend_square_midbdd_20260609_1758/ex273/aigs/ex273_square_hybrid_bdd_mid6_wreduce_abc_g_aig.aig,1,1,1,3660,33,120780,15078,8.010346,0,0,1.764,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=square_hybrid_bdd_mid6; flow=wreduce_abc_g_aig
ex273,ex273_square_hybrid_bdd_mid6_synth_preset,unsigned_square_x_times_x,square_hybrid_bdd_mid6+synth_preset,student/work/ex273_ex274_frontend_square_midbdd_20260609_1758/ex273/verilog/ex273_square_hybrid_bdd_mid6.v,student/work/ex273_ex274_frontend_square_midbdd_20260609_1758/ex273/aigs/ex273_square_hybrid_bdd_mid6_synth_preset.aig,1,1,1,3583,32,114656,15078,7.604192,0,0,2.282,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=square_hybrid_bdd_mid6; flow=synth_preset
ex273,ex273_square_hybrid_bdd_top2_mid2_abc_g_aig,unsigned_square_x_times_x,square_hybrid_bdd_top2_mid2+abc_g_aig,student/work/ex273_ex274_frontend_square_midbdd_20260609_1758/ex273/verilog/ex273_square_hybrid_bdd_top2_mid2.v,student/work/ex273_ex274_frontend_square_midbdd_20260609_1758/ex273/aigs/ex273_square_hybrid_bdd_top2_mid2_abc_g_aig.aig,1,1,1,1635,34,55590,15078,3.686828,0,0,1.035,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=square_hybrid_bdd_top2_mid2; flow=abc_g_aig
ex273,ex273_square_hybrid_bdd_top2_mid2_wreduce_abc_g_aig,unsigned_square_x_times_x,square_hybrid_bdd_top2_mid2+wreduce_abc_g_aig,student/work/ex273_ex274_frontend_square_midbdd_20260609_1758/ex273/verilog/ex273_square_hybrid_bdd_top2_mid2.v,student/work/ex273_ex274_frontend_square_midbdd_20260609_1758/ex273/aigs/ex273_square_hybrid_bdd_top2_mid2_wreduce_abc_g_aig.aig,1,1,1,1635,34,55590,15078,3.686828,0,0,1.070,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=square_hybrid_bdd_top2_mid2; flow=wreduce_abc_g_aig
ex273,ex273_square_hybrid_bdd_top2_mid2_synth_preset,unsigned_square_x_times_x,square_hybrid_bdd_top2_mid2+synth_preset,student/work/ex273_ex274_frontend_square_midbdd_20260609_1758/ex273/verilog/ex273_square_hybrid_bdd_top2_mid2.v,student/work/ex273_ex274_frontend_square_midbdd_20260609_1758/ex273/aigs/ex273_square_hybrid_bdd_top2_mid2_synth_preset.aig,1,1,1,1620,35,56700,15078,3.760446,0,0,1.327,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=square_hybrid_bdd_top2_mid2; flow=synth_preset
ex273,ex273_square_hybrid_bdd_top4_mid2_abc_g_aig,unsigned_square_x_times_x,square_hybrid_bdd_top4_mid2+abc_g_aig,student/work/ex273_ex274_frontend_square_midbdd_20260609_1758/ex273/verilog/ex273_square_hybrid_bdd_top4_mid2.v,student/work/ex273_ex274_frontend_square_midbdd_20260609_1758/ex273/aigs/ex273_square_hybrid_bdd_top4_mid2_abc_g_aig.aig,1,1,1,1679,33,55407,15078,3.674692,0,0,1.032,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=square_hybrid_bdd_top4_mid2; flow=abc_g_aig
ex273,ex273_square_hybrid_bdd_top4_mid2_wreduce_abc_g_aig,unsigned_square_x_times_x,square_hybrid_bdd_top4_mid2+wreduce_abc_g_aig,student/work/ex273_ex274_frontend_square_midbdd_20260609_1758/ex273/verilog/ex273_square_hybrid_bdd_top4_mid2.v,student/work/ex273_ex274_frontend_square_midbdd_20260609_1758/ex273/aigs/ex273_square_hybrid_bdd_top4_mid2_wreduce_abc_g_aig.aig,1,1,1,1671,31,51801,15078,3.435535,0,0,1.092,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=square_hybrid_bdd_top4_mid2; flow=wreduce_abc_g_aig
