case,candidate_id,hypothesis,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,runtime_sec,classification,notes
ex261,ex261_smul_baugh_wooley_wallace_synth_preset_d18,signed low5_high5:a*b,baugh_wooley_wallace+synth_preset_d18,student/work/ex260_ex264_frontend_smul_baugh_flow_20260609_0252/ex261/verilog/ex261_smul_baugh_wooley_wallace.v,student/work/ex260_ex264_frontend_smul_baugh_flow_20260609_0252/ex261/aigs/ex261_smul_baugh_wooley_wallace_synth_preset_d18.aig,1,1,1,163,20,3260,2041,1.597256,0,0,0.279,semantic_signed_mul_exact,exact signed low5 * signed high5 over 1024 inputs; source=baugh_wooley_wallace; flow=synth_preset_d18
ex261,ex261_smul_baugh_wooley_wallace_synth_preset_d20,signed low5_high5:a*b,baugh_wooley_wallace+synth_preset_d20,student/work/ex260_ex264_frontend_smul_baugh_flow_20260609_0252/ex261/verilog/ex261_smul_baugh_wooley_wallace.v,student/work/ex260_ex264_frontend_smul_baugh_flow_20260609_0252/ex261/aigs/ex261_smul_baugh_wooley_wallace_synth_preset_d20.aig,1,1,1,163,20,3260,2041,1.597256,0,0,0.291,semantic_signed_mul_exact,exact signed low5 * signed high5 over 1024 inputs; source=baugh_wooley_wallace; flow=synth_preset_d20
ex261,ex261_smul_baugh_wooley_wallace_synth_preset_d24,signed low5_high5:a*b,baugh_wooley_wallace+synth_preset_d24,student/work/ex260_ex264_frontend_smul_baugh_flow_20260609_0252/ex261/verilog/ex261_smul_baugh_wooley_wallace.v,student/work/ex260_ex264_frontend_smul_baugh_flow_20260609_0252/ex261/aigs/ex261_smul_baugh_wooley_wallace_synth_preset_d24.aig,1,1,1,163,20,3260,2041,1.597256,0,0,0.277,semantic_signed_mul_exact,exact signed low5 * signed high5 over 1024 inputs; source=baugh_wooley_wallace; flow=synth_preset_d24
ex261,ex261_smul_baugh_wooley_wallace_synth_preset_d28,signed low5_high5:a*b,baugh_wooley_wallace+synth_preset_d28,student/work/ex260_ex264_frontend_smul_baugh_flow_20260609_0252/ex261/verilog/ex261_smul_baugh_wooley_wallace.v,student/work/ex260_ex264_frontend_smul_baugh_flow_20260609_0252/ex261/aigs/ex261_smul_baugh_wooley_wallace_synth_preset_d28.aig,1,1,1,163,20,3260,2041,1.597256,0,0,0.291,semantic_signed_mul_exact,exact signed low5 * signed high5 over 1024 inputs; source=baugh_wooley_wallace; flow=synth_preset_d28
ex261,ex261_smul_baugh_wooley_wallace_abc_g_aig_d9,signed low5_high5:a*b,baugh_wooley_wallace+abc_g_aig_d9,student/work/ex260_ex264_frontend_smul_baugh_flow_20260609_0252/ex261/verilog/ex261_smul_baugh_wooley_wallace.v,student/work/ex260_ex264_frontend_smul_baugh_flow_20260609_0252/ex261/aigs/ex261_smul_baugh_wooley_wallace_abc_g_aig_d9.aig,1,1,1,163,20,3260,2041,1.597256,0,0,0.225,semantic_signed_mul_exact,exact signed low5 * signed high5 over 1024 inputs; source=baugh_wooley_wallace; flow=abc_g_aig_d9
ex261,ex261_smul_baugh_wooley_wallace_abc_g_aig_d11,signed low5_high5:a*b,baugh_wooley_wallace+abc_g_aig_d11,student/work/ex260_ex264_frontend_smul_baugh_flow_20260609_0252/ex261/verilog/ex261_smul_baugh_wooley_wallace.v,student/work/ex260_ex264_frontend_smul_baugh_flow_20260609_0252/ex261/aigs/ex261_smul_baugh_wooley_wallace_abc_g_aig_d11.aig,1,1,1,163,20,3260,2041,1.597256,0,0,0.228,semantic_signed_mul_exact,exact signed low5 * signed high5 over 1024 inputs; source=baugh_wooley_wallace; flow=abc_g_aig_d11
ex261,ex261_smul_baugh_wooley_wallace_abc_g_aig_d13,signed low5_high5:a*b,baugh_wooley_wallace+abc_g_aig_d13,student/work/ex260_ex264_frontend_smul_baugh_flow_20260609_0252/ex261/verilog/ex261_smul_baugh_wooley_wallace.v,student/work/ex260_ex264_frontend_smul_baugh_flow_20260609_0252/ex261/aigs/ex261_smul_baugh_wooley_wallace_abc_g_aig_d13.aig,1,1,1,163,20,3260,2041,1.597256,0,0,0.262,semantic_signed_mul_exact,exact signed low5 * signed high5 over 1024 inputs; source=baugh_wooley_wallace; flow=abc_g_aig_d13
ex261,ex261_smul_baugh_wooley_wallace_abc_g_aig_d15,signed low5_high5:a*b,baugh_wooley_wallace+abc_g_aig_d15,student/work/ex260_ex264_frontend_smul_baugh_flow_20260609_0252/ex261/verilog/ex261_smul_baugh_wooley_wallace.v,student/work/ex260_ex264_frontend_smul_baugh_flow_20260609_0252/ex261/aigs/ex261_smul_baugh_wooley_wallace_abc_g_aig_d15.aig,1,1,1,163,20,3260,2041,1.597256,0,0,0.228,semantic_signed_mul_exact,exact signed low5 * signed high5 over 1024 inputs; source=baugh_wooley_wallace; flow=abc_g_aig_d15
ex264,ex264_smul_baugh_wooley_wallace_default,signed low8_high8:a*b,baugh_wooley_wallace+default,student/work/ex260_ex264_frontend_smul_baugh_flow_20260609_0252/ex264/verilog/ex264_smul_baugh_wooley_wallace.v,student/work/ex260_ex264_frontend_smul_baugh_flow_20260609_0252/ex264/aigs/ex264_smul_baugh_wooley_wallace_default.aig,1,1,1,629,32,20128,9724,2.069930,0,0,1.840,semantic_signed_mul_exact,exact signed low8 * signed high8 over 65536 inputs; source=baugh_wooley_wallace; flow=default
ex264,ex264_smul_baugh_wooley_wallace_abc_g_aig,signed low8_high8:a*b,baugh_wooley_wallace+abc_g_aig,student/work/ex260_ex264_frontend_smul_baugh_flow_20260609_0252/ex264/verilog/ex264_smul_baugh_wooley_wallace.v,student/work/ex260_ex264_frontend_smul_baugh_flow_20260609_0252/ex264/aigs/ex264_smul_baugh_wooley_wallace_abc_g_aig.aig,1,1,1,496,31,15376,9724,1.581242,0,0,1.787,semantic_signed_mul_exact,exact signed low8 * signed high8 over 65536 inputs; source=baugh_wooley_wallace; flow=abc_g_aig
ex264,ex264_smul_baugh_wooley_wallace_wreduce_abc_g_aig,signed low8_high8:a*b,baugh_wooley_wallace+wreduce_abc_g_aig,student/work/ex260_ex264_frontend_smul_baugh_flow_20260609_0252/ex264/verilog/ex264_smul_baugh_wooley_wallace.v,student/work/ex260_ex264_frontend_smul_baugh_flow_20260609_0252/ex264/aigs/ex264_smul_baugh_wooley_wallace_wreduce_abc_g_aig.aig,1,1,1,496,31,15376,9724,1.581242,0,0,1.793,semantic_signed_mul_exact,exact signed low8 * signed high8 over 65536 inputs; source=baugh_wooley_wallace; flow=wreduce_abc_g_aig
ex264,ex264_smul_baugh_wooley_wallace_arith_wreduce_aig,signed low8_high8:a*b,baugh_wooley_wallace+arith_wreduce_aig,student/work/ex260_ex264_frontend_smul_baugh_flow_20260609_0252/ex264/verilog/ex264_smul_baugh_wooley_wallace.v,student/work/ex260_ex264_frontend_smul_baugh_flow_20260609_0252/ex264/aigs/ex264_smul_baugh_wooley_wallace_arith_wreduce_aig.aig,1,1,1,496,31,15376,9724,1.581242,0,0,1.821,semantic_signed_mul_exact,exact signed low8 * signed high8 over 65536 inputs; source=baugh_wooley_wallace; flow=arith_wreduce_aig
ex264,ex264_smul_baugh_wooley_wallace_synth_preset,signed low8_high8:a*b,baugh_wooley_wallace+synth_preset,student/work/ex260_ex264_frontend_smul_baugh_flow_20260609_0252/ex264/verilog/ex264_smul_baugh_wooley_wallace.v,student/work/ex260_ex264_frontend_smul_baugh_flow_20260609_0252/ex264/aigs/ex264_smul_baugh_wooley_wallace_synth_preset.aig,1,1,1,490,30,14700,9724,1.511724,0,0,1.935,semantic_signed_mul_exact,exact signed low8 * signed high8 over 65536 inputs; source=baugh_wooley_wallace; flow=synth_preset
ex264,ex264_smul_baugh_wooley_wallace_synth_preset_d9,signed low8_high8:a*b,baugh_wooley_wallace+synth_preset_d9,student/work/ex260_ex264_frontend_smul_baugh_flow_20260609_0252/ex264/verilog/ex264_smul_baugh_wooley_wallace.v,student/work/ex260_ex264_frontend_smul_baugh_flow_20260609_0252/ex264/aigs/ex264_smul_baugh_wooley_wallace_synth_preset_d9.aig,1,1,1,490,30,14700,9724,1.511724,0,0,1.924,semantic_signed_mul_exact,exact signed low8 * signed high8 over 65536 inputs; source=baugh_wooley_wallace; flow=synth_preset_d9
