case,candidate_id,hypothesis/function_guess,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,classification,items,runtime_sec,notes
ex224,ex224_fp16_log2_bitrun_bit7_t64,fp16_log2,bitrun_bit7_t64,student/work/ex224_frontend_fp16_bitlogic5_20260607_0001/ex224/verilog/ex224_fp16_log2_bitrun_bit7_t64.v,student/work/ex224_frontend_fp16_bitlogic5_20260607_0001/ex224/aigs/ex224_fp16_log2_bitrun_bit7_t64.aig,1,1,1,6488,21,136248,64708,2.105582,0,0,structural_exact,bits=7; threshold=64; table_items=31777; bit=7; threshold=64; const_groups=34; range_groups=30; table_groups=0; range_items=209; table_items=0,11.347,per-output-bit run-cover hybrid; bits=7; threshold=64; table_items=31777; bit=7; threshold=64; const_groups=34; range_groups=30; table_groups=0; range_items=209; table_items=0
ex224,ex224_fp16_log2_bitrun_bits10_11_12_t16,fp16_log2,bitrun_bits10_11_12_t16,student/work/ex224_frontend_fp16_bitlogic5_20260607_0001/ex224/verilog/ex224_fp16_log2_bitrun_bits10_11_12_t16.v,student/work/ex224_frontend_fp16_bitlogic5_20260607_0001/ex224/aigs/ex224_fp16_log2_bitrun_bits10_11_12_t16.aig,1,1,1,6335,21,133035,64708,2.055928,0,0,structural_exact,"bits=12,11,10; threshold=16; table_items=31777; bit=12; threshold=16; const_groups=61; range_groups=3; table_groups=0; range_items=9; table_items=0 | bit=11; threshold=16; const_groups=59; range_groups=5; table_groups=0; range_items=18; table_items=0 | bit=10; threshold=16; const_groups=56; range_groups=8; table_groups=0; range_items=35; table_items=0",10.707,"per-output-bit run-cover hybrid; bits=12,11,10; threshold=16; table_items=31777; bit=12; threshold=16; const_groups=61; range_groups=3; table_groups=0; range_items=9; table_items=0 | bit=11; threshold=16; const_groups=59; range_groups=5; table_groups=0; range_items=18; table_items=0 | bit=10; threshold=16; const_groups=56; range_groups=8; table_groups=0; range_items=35; table_items=0"
ex224,ex224_fp16_log2_bitrun_bits10_11_t16,fp16_log2,bitrun_bits10_11_t16,student/work/ex224_frontend_fp16_bitlogic5_20260607_0001/ex224/verilog/ex224_fp16_log2_bitrun_bits10_11_t16.v,student/work/ex224_frontend_fp16_bitlogic5_20260607_0001/ex224/aigs/ex224_fp16_log2_bitrun_bits10_11_t16.aig,1,1,1,6338,22,139436,64708,2.154849,0,0,structural_exact,"bits=11,10; threshold=16; table_items=31777; bit=11; threshold=16; const_groups=59; range_groups=5; table_groups=0; range_items=18; table_items=0 | bit=10; threshold=16; const_groups=56; range_groups=8; table_groups=0; range_items=35; table_items=0",10.302,"per-output-bit run-cover hybrid; bits=11,10; threshold=16; table_items=31777; bit=11; threshold=16; const_groups=59; range_groups=5; table_groups=0; range_items=18; table_items=0 | bit=10; threshold=16; const_groups=56; range_groups=8; table_groups=0; range_items=35; table_items=0"
ex224,ex224_fp16_log2_bitrun_bits10_12_t16,fp16_log2,bitrun_bits10_12_t16,student/work/ex224_frontend_fp16_bitlogic5_20260607_0001/ex224/verilog/ex224_fp16_log2_bitrun_bits10_12_t16.v,student/work/ex224_frontend_fp16_bitlogic5_20260607_0001/ex224/aigs/ex224_fp16_log2_bitrun_bits10_12_t16.aig,1,1,1,6309,21,132489,64708,2.047490,0,0,structural_exact,"bits=12,10; threshold=16; table_items=31777; bit=12; threshold=16; const_groups=61; range_groups=3; table_groups=0; range_items=9; table_items=0 | bit=10; threshold=16; const_groups=56; range_groups=8; table_groups=0; range_items=35; table_items=0",10.701,"per-output-bit run-cover hybrid; bits=12,10; threshold=16; table_items=31777; bit=12; threshold=16; const_groups=61; range_groups=3; table_groups=0; range_items=9; table_items=0 | bit=10; threshold=16; const_groups=56; range_groups=8; table_groups=0; range_items=35; table_items=0"
ex224,ex224_fp16_log2_bitrun_bits11_12_7_t64,fp16_log2,bitrun_bits11_12_7_t64,student/work/ex224_frontend_fp16_bitlogic5_20260607_0001/ex224/verilog/ex224_fp16_log2_bitrun_bits11_12_7_t64.v,student/work/ex224_frontend_fp16_bitlogic5_20260607_0001/ex224/aigs/ex224_fp16_log2_bitrun_bits11_12_7_t64.aig,1,1,1,6518,21,136878,64708,2.115318,0,0,structural_exact,"bits=12,11,7; threshold=64; table_items=31777; bit=12; threshold=64; const_groups=61; range_groups=3; table_groups=0; range_items=9; table_items=0 | bit=11; threshold=64; const_groups=59; range_groups=5; table_groups=0; range_items=18; table_items=0 | bit=7; threshold=64; const_groups=34; range_groups=30; table_groups=0; range_items=209; table_items=0",11.110,"per-output-bit run-cover hybrid; bits=12,11,7; threshold=64; table_items=31777; bit=12; threshold=64; const_groups=61; range_groups=3; table_groups=0; range_items=9; table_items=0 | bit=11; threshold=64; const_groups=59; range_groups=5; table_groups=0; range_items=18; table_items=0 | bit=7; threshold=64; const_groups=34; range_groups=30; table_groups=0; range_items=209; table_items=0"
ex224,ex224_fp16_log2_bitrun_bits9_10_11_12_t32,fp16_log2,bitrun_bits9_10_11_12_t32,student/work/ex224_frontend_fp16_bitlogic5_20260607_0001/ex224/verilog/ex224_fp16_log2_bitrun_bits9_10_11_12_t32.v,student/work/ex224_frontend_fp16_bitlogic5_20260607_0001/ex224/aigs/ex224_fp16_log2_bitrun_bits9_10_11_12_t32.aig,1,1,1,6380,22,140360,64708,2.169129,0,0,structural_exact,"bits=12,11,10,9; threshold=32; table_items=31777; bit=12; threshold=32; const_groups=61; range_groups=3; table_groups=0; range_items=9; table_items=0 | bit=11; threshold=32; const_groups=59; range_groups=5; table_groups=0; range_items=18; table_items=0 | bit=10; threshold=32; const_groups=56; range_groups=8; table_groups=0; range_items=35; table_items=0 | bit=9; threshold=32; const_groups=48; range_groups=16; table_groups=0; range_items=64; table_items=0",10.464,"per-output-bit run-cover hybrid; bits=12,11,10,9; threshold=32; table_items=31777; bit=12; threshold=32; const_groups=61; range_groups=3; table_groups=0; range_items=9; table_items=0 | bit=11; threshold=32; const_groups=59; range_groups=5; table_groups=0; range_items=18; table_items=0 | bit=10; threshold=32; const_groups=56; range_groups=8; table_groups=0; range_items=35; table_items=0 | bit=9; threshold=32; const_groups=48; range_groups=16; table_groups=0; range_items=64; table_items=0"
ex224,ex224_fp16_log2_bitrun_bits9_10_12_t32,fp16_log2,bitrun_bits9_10_12_t32,student/work/ex224_frontend_fp16_bitlogic5_20260607_0001/ex224/verilog/ex224_fp16_log2_bitrun_bits9_10_12_t32.v,student/work/ex224_frontend_fp16_bitlogic5_20260607_0001/ex224/aigs/ex224_fp16_log2_bitrun_bits9_10_12_t32.aig,1,1,1,6340,21,133140,64708,2.057551,0,0,structural_exact,"bits=12,10,9; threshold=32; table_items=31777; bit=12; threshold=32; const_groups=61; range_groups=3; table_groups=0; range_items=9; table_items=0 | bit=10; threshold=32; const_groups=56; range_groups=8; table_groups=0; range_items=35; table_items=0 | bit=9; threshold=32; const_groups=48; range_groups=16; table_groups=0; range_items=64; table_items=0",11.079,"per-output-bit run-cover hybrid; bits=12,10,9; threshold=32; table_items=31777; bit=12; threshold=32; const_groups=61; range_groups=3; table_groups=0; range_items=9; table_items=0 | bit=10; threshold=32; const_groups=56; range_groups=8; table_groups=0; range_items=35; table_items=0 | bit=9; threshold=32; const_groups=48; range_groups=16; table_groups=0; range_items=64; table_items=0"
ex224,ex224_fp16_log2_casez_sign_bits10_11_12_t16,fp16_log2,casez_sign_bits10_11_12_t16,student/work/ex224_frontend_fp16_bitlogic5_20260607_0001/ex224/verilog/ex224_fp16_log2_casez_sign_bits10_11_12_t16.v,student/work/ex224_frontend_fp16_bitlogic5_20260607_0001/ex224/aigs/ex224_fp16_log2_casez_sign_bits10_11_12_t16.aig,1,1,1,6330,22,139260,64708,2.152130,0,0,structural_exact,"bits=12,11,10; threshold=16; table_items=31777; casez_sign=exp0_or_positive_exp1_to14 | bit=12; threshold=16; const_groups=61; range_groups=3; table_groups=0; range_items=9; table_items=0 | bit=11; threshold=16; const_groups=59; range_groups=5; table_groups=0; range_items=18; table_items=0 | bit=10; threshold=16; const_groups=56; range_groups=8; table_groups=0; range_items=35; table_items=0",10.419,"per-output-bit run-cover hybrid; bits=12,11,10; threshold=16; table_items=31777; casez_sign=exp0_or_positive_exp1_to14 | bit=12; threshold=16; const_groups=61; range_groups=3; table_groups=0; range_items=9; table_items=0 | bit=11; threshold=16; const_groups=59; range_groups=5; table_groups=0; range_items=18; table_items=0 | bit=10; threshold=16; const_groups=56; range_groups=8; table_groups=0; range_items=35; table_items=0"
ex224,ex224_fp16_log2_casez_sign_bits10_11_t16,fp16_log2,casez_sign_bits10_11_t16,student/work/ex224_frontend_fp16_bitlogic5_20260607_0001/ex224/verilog/ex224_fp16_log2_casez_sign_bits10_11_t16.v,student/work/ex224_frontend_fp16_bitlogic5_20260607_0001/ex224/aigs/ex224_fp16_log2_casez_sign_bits10_11_t16.aig,1,1,1,6284,21,131964,64708,2.039377,0,0,structural_exact,"bits=11,10; threshold=16; table_items=31777; casez_sign=exp0_or_positive_exp1_to14 | bit=11; threshold=16; const_groups=59; range_groups=5; table_groups=0; range_items=18; table_items=0 | bit=10; threshold=16; const_groups=56; range_groups=8; table_groups=0; range_items=35; table_items=0",10.530,"per-output-bit run-cover hybrid; bits=11,10; threshold=16; table_items=31777; casez_sign=exp0_or_positive_exp1_to14 | bit=11; threshold=16; const_groups=59; range_groups=5; table_groups=0; range_items=18; table_items=0 | bit=10; threshold=16; const_groups=56; range_groups=8; table_groups=0; range_items=35; table_items=0"
ex224,ex224_fp16_log2_casez_sign_bits10_12_t16,fp16_log2,casez_sign_bits10_12_t16,student/work/ex224_frontend_fp16_bitlogic5_20260607_0001/ex224/verilog/ex224_fp16_log2_casez_sign_bits10_12_t16.v,student/work/ex224_frontend_fp16_bitlogic5_20260607_0001/ex224/aigs/ex224_fp16_log2_casez_sign_bits10_12_t16.aig,1,1,1,6349,21,133329,64708,2.060472,0,0,structural_exact,"bits=12,10; threshold=16; table_items=31777; casez_sign=exp0_or_positive_exp1_to14 | bit=12; threshold=16; const_groups=61; range_groups=3; table_groups=0; range_items=9; table_items=0 | bit=10; threshold=16; const_groups=56; range_groups=8; table_groups=0; range_items=35; table_items=0",10.238,"per-output-bit run-cover hybrid; bits=12,10; threshold=16; table_items=31777; casez_sign=exp0_or_positive_exp1_to14 | bit=12; threshold=16; const_groups=61; range_groups=3; table_groups=0; range_items=9; table_items=0 | bit=10; threshold=16; const_groups=56; range_groups=8; table_groups=0; range_items=35; table_items=0"
