case,metric,key,value,detail
ex286,onehot_map,input_to_output_slot,6:5:9:5:11:11:9:9:3:2:3:1:8,single-token output slot by input bit
ex286,output_state_insertion,natural,1355,0:states=1:conflicts=0;1:states=2:conflicts=0;2:states=4:conflicts=0;3:states=8:conflicts=0;4:states=15:conflicts=1;5:states=31:conflicts=1;6:states=47:conflicts=1;7:states=87:conflicts=12;8:states=113:conflicts=17;9:states=229:conflicts=41;10:states=461:conflicts=63;11:states=810:conflicts=389;12:states=1358:conflicts=830
ex286,output_state_insertion,reverse,1942,12:states=1:conflicts=0;11:states=2:conflicts=0;10:states=4:conflicts=0;9:states=8:conflicts=0;8:states=15:conflicts=1;7:states=26:conflicts=6;6:states=57:conflicts=6;5:states=87:conflicts=10;4:states=167:conflicts=33;3:states=218:conflicts=78;2:states=449:conflicts=121;1:states=842:conflicts=349;0:states=1392:conflicts=1338
ex286,output_state_insertion,onehot,2246,11:states=1:conflicts=0;9:states=2:conflicts=0;8:states=4:conflicts=0;10:states=8:conflicts=0;1:states=13:conflicts=3;3:states=29:conflicts=3;0:states=58:conflicts=6;12:states=112:conflicts=5;2:states=227:conflicts=29;6:states=414:conflicts=87;7:states=828:conflicts=176;4:states=1213:conflicts=351;5:states=1839:conflicts=1586
ex286,output_state_insertion,onehot_rev,1743,4:states=1:conflicts=0;5:states=2:conflicts=0;2:states=3:conflicts=0;6:states=6:conflicts=0;7:states=11:conflicts=1;12:states=15:conflicts=2;0:states=30:conflicts=4;1:states=60:conflicts=9;3:states=118:conflicts=22;8:states=237:conflicts=24;10:states=459:conflicts=72;9:states=804:conflicts=455;11:states=1448:conflicts=1154
ex286,slot_candidate_sizes,twohot_profile,9:10:10:11:11:11:9:9:9:9:9:9:10,candidate positions per input bit from one-hot/two-hot outputs
ex286,small_slot_matching,cap1,8130,x=0x3;y=0xc;weight=2
ex286,small_slot_matching,cap2,8036,x=0x3;y=0xc;weight=2
ex286,small_slot_matching,cap3,7939,x=0x3;y=0xc;weight=2
ex286,small_slot_matching,cap4,7819,x=0x3;y=0xc;weight=2
ex286,small_slot_matching,cap5,6634,x=0x5;y=0x500;weight=2
ex286,small_slot_matching,cap6,6121,x=0xc;y=0x1020;weight=2
ex286,small_slot_matching,cap8,2367,x=0x17;y=0x11c0;weight=4
ex286,generalized_symmetry,input_swap_output_perm,2,4:5->outperm:0:1:2:3:4:5:6:7:8:9:10:11:12;6:7->outperm:0:1:2:3:4:5:6:7:8:9:10:11:12
ex286,layer_rank_simple,w1,1/13,reverse
ex286,layer_rank_simple,w2,1/78,identity
ex286,layer_rank_simple,w3,5/286,identity
ex286,layer_rank_simple,w4,10/715,identity
ex286,layer_rank_simple,w9,6/715,identity
ex286,layer_rank_simple,w10,8/286,identity
ex286,layer_rank_simple,w11,11/78,identity
ex286,layer_rank_simple,w12,4/13,identity
