case,candidate_id,hypothesis,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,runtime_sec,items,notes
ex280,ex280_unknown_quadratic_compressor_prefix_parity_reduce_full_clamp_wide,unknown_quadratic_compressor,prefix_parity_reduce_full_clamp_wide,student/work/ex280_ex284_frontend_quadratic_compressor_wide_smoke_20260609_0216/ex280/verilog/ex280_unknown_quadratic_compressor_prefix_parity_reduce_full_clamp_wide.v,student/work/ex280_ex284_frontend_quadratic_compressor_wide_smoke_20260609_0216/ex280/aigs/ex280_unknown_quadratic_compressor_prefix_parity_reduce_full_clamp_wide.aig,1,1,1,162,31,5022,1.672,transform=prefix_parity_reduce; coord_mode=full_clamp; style=wide; coord_width=17; candidate_basis=4649; raw_pair_terms=156; selected_terms=42; unique_products=37; compound_products=12; linear_forms=23; terms_by_bit=1:3:2:2:2:2:2:3:7:6:5:7; hash=f51186a27d5b,unknown quadratic shared-compressor Verilog seed
ex280,ex280_unknown_quadratic_compressor_prefix_parity_reduce_full_clamp_simplified_wide,unknown_quadratic_compressor,prefix_parity_reduce_full_clamp_simplified_wide,student/work/ex280_ex284_frontend_quadratic_compressor_wide_smoke_20260609_0216/ex280/verilog/ex280_unknown_quadratic_compressor_prefix_parity_reduce_full_clamp_simplified_wide.v,student/work/ex280_ex284_frontend_quadratic_compressor_wide_smoke_20260609_0216/ex280/aigs/ex280_unknown_quadratic_compressor_prefix_parity_reduce_full_clamp_simplified_wide.aig,1,1,1,171,31,5301,1.672,transform=prefix_parity_reduce; coord_mode=full_clamp_simplified; style=wide; coord_width=17; candidate_basis=4649; raw_pair_terms=156; selected_terms=42; unique_products=37; compound_products=12; linear_forms=23; terms_by_bit=1:3:2:2:2:2:2:3:7:6:5:7; hash=03fb5c01014e,unknown quadratic shared-compressor Verilog seed
ex280,ex280_unknown_quadratic_compressor_prefix_parity_full_clamp_wide,unknown_quadratic_compressor,prefix_parity_full_clamp_wide,student/work/ex280_ex284_frontend_quadratic_compressor_wide_smoke_20260609_0216/ex280/verilog/ex280_unknown_quadratic_compressor_prefix_parity_full_clamp_wide.v,student/work/ex280_ex284_frontend_quadratic_compressor_wide_smoke_20260609_0216/ex280/aigs/ex280_unknown_quadratic_compressor_prefix_parity_full_clamp_wide.aig,1,1,1,174,31,5394,1.679,transform=prefix_parity; coord_mode=full_clamp; style=wide; coord_width=17; candidate_basis=4649; raw_pair_terms=156; selected_terms=42; unique_products=37; compound_products=12; linear_forms=23; terms_by_bit=1:3:2:2:2:2:2:3:7:6:5:7; hash=b720aa9e1954,unknown quadratic shared-compressor Verilog seed
ex280,ex280_unknown_quadratic_compressor_prefix_parity_full_clamp_simplified_wide,unknown_quadratic_compressor,prefix_parity_full_clamp_simplified_wide,student/work/ex280_ex284_frontend_quadratic_compressor_wide_smoke_20260609_0216/ex280/verilog/ex280_unknown_quadratic_compressor_prefix_parity_full_clamp_simplified_wide.v,student/work/ex280_ex284_frontend_quadratic_compressor_wide_smoke_20260609_0216/ex280/aigs/ex280_unknown_quadratic_compressor_prefix_parity_full_clamp_simplified_wide.aig,1,1,1,174,31,5394,1.669,transform=prefix_parity; coord_mode=full_clamp_simplified; style=wide; coord_width=17; candidate_basis=4649; raw_pair_terms=156; selected_terms=42; unique_products=37; compound_products=12; linear_forms=23; terms_by_bit=1:3:2:2:2:2:2:3:7:6:5:7; hash=ebaa4526d453,unknown quadratic shared-compressor Verilog seed
ex284,ex284_unknown_quadratic_compressor_prefix_parity_reduce_full_clamp_wide,unknown_quadratic_compressor,prefix_parity_reduce_full_clamp_wide,student/work/ex280_ex284_frontend_quadratic_compressor_wide_smoke_20260609_0216/ex284/verilog/ex284_unknown_quadratic_compressor_prefix_parity_reduce_full_clamp_wide.v,student/work/ex280_ex284_frontend_quadratic_compressor_wide_smoke_20260609_0216/ex284/aigs/ex284_unknown_quadratic_compressor_prefix_parity_reduce_full_clamp_wide.aig,1,1,1,237,39,9243,12.856,transform=prefix_parity_reduce; coord_mode=full_clamp; style=wide; coord_width=21; candidate_basis=10154; raw_pair_terms=268; selected_terms=50; unique_products=45; compound_products=16; linear_forms=31; terms_by_bit=1:3:2:2:2:2:2:2:2:2:2:3:7:6:5:7; hash=82f62eab56cb,unknown quadratic shared-compressor Verilog seed
ex284,ex284_unknown_quadratic_compressor_prefix_parity_reduce_full_clamp_simplified_wide,unknown_quadratic_compressor,prefix_parity_reduce_full_clamp_simplified_wide,student/work/ex280_ex284_frontend_quadratic_compressor_wide_smoke_20260609_0216/ex284/verilog/ex284_unknown_quadratic_compressor_prefix_parity_reduce_full_clamp_simplified_wide.v,student/work/ex280_ex284_frontend_quadratic_compressor_wide_smoke_20260609_0216/ex284/aigs/ex284_unknown_quadratic_compressor_prefix_parity_reduce_full_clamp_simplified_wide.aig,1,1,1,245,38,9310,12.783,transform=prefix_parity_reduce; coord_mode=full_clamp_simplified; style=wide; coord_width=21; candidate_basis=10154; raw_pair_terms=268; selected_terms=50; unique_products=45; compound_products=16; linear_forms=31; terms_by_bit=1:3:2:2:2:2:2:2:2:2:2:3:7:6:5:7; hash=89852b1ca47d,unknown quadratic shared-compressor Verilog seed
ex284,ex284_unknown_quadratic_compressor_prefix_parity_full_clamp_wide,unknown_quadratic_compressor,prefix_parity_full_clamp_wide,student/work/ex280_ex284_frontend_quadratic_compressor_wide_smoke_20260609_0216/ex284/verilog/ex284_unknown_quadratic_compressor_prefix_parity_full_clamp_wide.v,student/work/ex280_ex284_frontend_quadratic_compressor_wide_smoke_20260609_0216/ex284/aigs/ex284_unknown_quadratic_compressor_prefix_parity_full_clamp_wide.aig,1,1,1,215,39,8385,12.798,transform=prefix_parity; coord_mode=full_clamp; style=wide; coord_width=21; candidate_basis=10154; raw_pair_terms=268; selected_terms=50; unique_products=45; compound_products=16; linear_forms=31; terms_by_bit=1:3:2:2:2:2:2:2:2:2:2:3:7:6:5:7; hash=bed25c6f5bb7,unknown quadratic shared-compressor Verilog seed
ex284,ex284_unknown_quadratic_compressor_prefix_parity_full_clamp_simplified_wide,unknown_quadratic_compressor,prefix_parity_full_clamp_simplified_wide,student/work/ex280_ex284_frontend_quadratic_compressor_wide_smoke_20260609_0216/ex284/verilog/ex284_unknown_quadratic_compressor_prefix_parity_full_clamp_simplified_wide.v,student/work/ex280_ex284_frontend_quadratic_compressor_wide_smoke_20260609_0216/ex284/aigs/ex284_unknown_quadratic_compressor_prefix_parity_full_clamp_simplified_wide.aig,1,1,1,215,39,8385,12.617,transform=prefix_parity; coord_mode=full_clamp_simplified; style=wide; coord_width=21; candidate_basis=10154; raw_pair_terms=268; selected_terms=50; unique_products=45; compound_products=16; linear_forms=31; terms_by_bit=1:3:2:2:2:2:2:2:2:2:2:3:7:6:5:7; hash=e9147ef4d976,unknown quadratic shared-compressor Verilog seed
