round,run_id,agent_id,case,candidate_id,simulator,status,patterns,log_path,notes,sim_tool,sim_status,sim_log,shard_csv,simulation_used,simulation_pass
,,sub-fp8-arith-flow-r90,ex241,ex241_r90_current_repo_default,,,,,official evaluate.py was used for acceptance,not_run,not_run,,student/frontend_campaigns/campaigns/frontend_synthflow_mutation_round90_20260614_0014/agent_shards/sub-fp8-arith-flow-r90/simulation_results.csv,,
,,sub-fp8-arith-flow-r90,ex241,ex241_r90_current_abc_g_aig,,,,,official evaluate.py was used for acceptance,not_run,not_run,,student/frontend_campaigns/campaigns/frontend_synthflow_mutation_round90_20260614_0014/agent_shards/sub-fp8-arith-flow-r90/simulation_results.csv,,
,,sub-fp8-arith-flow-r90,ex241,ex241_r90_current_d24,,,,,official evaluate.py was used for acceptance,not_run,not_run,,student/frontend_campaigns/campaigns/frontend_synthflow_mutation_round90_20260614_0014/agent_shards/sub-fp8-arith-flow-r90/simulation_results.csv,,
,,sub-fp8-arith-flow-r90,ex241,ex241_r90_current_no_flatten,,,,,official evaluate.py was used for acceptance,not_run,not_run,,student/frontend_campaigns/campaigns/frontend_synthflow_mutation_round90_20260614_0014/agent_shards/sub-fp8-arith-flow-r90/simulation_results.csv,,
,,sub-fp8-arith-flow-r90,ex241,ex241_r90_keep_abc_g_aig,,,,,official evaluate.py was used for acceptance,not_run,not_run,,student/frontend_campaigns/campaigns/frontend_synthflow_mutation_round90_20260614_0014/agent_shards/sub-fp8-arith-flow-r90/simulation_results.csv,,
,,sub-fp8-arith-flow-r90,ex241,ex241_r90_keep_extra_opt,,,,,official evaluate.py was used for acceptance,not_run,not_run,,student/frontend_campaigns/campaigns/frontend_synthflow_mutation_round90_20260614_0014/agent_shards/sub-fp8-arith-flow-r90/simulation_results.csv,,
,,sub-fp8-arith-flow-r90,ex241,ex241_r90_r89_abc_g_aig,,,,,official evaluate.py was used for acceptance,not_run,not_run,,student/frontend_campaigns/campaigns/frontend_synthflow_mutation_round90_20260614_0014/agent_shards/sub-fp8-arith-flow-r90/simulation_results.csv,,
,,sub-fp8-arith-flow-r90,ex241,ex241_r90_r89_no_internal_abc,,,,,official evaluate.py was used for acceptance,not_run,not_run,,student/frontend_campaigns/campaigns/frontend_synthflow_mutation_round90_20260614_0014/agent_shards/sub-fp8-arith-flow-r90/simulation_results.csv,,
,,sub-fp8-arith-flow-r90,ex240,ex240_r90_current_abc_g_aig,,,,,official evaluate.py was used for acceptance,not_run,not_run,,student/frontend_campaigns/campaigns/frontend_synthflow_mutation_round90_20260614_0014/agent_shards/sub-fp8-arith-flow-r90/simulation_results.csv,,
,,sub-fp8-arith-flow-r90,ex240,ex240_r90_keep_no_flatten,,,,,official evaluate.py was used for acceptance,not_run,not_run,,student/frontend_campaigns/campaigns/frontend_synthflow_mutation_round90_20260614_0014/agent_shards/sub-fp8-arith-flow-r90/simulation_results.csv,,
,,sub-fp8-arith-flow-r90,ex245,ex245_r90_current_abc_g_aig,,,,,official evaluate.py was used for acceptance,not_run,not_run,,student/frontend_campaigns/campaigns/frontend_synthflow_mutation_round90_20260614_0014/agent_shards/sub-fp8-arith-flow-r90/simulation_results.csv,,
,,sub-fp8-arith-flow-r90,ex245,ex245_r90_keep_no_flatten,,,,,official evaluate.py was used for acceptance,not_run,not_run,,student/frontend_campaigns/campaigns/frontend_synthflow_mutation_round90_20260614_0014/agent_shards/sub-fp8-arith-flow-r90/simulation_results.csv,,
90,frontend_synthflow_mutation_round90_20260614_0014,sub-fp8-top-flow-r90,ex247,ex247_r90_current_abc_g_aig,,,,,official evaluate.py used directly,,,,student/frontend_campaigns/campaigns/frontend_synthflow_mutation_round90_20260614_0014/agent_shards/sub-fp8-top-flow-r90/simulation_results.csv,0,not_run
90,frontend_synthflow_mutation_round90_20260614_0014,sub-fp8-top-flow-r90,ex247,ex247_r90_r89_noabc,,,,,official evaluate.py used directly,,,,student/frontend_campaigns/campaigns/frontend_synthflow_mutation_round90_20260614_0014/agent_shards/sub-fp8-top-flow-r90/simulation_results.csv,0,not_run
90,frontend_synthflow_mutation_round90_20260614_0014,sub-fp8-top-flow-r90,ex246,ex246_r90_current_abc_g_aig,,,,,official evaluate.py used directly,,,,student/frontend_campaigns/campaigns/frontend_synthflow_mutation_round90_20260614_0014/agent_shards/sub-fp8-top-flow-r90/simulation_results.csv,0,not_run
90,frontend_synthflow_mutation_round90_20260614_0014,sub-fp8-top-flow-r90,ex246,ex246_r90_r89_noabc,,,,,official evaluate.py used directly,,,,student/frontend_campaigns/campaigns/frontend_synthflow_mutation_round90_20260614_0014/agent_shards/sub-fp8-top-flow-r90/simulation_results.csv,0,not_run
90,frontend_synthflow_mutation_round90_20260614_0014,sub-fp8-top-flow-r90,ex244,ex244_r90_current_abc_g_aig,,,,,official evaluate.py used directly,,,,student/frontend_campaigns/campaigns/frontend_synthflow_mutation_round90_20260614_0014/agent_shards/sub-fp8-top-flow-r90/simulation_results.csv,0,not_run
90,frontend_synthflow_mutation_round90_20260614_0014,sub-fp8-top-flow-r90,ex244,ex244_r90_r89_noabc,,,,,official evaluate.py used directly,,,,student/frontend_campaigns/campaigns/frontend_synthflow_mutation_round90_20260614_0014/agent_shards/sub-fp8-top-flow-r90/simulation_results.csv,0,not_run
90,frontend_synthflow_mutation_round90_20260614_0014,sub-fp8-top-flow-r90,ex249,ex249_r90_current_abc_g_aig,,,,,official evaluate.py used directly,,,,student/frontend_campaigns/campaigns/frontend_synthflow_mutation_round90_20260614_0014/agent_shards/sub-fp8-top-flow-r90/simulation_results.csv,0,not_run
90,frontend_synthflow_mutation_round90_20260614_0014,sub-fp8-top-flow-r90,ex249,ex249_r90_r89_noabc,,,,,official evaluate.py used directly,,,,student/frontend_campaigns/campaigns/frontend_synthflow_mutation_round90_20260614_0014/agent_shards/sub-fp8-top-flow-r90/simulation_results.csv,0,not_run
90,frontend_synthflow_mutation_round90_20260614_0014,sub-unknown-flow-r90,ex285,ex285_r90_proc_abc_aig,evaluate.py,official_eval_only,0,student/runs/unknown/frontend_synthflow_mutation_round90_20260614_0014/sub-unknown-flow-r90/ex285/logs/ex285_r90_proc_abc_aig.evaluate.py.log,official evaluate.py used directly; no separate simulation,,,,student/frontend_campaigns/campaigns/frontend_synthflow_mutation_round90_20260614_0014/agent_shards/sub-unknown-flow-r90/simulation_results.csv,,
90,frontend_synthflow_mutation_round90_20260614_0014,sub-unknown-flow-r90,ex288,ex288_r90_proc_abc_aig,evaluate.py,official_eval_only,0,student/runs/unknown/frontend_synthflow_mutation_round90_20260614_0014/sub-unknown-flow-r90/ex288/logs/ex288_r90_proc_abc_aig.evaluate.py.log,official evaluate.py used directly; no separate simulation,,,,student/frontend_campaigns/campaigns/frontend_synthflow_mutation_round90_20260614_0014/agent_shards/sub-unknown-flow-r90/simulation_results.csv,,
