case,candidate_id,equivalent,area,delay,adp,aig_path,notes
ex260,ex260_smul_baugh_wooley_wallace_pfx3_abc_g_aig,1,93,14,1302,student/work/ex260_ex264_frontend_smul_prefix_merge_20260609_0552/ex260/aigs/ex260_smul_baugh_wooley_wallace_pfx3_abc_g_aig.aig,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_pfx3; flow=abc_g_aig
ex260,ex260_smul_baugh_wooley_wallace_pfx3_wreduce_abc_g_aig,1,91,14,1274,student/work/ex260_ex264_frontend_smul_prefix_merge_20260609_0552/ex260/aigs/ex260_smul_baugh_wooley_wallace_pfx3_wreduce_abc_g_aig.aig,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_pfx3; flow=wreduce_abc_g_aig
ex260,ex260_smul_baugh_wooley_wallace_pfx3_synth_preset_d13,1,91,14,1274,student/work/ex260_ex264_frontend_smul_prefix_merge_20260609_0552/ex260/aigs/ex260_smul_baugh_wooley_wallace_pfx3_synth_preset_d13.aig,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_pfx3; flow=synth_preset_d13
ex260,ex260_smul_baugh_wooley_wallace_pfx3_synth_preset_d18,1,91,14,1274,student/work/ex260_ex264_frontend_smul_prefix_merge_20260609_0552/ex260/aigs/ex260_smul_baugh_wooley_wallace_pfx3_synth_preset_d18.aig,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_pfx3; flow=synth_preset_d18
ex260,ex260_smul_baugh_wooley_wallace_pfx4_abc_g_aig,1,90,14,1260,student/work/ex260_ex264_frontend_smul_prefix_merge_20260609_0552/ex260/aigs/ex260_smul_baugh_wooley_wallace_pfx4_abc_g_aig.aig,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_pfx4; flow=abc_g_aig
ex260,ex260_smul_baugh_wooley_wallace_pfx4_wreduce_abc_g_aig,1,92,14,1288,student/work/ex260_ex264_frontend_smul_prefix_merge_20260609_0552/ex260/aigs/ex260_smul_baugh_wooley_wallace_pfx4_wreduce_abc_g_aig.aig,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_pfx4; flow=wreduce_abc_g_aig
ex260,ex260_smul_baugh_wooley_wallace_pfx4_synth_preset_d13,1,92,14,1288,student/work/ex260_ex264_frontend_smul_prefix_merge_20260609_0552/ex260/aigs/ex260_smul_baugh_wooley_wallace_pfx4_synth_preset_d13.aig,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_pfx4; flow=synth_preset_d13
ex260,ex260_smul_baugh_wooley_wallace_pfx4_synth_preset_d18,1,92,14,1288,student/work/ex260_ex264_frontend_smul_prefix_merge_20260609_0552/ex260/aigs/ex260_smul_baugh_wooley_wallace_pfx4_synth_preset_d18.aig,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_pfx4; flow=synth_preset_d18
ex260,ex260_smul_baugh_wooley_wallace_pfx5_abc_g_aig,1,89,16,1424,student/work/ex260_ex264_frontend_smul_prefix_merge_20260609_0552/ex260/aigs/ex260_smul_baugh_wooley_wallace_pfx5_abc_g_aig.aig,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_pfx5; flow=abc_g_aig
ex260,ex260_smul_baugh_wooley_wallace_pfx5_wreduce_abc_g_aig,1,89,16,1424,student/work/ex260_ex264_frontend_smul_prefix_merge_20260609_0552/ex260/aigs/ex260_smul_baugh_wooley_wallace_pfx5_wreduce_abc_g_aig.aig,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_pfx5; flow=wreduce_abc_g_aig
ex260,ex260_smul_baugh_wooley_wallace_pfx5_synth_preset_d13,1,89,16,1424,student/work/ex260_ex264_frontend_smul_prefix_merge_20260609_0552/ex260/aigs/ex260_smul_baugh_wooley_wallace_pfx5_synth_preset_d13.aig,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_pfx5; flow=synth_preset_d13
ex260,ex260_smul_baugh_wooley_wallace_pfx5_synth_preset_d18,1,89,16,1424,student/work/ex260_ex264_frontend_smul_prefix_merge_20260609_0552/ex260/aigs/ex260_smul_baugh_wooley_wallace_pfx5_synth_preset_d18.aig,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_pfx5; flow=synth_preset_d18
ex260,ex260_smul_baugh_wooley_wallace_pfx6_abc_g_aig,1,91,14,1274,student/work/ex260_ex264_frontend_smul_prefix_merge_20260609_0552/ex260/aigs/ex260_smul_baugh_wooley_wallace_pfx6_abc_g_aig.aig,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_pfx6; flow=abc_g_aig
ex260,ex260_smul_baugh_wooley_wallace_pfx6_wreduce_abc_g_aig,1,91,14,1274,student/work/ex260_ex264_frontend_smul_prefix_merge_20260609_0552/ex260/aigs/ex260_smul_baugh_wooley_wallace_pfx6_wreduce_abc_g_aig.aig,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_pfx6; flow=wreduce_abc_g_aig
ex260,ex260_smul_baugh_wooley_wallace_pfx6_synth_preset_d13,1,89,16,1424,student/work/ex260_ex264_frontend_smul_prefix_merge_20260609_0552/ex260/aigs/ex260_smul_baugh_wooley_wallace_pfx6_synth_preset_d13.aig,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_pfx6; flow=synth_preset_d13
ex260,ex260_smul_baugh_wooley_wallace_pfx6_synth_preset_d18,1,89,16,1424,student/work/ex260_ex264_frontend_smul_prefix_merge_20260609_0552/ex260/aigs/ex260_smul_baugh_wooley_wallace_pfx6_synth_preset_d18.aig,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_pfx6; flow=synth_preset_d18
ex260,ex260_smul_baugh_wooley_wallace_pfx8_abc_g_aig,1,91,15,1365,student/work/ex260_ex264_frontend_smul_prefix_merge_20260609_0552/ex260/aigs/ex260_smul_baugh_wooley_wallace_pfx8_abc_g_aig.aig,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_pfx8; flow=abc_g_aig
ex260,ex260_smul_baugh_wooley_wallace_pfx8_wreduce_abc_g_aig,1,91,15,1365,student/work/ex260_ex264_frontend_smul_prefix_merge_20260609_0552/ex260/aigs/ex260_smul_baugh_wooley_wallace_pfx8_wreduce_abc_g_aig.aig,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_pfx8; flow=wreduce_abc_g_aig
ex260,ex260_smul_baugh_wooley_wallace_pfx8_synth_preset_d13,1,89,16,1424,student/work/ex260_ex264_frontend_smul_prefix_merge_20260609_0552/ex260/aigs/ex260_smul_baugh_wooley_wallace_pfx8_synth_preset_d13.aig,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_pfx8; flow=synth_preset_d13
ex260,ex260_smul_baugh_wooley_wallace_pfx8_synth_preset_d18,1,89,16,1424,student/work/ex260_ex264_frontend_smul_prefix_merge_20260609_0552/ex260/aigs/ex260_smul_baugh_wooley_wallace_pfx8_synth_preset_d18.aig,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_pfx8; flow=synth_preset_d18
ex260,ex260_smul_baugh_wooley_wallace_hcla4_abc_g_aig,1,92,13,1196,student/work/ex260_ex264_frontend_smul_prefix_merge_20260609_0552/ex260/aigs/ex260_smul_baugh_wooley_wallace_hcla4_abc_g_aig.aig,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_hcla4; flow=abc_g_aig
ex260,ex260_smul_baugh_wooley_wallace_hcla4_wreduce_abc_g_aig,1,91,14,1274,student/work/ex260_ex264_frontend_smul_prefix_merge_20260609_0552/ex260/aigs/ex260_smul_baugh_wooley_wallace_hcla4_wreduce_abc_g_aig.aig,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_hcla4; flow=wreduce_abc_g_aig
ex260,ex260_smul_baugh_wooley_wallace_hcla4_synth_preset_d13,1,92,14,1288,student/work/ex260_ex264_frontend_smul_prefix_merge_20260609_0552/ex260/aigs/ex260_smul_baugh_wooley_wallace_hcla4_synth_preset_d13.aig,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_hcla4; flow=synth_preset_d13
ex260,ex260_smul_baugh_wooley_wallace_hcla4_synth_preset_d18,1,92,14,1288,student/work/ex260_ex264_frontend_smul_prefix_merge_20260609_0552/ex260/aigs/ex260_smul_baugh_wooley_wallace_hcla4_synth_preset_d18.aig,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_hcla4; flow=synth_preset_d18
ex261,ex261_smul_baugh_wooley_wallace_pfx3_abc_g_aig,1,161,20,3220,student/work/ex260_ex264_frontend_smul_prefix_merge_20260609_0552/ex261/aigs/ex261_smul_baugh_wooley_wallace_pfx3_abc_g_aig.aig,exact signed low5 * signed high5 over 1024 inputs; source=baugh_wooley_wallace_pfx3; flow=abc_g_aig
