case,candidate_id,hypothesis,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,runtime_sec,classification,notes
ex260,ex260_smul_baugh_wooley_wallace_pfx3_abc_g_aig,signed low4_high4:a*b,baugh_wooley_wallace_pfx3+abc_g_aig,student/work/ex260_ex264_frontend_smul_prefix_merge_20260609_0552/ex260/verilog/ex260_smul_baugh_wooley_wallace_pfx3.v,student/work/ex260_ex264_frontend_smul_prefix_merge_20260609_0552/ex260/aigs/ex260_smul_baugh_wooley_wallace_pfx3_abc_g_aig.aig,1,1,1,93,14,1302,657,1.981735,0,0,0.210,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_pfx3; flow=abc_g_aig
ex260,ex260_smul_baugh_wooley_wallace_pfx3_wreduce_abc_g_aig,signed low4_high4:a*b,baugh_wooley_wallace_pfx3+wreduce_abc_g_aig,student/work/ex260_ex264_frontend_smul_prefix_merge_20260609_0552/ex260/verilog/ex260_smul_baugh_wooley_wallace_pfx3.v,student/work/ex260_ex264_frontend_smul_prefix_merge_20260609_0552/ex260/aigs/ex260_smul_baugh_wooley_wallace_pfx3_wreduce_abc_g_aig.aig,1,1,1,91,14,1274,657,1.939117,0,0,0.217,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_pfx3; flow=wreduce_abc_g_aig
ex260,ex260_smul_baugh_wooley_wallace_pfx3_synth_preset_d13,signed low4_high4:a*b,baugh_wooley_wallace_pfx3+synth_preset_d13,student/work/ex260_ex264_frontend_smul_prefix_merge_20260609_0552/ex260/verilog/ex260_smul_baugh_wooley_wallace_pfx3.v,student/work/ex260_ex264_frontend_smul_prefix_merge_20260609_0552/ex260/aigs/ex260_smul_baugh_wooley_wallace_pfx3_synth_preset_d13.aig,1,1,1,91,14,1274,657,1.939117,0,0,0.268,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_pfx3; flow=synth_preset_d13
ex260,ex260_smul_baugh_wooley_wallace_pfx3_synth_preset_d18,signed low4_high4:a*b,baugh_wooley_wallace_pfx3+synth_preset_d18,student/work/ex260_ex264_frontend_smul_prefix_merge_20260609_0552/ex260/verilog/ex260_smul_baugh_wooley_wallace_pfx3.v,student/work/ex260_ex264_frontend_smul_prefix_merge_20260609_0552/ex260/aigs/ex260_smul_baugh_wooley_wallace_pfx3_synth_preset_d18.aig,1,1,1,91,14,1274,657,1.939117,0,0,0.321,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_pfx3; flow=synth_preset_d18
ex260,ex260_smul_baugh_wooley_wallace_pfx4_abc_g_aig,signed low4_high4:a*b,baugh_wooley_wallace_pfx4+abc_g_aig,student/work/ex260_ex264_frontend_smul_prefix_merge_20260609_0552/ex260/verilog/ex260_smul_baugh_wooley_wallace_pfx4.v,student/work/ex260_ex264_frontend_smul_prefix_merge_20260609_0552/ex260/aigs/ex260_smul_baugh_wooley_wallace_pfx4_abc_g_aig.aig,1,1,1,90,14,1260,657,1.917808,0,0,0.236,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_pfx4; flow=abc_g_aig
ex260,ex260_smul_baugh_wooley_wallace_pfx4_wreduce_abc_g_aig,signed low4_high4:a*b,baugh_wooley_wallace_pfx4+wreduce_abc_g_aig,student/work/ex260_ex264_frontend_smul_prefix_merge_20260609_0552/ex260/verilog/ex260_smul_baugh_wooley_wallace_pfx4.v,student/work/ex260_ex264_frontend_smul_prefix_merge_20260609_0552/ex260/aigs/ex260_smul_baugh_wooley_wallace_pfx4_wreduce_abc_g_aig.aig,1,1,1,92,14,1288,657,1.960426,0,0,0.279,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_pfx4; flow=wreduce_abc_g_aig
ex260,ex260_smul_baugh_wooley_wallace_pfx4_synth_preset_d13,signed low4_high4:a*b,baugh_wooley_wallace_pfx4+synth_preset_d13,student/work/ex260_ex264_frontend_smul_prefix_merge_20260609_0552/ex260/verilog/ex260_smul_baugh_wooley_wallace_pfx4.v,student/work/ex260_ex264_frontend_smul_prefix_merge_20260609_0552/ex260/aigs/ex260_smul_baugh_wooley_wallace_pfx4_synth_preset_d13.aig,1,1,1,92,14,1288,657,1.960426,0,0,0.317,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_pfx4; flow=synth_preset_d13
ex260,ex260_smul_baugh_wooley_wallace_pfx4_synth_preset_d18,signed low4_high4:a*b,baugh_wooley_wallace_pfx4+synth_preset_d18,student/work/ex260_ex264_frontend_smul_prefix_merge_20260609_0552/ex260/verilog/ex260_smul_baugh_wooley_wallace_pfx4.v,student/work/ex260_ex264_frontend_smul_prefix_merge_20260609_0552/ex260/aigs/ex260_smul_baugh_wooley_wallace_pfx4_synth_preset_d18.aig,1,1,1,92,14,1288,657,1.960426,0,0,0.274,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_pfx4; flow=synth_preset_d18
ex260,ex260_smul_baugh_wooley_wallace_pfx5_abc_g_aig,signed low4_high4:a*b,baugh_wooley_wallace_pfx5+abc_g_aig,student/work/ex260_ex264_frontend_smul_prefix_merge_20260609_0552/ex260/verilog/ex260_smul_baugh_wooley_wallace_pfx5.v,student/work/ex260_ex264_frontend_smul_prefix_merge_20260609_0552/ex260/aigs/ex260_smul_baugh_wooley_wallace_pfx5_abc_g_aig.aig,1,1,1,89,16,1424,657,2.167428,0,0,0.205,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_pfx5; flow=abc_g_aig
ex260,ex260_smul_baugh_wooley_wallace_pfx5_wreduce_abc_g_aig,signed low4_high4:a*b,baugh_wooley_wallace_pfx5+wreduce_abc_g_aig,student/work/ex260_ex264_frontend_smul_prefix_merge_20260609_0552/ex260/verilog/ex260_smul_baugh_wooley_wallace_pfx5.v,student/work/ex260_ex264_frontend_smul_prefix_merge_20260609_0552/ex260/aigs/ex260_smul_baugh_wooley_wallace_pfx5_wreduce_abc_g_aig.aig,1,1,1,89,16,1424,657,2.167428,0,0,0.251,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_pfx5; flow=wreduce_abc_g_aig
ex260,ex260_smul_baugh_wooley_wallace_pfx5_synth_preset_d13,signed low4_high4:a*b,baugh_wooley_wallace_pfx5+synth_preset_d13,student/work/ex260_ex264_frontend_smul_prefix_merge_20260609_0552/ex260/verilog/ex260_smul_baugh_wooley_wallace_pfx5.v,student/work/ex260_ex264_frontend_smul_prefix_merge_20260609_0552/ex260/aigs/ex260_smul_baugh_wooley_wallace_pfx5_synth_preset_d13.aig,1,1,1,89,16,1424,657,2.167428,0,0,0.259,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_pfx5; flow=synth_preset_d13
