case,domain,category,current_best_adp,current_best_area,current_best_delay,current_best_source,current_best_run,frontend_best_adp,frontend_best_run,backend_best_adp,backend_best_run,reference_adp,gap_to_reference,ratio_to_reference,priority,recommendation
ex266,integer,"Basic integer arithmetic: unsigned/signed multipliers, divider with b=0 saturation, squarer, restoring square root.",927,103,9,frontend,newseeds_integer_v3a_20260614_1952,927,newseeds_integer_v3a_20260614_1952,1296,ex255_ex279_backend_portfolio_v2_cycles3_jobs25_20260612_0404,848,79,1.093160,frontend_high,rethink high-level description and shared-structure RTL
ex267,integer,"Basic integer arithmetic: unsigned/signed multipliers, divider with b=0 saturation, squarer, restoring square root.",2959,269,11,frontend,newseeds_integer_v3a_20260614_1952,2959,newseeds_integer_v3a_20260614_1952,3444,ex255_ex279_backend_portfolio_v2_cycles3_jobs25_20260612_0404,2651,308,1.116183,frontend_medium,add diverse frontend seeds before deeper backend
ex268,integer,"Basic integer arithmetic: unsigned/signed multipliers, divider with b=0 saturation, squarer, restoring square root.",7752,204,38,frontend,newseeds_integer_v3a_20260614_1952,7752,newseeds_integer_v3a_20260614_1952,9456,ex255_ex279_backend_portfolio_v2_cycles3_jobs25_20260612_0404,7446,306,1.041096,frontend_medium,add diverse frontend seeds before deeper backend
ex269,integer,"Basic integer arithmetic: unsigned/signed multipliers, divider with b=0 saturation, squarer, restoring square root.",10034,346,29,frontend,newseeds_integer_v3a_20260614_1952,10034,newseeds_integer_v3a_20260614_1952,11564,ex255_ex279_backend_portfolio_v2_cycles3_jobs25_20260612_0404,11760,-1726,0.853231,already_beat_or_low_priority,do not spend frontend time unless polishing
ex270,integer,"Basic integer arithmetic: unsigned/signed multipliers, divider with b=0 saturation, squarer, restoring square root.",2670,178,15,frontend,newseeds_integer_v3a_20260614_1952,2670,newseeds_integer_v3a_20260614_1952,2786,ex255_ex279_backend_portfolio_v2_cycles3_jobs25_20260612_0404,2076,594,1.286127,frontend_high,rethink high-level description and shared-structure RTL
ex271,integer,"Basic integer arithmetic: unsigned/signed multipliers, divider with b=0 saturation, squarer, restoring square root.",5916,348,17,frontend,newseeds_integer_v3a_20260614_1952,5916,newseeds_integer_v3a_20260614_1952,6308,ex255_ex279_backend_portfolio_v2_cycles3_jobs25_20260612_0404,5542,374,1.067485,backend_close,case is close; prefer backend micro-optimization
ex272,integer,"Basic integer arithmetic: unsigned/signed multipliers, divider with b=0 saturation, squarer, restoring square root.",10920,520,21,backend,ex255_ex279_backend_portfolio_v2_cycles3_jobs25_20260612_0404,11235,newseeds_integer_v3a_20260614_1952,10920,ex255_ex279_backend_portfolio_v2_cycles3_jobs25_20260612_0404,10880,40,1.003676,backend_close,case is close; prefer backend micro-optimization
ex273,integer,"Basic integer arithmetic: unsigned/signed multipliers, divider with b=0 saturation, squarer, restoring square root.",18744,852,22,frontend,newseeds_integer_v3a_20260614_1952,18744,newseeds_integer_v3a_20260614_1952,18860,ex255_ex279_backend_portfolio_v2_cycles3_jobs25_20260612_0404,15078,3666,1.243136,frontend_medium,add diverse frontend seeds before deeper backend
ex274,integer,"Basic integer arithmetic: unsigned/signed multipliers, divider with b=0 saturation, squarer, restoring square root.",23966,1042,23,frontend,newseeds_integer_v3a_20260614_1952,23966,newseeds_integer_v3a_20260614_1952,25454,ex255_ex279_backend_portfolio_v2_cycles3_jobs25_20260612_0404,21630,2336,1.107998,frontend_medium,add diverse frontend seeds before deeper backend
ex275,integer,"Basic integer arithmetic: unsigned/signed multipliers, divider with b=0 saturation, squarer, restoring square root.",198,33,6,frontend,newseeds_integer_v3a_20260614_1952,198,newseeds_integer_v3a_20260614_1952,234,ex255_ex279_backend_portfolio_v2_cycles3_jobs25_20260612_0404,204,-6,0.970588,already_beat_or_low_priority,do not spend frontend time unless polishing
ex276,integer,"Basic integer arithmetic: unsigned/signed multipliers, divider with b=0 saturation, squarer, restoring square root.",576,72,8,frontend,newseeds_integer_v3a_20260614_1952,576,newseeds_integer_v3a_20260614_1952,900,ex255_ex279_backend_portfolio_v2_cycles3_jobs25_20260612_0404,632,-56,0.911392,already_beat_or_low_priority,do not spend frontend time unless polishing
ex277,integer,"Basic integer arithmetic: unsigned/signed multipliers, divider with b=0 saturation, squarer, restoring square root.",1837,167,11,frontend,newseeds_integer_v3a_20260614_1952,1837,newseeds_integer_v3a_20260614_1952,2640,ex255_ex279_backend_portfolio_v2_cycles3_jobs25_20260612_0404,1980,-143,0.927778,already_beat_or_low_priority,do not spend frontend time unless polishing
ex278,integer,"Basic integer arithmetic: unsigned/signed multipliers, divider with b=0 saturation, squarer, restoring square root.",5664,472,12,frontend,newseeds_integer_v3a_20260614_1952,5664,newseeds_integer_v3a_20260614_1952,6748,ex255_ex279_backend_portfolio_v2_cycles3_jobs25_20260612_0404,5198,466,1.089650,frontend_medium,add diverse frontend seeds before deeper backend
ex279,integer,"Basic integer arithmetic: unsigned/signed multipliers, divider with b=0 saturation, squarer, restoring square root.",10098,297,34,frontend,newseeds_integer_v3a_20260614_1952,10098,newseeds_integer_v3a_20260614_1952,13398,ex255_ex279_backend_portfolio_v2_cycles3_jobs25_20260612_0404,10952,-854,0.922023,already_beat_or_low_priority,do not spend frontend time unless polishing
ex280,unknown,"Unknown families: GF(2) event/filter, Hamming-weight routing, permutation-like transforms, and 2-bit rot2 families.",2756,106,26,backend,ex255_ex279_backend_portfolio_v2_cycles3_jobs20_20260612_0954,2990,ex200_ex299_frontend_refgap_round3_20260612_1554,2756,ex255_ex279_backend_portfolio_v2_cycles3_jobs20_20260612_0954,2415,341,1.141201,frontend_high,rethink high-level description and shared-structure RTL
ex281,unknown,"Unknown families: GF(2) event/filter, Hamming-weight routing, permutation-like transforms, and 2-bit rot2 families.",3094,119,26,backend,ex255_ex279_backend_portfolio_v2_cycles3_jobs20_20260612_0954,3328,ex200_ex299_frontend_refgap_round3_20260612_1554,3094,ex255_ex279_backend_portfolio_v2_cycles3_jobs20_20260612_0954,2336,758,1.324486,frontend_high,rethink high-level description and shared-structure RTL
ex282,unknown,"Unknown families: GF(2) event/filter, Hamming-weight routing, permutation-like transforms, and 2-bit rot2 families.",3696,132,28,backend,ex255_ex279_backend_portfolio_v2_cycles3_jobs20_20260612_0954,4032,ex200_ex299_frontend_refgap_round3_20260612_1554,3696,ex255_ex279_backend_portfolio_v2_cycles3_jobs20_20260612_0954,2704,992,1.366864,frontend_high,rethink high-level description and shared-structure RTL
ex283,unknown,"Unknown families: GF(2) event/filter, Hamming-weight routing, permutation-like transforms, and 2-bit rot2 families.",4384,137,32,backend,ex255_ex279_backend_portfolio_v2_cycles3_jobs20_20260612_0954,4500,ex200_ex299_frontend_refgap_round3_20260612_1554,4384,ex255_ex279_backend_portfolio_v2_cycles3_jobs20_20260612_0954,3168,1216,1.383838,frontend_high,rethink high-level description and shared-structure RTL
ex284,unknown,"Unknown families: GF(2) event/filter, Hamming-weight routing, permutation-like transforms, and 2-bit rot2 families.",4830,161,30,backend,ex255_ex279_backend_portfolio_v2_cycles3_jobs20_20260612_0954,5440,ex200_ex299_frontend_refgap_round3_20260612_1554,4830,ex255_ex279_backend_portfolio_v2_cycles3_jobs20_20260612_0954,4240,590,1.139151,frontend_high,rethink high-level description and shared-structure RTL
ex285,unknown,"Unknown families: GF(2) event/filter, Hamming-weight routing, permutation-like transforms, and 2-bit rot2 families.",9132,761,12,backend,ex255_ex279_backend_portfolio_v2_cycles3_jobs20_20260612_0954,12352,ex204_ex299_frontend_breakthrough_20260614_1051,9132,ex255_ex279_backend_portfolio_v2_cycles3_jobs20_20260612_0954,5499,3633,1.660666,frontend_high,rethink high-level description and shared-structure RTL
ex286,unknown,"Unknown families: GF(2) event/filter, Hamming-weight routing, permutation-like transforms, and 2-bit rot2 families.",15210,1170,13,backend,ex286_ex287_backend_v3_ga_adaptive_20260614_0718_v3b_feedback_short,20070,ex286_ex287_frontend_structural_decomp_20260614_2320,15210,ex286_ex287_backend_v3_ga_adaptive_20260614_0718_v3b_feedback_short,2376,12834,6.401515,frontend_high,rethink high-level description and shared-structure RTL
ex287,unknown,"Unknown families: GF(2) event/filter, Hamming-weight routing, permutation-like transforms, and 2-bit rot2 families.",13455,897,15,backend,ex286_ex287_backend_v3_ga_adaptive_20260614_0718,23758,ex286_ex287_frontend_structural_decomp_20260614_2320,13455,ex286_ex287_backend_v3_ga_adaptive_20260614_0718,5782,7673,2.327049,frontend_high,rethink high-level description and shared-structure RTL
ex288,unknown,"Unknown families: GF(2) event/filter, Hamming-weight routing, permutation-like transforms, and 2-bit rot2 families.",26224,1639,16,backend,ex255_ex279_backend_portfolio_v2_cycles3_jobs20_20260612_0954,30422,ex204_ex299_frontend_breakthrough_20260614_1051,26224,ex255_ex279_backend_portfolio_v2_cycles3_jobs20_20260612_0954,16394,9830,1.599610,frontend_high,rethink high-level description and shared-structure RTL
ex289,unknown,"Unknown families: GF(2) event/filter, Hamming-weight routing, permutation-like transforms, and 2-bit rot2 families.",18164,956,19,backend,ex255_ex279_backend_portfolio_v2_cycles3_jobs20_20260612_0954,19893,ex289_frontend_duality_symcof_split2_xorwrap_synthflow_20260609_1128,18164,ex255_ex279_backend_portfolio_v2_cycles3_jobs20_20260612_0954,13620,4544,1.333627,frontend_high,rethink high-level description and shared-structure RTL
ex290,unknown,"Unknown families: GF(2) event/filter, Hamming-weight routing, permutation-like transforms, and 2-bit rot2 families.",50604,4217,12,backend,ex255_ex279_backend_portfolio_v2_cycles3_jobs20_20260612_0954,61264,ex204_ex299_frontend_breakthrough_20260614_1051,50604,ex255_ex279_backend_portfolio_v2_cycles3_jobs20_20260612_0954,42328,8276,1.195521,frontend_high,rethink high-level description and shared-structure RTL
ex291,unknown,"Unknown families: GF(2) event/filter, Hamming-weight routing, permutation-like transforms, and 2-bit rot2 families.",71721,5517,13,backend,ex255_ex279_backend_portfolio_v2_cycles3_jobs20_20260612_0954,90258,ex204_ex299_frontend_breakthrough_20260614_1051,71721,ex255_ex279_backend_portfolio_v2_cycles3_jobs20_20260612_0954,66850,4871,1.072865,frontend_high,rethink high-level description and shared-structure RTL
ex292,unknown,"Unknown families: GF(2) event/filter, Hamming-weight routing, permutation-like transforms, and 2-bit rot2 families.",102158,7297,14,backend,ex255_ex279_backend_portfolio_v2_cycles3_jobs20_20260612_0954,134860,ex204_ex299_frontend_breakthrough_20260614_1051,102158,ex255_ex279_backend_portfolio_v2_cycles3_jobs20_20260612_0954,84854,17304,1.203927,frontend_high,rethink high-level description and shared-structure RTL
ex293,unknown,"Unknown families: GF(2) event/filter, Hamming-weight routing, permutation-like transforms, and 2-bit rot2 families.",101335,7795,13,backend,ex255_ex279_backend_portfolio_v2_cycles3_jobs20_20260612_0954,144972,ex290_ex291_ex293_ex296_ex298_frontend_current_synthflow_20260608_1320,101335,ex255_ex279_backend_portfolio_v2_cycles3_jobs20_20260612_0954,112966,-11631,0.897040,already_beat_or_low_priority,do not spend frontend time unless polishing
ex294,unknown,"Unknown families: GF(2) event/filter, Hamming-weight routing, permutation-like transforms, and 2-bit rot2 families.",165570,11038,15,backend,ex255_ex279_backend_portfolio_v2_cycles3_jobs20_20260612_0954,220437,ex204_ex299_frontend_breakthrough_20260614_1051,165570,ex255_ex279_backend_portfolio_v2_cycles3_jobs20_20260612_0954,133365,32205,1.241480,frontend_high,rethink high-level description and shared-structure RTL
ex295,unknown,"Unknown families: GF(2) event/filter, Hamming-weight routing, permutation-like transforms, and 2-bit rot2 families.",95043,7311,13,frontend_registry,frontend_source_parallel_round67_20260613_1104,95043,frontend_source_parallel_round67_20260613_1104,125685,ex255_ex279_backend_portfolio_v2_cycles3_jobs20_20260612_0954,68064,26979,1.396377,frontend_high,rethink high-level description and shared-structure RTL
ex296,unknown,"Unknown families: GF(2) event/filter, Hamming-weight routing, permutation-like transforms, and 2-bit rot2 families.",130425,8695,15,backend,ex255_ex279_backend_portfolio_v2_cycles3_jobs20_20260612_0954,143792,ex290_ex291_ex293_ex296_ex298_frontend_current_synthflow_20260608_1320,130425,ex255_ex279_backend_portfolio_v2_cycles3_jobs20_20260612_0954,104025,26400,1.253785,frontend_high,rethink high-level description and shared-structure RTL
ex297,unknown,"Unknown families: GF(2) event/filter, Hamming-weight routing, permutation-like transforms, and 2-bit rot2 families.",419008,26188,16,frontend_registry,ex204_ex299_frontend_breakthrough_20260614_1051,419008,ex204_ex299_frontend_breakthrough_20260614_1051,549972,ex255_ex279_backend_portfolio_v2_cycles3_jobs20_20260612_0954,225900,193108,1.854838,frontend_high,rethink high-level description and shared-structure RTL
ex298,unknown,"Unknown families: GF(2) event/filter, Hamming-weight routing, permutation-like transforms, and 2-bit rot2 families.",554857,29203,19,backend,ex255_ex279_backend_portfolio_v2_cycles3_jobs20_20260612_0954,608436,ex204_ex299_frontend_breakthrough_20260614_1051,554857,ex255_ex279_backend_portfolio_v2_cycles3_jobs20_20260612_0954,442296,112561,1.254492,frontend_high,rethink high-level description and shared-structure RTL
ex299,unknown,"Unknown families: GF(2) event/filter, Hamming-weight routing, permutation-like transforms, and 2-bit rot2 families.",1737036,96502,18,frontend_registry,ex204_ex299_frontend_breakthrough_20260614_1051,1737036,ex204_ex299_frontend_breakthrough_20260614_1051,2312400,ex255_ex279_backend_portfolio_v2_cycles3_jobs20_20260612_0954,1013807,723229,1.713379,frontend_high,rethink high-level description and shared-structure RTL
