case,domain,category,current_best_adp,current_best_area,current_best_delay,current_best_source,current_best_run,frontend_best_adp,frontend_best_run,backend_best_adp,backend_best_run,reference_adp,gap_to_reference,ratio_to_reference,priority,recommendation
ex215,bf16,BF16 unary ops: exp/exp2/10^x/log/log2/log10/sin/tan/sinh/tanh/sigmoid/reciprocal/square/sqrt/cube/cbrt variants.,3290,329,10,backend,ex200_ex219_backend_v3_ga_20260613_0956,4668,ex204_ex299_frontend_breakthrough_20260614_1051,3290,ex200_ex219_backend_v3_ga_20260613_0956,3150,140,1.044444,backend_close,case is close; prefer backend micro-optimization
ex216,bf16,BF16 unary ops: exp/exp2/10^x/log/log2/log10/sin/tan/sinh/tanh/sigmoid/reciprocal/square/sqrt/cube/cbrt variants.,3177,353,9,backend,ex200_ex219_backend_v3_ga_commandfix_20260613_1404,5720,ex204_ex299_frontend_breakthrough_20260614_1051,3177,ex200_ex219_backend_v3_ga_commandfix_20260613_1404,3357,-180,0.946381,already_beat_or_low_priority,do not spend frontend time unless polishing
ex217,bf16,BF16 unary ops: exp/exp2/10^x/log/log2/log10/sin/tan/sinh/tanh/sigmoid/reciprocal/square/sqrt/cube/cbrt variants.,5148,429,12,frontend,ex217_v3a_feedback_seed_smoke_20260614_0618,5148,ex217_v3a_feedback_seed_smoke_20260614_0618,5280,ex200_ex219_backend_v3_ga_commandfix_20260613_1404,5785,-637,0.889888,already_beat_or_low_priority,do not spend frontend time unless polishing
ex218,bf16,BF16 unary ops: exp/exp2/10^x/log/log2/log10/sin/tan/sinh/tanh/sigmoid/reciprocal/square/sqrt/cube/cbrt variants.,3660,366,10,backend,newseeds_backend_full_20260614_1420_bf16_feedback_short,5941,ex200_ex299_frontend_refgap_round19_20260612_2346,3660,newseeds_backend_full_20260614_1420_bf16_feedback_short,3222,438,1.135940,frontend_medium,add diverse frontend seeds before deeper backend
ex219,bf16,BF16 unary ops: exp/exp2/10^x/log/log2/log10/sin/tan/sinh/tanh/sigmoid/reciprocal/square/sqrt/cube/cbrt variants.,5424,452,12,backend,newseeds_backend_full_20260614_1420_bf16_feedback_short,8541,ex204_ex299_frontend_breakthrough_20260614_1051,5424,newseeds_backend_full_20260614_1420_bf16_feedback_short,5640,-216,0.961702,already_beat_or_low_priority,do not spend frontend time unless polishing
ex220,fp16,"FP16 unary ops: same 20 operations as BF16, IEEE 754 half precision with DAZ+FTZ.",187452,10414,18,backend,ex220_ex239_backend_portfolio_v3-ga_20260614_2316,236588,ex220_ex224_frontend_fp16_semantic_20260606_2050,187452,ex220_ex239_backend_portfolio_v3-ga_20260614_2316,180404,7048,1.039068,backend_close,case is close; prefer backend micro-optimization
ex221,fp16,"FP16 unary ops: same 20 operations as BF16, IEEE 754 half precision with DAZ+FTZ.",109939,6467,17,backend,ex220_ex239_backend_portfolio_v3-ga_20260614_2316,122598,ex204_ex299_frontend_continuation_20260614_1216,109939,ex220_ex239_backend_portfolio_v3-ga_20260614_2316,105655,4284,1.040547,backend_close,case is close; prefer backend micro-optimization
ex222,fp16,"FP16 unary ops: same 20 operations as BF16, IEEE 754 half precision with DAZ+FTZ.",184603,10859,17,backend,ex220_ex239_backend_portfolio_v3-ga_20260614_2316,233530,ex220_ex224_frontend_fp16_semantic_20260606_2050,184603,ex220_ex239_backend_portfolio_v3-ga_20260614_2316,173621,10982,1.063253,backend_close,case is close; prefer backend micro-optimization
ex223,fp16,"FP16 unary ops: same 20 operations as BF16, IEEE 754 half precision with DAZ+FTZ.",180738,10041,18,backend,ex220_ex239_backend_portfolio_v3-ga_20260614_2316,200716,ex223_ex299_frontend_parallel_deep_20260614_0943,180738,ex220_ex239_backend_portfolio_v3-ga_20260614_2316,120549,60189,1.499291,frontend_high,rethink high-level description and shared-structure RTL
ex224,fp16,"FP16 unary ops: same 20 operations as BF16, IEEE 754 half precision with DAZ+FTZ.",85680,5355,16,backend,ex220_ex239_backend_portfolio_v3-ga_20260614_2316,93072,ex223_ex299_frontend_parallel_deep_20260614_0943,85680,ex220_ex239_backend_portfolio_v3-ga_20260614_2316,64708,20972,1.324102,frontend_high,rethink high-level description and shared-structure RTL
