case,domain,run_id,stage,method_hint,method_signature,case_scope,summary_csv,best_adp,source_root,path,notes
ex200,bf16,ex200_backend_portfolio_v1_abc_smoke_20260610_1706,backend,backend_portfolio_v1_abc_smoke,ex200|backend|backend_portfolio_v1_abc_smoke,ex200,student/runs/bf16/ex200_backend_portfolio_v1_abc_smoke_20260610_1706/results/summary.csv,58528,student/runs,student/runs/bf16/ex200_backend_portfolio_v1_abc_smoke_20260610_1706/results/summary.csv,auto-indexed from existing artifacts
ex200,bf16,ex200_backend_portfolio_v1_abc_smoke_20260610_1712,backend,backend_portfolio_v1_abc_smoke,ex200|backend|backend_portfolio_v1_abc_smoke,ex200,student/runs/bf16/ex200_backend_portfolio_v1_abc_smoke_20260610_1712/results/summary.csv,58528,student/runs,student/runs/bf16/ex200_backend_portfolio_v1_abc_smoke_20260610_1712/results/summary.csv,auto-indexed from existing artifacts
ex200,bf16,ex200_backend_portfolio_v1_seed_smoke_20260610_1658,backend,backend_portfolio_v1_seed_smoke,ex200|backend|backend_portfolio_v1_seed_smoke,ex200,student/runs/bf16/ex200_backend_portfolio_v1_seed_smoke_20260610_1658/results/summary.csv,63189,student/runs,student/runs/bf16/ex200_backend_portfolio_v1_seed_smoke_20260610_1658/results/summary.csv,auto-indexed from existing artifacts
ex200,bf16,ex200_backend_portfolio_v1_seed_smoke_20260610_1702,backend,backend_portfolio_v1_seed_smoke,ex200|backend|backend_portfolio_v1_seed_smoke,ex200,student/runs/bf16/ex200_backend_portfolio_v1_seed_smoke_20260610_1702/results/summary.csv,63189,student/runs,student/runs/bf16/ex200_backend_portfolio_v1_seed_smoke_20260610_1702/results/summary.csv,auto-indexed from existing artifacts
ex200,bf16,ex200_backend_portfolio_v1_seed_smoke_20260610_1710,backend,backend_portfolio_v1_seed_smoke,ex200|backend|backend_portfolio_v1_seed_smoke,ex200,student/runs/bf16/ex200_backend_portfolio_v1_seed_smoke_20260610_1710/results/summary.csv,63189,student/runs,student/runs/bf16/ex200_backend_portfolio_v1_seed_smoke_20260610_1710/results/summary.csv,auto-indexed from existing artifacts
ex200,bf16,ex200_backend_portfolio_v2_all_tools_smoke_20260610_1917,backend,backend_portfolio_v2_all_tools_smoke,ex200|backend|backend_portfolio_v2_all_tools_smoke,ex200,student/runs/bf16/ex200_backend_portfolio_v2_all_tools_smoke_20260610_1917/results/summary.csv,53235,student/runs,student/runs/bf16/ex200_backend_portfolio_v2_all_tools_smoke_20260610_1917/results/summary.csv,auto-indexed from existing artifacts
ex200,bf16,ex200_backend_portfolio_v2_final_deepsyn_skip_smoke_20260610_2142,backend,backend_portfolio_v2_final_deepsyn_skip_smoke,ex200|backend|backend_portfolio_v2_final_deepsyn_skip_smoke,ex200,student/runs/bf16/ex200_backend_portfolio_v2_final_deepsyn_skip_smoke_20260610_2142/results/summary.csv,53805,student/runs,student/runs/bf16/ex200_backend_portfolio_v2_final_deepsyn_skip_smoke_20260610_2142/results/summary.csv,auto-indexed from existing artifacts
ex200,bf16,ex200_ex202_backend_portfolio_v2_seed_resume_smoke_20260610_1917,backend,backend_portfolio_v2_seed_resume_smoke,ex200|backend|backend_portfolio_v2_seed_resume_smoke,"ex200,ex201,ex202",student/runs/bf16/ex200_ex202_backend_portfolio_v2_seed_resume_smoke_20260610_1917/results/summary.csv,53805,student/runs,student/runs/bf16/ex200_ex202_backend_portfolio_v2_seed_resume_smoke_20260610_1917/results/summary.csv,auto-indexed from existing artifacts
ex200,bf16,ex200_ex219_backend_portfolio_v1_full_20260610_1738,backend,backend_portfolio_v1_full,ex200|backend|backend_portfolio_v1_full,"ex200,ex201,ex202,ex203,ex204,ex205,ex206,ex207,ex208,ex209,ex210,ex211,ex212,ex213,ex214,ex215,ex216,ex217,ex218,ex219",student/runs/bf16/ex200_ex219_backend_portfolio_v1_full_20260610_1738/results/summary.csv,53805,student/runs,student/runs/bf16/ex200_ex219_backend_portfolio_v1_full_20260610_1738/results/summary.csv,auto-indexed from existing artifacts
ex200,bf16,ex200_ex219_backend_portfolio_v2_cycles3_jobs16_20260611_0753,backend,backend_portfolio_v2_cycles3_jobs16,ex200|backend|backend_portfolio_v2_cycles3_jobs16,"ex200,ex201,ex202,ex203,ex204,ex205,ex206,ex207,ex208,ex209,ex210,ex211,ex212,ex213,ex214,ex215,ex216,ex217,ex218,ex219",student/runs/bf16/ex200_ex219_backend_portfolio_v2_cycles3_jobs16_20260611_0753/results/summary.csv,52830,student/runs,student/runs/bf16/ex200_ex219_backend_portfolio_v2_cycles3_jobs16_20260611_0753/results/summary.csv,auto-indexed from existing artifacts
ex200,bf16,ex200_ex219_backend_portfolio_v2_full_20260610_2152,backend,backend_portfolio_v2_full,ex200|backend|backend_portfolio_v2_full,"ex200,ex201,ex202,ex203,ex204,ex205,ex206,ex207,ex208,ex209,ex210,ex211,ex212,ex213,ex214,ex215,ex216,ex217,ex218,ex219",student/runs/bf16/ex200_ex219_backend_portfolio_v2_full_20260610_2152/results/summary.csv,52740,student/runs,student/runs/bf16/ex200_ex219_backend_portfolio_v2_full_20260610_2152/results/summary.csv,auto-indexed from existing artifacts
ex200,bf16,ex200_ex219_backend_v3_ga_20260613_0956,backend,backend_v3_ga,ex200|backend|backend_v3_ga,"ex200,ex201,ex202,ex203,ex204,ex205,ex206,ex207,ex208,ex209,ex210,ex211,ex212,ex213,ex214,ex215,ex216,ex217,ex218,ex219",student/runs/bf16/ex200_ex219_backend_v3_ga_20260613_0956/results/summary.csv,50848,student/runs,student/runs/bf16/ex200_ex219_backend_v3_ga_20260613_0956/results/summary.csv,auto-indexed from existing artifacts
ex200,bf16,ex200_ex219_backend_v3_ga_commandfix_20260613_1404,backend,backend_v3_ga_commandfix,ex200|backend|backend_v3_ga_commandfix,"ex200,ex201,ex202,ex203,ex204,ex205,ex206,ex207,ex208,ex209,ex210,ex211,ex212,ex213,ex214,ex215,ex216,ex217,ex218,ex219",student/runs/bf16/ex200_ex219_backend_v3_ga_commandfix_20260613_1404/results/summary.csv,49294,student/runs,student/runs/bf16/ex200_ex219_backend_v3_ga_commandfix_20260613_1404/results/summary.csv,auto-indexed from existing artifacts
ex200,bf16,ex200_ex219_current,frontend,current,ex200|frontend|current,"ex200,ex201,ex202,ex203,ex204,ex205,ex206,ex207,ex208,ex209,ex210,ex211,ex212,ex213,ex214,ex215,ex216,ex217,ex218,ex219",student/runs/bf16/ex200_ex219_current/results/summary.csv,63189,student/runs,student/runs/bf16/ex200_ex219_current/results/summary.csv,auto-indexed from existing artifacts
ex200,bf16,ex200_frontend_bf16_semantic_20260605_0748,frontend,frontend_bf16_semantic,ex200|frontend|frontend_bf16_semantic,ex200,student/runs/bf16/ex200_frontend_bf16_semantic_20260605_0748/results/summary.csv,63189,student/runs,student/runs/bf16/ex200_frontend_bf16_semantic_20260605_0748/results/summary.csv,auto-indexed from existing artifacts
ex200,bf16,newseeds_backend_full_20260614_1420_bf16_feedback_short,backend,newseeds_backend_full_20260614_1420_bf16_feedback_short,ex200|backend|newseeds_backend_full_20260614_1420_bf16_feedback_short,,student/runs/bf16/newseeds_backend_full_20260614_1420_bf16_feedback_short/results/summary.csv,47698,student/runs,student/runs/bf16/newseeds_backend_full_20260614_1420_bf16_feedback_short/results/summary.csv,auto-indexed from existing artifacts
ex200,bf16,newseeds_backend_full_20260614_1420_bf16_v3a,backend,newseeds_backend_full_20260614_1420_bf16_v3a,ex200|backend|newseeds_backend_full_20260614_1420_bf16_v3a,,student/runs/bf16/newseeds_backend_full_20260614_1420_bf16_v3a/results/summary.csv,47782,student/runs,student/runs/bf16/newseeds_backend_full_20260614_1420_bf16_v3a/results/summary.csv,auto-indexed from existing artifacts
ex200,bf16,v3_ga_smoke_ex200_20260613_0845,backend,v3_ga_smoke_ex200,ex200|backend|v3_ga_smoke_ex200,ex200,student/runs/bf16/v3_ga_smoke_ex200_20260613_0845/results/summary.csv,58000,student/runs,student/runs/bf16/v3_ga_smoke_ex200_20260613_0845/results/summary.csv,auto-indexed from existing artifacts
ex200,bf16,v3_ga_smoke_mt_combo_20260613_0958,backend,v3_ga_smoke_mt_combo,ex200|backend|v3_ga_smoke_mt_combo,,student/runs/bf16/v3_ga_smoke_mt_combo_20260613_0958/results/summary.csv,62713,student/runs,student/runs/bf16/v3_ga_smoke_mt_combo_20260613_0958/results/summary.csv,auto-indexed from existing artifacts
ex200,bf16,codex_v3b3_smoke_ex200_20260614_2022,frontend,codex_v3b3_smoke_ex200,ex200|frontend|codex_v3b3_smoke_ex200,ex200,,,student/work,student/work/codex_v3b3_smoke_ex200_20260614_2022,auto-indexed from existing artifacts
ex200,bf16,codex_v3b3_smoke_ex200_fix_20260614_2022,frontend,codex_v3b3_smoke_ex200_fix,ex200|frontend|codex_v3b3_smoke_ex200_fix,ex200,,,student/work,student/work/codex_v3b3_smoke_ex200_fix_20260614_2022,auto-indexed from existing artifacts
