case,domain,frontend_best_adp,frontend_best_area,frontend_best_delay,frontend_best_run,candidate_id,method_signature,hypothesis,representation,shared_structure,verilog_path,aig_path,equivalent,simulation_pass,evaluate_log,source_type,source_campaign,source_path,reference_adp,gap_to_reference,ratio_to_reference,last_update,notes
ex230,fp16,139380,6969,20,ex230_ex231_ex234_frontend_fp16_oldrows_abcg_20260607_1853,ex230_exp_mant_pair_case_abc_g_aig,fp16_sigmoid,fp16_sigmoid,abc_g_aig,,student/work/reverse_fp16_semantic_20260604_1522/ex230/verilog/ex230_fp16_sigmoid_exp_mant_pair_case.v,student/work/ex230_ex231_ex234_frontend_fp16_oldrows_abcg_20260607_1853/ex230/aigs/ex230_exp_mant_pair_case_abc_g_aig.aig,1,,,new_seeds_current_frontend,ex230_ex231_ex234_frontend_fp16_oldrows_abcg_20260607_1853,student/frontend_campaigns/frontend_best_registry.csv,108320,31060,1.286743,auto,current best imported from verified student/new_seeds catalog
ex231,fp16,16282,1163,14,ex231_ex233_ex234_frontend_fp16_power_nested_synthflow_20260607_2027,ex231_abc_g_aig_abc_g_aig,ex231|frontend|frontend_fp16_power_nested_synthflow,,abc_g_aig,,student/work/ex231_ex233_ex234_frontend_fp16_power_nested_20260607_2027/ex231/verilog/ex231_nested_bits9_hi6.v,student/work/ex231_ex233_ex234_frontend_fp16_power_nested_synthflow_20260607_2027/ex231/aigs/ex231_abc_g_aig_abc_g_aig.aig,1,,,official_frontend_run,,student/runs/fp16/ex231_ex233_ex234_frontend_fp16_power_nested_synthflow_20260607_2027/results/summary.csv,14066,2216,1.157543,auto,auto-indexed from student/runs frontend summary
ex232,fp16,16120,1240,13,ex232_frontend_fp16_square_deep_attr_20260607_1940,ex232_attr_abc_g_aig,ex232|frontend|frontend_fp16_square_deep_attr,,abc_g_aig,,student/work/ex232_frontend_fp16_square_deep_attr_20260607_1940/ex232/verilog/ex232_fp16_square_exp_formula_hi9_8_low8_nested_hi6_attr.v,student/work/ex232_frontend_fp16_square_deep_attr_20260607_1940/ex232/aigs/ex232_attr_abc_g_aig.aig,1,,,official_frontend_run,,student/runs/fp16/ex232_frontend_fp16_square_deep_attr_20260607_1940/results/summary.csv,13392,2728,1.203704,auto,auto-indexed from student/runs frontend summary
ex233,fp16,22950,1530,15,ex231_ex233_ex234_frontend_fp16_power_nested_synthflow_20260607_2027,ex233_abc_g_aig_abc_g_aig,ex233|frontend|frontend_fp16_power_nested_synthflow,,abc_g_aig,,student/work/ex231_ex233_ex234_frontend_fp16_power_nested_20260607_2027/ex233/verilog/ex233_nested_bits9_8_hi6.v,student/work/ex231_ex233_ex234_frontend_fp16_power_nested_synthflow_20260607_2027/ex233/aigs/ex233_abc_g_aig_abc_g_aig.aig,1,,,official_frontend_run,,student/runs/fp16/ex231_ex233_ex234_frontend_fp16_power_nested_synthflow_20260607_2027/results/summary.csv,20174,2776,1.137603,auto,auto-indexed from student/runs frontend summary
ex234,fp16,17892,1278,14,ex204_ex299_frontend_continuation_20260614_1216,ex234_boundary_wordmode_mh5_abc_g_aig,ex234|fp16_reciprocal_square_boundary_split|core_formula_boundary_wordmode_mh5|shared core exponent formula plus boundary mantissa-high word-mode defaults|yosys_abc_g_aig|abc_xf_official_evaluate|core_formula_boundary_wordmode_mh5,,,,student/work/ex204_ex299_frontend_continuation_20260614_1216/fp16-extra-r2/ex234/verilog/ex234_boundary_wordmode_mh5.v,student/work/ex204_ex299_frontend_continuation_20260614_1216/fp16-extra-r2/ex234/aigs/ex234_boundary_wordmode_mh5_abc_g_aig.aig,1,,student/runs/fp16/ex204_ex299_frontend_continuation_20260614_1216/fp16-extra-r2/ex234/official_eval/ex234_boundary_wordmode_mh5_abc_g_aig/ex234_boundary_wordmode_mh5_abc_g_aig.evaluate.py.log,campaign_best_improvement,ex204_ex299_frontend_continuation_20260614_1216,student/frontend_campaigns/campaigns/ex204_ex299_frontend_continuation_20260614_1216/results/best_improvements.csv,15561,2331,1.149798,auto,reciprocal-square core formula plus boundary exp7/22 word-mode buckets; boundary_mant_hi=5; boundary_low=8; special_items=1039; core_mant_b9_runs=5; core_mant_b8_runs=9; core_mant_low_width=8; core_mant_nested_hi=5; core_mant_items=1024; truth-derived source exact by construction; official_status=OK
ex235,fp16,22792,1628,14,ex235_ex237_ex239_frontend_fp16_direct_special_20260608_0924,ex235_direct_special_low8_hi6_synth_preset,fp16_reciprocal_sqrt,fp16_reciprocal_sqrt,direct_special_low8_hi6_synth_preset,,student/work/ex235_ex237_ex239_frontend_fp16_direct_special_20260608_0924/ex235/verilog/ex235_direct_special_low8_hi6.v,student/work/ex235_ex237_ex239_frontend_fp16_direct_special_20260608_0924/ex235/aigs/ex235_direct_special_low8_hi6_synth_preset.aig,1,,,new_seeds_current_frontend,ex235_ex237_ex239_frontend_fp16_direct_special_20260608_0924,student/frontend_campaigns/frontend_best_registry.csv,20800,1992,1.095769,auto,current best imported from verified student/new_seeds catalog
ex236,fp16,21480,1432,15,ex236_ex238_frontend_fp16_core_clamp_20260608_0953,ex236_core_clamp_hi6_abc_g_aig,fp16_cube,fp16_cube,core_clamp_hi6_abc_g_aig,,student/work/ex236_ex238_frontend_fp16_core_clamp_20260608_0953/ex236/verilog/ex236_core_clamp_hi6.v,student/work/ex236_ex238_frontend_fp16_core_clamp_20260608_0953/ex236/aigs/ex236_core_clamp_hi6_abc_g_aig.aig,1,,,new_seeds_current_frontend,ex236_ex238_frontend_fp16_core_clamp_20260608_0953,student/frontend_campaigns/frontend_best_registry.csv,17290,4190,1.242337,auto,current best imported from verified student/new_seeds catalog
ex237,fp16,30224,1889,16,ex235_ex237_ex239_frontend_fp16_direct_special_20260608_0924,ex237_direct_special_low10_hi6_synth_preset,fp16_cbrt,fp16_cbrt,direct_special_low10_hi6_synth_preset,,student/work/ex235_ex237_ex239_frontend_fp16_direct_special_20260608_0924/ex237/verilog/ex237_direct_special_low10_hi6.v,student/work/ex235_ex237_ex239_frontend_fp16_direct_special_20260608_0924/ex237/aigs/ex237_direct_special_low10_hi6_synth_preset.aig,1,,,new_seeds_current_frontend,ex235_ex237_ex239_frontend_fp16_direct_special_20260608_0924,student/frontend_campaigns/frontend_best_registry.csv,25440,4784,1.188050,auto,current best imported from verified student/new_seeds catalog
ex238,fp16,22530,1502,15,ex200_ex299_frontend_refgap_round27_20260613_0613,ex238_r27_core_boundary_low12_hi6_synth_preset_recheck,"ex238|fp16_reciprocal_cube_core_boundary|core exponent semantic formula with exp9/exp19 boundary tables low12 hi6|shared reciprocal-cube special decode, exponent delta, mantissa core formula, boundary tables|existing_synth_preset_rechecked|DAZ_reciprocal_cube_FP16_RNE_FTZ|full_word",fp16_reciprocal_cube_core_boundary,core exponent semantic formula with exp9/exp19 boundary tables low12 hi6,"shared reciprocal-cube special decode, exponent delta, mantissa core formula, boundary tables",student/work/ex200_ex299_frontend_refgap_round27_20260613_0613/mixed-uncovered-r27/ex238/verilog/ex238_r27_core_boundary_low12_hi6_synth_preset_recheck.v,student/work/ex200_ex299_frontend_refgap_round27_20260613_0613/mixed-uncovered-r27/ex238/official_eval/ex238_r27_core_boundary_low12_hi6_synth_preset_recheck/ex238.aig,1,not_run,student/work/ex200_ex299_frontend_refgap_round27_20260613_0613/mixed-uncovered-r27/ex238/logs/ex238_r27_core_boundary_low12_hi6_synth_preset_recheck.evaluate.py.log,campaign_best_improvement,ex200_ex299_frontend_refgap_round27_20260613_0613,student/frontend_campaigns/campaigns/ex200_ex299_frontend_refgap_round27_20260613_0613/results/best_improvements.csv,16549,5981,1.361412,auto,official recheck improves current registry/gap frontend best; prior case note already mentioned this seed
ex239,fp16,32416,2026,16,ex235_ex237_ex239_frontend_fp16_direct_special_specs_20260608_0929,ex239_direct_special_low7_hi6_abc_g_aig,fp16_reciprocal_cbrt,fp16_reciprocal_cbrt,direct_special_low7_hi6_abc_g_aig,,student/work/ex235_ex237_ex239_frontend_fp16_direct_special_specs_20260608_0929/ex239/verilog/ex239_direct_special_low7_hi6.v,student/work/ex235_ex237_ex239_frontend_fp16_direct_special_specs_20260608_0929/ex239/aigs/ex239_direct_special_low7_hi6_abc_g_aig.aig,1,,,new_seeds_current_frontend,ex235_ex237_ex239_frontend_fp16_direct_special_specs_20260608_0929,student/frontend_campaigns/frontend_best_registry.csv,25965,6451,1.248450,auto,current best imported from verified student/new_seeds catalog
ex240,float_fp8,14300,550,26,newseeds_float_fp8_v3a_20260614_1951,ex240_r007_v3_ga_v3_ga_sequence_pex240_r006_v3_ga_v3_ga_s_a550_d26_adp14300_e9246570,ex240|frontend|newseeds_float_fp8_v3a,,ex240_r007_v3_ga_v3_ga_sequence_pex240_r006_v3_ga_v3_ga_s_a550_d26_adp14300_e9246570,,,student/work/newseeds_float_fp8_v3a_20260614_1951/ex240/artifacts/ex240_r007_v3_ga_v3_ga_sequence_pex240_r006_v3_ga_v3_ga_s_a550_d26_adp14300_e9246570.aig,1,,,official_frontend_run,,student/runs/float_fp8/newseeds_float_fp8_v3a_20260614_1951/results/summary.csv,13299,1001,1.075269,auto,auto-indexed from student/runs frontend summary
ex241,float_fp8,7258,382,19,newseeds_float_fp8_v3a_20260614_1951,ex241_r007_v3_ga_v3_ga_sequence_pex241_r006_v3_ga_v3_ga_s_a382_d19_adp7258_24c56915,ex241|frontend|newseeds_float_fp8_v3a,,ex241_r007_v3_ga_v3_ga_sequence_pex241_r006_v3_ga_v3_ga_s_a382_d19_adp7258_24c56915,,,student/work/newseeds_float_fp8_v3a_20260614_1951/ex241/artifacts/ex241_r007_v3_ga_v3_ga_sequence_pex241_r006_v3_ga_v3_ga_s_a382_d19_adp7258_24c56915.aig,1,,,official_frontend_run,,student/runs/float_fp8/newseeds_float_fp8_v3a_20260614_1951/results/summary.csv,7224,34,1.004707,auto,auto-indexed from student/runs frontend summary
ex242,float_fp8,8880,592,15,newseeds_float_fp8_v3a_20260614_1951,ex242_r006_v3_ga_v3_ga_sequence_pex242_r005_v3_ga_v3_ga_s_a592_d15_adp8880_8098aaaf,ex242|frontend|newseeds_float_fp8_v3a,,ex242_r006_v3_ga_v3_ga_sequence_pex242_r005_v3_ga_v3_ga_s_a592_d15_adp8880_8098aaaf,,,student/work/newseeds_float_fp8_v3a_20260614_1951/ex242/artifacts/ex242_r006_v3_ga_v3_ga_sequence_pex242_r005_v3_ga_v3_ga_s_a592_d15_adp8880_8098aaaf.aig,1,,,official_frontend_run,,student/runs/float_fp8/newseeds_float_fp8_v3a_20260614_1951/results/summary.csv,11900,-3020,0.746218,auto,auto-indexed from student/runs frontend summary
ex243,float_fp8,24940,1247,20,newseeds_float_fp8_v3a_20260614_1951,ex243_r007_v3_ga_v3_ga_sequence_pex243_r005_v3_ga_v3_ga_s_a1247_d20_adp24940_9cfc4812,ex243|frontend|newseeds_float_fp8_v3a,,ex243_r007_v3_ga_v3_ga_sequence_pex243_r005_v3_ga_v3_ga_s_a1247_d20_adp24940_9cfc4812,,,student/work/newseeds_float_fp8_v3a_20260614_1951/ex243/artifacts/ex243_r007_v3_ga_v3_ga_sequence_pex243_r005_v3_ga_v3_ga_s_a1247_d20_adp24940_9cfc4812.aig,1,,,official_frontend_run,,student/runs/float_fp8/newseeds_float_fp8_v3a_20260614_1951/results/summary.csv,53227,-28287,0.468559,auto,auto-indexed from student/runs frontend summary
ex244,float_fp8,4968,216,23,newseeds_float_fp8_v3a_20260614_1951,ex244_r007_v3_ga_v3_ga_sequence_pex244_r003_v3_ga_v3_ga_s_a216_d23_adp4968_1fdc6172,ex244|frontend|newseeds_float_fp8_v3a,,ex244_r007_v3_ga_v3_ga_sequence_pex244_r003_v3_ga_v3_ga_s_a216_d23_adp4968_1fdc6172,,,student/work/newseeds_float_fp8_v3a_20260614_1951/ex244/artifacts/ex244_r007_v3_ga_v3_ga_sequence_pex244_r003_v3_ga_v3_ga_s_a216_d23_adp4968_1fdc6172.aig,1,,,official_frontend_run,,student/runs/float_fp8/newseeds_float_fp8_v3a_20260614_1951/results/summary.csv,4272,696,1.162921,auto,auto-indexed from student/runs frontend summary
ex245,float_fp8,10465,455,23,newseeds_float_fp8_v3a_20260614_1951,ex245_r006_v3_ga_v3_ga_sequence_pex245_r004_v3_ga_v3_ga_s_a455_d23_adp10465_80143ed9,ex245|frontend|newseeds_float_fp8_v3a,,ex245_r006_v3_ga_v3_ga_sequence_pex245_r004_v3_ga_v3_ga_s_a455_d23_adp10465_80143ed9,,,student/work/newseeds_float_fp8_v3a_20260614_1951/ex245/artifacts/ex245_r006_v3_ga_v3_ga_sequence_pex245_r004_v3_ga_v3_ga_s_a455_d23_adp10465_80143ed9.aig,1,,,official_frontend_run,,student/runs/float_fp8/newseeds_float_fp8_v3a_20260614_1951/results/summary.csv,11050,-585,0.947059,auto,auto-indexed from student/runs frontend summary
ex246,float_fp8,3750,250,15,newseeds_float_fp8_v3a_20260614_1951,ex246_r006_v3_ga_v3_ga_sequence_pex246_r005_v3_ga_v3_ga_s_a250_d15_adp3750_7ca5dc15,ex246|frontend|newseeds_float_fp8_v3a,,ex246_r006_v3_ga_v3_ga_sequence_pex246_r005_v3_ga_v3_ga_s_a250_d15_adp3750_7ca5dc15,,,student/work/newseeds_float_fp8_v3a_20260614_1951/ex246/artifacts/ex246_r006_v3_ga_v3_ga_sequence_pex246_r005_v3_ga_v3_ga_s_a250_d15_adp3750_7ca5dc15.aig,1,,,official_frontend_run,,student/runs/float_fp8/newseeds_float_fp8_v3a_20260614_1951/results/summary.csv,2805,945,1.336898,auto,auto-indexed from student/runs frontend summary
ex247,float_fp8,3222,179,18,newseeds_float_fp8_v3a_20260614_1951,ex247_r007_v3_ga_v3_ga_sequence_pex247_r006_v3_ga_v3_ga_s_a179_d18_adp3222_0c3712e7,ex247|frontend|newseeds_float_fp8_v3a,,ex247_r007_v3_ga_v3_ga_sequence_pex247_r006_v3_ga_v3_ga_s_a179_d18_adp3222_0c3712e7,,,student/work/newseeds_float_fp8_v3a_20260614_1951/ex247/artifacts/ex247_r007_v3_ga_v3_ga_sequence_pex247_r006_v3_ga_v3_ga_s_a179_d18_adp3222_0c3712e7.aig,1,,,official_frontend_run,,student/runs/float_fp8/newseeds_float_fp8_v3a_20260614_1951/results/summary.csv,2975,247,1.083025,auto,auto-indexed from student/runs frontend summary
ex248,float_fp8,4256,224,19,newseeds_float_fp8_v3a_20260614_1951,ex248_r007_v3_ga_v3_ga_sequence_pex248_r004_v3_ga_v3_ga_s_a224_d19_adp4256_0a3b09a6,ex248|frontend|newseeds_float_fp8_v3a,,ex248_r007_v3_ga_v3_ga_sequence_pex248_r004_v3_ga_v3_ga_s_a224_d19_adp4256_0a3b09a6,,,student/work/newseeds_float_fp8_v3a_20260614_1951/ex248/artifacts/ex248_r007_v3_ga_v3_ga_sequence_pex248_r004_v3_ga_v3_ga_s_a224_d19_adp4256_0a3b09a6.aig,1,,,official_frontend_run,,student/runs/float_fp8/newseeds_float_fp8_v3a_20260614_1951/results/summary.csv,4180,76,1.018182,auto,auto-indexed from student/runs frontend summary
ex249,float_fp8,2128,133,16,newseeds_float_fp8_v3a_20260614_1951,ex249_r006_v3_ga_v3_ga_sequence_pex249_r005_v3_ga_v3_ga_s_a133_d16_adp2128_9c2a4da6,ex249|frontend|newseeds_float_fp8_v3a,,ex249_r006_v3_ga_v3_ga_sequence_pex249_r005_v3_ga_v3_ga_s_a133_d16_adp2128_9c2a4da6,,,student/work/newseeds_float_fp8_v3a_20260614_1951/ex249/artifacts/ex249_r006_v3_ga_v3_ga_sequence_pex249_r005_v3_ga_v3_ga_s_a133_d16_adp2128_9c2a4da6.aig,1,,,official_frontend_run,,student/runs/float_fp8/newseeds_float_fp8_v3a_20260614_1951/results/summary.csv,2079,49,1.023569,auto,auto-indexed from student/runs frontend summary
ex250,float_fp8,12818,442,29,newseeds_float_fp8_v3a_20260614_1951,ex250_r006_v3_ga_v3_ga_sequence_pex250_r005_v3_ga_v3_ga_s_a442_d29_adp12818_1411f23e,ex250|frontend|newseeds_float_fp8_v3a,,ex250_r006_v3_ga_v3_ga_sequence_pex250_r005_v3_ga_v3_ga_s_a442_d29_adp12818_1411f23e,,,student/work/newseeds_float_fp8_v3a_20260614_1951/ex250/artifacts/ex250_r006_v3_ga_v3_ga_sequence_pex250_r005_v3_ga_v3_ga_s_a442_d29_adp12818_1411f23e.aig,1,,,official_frontend_run,,student/runs/float_fp8/newseeds_float_fp8_v3a_20260614_1951/results/summary.csv,20355,-7537,0.629722,auto,auto-indexed from student/runs frontend summary
ex251,float_fp8,7992,333,24,newseeds_float_fp8_v3a_20260614_1951,ex251_r007_v3_ga_v3_ga_sequence_pex251_r006_v3_ga_v3_ga_s_a333_d24_adp7992_6e2259de,ex251|frontend|newseeds_float_fp8_v3a,,ex251_r007_v3_ga_v3_ga_sequence_pex251_r006_v3_ga_v3_ga_s_a333_d24_adp7992_6e2259de,,,student/work/newseeds_float_fp8_v3a_20260614_1951/ex251/artifacts/ex251_r007_v3_ga_v3_ga_sequence_pex251_r006_v3_ga_v3_ga_s_a333_d24_adp7992_6e2259de.aig,1,,,official_frontend_run,,student/runs/float_fp8/newseeds_float_fp8_v3a_20260614_1951/results/summary.csv,39270,-31278,0.203514,auto,auto-indexed from student/runs frontend summary
ex252,float_fp8,2432,152,16,newseeds_float_fp8_v3a_20260614_1951,ex252_r006_v3_ga_v3_ga_sequence_pex252_r005_v3_ga_v3_ga_s_a152_d16_adp2432_22843222,ex252|frontend|newseeds_float_fp8_v3a,,ex252_r006_v3_ga_v3_ga_sequence_pex252_r005_v3_ga_v3_ga_s_a152_d16_adp2432_22843222,,,student/work/newseeds_float_fp8_v3a_20260614_1951/ex252/artifacts/ex252_r006_v3_ga_v3_ga_sequence_pex252_r005_v3_ga_v3_ga_s_a152_d16_adp2432_22843222.aig,1,,,official_frontend_run,,student/runs/float_fp8/newseeds_float_fp8_v3a_20260614_1951/results/summary.csv,2603,-171,0.934307,auto,auto-indexed from student/runs frontend summary
ex253,float_fp8,2023,119,17,newseeds_float_fp8_v3a_20260614_1951,ex253_r007_v3_ga_v3_ga_sequence_pex253_r006_v3_ga_v3_ga_s_a119_d17_adp2023_a1d87635,ex253|frontend|newseeds_float_fp8_v3a,,ex253_r007_v3_ga_v3_ga_sequence_pex253_r006_v3_ga_v3_ga_s_a119_d17_adp2023_a1d87635,,,student/work/newseeds_float_fp8_v3a_20260614_1951/ex253/artifacts/ex253_r007_v3_ga_v3_ga_sequence_pex253_r006_v3_ga_v3_ga_s_a119_d17_adp2023_a1d87635.aig,1,,,official_frontend_run,,student/runs/float_fp8/newseeds_float_fp8_v3a_20260614_1951/results/summary.csv,1845,178,1.096477,auto,auto-indexed from student/runs frontend summary
ex254,float_fp8,15840,495,32,newseeds_float_fp8_v3a_20260614_1951,ex254_r007_v3_ga_v3_ga_sequence_pex254_r006_v3_ga_v3_ga_s_a495_d32_adp15840_b3e7be5a,ex254|frontend|newseeds_float_fp8_v3a,,ex254_r007_v3_ga_v3_ga_sequence_pex254_r006_v3_ga_v3_ga_s_a495_d32_adp15840_b3e7be5a,,,student/work/newseeds_float_fp8_v3a_20260614_1951/ex254/artifacts/ex254_r007_v3_ga_v3_ga_sequence_pex254_r006_v3_ga_v3_ga_s_a495_d32_adp15840_b3e7be5a.aig,1,,,official_frontend_run,,student/runs/float_fp8/newseeds_float_fp8_v3a_20260614_1951/results/summary.csv,38220,-22380,0.414443,auto,auto-indexed from student/runs frontend summary
ex255,integer,1023,93,11,newseeds_integer_v3a_20260614_1952,ex255_r005_v3_ga_v3_ga_sequence_pex255_r004_v3_ga_v3_ga_s_a93_d11_adp1023_7e5f1c58,ex255|frontend|newseeds_integer_v3a,,ex255_r005_v3_ga_v3_ga_sequence_pex255_r004_v3_ga_v3_ga_s_a93_d11_adp1023_7e5f1c58,,,student/work/newseeds_integer_v3a_20260614_1952/ex255/artifacts/ex255_r005_v3_ga_v3_ga_sequence_pex255_r004_v3_ga_v3_ga_s_a93_d11_adp1023_7e5f1c58.aig,1,,,official_frontend_run,,student/runs/integer/newseeds_integer_v3a_20260614_1952/results/summary.csv,836,187,1.223684,auto,auto-indexed from student/runs frontend summary
ex256,integer,2660,140,19,newseeds_integer_v3a_20260614_1952,ex256_r007_v3_ga_v3_ga_sequence_pex256_r004_v3_ga_v3_ga_s_a140_d19_adp2660_d66ab92a,ex256|frontend|newseeds_integer_v3a,,ex256_r007_v3_ga_v3_ga_sequence_pex256_r004_v3_ga_v3_ga_s_a140_d19_adp2660_d66ab92a,,,student/work/newseeds_integer_v3a_20260614_1952/ex256/artifacts/ex256_r007_v3_ga_v3_ga_sequence_pex256_r004_v3_ga_v3_ga_s_a140_d19_adp2660_d66ab92a.aig,1,,,official_frontend_run,,student/runs/integer/newseeds_integer_v3a_20260614_1952/results/summary.csv,1911,749,1.391941,auto,auto-indexed from student/runs frontend summary
ex257,integer,4454,262,17,newseeds_integer_v3a_20260614_1952,ex257_r007_v3_ga_v3_ga_sequence_pex257_r005_v3_ga_v3_ga_s_a262_d17_adp4454_f60d4e4e,ex257|frontend|newseeds_integer_v3a,,ex257_r007_v3_ga_v3_ga_sequence_pex257_r005_v3_ga_v3_ga_s_a262_d17_adp4454_f60d4e4e,,,student/work/newseeds_integer_v3a_20260614_1952/ex257/artifacts/ex257_r007_v3_ga_v3_ga_sequence_pex257_r005_v3_ga_v3_ga_s_a262_d17_adp4454_f60d4e4e.aig,1,,,official_frontend_run,,student/runs/integer/newseeds_integer_v3a_20260614_1952/results/summary.csv,3952,502,1.127024,auto,auto-indexed from student/runs frontend summary
ex258,integer,7636,332,23,newseeds_integer_v3a_20260614_1952,ex258_r007_v3_ga_v3_ga_sequence_pex258_r003_v3_ga_v3_ga_s_a332_d23_adp7636_4ccfb2b1,ex258|frontend|newseeds_integer_v3a,,ex258_r007_v3_ga_v3_ga_sequence_pex258_r003_v3_ga_v3_ga_s_a332_d23_adp7636_4ccfb2b1,,,student/work/newseeds_integer_v3a_20260614_1952/ex258/artifacts/ex258_r007_v3_ga_v3_ga_sequence_pex258_r003_v3_ga_v3_ga_s_a332_d23_adp7636_4ccfb2b1.aig,1,,,official_frontend_run,,student/runs/integer/newseeds_integer_v3a_20260614_1952/results/summary.csv,6289,1347,1.214183,auto,auto-indexed from student/runs frontend summary
ex259,integer,11178,486,23,newseeds_integer_v3a_20260614_1952,ex259_r007_v3_ga_v3_ga_sequence_pex259_r001_v3_ga_v3_ga_s_a486_d23_adp11178_0fcbd2b9,ex259|frontend|newseeds_integer_v3a,,ex259_r007_v3_ga_v3_ga_sequence_pex259_r001_v3_ga_v3_ga_s_a486_d23_adp11178_0fcbd2b9,,,student/work/newseeds_integer_v3a_20260614_1952/ex259/artifacts/ex259_r007_v3_ga_v3_ga_sequence_pex259_r001_v3_ga_v3_ga_s_a486_d23_adp11178_0fcbd2b9.aig,1,,,official_frontend_run,,student/runs/integer/newseeds_integer_v3a_20260614_1952/results/summary.csv,10000,1178,1.117800,auto,auto-indexed from student/runs frontend summary
ex260,integer,790,79,10,newseeds_integer_v3a_20260614_1952,ex260_r006_v3_ga_v3_ga_sequence_pex260_r005_v3_ga_v3_ga_s_a79_d10_adp790_474c7554,ex260|frontend|newseeds_integer_v3a,,ex260_r006_v3_ga_v3_ga_sequence_pex260_r005_v3_ga_v3_ga_s_a79_d10_adp790_474c7554,,,student/work/newseeds_integer_v3a_20260614_1952/ex260/artifacts/ex260_r006_v3_ga_v3_ga_sequence_pex260_r005_v3_ga_v3_ga_s_a79_d10_adp790_474c7554.aig,1,,,official_frontend_run,,student/runs/integer/newseeds_integer_v3a_20260614_1952/results/summary.csv,657,133,1.202435,auto,auto-indexed from student/runs frontend summary
ex261,integer,2520,140,18,newseeds_integer_v3a_20260614_1952,ex261_r006_v3_ga_v3_ga_sequence_pex261_r005_v3_ga_v3_ga_s_a140_d18_adp2520_2042f5b4,ex261|frontend|newseeds_integer_v3a,,ex261_r006_v3_ga_v3_ga_sequence_pex261_r005_v3_ga_v3_ga_s_a140_d18_adp2520_2042f5b4,,,student/work/newseeds_integer_v3a_20260614_1952/ex261/artifacts/ex261_r006_v3_ga_v3_ga_sequence_pex261_r005_v3_ga_v3_ga_s_a140_d18_adp2520_2042f5b4.aig,1,,,official_frontend_run,,student/runs/integer/newseeds_integer_v3a_20260614_1952/results/summary.csv,2041,479,1.234689,auto,auto-indexed from student/runs frontend summary
ex262,integer,4408,232,19,newseeds_integer_v3a_20260614_1952,ex262_r005_v3_ga_v3_ga_sequence_pex262_r004_v3_ga_v3_ga_s_a232_d19_adp4408_36d647b4,ex262|frontend|newseeds_integer_v3a,,ex262_r005_v3_ga_v3_ga_sequence_pex262_r004_v3_ga_v3_ga_s_a232_d19_adp4408_36d647b4,,,student/work/newseeds_integer_v3a_20260614_1952/ex262/artifacts/ex262_r005_v3_ga_v3_ga_sequence_pex262_r004_v3_ga_v3_ga_s_a232_d19_adp4408_36d647b4.aig,1,,,official_frontend_run,,student/runs/integer/newseeds_integer_v3a_20260614_1952/results/summary.csv,4900,-492,0.899592,auto,auto-indexed from student/runs frontend summary
ex263,integer,7992,333,24,newseeds_integer_v3a_20260614_1952,ex263_r006_v3_ga_v3_ga_sequence_pex263_r004_v3_ga_v3_ga_s_a333_d24_adp7992_59a4015d,ex263|frontend|newseeds_integer_v3a,,ex263_r006_v3_ga_v3_ga_sequence_pex263_r004_v3_ga_v3_ga_s_a333_d24_adp7992_59a4015d,,,student/work/newseeds_integer_v3a_20260614_1952/ex263/artifacts/ex263_r006_v3_ga_v3_ga_sequence_pex263_r004_v3_ga_v3_ga_s_a333_d24_adp7992_59a4015d.aig,1,,,official_frontend_run,,student/runs/integer/newseeds_integer_v3a_20260614_1952/results/summary.csv,6840,1152,1.168421,auto,auto-indexed from student/runs frontend summary
ex264,integer,10890,495,22,newseeds_integer_v3a_20260614_1952,ex264_r004_v3_ga_v3_ga_sequence_pex264_r002_v3_ga_v3_ga_s_a495_d22_adp10890_92c39326,ex264|frontend|newseeds_integer_v3a,,ex264_r004_v3_ga_v3_ga_sequence_pex264_r002_v3_ga_v3_ga_s_a495_d22_adp10890_92c39326,,,student/work/newseeds_integer_v3a_20260614_1952/ex264/artifacts/ex264_r004_v3_ga_v3_ga_sequence_pex264_r002_v3_ga_v3_ga_s_a495_d22_adp10890_92c39326.aig,1,,,official_frontend_run,,student/runs/integer/newseeds_integer_v3a_20260614_1952/results/summary.csv,9724,1166,1.119910,auto,auto-indexed from student/runs frontend summary
ex265,integer,301,43,7,newseeds_integer_v3a_20260614_1952,ex265_r007_v3_ga_v3_ga_sequence_pex265_r006_v3_ga_v3_ga_s_a43_d7_adp301_00ece483,ex265|frontend|newseeds_integer_v3a,,ex265_r007_v3_ga_v3_ga_sequence_pex265_r006_v3_ga_v3_ga_s_a43_d7_adp301_00ece483,,,student/work/newseeds_integer_v3a_20260614_1952/ex265/artifacts/ex265_r007_v3_ga_v3_ga_sequence_pex265_r006_v3_ga_v3_ga_s_a43_d7_adp301_00ece483.aig,1,,,official_frontend_run,,student/runs/integer/newseeds_integer_v3a_20260614_1952/results/summary.csv,322,-21,0.934783,auto,auto-indexed from student/runs frontend summary
