case,domain,frontend_best_adp,frontend_best_area,frontend_best_delay,frontend_best_run,candidate_id,method_signature,hypothesis,representation,shared_structure,verilog_path,aig_path,equivalent,simulation_pass,evaluate_log,source_type,source_campaign,source_path,reference_adp,gap_to_reference,ratio_to_reference,last_update,notes
ex210,bf16,33480,2232,15,ex200_ex219_current,ex210_bf16_sigmoid_const_default_3f80_h3,ex210|frontend|current,bf16_sigmoid,const_default_3f80_h3,,student/seeds/bf16/ex200_ex219_current/ex210/verilog/ex210_bf16_sigmoid_const_default_3f80_h3.v,student/seeds/bf16/ex200_ex219_current/ex210/aigs/ex210_bf16_sigmoid_const_default_3f80_h3.aig,1,,,official_frontend_run,,student/runs/bf16/ex200_ex219_current/results/summary.csv,27053,6427,1.237571,auto,auto-indexed from student/runs frontend summary
ex211,bf16,3003,273,11,ex200_ex219_current,ex211_bf16_reciprocal_hand_recip_formula_signmag_lut,ex211|frontend|current,bf16_reciprocal,hand_recip_formula_signmag_lut,,student/seeds/bf16/ex200_ex219_current/ex211/verilog/ex211_bf16_reciprocal_hand_recip_formula_signmag_lut.v,student/seeds/bf16/ex200_ex219_current/ex211/aigs/ex211_bf16_reciprocal_hand_recip_formula_signmag_lut.aig,1,,,official_frontend_run,,student/runs/bf16/ex200_ex219_current/results/summary.csv,2136,867,1.405899,auto,auto-indexed from student/runs frontend summary
ex212,bf16,3091,281,11,ex200_ex219_current,ex212_bf16_square_delta_pair_mode_hilo4_bits_15_bh1,ex212|frontend|current,bf16_square,delta_pair_mode_hilo4_bits_15_bh1,,student/seeds/bf16/ex200_ex219_current/ex212/verilog/ex212_bf16_square_delta_pair_mode_hilo4_bits_15_bh1.v,student/seeds/bf16/ex200_ex219_current/ex212/aigs/ex212_bf16_square_delta_pair_mode_hilo4_bits_15_bh1.aig,1,,,official_frontend_run,,student/runs/bf16/ex200_ex219_current/results/summary.csv,2304,787,1.341580,auto,auto-indexed from student/runs frontend summary
ex213,bf16,3806,346,11,ex200_ex219_current,ex213_bf16_sqrt_sep_fields_e2_m3_s3_bits_1_bh1,ex213|frontend|current,bf16_sqrt,sep_fields_e2_m3_s3_bits_1_bh1,,student/seeds/bf16/ex200_ex219_current/ex213/verilog/ex213_bf16_sqrt_sep_fields_e2_m3_s3_bits_1_bh1.v,student/seeds/bf16/ex200_ex219_current/ex213/aigs/ex213_bf16_sqrt_sep_fields_e2_m3_s3_bits_1_bh1.aig,1,,,official_frontend_run,,student/runs/bf16/ex200_ex219_current/results/summary.csv,2900,906,1.312414,auto,auto-indexed from student/runs frontend summary
ex214,bf16,3564,324,11,frontend_gt15_structural_round96_20260614_0651,ex214_r96_bf16_recip_square_bit13_exp_formula_abc_g_aig,ex214|round96_bf16_smallgap_source_flow|bf16_reciprocal_square_bit13_formula|sign-independent exponent range formula for bit13|source_to_aig_frontend_only|abc_read_truth_xf,bf16_reciprocal_square_bit13_formula,sign-independent exponent range formula for bit13,shared sign/exponent/mantissa decode plus selected predicate factoring,student/work/frontend_gt15_structural_round96_20260614_0651/sub-bf16-smallgap-flow-r96/ex214/verilog/ex214_r96_bf16_recip_square_bit13_exp_formula_abc_g_aig.v,student/work/frontend_gt15_structural_round96_20260614_0651/sub-bf16-smallgap-flow-r96/ex214/official_eval/ex214_r96_bf16_recip_square_bit13_exp_formula_abc_g_aig/ex214.aig,1,,student/work/frontend_gt15_structural_round96_20260614_0651/sub-bf16-smallgap-flow-r96/ex214/logs/ex214_r96_bf16_recip_square_bit13_exp_formula_abc_g_aig.evaluate.py.log,campaign_best_improvement,frontend_gt15_structural_round96_20260614_0651,student/frontend_campaigns/campaigns/frontend_gt15_structural_round96_20260614_0651/results/best_improvements.csv,2424,1140,1.470297,auto,official evaluate.py OK; frontend-only source/Yosys flow; crosses 1.5x target by factoring selected bit13 with exponent/mantissa formula
ex215,bf16,4668,389,12,ex204_ex299_frontend_breakthrough_20260614_1051,ex215_r8_caseattrs_abc_g_aig,ex215|current_source_caseattrs_probe|ex215_r8_caseattrs_abc_g_aig|preserve current source sharing; only expose case exclusivity hints|abc_g_aig|abc_xf_official_evaluate|unary_r8,,,,student/work/ex204_ex299_frontend_breakthrough_20260614_1051/unary-r8/ex215/verilog/ex215_r8_caseattrs_abc_g_aig.v,student/work/ex204_ex299_frontend_breakthrough_20260614_1051/unary-r8/ex215/aigs/ex215_r8_caseattrs_abc_g_aig.aig,1,,student/runs/bf16/ex204_ex299_frontend_breakthrough_20260614_1051/unary-r8/ex215/official_eval/ex215_r8_caseattrs_abc_g_aig/ex215_r8_caseattrs_abc_g_aig.evaluate.py.log,campaign_best_improvement,ex204_ex299_frontend_breakthrough_20260614_1051,student/frontend_campaigns/campaigns/ex204_ex299_frontend_breakthrough_20260614_1051/results/best_improvements.csv,3150,1518,1.481905,auto,caseattrs current-best source copy; case_statements_annotated=0; source=student/seeds/bf16/ex200_ex219_current/ex215/verilog/ex215_bf16_reciprocal_sqrt_delta_pair_mode_hilo3_bits_9_bh1_fix2_caseattrs_fix12.v; evaluate.py exit 0; elapsed 0.898s; yosys abc_g_aig exit 0; elapsed 10.941s
ex216,bf16,5720,440,13,ex204_ex299_frontend_breakthrough_20260614_1051,ex216_r4_current_source_abc_g_aig,ex216|current_source_flow_recut|ex216_r4_current_source_abc_g_aig|reuse accepted shared field decode and source structure|abc_g_aig|abc_xf_official_evaluate|unary_struct_r4,,,,student/work/ex204_ex299_frontend_breakthrough_20260614_1051/unary-struct-r4/ex216/verilog/ex216_r4_current_source_abc_g_aig.v,student/work/ex204_ex299_frontend_breakthrough_20260614_1051/unary-struct-r4/ex216/aigs/ex216_r4_current_source_abc_g_aig.aig,1,,student/runs/bf16/ex204_ex299_frontend_breakthrough_20260614_1051/unary-struct-r4/ex216/official_eval/ex216_r4_current_source_abc_g_aig/ex216_r4_current_source_abc_g_aig.evaluate.py.log,campaign_best_improvement,ex204_ex299_frontend_breakthrough_20260614_1051,student/frontend_campaigns/campaigns/ex204_ex299_frontend_breakthrough_20260614_1051/results/best_improvements.csv,3357,2363,1.703902,auto,source=student/seeds/bf16/ex200_ex219_current/ex216/verilog/ex216_bf16_cube_aggr_semantic_positive_symmetry_fields_cube_bit14_boundary_caseattrs_fix13.v; evaluate.py exit 0; elapsed 0.621s; yosys exit 0; elapsed 9.385s
ex217,bf16,5148,429,12,ex217_v3a_feedback_seed_smoke_20260614_0618,ex217_r000_seed_seed_pextra01_a429_d12_adp5148_a702ca37,ex217|frontend|v3a_feedback_seed_smoke,,ex217_r000_seed_seed_pextra01_a429_d12_adp5148_a702ca37,,,student/work/ex217_v3a_feedback_seed_smoke_20260614_0618/ex217/seeds/ex217_r000_seed_seed_pextra01_a429_d12_adp5148_a702ca37.aig,1,,,official_frontend_run,,student/runs/bf16/ex217_v3a_feedback_seed_smoke_20260614_0618/results/summary.csv,5785,-637,0.889888,auto,auto-indexed from student/runs frontend summary
ex218,bf16,5941,457,13,ex200_ex299_frontend_refgap_round19_20260612_2346,ex218_field_selector_abc_g_aig,ex218|bf16_reciprocal_cube_existing_seed_field_selector|legacy_value_case_field_selector|decoded_sign_exp_mant_selector|yosys_abc_g_aig|DAZ_reciprocal_cube_BF16_RNE_FTZ|full_word_value_case,bf16_reciprocal_cube_existing_seed_field_selector,,,student/work/ex200_ex299_frontend_refgap_round19_20260612_2346/fpbf-existing-r19/ex218/verilog/ex218_bf16_reciprocal_cube_field_selector_abcgaig_r19.v,student/work/ex200_ex299_frontend_refgap_round19_20260612_2346/fpbf-existing-r19/ex218/official_eval/ex218_field_selector_abc_g_aig/ex218.aig,1,,student/work/ex200_ex299_frontend_refgap_round19_20260612_2346/fpbf-existing-r19/ex218/logs/ex218_field_selector_abc_g_aig.evaluate.py.log,campaign_best_improvement,ex200_ex299_frontend_refgap_round19_20260612_2346,student/frontend_campaigns/campaigns/ex200_ex299_frontend_refgap_round19_20260612_2346/results/best_improvements.csv,3222,2719,1.843886,auto,official evaluate.py OK; copied current frontend-best seed; changed selector to decoded fields and used abc -g aig
ex219,bf16,8541,657,13,ex204_ex299_frontend_breakthrough_20260614_1051,ex219_r4_current_source_abc_g_aig,ex219|current_source_flow_recut|ex219_r4_current_source_abc_g_aig|reuse accepted shared field decode and source structure|abc_g_aig|abc_xf_official_evaluate|unary_struct_r4,,,,student/work/ex204_ex299_frontend_breakthrough_20260614_1051/unary-struct-r4/ex219/verilog/ex219_r4_current_source_abc_g_aig.v,student/work/ex204_ex299_frontend_breakthrough_20260614_1051/unary-struct-r4/ex219/aigs/ex219_r4_current_source_abc_g_aig.aig,1,,student/runs/bf16/ex204_ex299_frontend_breakthrough_20260614_1051/unary-struct-r4/ex219/official_eval/ex219_r4_current_source_abc_g_aig/ex219_r4_current_source_abc_g_aig.evaluate.py.log,campaign_best_improvement,ex204_ex299_frontend_breakthrough_20260614_1051,student/frontend_campaigns/campaigns/ex204_ex299_frontend_breakthrough_20260614_1051/results/best_improvements.csv,5640,2901,1.514362,auto,source=student/work/frontend_bf16_unknown_struct_round94_20260614_0552/sub-bf16-recip-power-r94/ex219/verilog/ex219_r94_bf16_reciprocal_cbrt_delta_pair_mant64_hilo3_bits_6_cmp.v; evaluate.py exit 0; elapsed 1.063s; yosys exit 0; elapsed 10.926s
