case,candidate_id,hypothesis,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,runtime_sec,classification,notes
ex266,ex266_udiv_ex266_cof_bhi2_a4_tree_wordmux_abc_g_aig,unsigned low5_high5:a/b dbz=max,ex266_cof_bhi2_a4_tree_wordmux+abc_g_aig,student/work/ex266_frontend_udiv_cofactor_tree_wordmux_20260609_1158/ex266/verilog/ex266_udiv_ex266_cof_bhi2_a4_tree_wordmux.v,student/work/ex266_frontend_udiv_cofactor_tree_wordmux_20260609_1158/ex266/aigs/ex266_udiv_ex266_cof_bhi2_a4_tree_wordmux_abc_g_aig.aig,1,1,1,155,12,1860,848,2.193396,0,0,0.233,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=ex266_cof_bhi2_a4_tree_wordmux; flow=abc_g_aig
ex266,ex266_udiv_ex266_cof_bhi2_a4_tree_wordmux_wreduce_abc_g_aig,unsigned low5_high5:a/b dbz=max,ex266_cof_bhi2_a4_tree_wordmux+wreduce_abc_g_aig,student/work/ex266_frontend_udiv_cofactor_tree_wordmux_20260609_1158/ex266/verilog/ex266_udiv_ex266_cof_bhi2_a4_tree_wordmux.v,student/work/ex266_frontend_udiv_cofactor_tree_wordmux_20260609_1158/ex266/aigs/ex266_udiv_ex266_cof_bhi2_a4_tree_wordmux_wreduce_abc_g_aig.aig,1,1,1,148,12,1776,848,2.094340,0,0,0.237,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=ex266_cof_bhi2_a4_tree_wordmux; flow=wreduce_abc_g_aig
ex266,ex266_udiv_ex266_cof_bhi2_a4_tree_wordmux_synth_preset,unsigned low5_high5:a/b dbz=max,ex266_cof_bhi2_a4_tree_wordmux+synth_preset,student/work/ex266_frontend_udiv_cofactor_tree_wordmux_20260609_1158/ex266/verilog/ex266_udiv_ex266_cof_bhi2_a4_tree_wordmux.v,student/work/ex266_frontend_udiv_cofactor_tree_wordmux_20260609_1158/ex266/aigs/ex266_udiv_ex266_cof_bhi2_a4_tree_wordmux_synth_preset.aig,1,1,1,148,12,1776,848,2.094340,0,0,0.306,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=ex266_cof_bhi2_a4_tree_wordmux; flow=synth_preset
ex266,ex266_udiv_ex266_cof_bhi2_a4_tree_wordmux_synth_preset_d8,unsigned low5_high5:a/b dbz=max,ex266_cof_bhi2_a4_tree_wordmux+synth_preset_d8,student/work/ex266_frontend_udiv_cofactor_tree_wordmux_20260609_1158/ex266/verilog/ex266_udiv_ex266_cof_bhi2_a4_tree_wordmux.v,student/work/ex266_frontend_udiv_cofactor_tree_wordmux_20260609_1158/ex266/aigs/ex266_udiv_ex266_cof_bhi2_a4_tree_wordmux_synth_preset_d8.aig,1,1,1,148,12,1776,848,2.094340,0,0,0.308,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=ex266_cof_bhi2_a4_tree_wordmux; flow=synth_preset_d8
ex266,ex266_udiv_ex266_cof_bhi2_a4_tree_wordmux_synth_preset_d10,unsigned low5_high5:a/b dbz=max,ex266_cof_bhi2_a4_tree_wordmux+synth_preset_d10,student/work/ex266_frontend_udiv_cofactor_tree_wordmux_20260609_1158/ex266/verilog/ex266_udiv_ex266_cof_bhi2_a4_tree_wordmux.v,student/work/ex266_frontend_udiv_cofactor_tree_wordmux_20260609_1158/ex266/aigs/ex266_udiv_ex266_cof_bhi2_a4_tree_wordmux_synth_preset_d10.aig,1,1,1,148,12,1776,848,2.094340,0,0,0.309,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=ex266_cof_bhi2_a4_tree_wordmux; flow=synth_preset_d10
ex266,ex266_udiv_ex266_cof_bhi2_a4_tree_wordmux_synth_preset_d12,unsigned low5_high5:a/b dbz=max,ex266_cof_bhi2_a4_tree_wordmux+synth_preset_d12,student/work/ex266_frontend_udiv_cofactor_tree_wordmux_20260609_1158/ex266/verilog/ex266_udiv_ex266_cof_bhi2_a4_tree_wordmux.v,student/work/ex266_frontend_udiv_cofactor_tree_wordmux_20260609_1158/ex266/aigs/ex266_udiv_ex266_cof_bhi2_a4_tree_wordmux_synth_preset_d12.aig,1,1,1,148,12,1776,848,2.094340,0,0,0.310,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=ex266_cof_bhi2_a4_tree_wordmux; flow=synth_preset_d12
ex266,ex266_udiv_ex266_cof_bhi2_a43_tree_wordmux_abc_g_aig,unsigned low5_high5:a/b dbz=max,ex266_cof_bhi2_a43_tree_wordmux+abc_g_aig,student/work/ex266_frontend_udiv_cofactor_tree_wordmux_20260609_1158/ex266/verilog/ex266_udiv_ex266_cof_bhi2_a43_tree_wordmux.v,student/work/ex266_frontend_udiv_cofactor_tree_wordmux_20260609_1158/ex266/aigs/ex266_udiv_ex266_cof_bhi2_a43_tree_wordmux_abc_g_aig.aig,1,1,1,153,13,1989,848,2.345519,0,0,0.234,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=ex266_cof_bhi2_a43_tree_wordmux; flow=abc_g_aig
ex266,ex266_udiv_ex266_cof_bhi2_a43_tree_wordmux_wreduce_abc_g_aig,unsigned low5_high5:a/b dbz=max,ex266_cof_bhi2_a43_tree_wordmux+wreduce_abc_g_aig,student/work/ex266_frontend_udiv_cofactor_tree_wordmux_20260609_1158/ex266/verilog/ex266_udiv_ex266_cof_bhi2_a43_tree_wordmux.v,student/work/ex266_frontend_udiv_cofactor_tree_wordmux_20260609_1158/ex266/aigs/ex266_udiv_ex266_cof_bhi2_a43_tree_wordmux_wreduce_abc_g_aig.aig,1,1,1,152,15,2280,848,2.688679,0,0,0.240,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=ex266_cof_bhi2_a43_tree_wordmux; flow=wreduce_abc_g_aig
ex266,ex266_udiv_ex266_cof_bhi2_a43_tree_wordmux_synth_preset,unsigned low5_high5:a/b dbz=max,ex266_cof_bhi2_a43_tree_wordmux+synth_preset,student/work/ex266_frontend_udiv_cofactor_tree_wordmux_20260609_1158/ex266/verilog/ex266_udiv_ex266_cof_bhi2_a43_tree_wordmux.v,student/work/ex266_frontend_udiv_cofactor_tree_wordmux_20260609_1158/ex266/aigs/ex266_udiv_ex266_cof_bhi2_a43_tree_wordmux_synth_preset.aig,1,1,1,152,14,2128,848,2.509434,0,0,0.315,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=ex266_cof_bhi2_a43_tree_wordmux; flow=synth_preset
ex266,ex266_udiv_ex266_cof_bhi2_a43_tree_wordmux_synth_preset_d8,unsigned low5_high5:a/b dbz=max,ex266_cof_bhi2_a43_tree_wordmux+synth_preset_d8,student/work/ex266_frontend_udiv_cofactor_tree_wordmux_20260609_1158/ex266/verilog/ex266_udiv_ex266_cof_bhi2_a43_tree_wordmux.v,student/work/ex266_frontend_udiv_cofactor_tree_wordmux_20260609_1158/ex266/aigs/ex266_udiv_ex266_cof_bhi2_a43_tree_wordmux_synth_preset_d8.aig,1,1,1,152,14,2128,848,2.509434,0,0,0.313,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=ex266_cof_bhi2_a43_tree_wordmux; flow=synth_preset_d8
ex266,ex266_udiv_ex266_cof_bhi2_a43_tree_wordmux_synth_preset_d10,unsigned low5_high5:a/b dbz=max,ex266_cof_bhi2_a43_tree_wordmux+synth_preset_d10,student/work/ex266_frontend_udiv_cofactor_tree_wordmux_20260609_1158/ex266/verilog/ex266_udiv_ex266_cof_bhi2_a43_tree_wordmux.v,student/work/ex266_frontend_udiv_cofactor_tree_wordmux_20260609_1158/ex266/aigs/ex266_udiv_ex266_cof_bhi2_a43_tree_wordmux_synth_preset_d10.aig,1,1,1,152,14,2128,848,2.509434,0,0,0.351,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=ex266_cof_bhi2_a43_tree_wordmux; flow=synth_preset_d10
