case,candidate_id,hypothesis,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,runtime_sec,classification,notes
ex266,ex266_udiv_denom_split_direct_abc_g_aig,unsigned low5_high5:a/b dbz=max,denom_split_direct+abc_g_aig,student/work/ex266_ex267_frontend_udiv_lz_range_transfer_20260609_1020/ex266/verilog/ex266_udiv_denom_split_direct.v,student/work/ex266_ex267_frontend_udiv_lz_range_transfer_20260609_1020/ex266/aigs/ex266_udiv_denom_split_direct_abc_g_aig.aig,1,1,1,97,26,2522,848,2.974057,0,0,0.342,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=denom_split_direct; flow=abc_g_aig
ex266,ex266_udiv_denom_split_direct_wreduce_abc_g_aig,unsigned low5_high5:a/b dbz=max,denom_split_direct+wreduce_abc_g_aig,student/work/ex266_ex267_frontend_udiv_lz_range_transfer_20260609_1020/ex266/verilog/ex266_udiv_denom_split_direct.v,student/work/ex266_ex267_frontend_udiv_lz_range_transfer_20260609_1020/ex266/aigs/ex266_udiv_denom_split_direct_wreduce_abc_g_aig.aig,1,1,1,97,26,2522,848,2.974057,0,0,0.343,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=denom_split_direct; flow=wreduce_abc_g_aig
ex266,ex266_udiv_denom_split_direct_synth_preset,unsigned low5_high5:a/b dbz=max,denom_split_direct+synth_preset,student/work/ex266_ex267_frontend_udiv_lz_range_transfer_20260609_1020/ex266/verilog/ex266_udiv_denom_split_direct.v,student/work/ex266_ex267_frontend_udiv_lz_range_transfer_20260609_1020/ex266/aigs/ex266_udiv_denom_split_direct_synth_preset.aig,1,1,1,96,26,2496,848,2.943396,0,0,0.394,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=denom_split_direct; flow=synth_preset
ex266,ex266_udiv_denom_split_direct_gt_guard_abc_g_aig,unsigned low5_high5:a/b dbz=max,denom_split_direct_gt_guard+abc_g_aig,student/work/ex266_ex267_frontend_udiv_lz_range_transfer_20260609_1020/ex266/verilog/ex266_udiv_denom_split_direct_gt_guard.v,student/work/ex266_ex267_frontend_udiv_lz_range_transfer_20260609_1020/ex266/aigs/ex266_udiv_denom_split_direct_gt_guard_abc_g_aig.aig,1,1,1,97,26,2522,848,2.974057,0,0,0.383,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=denom_split_direct_gt_guard; flow=abc_g_aig
ex266,ex266_udiv_denom_split_direct_gt_guard_wreduce_abc_g_aig,unsigned low5_high5:a/b dbz=max,denom_split_direct_gt_guard+wreduce_abc_g_aig,student/work/ex266_ex267_frontend_udiv_lz_range_transfer_20260609_1020/ex266/verilog/ex266_udiv_denom_split_direct_gt_guard.v,student/work/ex266_ex267_frontend_udiv_lz_range_transfer_20260609_1020/ex266/aigs/ex266_udiv_denom_split_direct_gt_guard_wreduce_abc_g_aig.aig,1,1,1,97,26,2522,848,2.974057,0,0,0.350,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=denom_split_direct_gt_guard; flow=wreduce_abc_g_aig
ex266,ex266_udiv_denom_split_direct_gt_guard_synth_preset,unsigned low5_high5:a/b dbz=max,denom_split_direct_gt_guard+synth_preset,student/work/ex266_ex267_frontend_udiv_lz_range_transfer_20260609_1020/ex266/verilog/ex266_udiv_denom_split_direct_gt_guard.v,student/work/ex266_ex267_frontend_udiv_lz_range_transfer_20260609_1020/ex266/aigs/ex266_udiv_denom_split_direct_gt_guard_synth_preset.aig,1,1,1,97,26,2522,848,2.974057,0,0,0.402,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=denom_split_direct_gt_guard; flow=synth_preset
ex266,ex266_udiv_denom_lz_range_direct_abc_g_aig,unsigned low5_high5:a/b dbz=max,denom_lz_range_direct+abc_g_aig,student/work/ex266_ex267_frontend_udiv_lz_range_transfer_20260609_1020/ex266/verilog/ex266_udiv_denom_lz_range_direct.v,student/work/ex266_ex267_frontend_udiv_lz_range_transfer_20260609_1020/ex266/aigs/ex266_udiv_denom_lz_range_direct_abc_g_aig.aig,1,1,1,92,28,2576,848,3.037736,0,0,0.349,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=denom_lz_range_direct; flow=abc_g_aig
ex266,ex266_udiv_denom_lz_range_direct_wreduce_abc_g_aig,unsigned low5_high5:a/b dbz=max,denom_lz_range_direct+wreduce_abc_g_aig,student/work/ex266_ex267_frontend_udiv_lz_range_transfer_20260609_1020/ex266/verilog/ex266_udiv_denom_lz_range_direct.v,student/work/ex266_ex267_frontend_udiv_lz_range_transfer_20260609_1020/ex266/aigs/ex266_udiv_denom_lz_range_direct_wreduce_abc_g_aig.aig,1,1,1,92,28,2576,848,3.037736,0,0,0.350,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=denom_lz_range_direct; flow=wreduce_abc_g_aig
ex266,ex266_udiv_denom_lz_range_direct_synth_preset,unsigned low5_high5:a/b dbz=max,denom_lz_range_direct+synth_preset,student/work/ex266_ex267_frontend_udiv_lz_range_transfer_20260609_1020/ex266/verilog/ex266_udiv_denom_lz_range_direct.v,student/work/ex266_ex267_frontend_udiv_lz_range_transfer_20260609_1020/ex266/aigs/ex266_udiv_denom_lz_range_direct_synth_preset.aig,1,1,1,92,28,2576,848,3.037736,0,0,0.403,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=denom_lz_range_direct; flow=synth_preset
ex266,ex266_udiv_denom_lz_range_smallcase_abc_g_aig,unsigned low5_high5:a/b dbz=max,denom_lz_range_smallcase+abc_g_aig,student/work/ex266_ex267_frontend_udiv_lz_range_transfer_20260609_1020/ex266/verilog/ex266_udiv_denom_lz_range_smallcase.v,student/work/ex266_ex267_frontend_udiv_lz_range_transfer_20260609_1020/ex266/aigs/ex266_udiv_denom_lz_range_smallcase_abc_g_aig.aig,1,1,1,141,29,4089,848,4.821934,0,0,0.348,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=denom_lz_range_smallcase; flow=abc_g_aig
ex266,ex266_udiv_denom_lz_range_smallcase_wreduce_abc_g_aig,unsigned low5_high5:a/b dbz=max,denom_lz_range_smallcase+wreduce_abc_g_aig,student/work/ex266_ex267_frontend_udiv_lz_range_transfer_20260609_1020/ex266/verilog/ex266_udiv_denom_lz_range_smallcase.v,student/work/ex266_ex267_frontend_udiv_lz_range_transfer_20260609_1020/ex266/aigs/ex266_udiv_denom_lz_range_smallcase_wreduce_abc_g_aig.aig,1,1,1,141,29,4089,848,4.821934,0,0,0.354,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=denom_lz_range_smallcase; flow=wreduce_abc_g_aig
