case,candidate_id,equivalent,area,delay,adp,aig_path,notes
ex266,ex266_udiv_denom_split_direct_abc_g_aig,1,97,26,2522,student/work/ex266_ex267_frontend_udiv_lz_range_transfer_20260609_1020/ex266/aigs/ex266_udiv_denom_split_direct_abc_g_aig.aig,unsigned low5_high5:a/b dbz=max exact; source=denom_split_direct; flow=abc_g_aig
ex266,ex266_udiv_denom_split_direct_wreduce_abc_g_aig,1,97,26,2522,student/work/ex266_ex267_frontend_udiv_lz_range_transfer_20260609_1020/ex266/aigs/ex266_udiv_denom_split_direct_wreduce_abc_g_aig.aig,unsigned low5_high5:a/b dbz=max exact; source=denom_split_direct; flow=wreduce_abc_g_aig
ex266,ex266_udiv_denom_split_direct_synth_preset,1,96,26,2496,student/work/ex266_ex267_frontend_udiv_lz_range_transfer_20260609_1020/ex266/aigs/ex266_udiv_denom_split_direct_synth_preset.aig,unsigned low5_high5:a/b dbz=max exact; source=denom_split_direct; flow=synth_preset
ex266,ex266_udiv_denom_split_direct_gt_guard_abc_g_aig,1,97,26,2522,student/work/ex266_ex267_frontend_udiv_lz_range_transfer_20260609_1020/ex266/aigs/ex266_udiv_denom_split_direct_gt_guard_abc_g_aig.aig,unsigned low5_high5:a/b dbz=max exact; source=denom_split_direct_gt_guard; flow=abc_g_aig
ex266,ex266_udiv_denom_split_direct_gt_guard_wreduce_abc_g_aig,1,97,26,2522,student/work/ex266_ex267_frontend_udiv_lz_range_transfer_20260609_1020/ex266/aigs/ex266_udiv_denom_split_direct_gt_guard_wreduce_abc_g_aig.aig,unsigned low5_high5:a/b dbz=max exact; source=denom_split_direct_gt_guard; flow=wreduce_abc_g_aig
ex266,ex266_udiv_denom_split_direct_gt_guard_synth_preset,1,97,26,2522,student/work/ex266_ex267_frontend_udiv_lz_range_transfer_20260609_1020/ex266/aigs/ex266_udiv_denom_split_direct_gt_guard_synth_preset.aig,unsigned low5_high5:a/b dbz=max exact; source=denom_split_direct_gt_guard; flow=synth_preset
ex266,ex266_udiv_denom_lz_range_direct_abc_g_aig,1,92,28,2576,student/work/ex266_ex267_frontend_udiv_lz_range_transfer_20260609_1020/ex266/aigs/ex266_udiv_denom_lz_range_direct_abc_g_aig.aig,unsigned low5_high5:a/b dbz=max exact; source=denom_lz_range_direct; flow=abc_g_aig
ex266,ex266_udiv_denom_lz_range_direct_wreduce_abc_g_aig,1,92,28,2576,student/work/ex266_ex267_frontend_udiv_lz_range_transfer_20260609_1020/ex266/aigs/ex266_udiv_denom_lz_range_direct_wreduce_abc_g_aig.aig,unsigned low5_high5:a/b dbz=max exact; source=denom_lz_range_direct; flow=wreduce_abc_g_aig
ex266,ex266_udiv_denom_lz_range_direct_synth_preset,1,92,28,2576,student/work/ex266_ex267_frontend_udiv_lz_range_transfer_20260609_1020/ex266/aigs/ex266_udiv_denom_lz_range_direct_synth_preset.aig,unsigned low5_high5:a/b dbz=max exact; source=denom_lz_range_direct; flow=synth_preset
ex266,ex266_udiv_denom_lz_range_smallcase_abc_g_aig,1,141,29,4089,student/work/ex266_ex267_frontend_udiv_lz_range_transfer_20260609_1020/ex266/aigs/ex266_udiv_denom_lz_range_smallcase_abc_g_aig.aig,unsigned low5_high5:a/b dbz=max exact; source=denom_lz_range_smallcase; flow=abc_g_aig
ex266,ex266_udiv_denom_lz_range_smallcase_wreduce_abc_g_aig,1,141,29,4089,student/work/ex266_ex267_frontend_udiv_lz_range_transfer_20260609_1020/ex266/aigs/ex266_udiv_denom_lz_range_smallcase_wreduce_abc_g_aig.aig,unsigned low5_high5:a/b dbz=max exact; source=denom_lz_range_smallcase; flow=wreduce_abc_g_aig
ex266,ex266_udiv_denom_lz_range_smallcase_synth_preset,1,139,28,3892,student/work/ex266_ex267_frontend_udiv_lz_range_transfer_20260609_1020/ex266/aigs/ex266_udiv_denom_lz_range_smallcase_synth_preset.aig,unsigned low5_high5:a/b dbz=max exact; source=denom_lz_range_smallcase; flow=synth_preset
ex266,ex266_udiv_denom_lz_range_lowrestoring_abc_g_aig,1,148,28,4144,student/work/ex266_ex267_frontend_udiv_lz_range_transfer_20260609_1020/ex266/aigs/ex266_udiv_denom_lz_range_lowrestoring_abc_g_aig.aig,unsigned low5_high5:a/b dbz=max exact; source=denom_lz_range_lowrestoring; flow=abc_g_aig
ex266,ex266_udiv_denom_lz_range_lowrestoring_wreduce_abc_g_aig,1,147,29,4263,student/work/ex266_ex267_frontend_udiv_lz_range_transfer_20260609_1020/ex266/aigs/ex266_udiv_denom_lz_range_lowrestoring_wreduce_abc_g_aig.aig,unsigned low5_high5:a/b dbz=max exact; source=denom_lz_range_lowrestoring; flow=wreduce_abc_g_aig
