case,candidate_id,hypothesis,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,runtime_sec,classification,notes
ex273,ex273_square_wallace_square_outside_csel6_abc_g_aig,unsigned_square_x_times_x,wallace_square_outside_csel6+abc_g_aig,student/work/ex273_ex274_square_large_csel_20260609_1138/ex273/verilog/ex273_square_wallace_square_outside_csel6.v,student/work/ex273_ex274_square_large_csel_20260609_1138/ex273/aigs/ex273_square_wallace_square_outside_csel6_abc_g_aig.aig,1,1,1,718,39,28002,15078,1.857143,0,0,0.763,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=wallace_square_outside_csel6; flow=abc_g_aig
ex273,ex273_square_wallace_square_outside_csel6_wreduce_abc_g_aig,unsigned_square_x_times_x,wallace_square_outside_csel6+wreduce_abc_g_aig,student/work/ex273_ex274_square_large_csel_20260609_1138/ex273/verilog/ex273_square_wallace_square_outside_csel6.v,student/work/ex273_ex274_square_large_csel_20260609_1138/ex273/aigs/ex273_square_wallace_square_outside_csel6_wreduce_abc_g_aig.aig,1,1,1,716,39,27924,15078,1.851970,0,0,0.773,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=wallace_square_outside_csel6; flow=wreduce_abc_g_aig
ex273,ex273_square_wallace_square_outside_csel6_synth_preset,unsigned_square_x_times_x,wallace_square_outside_csel6+synth_preset,student/work/ex273_ex274_square_large_csel_20260609_1138/ex273/verilog/ex273_square_wallace_square_outside_csel6.v,student/work/ex273_ex274_square_large_csel_20260609_1138/ex273/aigs/ex273_square_wallace_square_outside_csel6_synth_preset.aig,1,1,1,715,39,27885,15078,1.849383,0,0,0.932,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=wallace_square_outside_csel6; flow=synth_preset
ex273,ex273_square_wallace_square_outside_csel6_synth_preset_d20,unsigned_square_x_times_x,wallace_square_outside_csel6+synth_preset_d20,student/work/ex273_ex274_square_large_csel_20260609_1138/ex273/verilog/ex273_square_wallace_square_outside_csel6.v,student/work/ex273_ex274_square_large_csel_20260609_1138/ex273/aigs/ex273_square_wallace_square_outside_csel6_synth_preset_d20.aig,1,1,1,715,39,27885,15078,1.849383,0,0,0.930,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=wallace_square_outside_csel6; flow=synth_preset_d20
ex273,ex273_square_wallace_square_outside_csel8_abc_g_aig,unsigned_square_x_times_x,wallace_square_outside_csel8+abc_g_aig,student/work/ex273_ex274_square_large_csel_20260609_1138/ex273/verilog/ex273_square_wallace_square_outside_csel8.v,student/work/ex273_ex274_square_large_csel_20260609_1138/ex273/aigs/ex273_square_wallace_square_outside_csel8_abc_g_aig.aig,1,1,1,725,38,27550,15078,1.827165,0,0,0.751,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=wallace_square_outside_csel8; flow=abc_g_aig
ex273,ex273_square_wallace_square_outside_csel8_wreduce_abc_g_aig,unsigned_square_x_times_x,wallace_square_outside_csel8+wreduce_abc_g_aig,student/work/ex273_ex274_square_large_csel_20260609_1138/ex273/verilog/ex273_square_wallace_square_outside_csel8.v,student/work/ex273_ex274_square_large_csel_20260609_1138/ex273/aigs/ex273_square_wallace_square_outside_csel8_wreduce_abc_g_aig.aig,1,1,1,723,37,26751,15078,1.774174,0,0,0.761,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=wallace_square_outside_csel8; flow=wreduce_abc_g_aig
ex273,ex273_square_wallace_square_outside_csel8_synth_preset,unsigned_square_x_times_x,wallace_square_outside_csel8+synth_preset,student/work/ex273_ex274_square_large_csel_20260609_1138/ex273/verilog/ex273_square_wallace_square_outside_csel8.v,student/work/ex273_ex274_square_large_csel_20260609_1138/ex273/aigs/ex273_square_wallace_square_outside_csel8_synth_preset.aig,1,1,1,724,37,26788,15078,1.776628,0,0,0.930,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=wallace_square_outside_csel8; flow=synth_preset
ex273,ex273_square_wallace_square_outside_csel8_synth_preset_d20,unsigned_square_x_times_x,wallace_square_outside_csel8+synth_preset_d20,student/work/ex273_ex274_square_large_csel_20260609_1138/ex273/verilog/ex273_square_wallace_square_outside_csel8.v,student/work/ex273_ex274_square_large_csel_20260609_1138/ex273/aigs/ex273_square_wallace_square_outside_csel8_synth_preset_d20.aig,1,1,1,724,37,26788,15078,1.776628,0,0,0.931,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=wallace_square_outside_csel8; flow=synth_preset_d20
ex273,ex273_square_wallace_square_outside_csel10_abc_g_aig,unsigned_square_x_times_x,wallace_square_outside_csel10+abc_g_aig,student/work/ex273_ex274_square_large_csel_20260609_1138/ex273/verilog/ex273_square_wallace_square_outside_csel10.v,student/work/ex273_ex274_square_large_csel_20260609_1138/ex273/aigs/ex273_square_wallace_square_outside_csel10_abc_g_aig.aig,1,1,1,718,40,28720,15078,1.904762,0,0,0.753,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=wallace_square_outside_csel10; flow=abc_g_aig
ex273,ex273_square_wallace_square_outside_csel10_wreduce_abc_g_aig,unsigned_square_x_times_x,wallace_square_outside_csel10+wreduce_abc_g_aig,student/work/ex273_ex274_square_large_csel_20260609_1138/ex273/verilog/ex273_square_wallace_square_outside_csel10.v,student/work/ex273_ex274_square_large_csel_20260609_1138/ex273/aigs/ex273_square_wallace_square_outside_csel10_wreduce_abc_g_aig.aig,1,1,1,715,40,28600,15078,1.896803,0,0,0.789,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=wallace_square_outside_csel10; flow=wreduce_abc_g_aig
ex273,ex273_square_wallace_square_outside_csel10_synth_preset,unsigned_square_x_times_x,wallace_square_outside_csel10+synth_preset,student/work/ex273_ex274_square_large_csel_20260609_1138/ex273/verilog/ex273_square_wallace_square_outside_csel10.v,student/work/ex273_ex274_square_large_csel_20260609_1138/ex273/aigs/ex273_square_wallace_square_outside_csel10_synth_preset.aig,1,1,1,714,40,28560,15078,1.894150,0,0,0.922,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=wallace_square_outside_csel10; flow=synth_preset
