case,candidate_id,hypothesis,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,runtime_sec,classification,notes
ex256,ex256_umul_direct_context_abc_g_aig_d18,unsigned low5_high5:a*b,direct_context+abc_g_aig_d18,student/work/ex256_direct_flow_probe_20260609_0114/ex256/verilog/ex256_umul_direct_context.v,student/work/ex256_direct_flow_probe_20260609_0114/ex256/aigs/ex256_umul_direct_context_abc_g_aig_d18.aig,1,1,1,158,25,3950,1911,2.066981,0,0,0.207,semantic_mul_exact,exact unsigned low5 * high5 over 1024 inputs; source=direct_context; flow=abc_g_aig_d18
ex256,ex256_umul_direct_context_abc_g_aig_d20,unsigned low5_high5:a*b,direct_context+abc_g_aig_d20,student/work/ex256_direct_flow_probe_20260609_0114/ex256/verilog/ex256_umul_direct_context.v,student/work/ex256_direct_flow_probe_20260609_0114/ex256/aigs/ex256_umul_direct_context_abc_g_aig_d20.aig,1,1,1,158,25,3950,1911,2.066981,0,0,0.210,semantic_mul_exact,exact unsigned low5 * high5 over 1024 inputs; source=direct_context; flow=abc_g_aig_d20
ex256,ex256_umul_direct_context_abc_g_aig_d24,unsigned low5_high5:a*b,direct_context+abc_g_aig_d24,student/work/ex256_direct_flow_probe_20260609_0114/ex256/verilog/ex256_umul_direct_context.v,student/work/ex256_direct_flow_probe_20260609_0114/ex256/aigs/ex256_umul_direct_context_abc_g_aig_d24.aig,1,1,1,158,25,3950,1911,2.066981,0,0,0.209,semantic_mul_exact,exact unsigned low5 * high5 over 1024 inputs; source=direct_context; flow=abc_g_aig_d24
ex256,ex256_umul_direct_context_abc_g_aig_d28,unsigned low5_high5:a*b,direct_context+abc_g_aig_d28,student/work/ex256_direct_flow_probe_20260609_0114/ex256/verilog/ex256_umul_direct_context.v,student/work/ex256_direct_flow_probe_20260609_0114/ex256/aigs/ex256_umul_direct_context_abc_g_aig_d28.aig,1,1,1,158,25,3950,1911,2.066981,0,0,0.208,semantic_mul_exact,exact unsigned low5 * high5 over 1024 inputs; source=direct_context; flow=abc_g_aig_d28
ex256,ex256_umul_direct_context_synth_preset_d18,unsigned low5_high5:a*b,direct_context+synth_preset_d18,student/work/ex256_direct_flow_probe_20260609_0114/ex256/verilog/ex256_umul_direct_context.v,student/work/ex256_direct_flow_probe_20260609_0114/ex256/aigs/ex256_umul_direct_context_synth_preset_d18.aig,1,1,1,155,25,3875,1911,2.027734,0,0,0.246,semantic_mul_exact,exact unsigned low5 * high5 over 1024 inputs; source=direct_context; flow=synth_preset_d18
ex256,ex256_umul_direct_context_synth_preset_d20,unsigned low5_high5:a*b,direct_context+synth_preset_d20,student/work/ex256_direct_flow_probe_20260609_0114/ex256/verilog/ex256_umul_direct_context.v,student/work/ex256_direct_flow_probe_20260609_0114/ex256/aigs/ex256_umul_direct_context_synth_preset_d20.aig,1,1,1,155,25,3875,1911,2.027734,0,0,0.247,semantic_mul_exact,exact unsigned low5 * high5 over 1024 inputs; source=direct_context; flow=synth_preset_d20
ex256,ex256_umul_direct_context_synth_preset_d24,unsigned low5_high5:a*b,direct_context+synth_preset_d24,student/work/ex256_direct_flow_probe_20260609_0114/ex256/verilog/ex256_umul_direct_context.v,student/work/ex256_direct_flow_probe_20260609_0114/ex256/aigs/ex256_umul_direct_context_synth_preset_d24.aig,1,1,1,155,25,3875,1911,2.027734,0,0,0.252,semantic_mul_exact,exact unsigned low5 * high5 over 1024 inputs; source=direct_context; flow=synth_preset_d24
ex256,ex256_umul_direct_context_synth_preset_d28,unsigned low5_high5:a*b,direct_context+synth_preset_d28,student/work/ex256_direct_flow_probe_20260609_0114/ex256/verilog/ex256_umul_direct_context.v,student/work/ex256_direct_flow_probe_20260609_0114/ex256/aigs/ex256_umul_direct_context_synth_preset_d28.aig,1,1,1,155,25,3875,1911,2.027734,0,0,0.249,semantic_mul_exact,exact unsigned low5 * high5 over 1024 inputs; source=direct_context; flow=synth_preset_d28
ex256,ex256_umul_balanced_rows_abc_g_aig_d18,unsigned low5_high5:a*b,balanced_rows+abc_g_aig_d18,student/work/ex256_direct_flow_probe_20260609_0114/ex256/verilog/ex256_umul_balanced_rows.v,student/work/ex256_direct_flow_probe_20260609_0114/ex256/aigs/ex256_umul_balanced_rows_abc_g_aig_d18.aig,1,1,1,151,25,3775,1911,1.975406,0,0,0.247,semantic_mul_exact,exact unsigned low5 * high5 over 1024 inputs; source=balanced_rows; flow=abc_g_aig_d18
ex256,ex256_umul_balanced_rows_abc_g_aig_d20,unsigned low5_high5:a*b,balanced_rows+abc_g_aig_d20,student/work/ex256_direct_flow_probe_20260609_0114/ex256/verilog/ex256_umul_balanced_rows.v,student/work/ex256_direct_flow_probe_20260609_0114/ex256/aigs/ex256_umul_balanced_rows_abc_g_aig_d20.aig,1,1,1,151,25,3775,1911,1.975406,0,0,0.243,semantic_mul_exact,exact unsigned low5 * high5 over 1024 inputs; source=balanced_rows; flow=abc_g_aig_d20
ex256,ex256_umul_balanced_rows_abc_g_aig_d24,unsigned low5_high5:a*b,balanced_rows+abc_g_aig_d24,student/work/ex256_direct_flow_probe_20260609_0114/ex256/verilog/ex256_umul_balanced_rows.v,student/work/ex256_direct_flow_probe_20260609_0114/ex256/aigs/ex256_umul_balanced_rows_abc_g_aig_d24.aig,1,1,1,151,25,3775,1911,1.975406,0,0,0.244,semantic_mul_exact,exact unsigned low5 * high5 over 1024 inputs; source=balanced_rows; flow=abc_g_aig_d24
