case,candidate_id,equivalent,area,delay,adp,aig_path,notes
ex256,ex256_umul_direct_context_abc_g_aig_d18,1,158,25,3950,student/work/ex256_direct_flow_probe_20260609_0114/ex256/aigs/ex256_umul_direct_context_abc_g_aig_d18.aig,exact unsigned low5 * high5 over 1024 inputs; source=direct_context; flow=abc_g_aig_d18
ex256,ex256_umul_direct_context_abc_g_aig_d20,1,158,25,3950,student/work/ex256_direct_flow_probe_20260609_0114/ex256/aigs/ex256_umul_direct_context_abc_g_aig_d20.aig,exact unsigned low5 * high5 over 1024 inputs; source=direct_context; flow=abc_g_aig_d20
ex256,ex256_umul_direct_context_abc_g_aig_d24,1,158,25,3950,student/work/ex256_direct_flow_probe_20260609_0114/ex256/aigs/ex256_umul_direct_context_abc_g_aig_d24.aig,exact unsigned low5 * high5 over 1024 inputs; source=direct_context; flow=abc_g_aig_d24
ex256,ex256_umul_direct_context_abc_g_aig_d28,1,158,25,3950,student/work/ex256_direct_flow_probe_20260609_0114/ex256/aigs/ex256_umul_direct_context_abc_g_aig_d28.aig,exact unsigned low5 * high5 over 1024 inputs; source=direct_context; flow=abc_g_aig_d28
ex256,ex256_umul_direct_context_synth_preset_d18,1,155,25,3875,student/work/ex256_direct_flow_probe_20260609_0114/ex256/aigs/ex256_umul_direct_context_synth_preset_d18.aig,exact unsigned low5 * high5 over 1024 inputs; source=direct_context; flow=synth_preset_d18
ex256,ex256_umul_direct_context_synth_preset_d20,1,155,25,3875,student/work/ex256_direct_flow_probe_20260609_0114/ex256/aigs/ex256_umul_direct_context_synth_preset_d20.aig,exact unsigned low5 * high5 over 1024 inputs; source=direct_context; flow=synth_preset_d20
ex256,ex256_umul_direct_context_synth_preset_d24,1,155,25,3875,student/work/ex256_direct_flow_probe_20260609_0114/ex256/aigs/ex256_umul_direct_context_synth_preset_d24.aig,exact unsigned low5 * high5 over 1024 inputs; source=direct_context; flow=synth_preset_d24
ex256,ex256_umul_direct_context_synth_preset_d28,1,155,25,3875,student/work/ex256_direct_flow_probe_20260609_0114/ex256/aigs/ex256_umul_direct_context_synth_preset_d28.aig,exact unsigned low5 * high5 over 1024 inputs; source=direct_context; flow=synth_preset_d28
ex256,ex256_umul_balanced_rows_abc_g_aig_d18,1,151,25,3775,student/work/ex256_direct_flow_probe_20260609_0114/ex256/aigs/ex256_umul_balanced_rows_abc_g_aig_d18.aig,exact unsigned low5 * high5 over 1024 inputs; source=balanced_rows; flow=abc_g_aig_d18
ex256,ex256_umul_balanced_rows_abc_g_aig_d20,1,151,25,3775,student/work/ex256_direct_flow_probe_20260609_0114/ex256/aigs/ex256_umul_balanced_rows_abc_g_aig_d20.aig,exact unsigned low5 * high5 over 1024 inputs; source=balanced_rows; flow=abc_g_aig_d20
ex256,ex256_umul_balanced_rows_abc_g_aig_d24,1,151,25,3775,student/work/ex256_direct_flow_probe_20260609_0114/ex256/aigs/ex256_umul_balanced_rows_abc_g_aig_d24.aig,exact unsigned low5 * high5 over 1024 inputs; source=balanced_rows; flow=abc_g_aig_d24
ex256,ex256_umul_balanced_rows_abc_g_aig_d28,1,151,25,3775,student/work/ex256_direct_flow_probe_20260609_0114/ex256/aigs/ex256_umul_balanced_rows_abc_g_aig_d28.aig,exact unsigned low5 * high5 over 1024 inputs; source=balanced_rows; flow=abc_g_aig_d28
ex256,ex256_umul_balanced_rows_synth_preset_d18,1,152,23,3496,student/work/ex256_direct_flow_probe_20260609_0114/ex256/aigs/ex256_umul_balanced_rows_synth_preset_d18.aig,exact unsigned low5 * high5 over 1024 inputs; source=balanced_rows; flow=synth_preset_d18
ex256,ex256_umul_balanced_rows_synth_preset_d20,1,152,23,3496,student/work/ex256_direct_flow_probe_20260609_0114/ex256/aigs/ex256_umul_balanced_rows_synth_preset_d20.aig,exact unsigned low5 * high5 over 1024 inputs; source=balanced_rows; flow=synth_preset_d20
ex256,ex256_umul_balanced_rows_synth_preset_d24,1,152,23,3496,student/work/ex256_direct_flow_probe_20260609_0114/ex256/aigs/ex256_umul_balanced_rows_synth_preset_d24.aig,exact unsigned low5 * high5 over 1024 inputs; source=balanced_rows; flow=synth_preset_d24
ex256,ex256_umul_balanced_rows_synth_preset_d28,1,152,23,3496,student/work/ex256_direct_flow_probe_20260609_0114/ex256/aigs/ex256_umul_balanced_rows_synth_preset_d28.aig,exact unsigned low5 * high5 over 1024 inputs; source=balanced_rows; flow=synth_preset_d28
ex256,ex256_umul_csa_androws_abc_g_aig_d18,1,155,21,3255,student/work/ex256_direct_flow_probe_20260609_0114/ex256/aigs/ex256_umul_csa_androws_abc_g_aig_d18.aig,exact unsigned low5 * high5 over 1024 inputs; source=csa_androws; flow=abc_g_aig_d18
ex256,ex256_umul_csa_androws_abc_g_aig_d20,1,155,21,3255,student/work/ex256_direct_flow_probe_20260609_0114/ex256/aigs/ex256_umul_csa_androws_abc_g_aig_d20.aig,exact unsigned low5 * high5 over 1024 inputs; source=csa_androws; flow=abc_g_aig_d20
ex256,ex256_umul_csa_androws_abc_g_aig_d24,1,155,21,3255,student/work/ex256_direct_flow_probe_20260609_0114/ex256/aigs/ex256_umul_csa_androws_abc_g_aig_d24.aig,exact unsigned low5 * high5 over 1024 inputs; source=csa_androws; flow=abc_g_aig_d24
ex256,ex256_umul_csa_androws_abc_g_aig_d28,1,155,21,3255,student/work/ex256_direct_flow_probe_20260609_0114/ex256/aigs/ex256_umul_csa_androws_abc_g_aig_d28.aig,exact unsigned low5 * high5 over 1024 inputs; source=csa_androws; flow=abc_g_aig_d28
ex256,ex256_umul_csa_androws_synth_preset_d18,1,150,21,3150,student/work/ex256_direct_flow_probe_20260609_0114/ex256/aigs/ex256_umul_csa_androws_synth_preset_d18.aig,exact unsigned low5 * high5 over 1024 inputs; source=csa_androws; flow=synth_preset_d18
ex256,ex256_umul_csa_androws_synth_preset_d20,1,150,21,3150,student/work/ex256_direct_flow_probe_20260609_0114/ex256/aigs/ex256_umul_csa_androws_synth_preset_d20.aig,exact unsigned low5 * high5 over 1024 inputs; source=csa_androws; flow=synth_preset_d20
ex256,ex256_umul_csa_androws_synth_preset_d24,1,150,21,3150,student/work/ex256_direct_flow_probe_20260609_0114/ex256/aigs/ex256_umul_csa_androws_synth_preset_d24.aig,exact unsigned low5 * high5 over 1024 inputs; source=csa_androws; flow=synth_preset_d24
ex256,ex256_umul_csa_androws_synth_preset_d28,1,150,21,3150,student/work/ex256_direct_flow_probe_20260609_0114/ex256/aigs/ex256_umul_csa_androws_synth_preset_d28.aig,exact unsigned low5 * high5 over 1024 inputs; source=csa_androws; flow=synth_preset_d28
ex256,ex256_umul_wallace_bits_abc_g_aig_d18,1,158,20,3160,student/work/ex256_direct_flow_probe_20260609_0114/ex256/aigs/ex256_umul_wallace_bits_abc_g_aig_d18.aig,exact unsigned low5 * high5 over 1024 inputs; source=wallace_bits; flow=abc_g_aig_d18
ex256,ex256_umul_wallace_bits_abc_g_aig_d20,1,158,20,3160,student/work/ex256_direct_flow_probe_20260609_0114/ex256/aigs/ex256_umul_wallace_bits_abc_g_aig_d20.aig,exact unsigned low5 * high5 over 1024 inputs; source=wallace_bits; flow=abc_g_aig_d20
ex256,ex256_umul_wallace_bits_abc_g_aig_d24,1,158,20,3160,student/work/ex256_direct_flow_probe_20260609_0114/ex256/aigs/ex256_umul_wallace_bits_abc_g_aig_d24.aig,exact unsigned low5 * high5 over 1024 inputs; source=wallace_bits; flow=abc_g_aig_d24
ex256,ex256_umul_wallace_bits_abc_g_aig_d28,1,158,20,3160,student/work/ex256_direct_flow_probe_20260609_0114/ex256/aigs/ex256_umul_wallace_bits_abc_g_aig_d28.aig,exact unsigned low5 * high5 over 1024 inputs; source=wallace_bits; flow=abc_g_aig_d28
ex256,ex256_umul_wallace_bits_synth_preset_d18,1,162,22,3564,student/work/ex256_direct_flow_probe_20260609_0114/ex256/aigs/ex256_umul_wallace_bits_synth_preset_d18.aig,exact unsigned low5 * high5 over 1024 inputs; source=wallace_bits; flow=synth_preset_d18
