case,input_width,bucket_count,selected_features,feature_mode,feature_count,epochs,seeds,best_seed,exact_rows,total_rows,row_match_ratio,bit_mismatches,total_bits,bit_match_ratio,notes
ex286,13,8,raw3:raw10:xor6_7,counts,9,20,4,1,139,8192,0.016968,45520,106496,0.572566,linear top-k score over exact bucket-count features
ex286,13,8,raw3:raw10:xor6_7,counts_selectors,12,20,4,0,150,8192,0.018311,48064,106496,0.548678,linear top-k score over exact bucket-count features
ex286,13,8,raw3:raw10:xor6_7,counts_selectors_quad,72,20,4,0,441,8192,0.053833,28436,106496,0.732985,linear top-k score over exact bucket-count features
ex287,14,7,xor6_7:xor8_9:raw13:raw12,counts,8,20,4,0,208,16384,0.012695,103848,229376,0.547259,linear top-k score over exact bucket-count features
ex287,14,7,xor6_7:xor8_9:raw13:raw12,counts_selectors,12,20,4,0,196,16384,0.011963,103776,229376,0.547573,linear top-k score over exact bucket-count features
ex287,14,7,xor6_7:xor8_9:raw13:raw12,counts_selectors_quad,68,20,4,0,773,16384,0.047180,61258,229376,0.732936,linear top-k score over exact bucket-count features
ex288,15,9,raw13:raw10:xor6_7,counts,10,20,4,2,180,32768,0.005493,227888,491520,0.536361,linear top-k score over exact bucket-count features
ex288,15,9,raw13:raw10:xor6_7,counts_selectors,13,20,4,3,187,32768,0.005707,226226,491520,0.539742,linear top-k score over exact bucket-count features
ex288,15,9,raw13:raw10:xor6_7,counts_selectors_quad,85,20,4,0,705,32768,0.021515,141534,491520,0.712048,linear top-k score over exact bucket-count features
