case,candidate_id,equivalent,area,delay,adp,aig_path,notes
ex266,ex266_udiv_ex266_cof_bhi2_bitbdd_abc_g_aig,1,151,13,1963,student/work/ex266_frontend_udiv_cofactor_bitbdd_20260609_1058/ex266/aigs/ex266_udiv_ex266_cof_bhi2_bitbdd_abc_g_aig.aig,unsigned low5_high5:a/b dbz=max exact; source=ex266_cof_bhi2_bitbdd; flow=abc_g_aig
ex266,ex266_udiv_ex266_cof_bhi2_bitbdd_wreduce_abc_g_aig,1,151,13,1963,student/work/ex266_frontend_udiv_cofactor_bitbdd_20260609_1058/ex266/aigs/ex266_udiv_ex266_cof_bhi2_bitbdd_wreduce_abc_g_aig.aig,unsigned low5_high5:a/b dbz=max exact; source=ex266_cof_bhi2_bitbdd; flow=wreduce_abc_g_aig
ex266,ex266_udiv_ex266_cof_bhi2_bitbdd_synth_preset,1,147,12,1764,student/work/ex266_frontend_udiv_cofactor_bitbdd_20260609_1058/ex266/aigs/ex266_udiv_ex266_cof_bhi2_bitbdd_synth_preset.aig,unsigned low5_high5:a/b dbz=max exact; source=ex266_cof_bhi2_bitbdd; flow=synth_preset
ex266,ex266_udiv_ex266_cof_bhi2_bitbdd_synth_preset_d8,1,147,12,1764,student/work/ex266_frontend_udiv_cofactor_bitbdd_20260609_1058/ex266/aigs/ex266_udiv_ex266_cof_bhi2_bitbdd_synth_preset_d8.aig,unsigned low5_high5:a/b dbz=max exact; source=ex266_cof_bhi2_bitbdd; flow=synth_preset_d8
ex266,ex266_udiv_ex266_cof_bhi2_bitbdd_synth_preset_d10,1,147,12,1764,student/work/ex266_frontend_udiv_cofactor_bitbdd_20260609_1058/ex266/aigs/ex266_udiv_ex266_cof_bhi2_bitbdd_synth_preset_d10.aig,unsigned low5_high5:a/b dbz=max exact; source=ex266_cof_bhi2_bitbdd; flow=synth_preset_d10
ex266,ex266_udiv_ex266_cof_bhi2_bitbdd_synth_preset_d12,1,147,12,1764,student/work/ex266_frontend_udiv_cofactor_bitbdd_20260609_1058/ex266/aigs/ex266_udiv_ex266_cof_bhi2_bitbdd_synth_preset_d12.aig,unsigned low5_high5:a/b dbz=max exact; source=ex266_cof_bhi2_bitbdd; flow=synth_preset_d12
ex266,ex266_udiv_ex266_cof_bhi3_bitbdd_abc_g_aig,1,155,12,1860,student/work/ex266_frontend_udiv_cofactor_bitbdd_20260609_1058/ex266/aigs/ex266_udiv_ex266_cof_bhi3_bitbdd_abc_g_aig.aig,unsigned low5_high5:a/b dbz=max exact; source=ex266_cof_bhi3_bitbdd; flow=abc_g_aig
ex266,ex266_udiv_ex266_cof_bhi3_bitbdd_wreduce_abc_g_aig,1,155,12,1860,student/work/ex266_frontend_udiv_cofactor_bitbdd_20260609_1058/ex266/aigs/ex266_udiv_ex266_cof_bhi3_bitbdd_wreduce_abc_g_aig.aig,unsigned low5_high5:a/b dbz=max exact; source=ex266_cof_bhi3_bitbdd; flow=wreduce_abc_g_aig
ex266,ex266_udiv_ex266_cof_bhi3_bitbdd_synth_preset,1,157,12,1884,student/work/ex266_frontend_udiv_cofactor_bitbdd_20260609_1058/ex266/aigs/ex266_udiv_ex266_cof_bhi3_bitbdd_synth_preset.aig,unsigned low5_high5:a/b dbz=max exact; source=ex266_cof_bhi3_bitbdd; flow=synth_preset
ex266,ex266_udiv_ex266_cof_bhi3_bitbdd_synth_preset_d8,1,157,12,1884,student/work/ex266_frontend_udiv_cofactor_bitbdd_20260609_1058/ex266/aigs/ex266_udiv_ex266_cof_bhi3_bitbdd_synth_preset_d8.aig,unsigned low5_high5:a/b dbz=max exact; source=ex266_cof_bhi3_bitbdd; flow=synth_preset_d8
ex266,ex266_udiv_ex266_cof_bhi3_bitbdd_synth_preset_d10,1,157,12,1884,student/work/ex266_frontend_udiv_cofactor_bitbdd_20260609_1058/ex266/aigs/ex266_udiv_ex266_cof_bhi3_bitbdd_synth_preset_d10.aig,unsigned low5_high5:a/b dbz=max exact; source=ex266_cof_bhi3_bitbdd; flow=synth_preset_d10
