case,candidate_id,hypothesis,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,runtime_sec,classification,notes
ex266,ex266_udiv_ex266_cof_bhi2_bitbdd_abc_g_aig,unsigned low5_high5:a/b dbz=max,ex266_cof_bhi2_bitbdd+abc_g_aig,student/work/ex266_frontend_udiv_cofactor_bitbdd_20260609_1058/ex266/verilog/ex266_udiv_ex266_cof_bhi2_bitbdd.v,student/work/ex266_frontend_udiv_cofactor_bitbdd_20260609_1058/ex266/aigs/ex266_udiv_ex266_cof_bhi2_bitbdd_abc_g_aig.aig,1,1,1,151,13,1963,848,2.314858,0,0,0.245,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=ex266_cof_bhi2_bitbdd; flow=abc_g_aig
ex266,ex266_udiv_ex266_cof_bhi2_bitbdd_wreduce_abc_g_aig,unsigned low5_high5:a/b dbz=max,ex266_cof_bhi2_bitbdd+wreduce_abc_g_aig,student/work/ex266_frontend_udiv_cofactor_bitbdd_20260609_1058/ex266/verilog/ex266_udiv_ex266_cof_bhi2_bitbdd.v,student/work/ex266_frontend_udiv_cofactor_bitbdd_20260609_1058/ex266/aigs/ex266_udiv_ex266_cof_bhi2_bitbdd_wreduce_abc_g_aig.aig,1,1,1,151,13,1963,848,2.314858,0,0,0.238,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=ex266_cof_bhi2_bitbdd; flow=wreduce_abc_g_aig
ex266,ex266_udiv_ex266_cof_bhi2_bitbdd_synth_preset,unsigned low5_high5:a/b dbz=max,ex266_cof_bhi2_bitbdd+synth_preset,student/work/ex266_frontend_udiv_cofactor_bitbdd_20260609_1058/ex266/verilog/ex266_udiv_ex266_cof_bhi2_bitbdd.v,student/work/ex266_frontend_udiv_cofactor_bitbdd_20260609_1058/ex266/aigs/ex266_udiv_ex266_cof_bhi2_bitbdd_synth_preset.aig,1,1,1,147,12,1764,848,2.080189,0,0,0.314,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=ex266_cof_bhi2_bitbdd; flow=synth_preset
ex266,ex266_udiv_ex266_cof_bhi2_bitbdd_synth_preset_d8,unsigned low5_high5:a/b dbz=max,ex266_cof_bhi2_bitbdd+synth_preset_d8,student/work/ex266_frontend_udiv_cofactor_bitbdd_20260609_1058/ex266/verilog/ex266_udiv_ex266_cof_bhi2_bitbdd.v,student/work/ex266_frontend_udiv_cofactor_bitbdd_20260609_1058/ex266/aigs/ex266_udiv_ex266_cof_bhi2_bitbdd_synth_preset_d8.aig,1,1,1,147,12,1764,848,2.080189,0,0,0.318,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=ex266_cof_bhi2_bitbdd; flow=synth_preset_d8
ex266,ex266_udiv_ex266_cof_bhi2_bitbdd_synth_preset_d10,unsigned low5_high5:a/b dbz=max,ex266_cof_bhi2_bitbdd+synth_preset_d10,student/work/ex266_frontend_udiv_cofactor_bitbdd_20260609_1058/ex266/verilog/ex266_udiv_ex266_cof_bhi2_bitbdd.v,student/work/ex266_frontend_udiv_cofactor_bitbdd_20260609_1058/ex266/aigs/ex266_udiv_ex266_cof_bhi2_bitbdd_synth_preset_d10.aig,1,1,1,147,12,1764,848,2.080189,0,0,3.061,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=ex266_cof_bhi2_bitbdd; flow=synth_preset_d10
ex266,ex266_udiv_ex266_cof_bhi2_bitbdd_synth_preset_d12,unsigned low5_high5:a/b dbz=max,ex266_cof_bhi2_bitbdd+synth_preset_d12,student/work/ex266_frontend_udiv_cofactor_bitbdd_20260609_1058/ex266/verilog/ex266_udiv_ex266_cof_bhi2_bitbdd.v,student/work/ex266_frontend_udiv_cofactor_bitbdd_20260609_1058/ex266/aigs/ex266_udiv_ex266_cof_bhi2_bitbdd_synth_preset_d12.aig,1,1,1,147,12,1764,848,2.080189,0,0,1.028,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=ex266_cof_bhi2_bitbdd; flow=synth_preset_d12
ex266,ex266_udiv_ex266_cof_bhi3_bitbdd_abc_g_aig,unsigned low5_high5:a/b dbz=max,ex266_cof_bhi3_bitbdd+abc_g_aig,student/work/ex266_frontend_udiv_cofactor_bitbdd_20260609_1058/ex266/verilog/ex266_udiv_ex266_cof_bhi3_bitbdd.v,student/work/ex266_frontend_udiv_cofactor_bitbdd_20260609_1058/ex266/aigs/ex266_udiv_ex266_cof_bhi3_bitbdd_abc_g_aig.aig,1,1,1,155,12,1860,848,2.193396,0,0,0.238,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=ex266_cof_bhi3_bitbdd; flow=abc_g_aig
ex266,ex266_udiv_ex266_cof_bhi3_bitbdd_wreduce_abc_g_aig,unsigned low5_high5:a/b dbz=max,ex266_cof_bhi3_bitbdd+wreduce_abc_g_aig,student/work/ex266_frontend_udiv_cofactor_bitbdd_20260609_1058/ex266/verilog/ex266_udiv_ex266_cof_bhi3_bitbdd.v,student/work/ex266_frontend_udiv_cofactor_bitbdd_20260609_1058/ex266/aigs/ex266_udiv_ex266_cof_bhi3_bitbdd_wreduce_abc_g_aig.aig,1,1,1,155,12,1860,848,2.193396,0,0,0.243,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=ex266_cof_bhi3_bitbdd; flow=wreduce_abc_g_aig
ex266,ex266_udiv_ex266_cof_bhi3_bitbdd_synth_preset,unsigned low5_high5:a/b dbz=max,ex266_cof_bhi3_bitbdd+synth_preset,student/work/ex266_frontend_udiv_cofactor_bitbdd_20260609_1058/ex266/verilog/ex266_udiv_ex266_cof_bhi3_bitbdd.v,student/work/ex266_frontend_udiv_cofactor_bitbdd_20260609_1058/ex266/aigs/ex266_udiv_ex266_cof_bhi3_bitbdd_synth_preset.aig,1,1,1,157,12,1884,848,2.221698,0,0,0.325,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=ex266_cof_bhi3_bitbdd; flow=synth_preset
ex266,ex266_udiv_ex266_cof_bhi3_bitbdd_synth_preset_d8,unsigned low5_high5:a/b dbz=max,ex266_cof_bhi3_bitbdd+synth_preset_d8,student/work/ex266_frontend_udiv_cofactor_bitbdd_20260609_1058/ex266/verilog/ex266_udiv_ex266_cof_bhi3_bitbdd.v,student/work/ex266_frontend_udiv_cofactor_bitbdd_20260609_1058/ex266/aigs/ex266_udiv_ex266_cof_bhi3_bitbdd_synth_preset_d8.aig,1,1,1,157,12,1884,848,2.221698,0,0,0.321,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=ex266_cof_bhi3_bitbdd; flow=synth_preset_d8
ex266,ex266_udiv_ex266_cof_bhi3_bitbdd_synth_preset_d10,unsigned low5_high5:a/b dbz=max,ex266_cof_bhi3_bitbdd+synth_preset_d10,student/work/ex266_frontend_udiv_cofactor_bitbdd_20260609_1058/ex266/verilog/ex266_udiv_ex266_cof_bhi3_bitbdd.v,student/work/ex266_frontend_udiv_cofactor_bitbdd_20260609_1058/ex266/aigs/ex266_udiv_ex266_cof_bhi3_bitbdd_synth_preset_d10.aig,1,1,1,157,12,1884,848,2.221698,0,0,0.318,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=ex266_cof_bhi3_bitbdd; flow=synth_preset_d10
