case,candidate_id,hypothesis,variant,verilog_path,aig_path,area,delay,adp,items,notes
ex280,ex280_unknown_muxcoord_anf_prefix_parity_full_clamp_simplified_grouped_deg2,unknown_muxcoord_anf,prefix_parity_full_clamp_simplified_grouped_deg2,student/work/ex280_ex284_frontend_muxcoord_keychain_smoke_20260609_0142/ex280/verilog/ex280_unknown_muxcoord_anf_prefix_parity_full_clamp_simplified_grouped_deg2.v,student/work/ex280_ex284_frontend_muxcoord_keychain_smoke_20260609_0142/ex280/aigs/ex280_unknown_muxcoord_anf_prefix_parity_full_clamp_simplified_grouped_deg2.aig,212,29,6148,transform=prefix_parity; coord_mode=full_clamp_simplified; emit_style=grouped; xor_style=prefix; group_style=high; degree=2; coord_width=17; features=154; ok_bits=0:1:2:3:4:5:6:7:8:9:10:11; inconsistent=0x0; grouped_ands=47; linear_xors=10; group_orientations=high:12:low:0; term_counts=1:3:5:7:9:11:13:19:20:24:22:22; hash=1a5f723590a3,unknown mux-coordinate ANF Verilog seed
ex284,ex284_unknown_muxcoord_anf_prefix_parity_full_clamp_simplified_grouped_deg2,unknown_muxcoord_anf,prefix_parity_full_clamp_simplified_grouped_deg2,student/work/ex280_ex284_frontend_muxcoord_keychain_smoke_20260609_0142/ex284/verilog/ex284_unknown_muxcoord_anf_prefix_parity_full_clamp_simplified_grouped_deg2.v,student/work/ex280_ex284_frontend_muxcoord_keychain_smoke_20260609_0142/ex284/aigs/ex284_unknown_muxcoord_anf_prefix_parity_full_clamp_simplified_grouped_deg2.aig,260,37,9620,transform=prefix_parity; coord_mode=full_clamp_simplified; emit_style=grouped; xor_style=prefix; group_style=high; degree=2; coord_width=21; features=232; ok_bits=0:1:2:3:4:5:6:7:8:9:10:11:12:13:14:15; inconsistent=0x0; grouped_ands=63; linear_xors=10; group_orientations=high:16:low:0; term_counts=1:3:5:7:9:11:13:15:17:19:21:27:28:32:30:30; hash=60e4587c7bdf,unknown mux-coordinate ANF Verilog seed
