case,candidate_id,area,delay,adp,reference_adp,adp_ratio_to_reference,current_best_adp,delta_vs_current,beats_current,variant,items,notes
ex280,ex280_unknown_algebraic_12x12_anf_davio_best_order,1143,25,28575,2415,11.832298,17220,11355,0,anf_davio_best_order,transform=identity; total_terms=2142; unique_terms=712; max_degree=4; max_bit_terms=375; davio_order=interleave; davio_nodes=703,unknown function algebraic Verilog seed
ex281,ex281_unknown_algebraic_13x13_anf_davio_best_order,1478,27,39906,2336,17.083048,20592,19314,0,anf_davio_best_order,transform=identity; total_terms=3339; unique_terms=994; max_degree=4; max_bit_terms=523; davio_order=interleave; davio_nodes=853,unknown function algebraic Verilog seed
ex282,ex282_unknown_algebraic_14x14_anf_davio_best_order,1634,31,50654,2704,18.732988,29812,20842,0,anf_davio_best_order,transform=identity; total_terms=4266; unique_terms=1340; max_degree=4; max_bit_terms=705; davio_order=interleave; davio_nodes=967,unknown function algebraic Verilog seed
ex283,ex283_unknown_algebraic_15x15_anf_davio_best_order,1992,34,67728,3168,21.378788,35670,32058,0,anf_davio_best_order,transform=identity; total_terms=6293; unique_terms=1785; max_degree=4; max_bit_terms=929; davio_order=interleave; davio_nodes=1135,unknown function algebraic Verilog seed
ex284,ex284_unknown_algebraic_16x16_anf_davio_best_order,2198,38,83524,4240,19.699057,42945,40579,0,anf_davio_best_order,transform=identity; total_terms=7732; unique_terms=2319; max_degree=4; max_bit_terms=1195; davio_order=interleave; davio_nodes=1259,unknown function algebraic Verilog seed
